date,trade_id,idx,event,current_pos,change,direction,score,shares,price_stock,price_spy,beta
2005-10-13 16:00:00,0,387,opening,10000.0,0.0,-1.0,-1,5208.333333333334,1.92,117.43,1.3274214608568118
2005-10-14 09:30:00,0,388,holding,14770.420874954152,4770.420874954152,-1.0,-1,5208.333333333334,1.92,118.12,1.3315407145393872
2005-10-14 16:00:00,0,389,holding,18520.84693470021,8520.846934700208,-1.0,-1,5208.333333333334,1.93,118.67,1.3315407145393872
2005-10-17 09:30:00,0,390,holding,19212.212278896426,9212.212278896426,-1.0,-1,5208.333333333334,1.93,118.77,1.3299160407221151
2005-10-17 16:00:00,0,391,holding,21667.021115830386,11667.021115830388,-1.0,-1,5208.333333333334,1.91,119.11,1.3299160407221151
2005-10-18 09:30:00,0,392,holding,20543.783364030074,10543.783364030072,-1.0,-1,5208.333333333334,1.9,118.94,1.3254823400389646
2005-10-18 16:00:00,0,393,closing,13008.824842365304,3008.8248423653044,-1.0,-1,5208.333333333334,1.86,117.82,1.3254823400389646
2006-01-19 09:30:00,1,518,opening,13008.824842365304,0.0,1.0,1,4485.801669781139,2.9,128.09,1.296191338735956
2006-01-19 16:00:00,1,519,holding,11370.780109018147,-1638.0447333471573,1.0,1,4485.801669781139,2.82,128.31,1.296191338735956
2006-01-20 09:30:00,1,520,holding,11590.071843865693,-1418.7529984996102,1.0,1,4485.801669781139,2.83,128.28,1.290360565702953
2006-01-20 16:00:00,1,521,holding,24528.02995771884,11519.205115353538,1.0,1,4485.801669781139,2.72,125.97,1.290360565702953
2006-01-23 09:30:00,1,522,holding,23132.560212521046,10123.735370155742,1.0,1,4485.801669781139,2.72,126.21,1.291604174896464
2006-01-23 16:00:00,1,523,holding,22135.814268961964,9126.989426596658,1.0,1,4485.801669781139,2.77,126.42,1.291604174896464
2006-01-24 09:30:00,1,524,closing,21139.068325402957,8130.243483037653,1.0,1,4485.801669781139,2.82,126.63,1.294912501080702
2006-04-21 09:30:00,2,646,opening,21139.068325402957,0.0,1.0,1,8663.55259237826,2.44,131.73,1.2285332225604948
2006-04-21 16:00:00,2,647,holding,26879.098763163216,5740.03043776026,1.0,1,8663.55259237826,2.39,131.15,1.2285332225604948
2006-04-24 09:30:00,2,648,holding,29220.6604438933,8081.592118490342,1.0,1,8663.55259237826,2.39,130.93,1.2274710349611984
2006-04-24 16:00:00,2,649,holding,29086.987583901013,7947.9192584980565,1.0,1,8663.55259237826,2.35,130.91,1.2274710349611984
