date,trade_id,idx,event,current_pos,change,direction,score,shares,price_stock,price_spy,beta
2006-04-21 09:30:00,0,646,opening,10000.0,0.0,1.0,2,10,2.44,131.73,1.2285332225604948
2006-04-21 16:00:00,0,647,holding,10006.625492690851,6.625492690850676,1.0,2,10,2.39,131.15,1.2285332225604948
2006-04-24 09:30:00,0,648,closing,10009.328265780483,9.32826578048375,1.0,2,10,2.39,130.93,1.2274710349611984
2007-04-26 09:30:00,1,1154,opening,10009.328265780483,0.0,1.0,2,10,3.63,149.49,1.1108980430186461
2007-04-26 16:00:00,1,1155,holding,10006.550828911653,-2.777436868829797,1.0,2,10,3.53,149.65,1.1108980430186461
2007-04-27 09:30:00,1,1156,closing,10012.571857952558,3.243592172074647,1.0,2,10,3.51,149.09,1.1098287221442007
2007-10-23 09:30:00,2,1404,opening,10012.571857952558,0.0,-1.0,-2,10,6.73,151.46,1.320381785849003
2007-10-23 16:00:00,2,1405,holding,10017.333003310105,4.761145357546784,-1.0,-2,10,6.65,151.76,1.320381785849003
2007-10-24 09:30:00,2,1406,closing,10010.170903487935,-2.4009544646225,-1.0,-2,10,6.64,151.21,1.319177843327817
2008-01-23 09:30:00,3,1528,opening,10010.170903487935,0.0,1.0,2,10,4.86,127.09,1.4241663941739393
2008-01-23 16:00:00,3,1529,holding,9914.85483860236,-95.31606488557584,1.0,2,10,4.97,133.86,1.4241663941739393
2008-01-24 09:30:00,3,1530,closing,9906.325006958481,-103.84589652945394,1.0,2,10,5.0,134.48,1.3904856113535782
2009-04-24 09:30:00,4,2160,opening,9906.325006958481,0.0,1.0,2,10,4.45,86.03,1.222480957035253
2009-04-24 16:00:00,4,2161,holding,9898.323376929158,-8.00163002932204,1.0,2,10,4.42,86.66,1.222480957035253
2009-04-27 09:30:00,4,2162,closing,9910.003690308104,3.678683349623311,1.0,2,10,4.39,85.68,1.2238870046888448
2009-07-22 09:30:00,5,2282,opening,9910.003690308104,0.0,1.0,2,10,5.64,94.96,1.204204341441507
2009-07-22 16:00:00,5,2283,holding,9902.4988846936,-7.504805614504932,1.0,2,10,5.6,95.55,1.204204341441507
2009-07-23 09:30:00,5,2284,closing,9901.676362088734,-8.327328219369862,1.0,2,10,5.59,95.61,1.2037107703211856
2010-07-21 09:30:00,6,2784,opening,9901.676362088734,0.0,1.0,2,10,9.47,109.04,1.1945226880600586
2010-07-21 16:00:00,6,2785,holding,9921.308459043517,19.632096954783304,1.0,2,10,9.08,107.07,1.1945226880600586
2010-07-22 09:30:00,6,2786,closing,9907.338020905154,5.661658816420431,1.0,2,10,9.2,108.34,1.1951679193821578
2011-04-21 09:30:00,7,3166,opening,9907.338020905154,0.0,1.0,2,10,12.68,133.79,1.1739941497333457
2011-04-21 16:00:00,7,3167,holding,9905.855420320127,-1.4826005850267738,1.0,2,10,12.52,133.78,1.1739941497333457
2011-04-25 09:30:00,7,3168,closing,9906.92941446986,-0.4086064352934926,1.0,2,10,12.51,133.68,1.1737274948300112
2011-10-19 09:30:00,8,3416,opening,9906.92941446986,0.0,1.0,2,10,14.33,122.38,1.114678607000696
2011-10-19 16:00:00,8,3417,holding,9919.962897057369,13.033482587508702,1.0,2,10,14.24,121.13,1.114678607000696
2011-10-20 09:30:00,8,3418,closing,9917.118861236366,10.189446766506476,1.0,2,10,14.29,121.43,1.1155121111734563
2013-07-24 09:30:00,9,4298,opening,9917.118861236366,0.0,1.0,2,10,15.68,169.79,1.067496397882029
2013-07-24 16:00:00,9,4299,holding,9931.176065489468,14.057204253101583,1.0,2,10,15.73,168.52,1.067496397882029
2013-07-25 09:30:00,9,4300,closing,9934.478554683114,17.359693446747787,1.0,2,10,15.74,168.22,1.0611618122908375
2014-07-22 09:30:00,10,4798,opening,9934.478554683114,0.0,1.0,2,10,23.67,198.01,0.9793753688768594
2014-07-22 16:00:00,10,4799,holding,9932.717741482247,-1.7608132008660304,1.0,2,10,23.68,198.2,0.9793753688768594
2014-07-23 09:30:00,10,4800,closing,9931.579615375616,-2.8989393074967227,1.0,2,10,23.86,198.5,0.9807150922794216
2017-11-03 09:30:00,11,6458,opening,9931.579615375616,0.0,1.0,2,10,43.5,257.77,1.289092962592022
2017-11-03 16:00:00,11,6459,holding,9919.11378322999,-12.465832145625813,1.0,2,10,43.13,258.45,1.289092962592022
2017-11-06 09:30:00,11,6460,closing,9920.64742267388,-10.932192701738064,1.0,2,10,43.09,258.3,1.2888667744681206
2018-02-02 09:30:00,12,6580,opening,9920.64742267388,0.0,1.0,2,10,41.5,280.08,1.2351675553371166
