date,trade_id,idx,event,current_pos,change,direction,score,shares,price_stock,price_spy,beta
2006-01-19 09:30:00,0,518,opening,10000.0,0.0,1.0,1,3448.2758620689656,2.9,128.09,1.296191338735956
2006-01-19 16:00:00,0,519,holding,8740.820363717556,-1259.1796362824448,1.0,1,3448.2758620689656,2.82,128.31,1.296191338735956
2006-01-20 09:30:00,0,520,holding,8909.391881517833,-1090.6081184821674,1.0,1,3448.2758620689656,2.83,128.28,1.290360565702953
2006-01-20 16:00:00,0,521,holding,18854.915993518043,8854.915993518045,1.0,1,3448.2758620689656,2.72,125.97,1.290360565702953
2006-01-23 09:30:00,0,522,closing,17782.205920081415,7782.205920081414,1.0,1,3448.2758620689656,2.72,126.21,1.291604174896464
2006-04-21 09:30:00,1,646,opening,17782.205920081415,0.0,1.0,2,7287.789311508776,2.44,131.73,1.2285332225604948
2006-04-21 16:00:00,1,647,holding,22610.72540166752,4828.519481586108,1.0,2,7287.789311508776,2.39,131.15,1.2285332225604948
2006-04-24 09:30:00,1,648,closing,24580.44948507367,6798.243564992255,1.0,2,7287.789311508776,2.39,130.93,1.2274710349611984
2006-10-19 09:30:00,2,898,opening,24580.44948507367,0.0,-1.0,-1,8685.671196139107,2.83,136.39,1.1597445065099017
2006-10-19 16:00:00,2,899,holding,28898.03316816614,4317.583683092472,-1.0,-1,8685.671196139107,2.82,136.81,1.1597445065099017
2006-10-20 09:30:00,2,900,holding,28898.03316816614,4317.583683092472,-1.0,-1,8685.671196139107,2.82,136.81,1.1620968541090229
2006-10-20 16:00:00,2,901,holding,28852.801103972797,4272.351618899127,-1.0,-1,8685.671196139107,2.86,136.84,1.1620968541090229
2006-10-23 09:30:00,2,902,closing,26032.316456552173,1451.8669714785035,-1.0,-1,8685.671196139107,2.86,136.56,1.1616934885551715
2007-04-26 09:30:00,3,1154,opening,26032.316456552173,0.0,1.0,2,7171.4370403725,3.63,149.49,1.1108980430186461
2007-04-26 16:00:00,3,1155,holding,24040.49509270995,-1991.8213638422221,1.0,2,7171.4370403725,3.53,149.65,1.1108980430186461
2007-04-27 09:30:00,3,1156,holding,28358.438161220016,2326.121704667841,1.0,2,7171.4370403725,3.51,149.09,1.1098287221442007
2007-04-27 16:00:00,3,1157,holding,25283.360819178637,-748.9556373735367,1.0,2,7171.4370403725,3.57,149.53,1.1098287221442007
2007-04-30 09:30:00,3,1158,closing,24407.01992806282,-1625.2965284893555,1.0,2,7171.4370403725,3.57,149.64,1.109232599004112
2007-07-26 09:30:00,4,1280,opening,24407.01992806282,0.0,1.0,1,4684.648738591712,5.21,150.19,1.1029700078824163
2007-07-26 16:00:00,4,1281,holding,35619.4686398667,11212.448711803883,1.0,1,4684.648738591712,5.21,148.02,1.1029700078824163
2007-07-27 09:30:00,4,1282,holding,34684.57998658777,10277.56005852495,1.0,1,4684.648738591712,5.22,148.21,1.136811745971887
2007-07-27 16:00:00,4,1283,holding,50327.59196150604,25920.572033443226,1.0,1,4684.648738591712,5.14,145.11,1.136811745971887
2007-07-30 09:30:00,4,1284,closing,46137.4762628647,21730.45633480188,1.0,1,4684.648738591712,5.15,145.93,1.1380357552579656
2007-10-23 09:30:00,5,1404,opening,46137.4762628647,0.0,-1.0,-2,6855.494244110653,6.73,151.46,1.320381785849003
2007-10-23 16:00:00,5,1405,holding,49401.476722268315,3264.0004594036136,-1.0,-2,6855.494244110653,6.65,151.76,1.320381785849003
2007-10-24 09:30:00,5,1406,holding,44491.50331160557,-1645.9729512591325,-1.0,-2,6855.494244110653,6.64,151.21,1.319177843327817
2007-10-24 16:00:00,5,1407,holding,46935.50813949283,798.031876628127,-1.0,-2,6855.494244110653,6.64,151.48,1.319177843327817
2007-10-25 09:30:00,5,1408,holding,48748.54576385318,2611.069500988483,-1.0,-2,6855.494244110653,6.6,151.65,1.3187757236971631
2007-10-25 16:00:00,5,1409,holding,50948.28561019502,4810.809347330318,-1.0,-2,6855.494244110653,6.53,151.84,1.3187757236971631
2007-10-26 09:30:00,5,1410,closing,61374.57220238304,15237.095939518338,-1.0,-2,6855.494244110653,6.62,153.06,1.3188708872365302
2008-01-23 09:30:00,6,1528,opening,61374.57220238304,0.0,1.0,2,12628.512798844245,4.86,127.09,1.4241663941739393
2008-01-23 16:00:00,6,1529,holding,-58995.44233191327,-120370.01453429631,1.0,2,12628.512798844245,4.97,133.86,1.4241663941739393
