date,trade_id,idx,event,current_pos,change,direction,score,shares,price_stock,price_spy,beta
2008-07-29 09:30:00,0,1788,opening,10000.0,0.0,1.0,2,158.50372483753367,63.09,123.98,0.6565143149900604
2008-07-29 16:00:00,0,1789,holding,9632.274064910898,-367.72593508910114,1.0,2,158.50372483753367,62.28,126.28,0.6565143149900604
2008-07-30 09:30:00,0,1790,holding,9495.183102564766,-504.8168974352335,1.0,2,158.50372483753367,61.96,127.11,0.6474607243678752
2008-07-30 16:00:00,0,1791,holding,9401.309219653704,-598.6907803462956,1.0,2,158.50372483753367,62.3,128.53,0.6474607243678752
2008-07-31 09:30:00,0,1792,holding,9460.250601162465,-539.7493988375354,1.0,2,158.50372483753367,61.93,127.4,0.6471553676929058
2008-07-31 16:00:00,0,1793,holding,9630.517388219738,-369.4826117802614,1.0,2,158.50372483753367,62.63,126.83,0.6471553676929058
2008-08-01 09:30:00,0,1794,closing,9549.618806614551,-450.38119338544794,1.0,2,158.50372483753367,62.31,127.12,0.6463360623235584
2008-10-23 09:30:00,1,1910,opening,9549.618806614551,0.0,1.0,2,179.67297848757389,53.15,90.29,0.5964471847779022
2008-10-23 16:00:00,1,1911,holding,9830.802335905326,281.18352929077435,1.0,2,179.67297848757389,55.55,91.69,0.5964471847779022
2008-10-24 09:30:00,1,1912,holding,10125.626292489236,576.0074858746842,1.0,2,179.67297848757389,52.64,84.06,0.5820545539771244
2008-10-24 16:00:00,1,1913,holding,10620.191867283214,1070.5730606686632,1.0,2,179.67297848757389,57.17,87.04,0.5820545539771244
2008-10-27 09:30:00,1,1914,closing,10539.015343885303,989.396537270752,1.0,2,179.67297848757389,56.08,85.97,0.588988449561938
2009-07-28 09:30:00,2,2290,opening,10539.015343885303,0.0,1.0,2,168.0595653625467,62.71,97.66,0.6032183749324995
2009-07-28 16:00:00,2,2291,holding,10466.961447810898,-72.05389607440605,1.0,2,168.0595653625467,62.42,97.89,0.6032183749324995
2009-07-29 09:30:00,2,2292,holding,10546.192838942841,7.1774950575387795,1.0,2,168.0595653625467,62.62,97.44,0.6031341804525674
2009-07-29 16:00:00,2,2293,holding,10627.420084052925,88.40474016762126,1.0,2,168.0595653625467,63.23,97.65,0.6031341804525674
2009-07-30 09:30:00,2,2294,holding,10581.741883678815,42.72653979351141,1.0,2,168.0595653625467,63.67,98.83,0.6029588348860319
2009-07-30 16:00:00,2,2295,holding,10503.848785941365,-35.166557943938265,1.0,2,168.0595653625467,63.11,98.67,0.6029588348860319
2009-07-31 09:30:00,2,2296,closing,10494.112148724183,-44.90319516111983,1.0,2,168.0595653625467,63.04,98.65,0.6029890917449636
2010-10-26 09:30:00,3,2920,opening,10494.112148724183,0.0,-1.0,-2,183.75262035937985,57.11,118.1,0.5782661885986472
2010-10-26 16:00:00,3,2921,holding,10532.42917067082,38.31702194663808,-1.0,-2,183.75262035937985,57.26,118.72,0.5782661885986472
2010-10-27 09:30:00,3,2922,holding,10537.948927295312,43.83677857112842,-1.0,-2,183.75262035937985,56.75,117.89,0.5780363117881914
2010-10-27 16:00:00,3,2923,holding,10538.564578030599,44.452429306415375,-1.0,-2,183.75262035937985,57.03,118.38,0.5780363117881914
2010-10-28 09:30:00,3,2924,holding,10550.181603957762,56.069455233579326,-1.0,-2,183.75262035937985,57.36,119.06,0.5782565875310568
2010-10-28 16:00:00,3,2925,holding,10496.589107692753,2.476958968569585,-1.0,-2,183.75262035937985,57.27,118.4,0.5782565875310568
2010-10-29 09:30:00,3,2926,closing,10542.638994917326,48.526846193142774,-1.0,-2,183.75262035937985,56.95,118.28,0.5783014061625483
2012-01-27 09:30:00,4,3552,opening,10542.638994917326,0.0,1.0,2,157.28239586628862,67.03,131.24,0.5774535500095956
2012-01-27 16:00:00,4,3553,holding,10696.001432350904,153.3624374335782,1.0,2,157.28239586628862,68.34,131.82,0.5774535500095956
2012-01-30 09:30:00,4,3554,closing,10759.931087777277,217.29209285994986,1.0,2,157.28239586628862,67.99,130.51,0.5771849862145706
2014-10-28 09:30:00,5,4936,opening,10759.931087777277,0.0,1.0,2,70.90564143510561,151.75,196.82,0.7443752335378694
2014-10-28 16:00:00,5,4937,holding,11061.736935774421,301.8058479971436,1.0,2,70.90564143510561,157.19,198.41,0.7443752335378694
2014-10-29 09:30:00,5,4938,holding,11105.399741131358,345.4686533540815,1.0,2,70.90564143510561,157.91,198.55,0.7437075977596411
2014-10-29 16:00:00,5,4939,holding,11197.401590820471,437.4705030431938,1.0,2,70.90564143510561,158.88,198.11,0.7437075977596411
2014-10-30 09:30:00,5,4940,holding,11208.357850679322,448.4267629020447,1.0,2,70.90564143510561,158.64,197.58,0.7442418490106454
