date,trade_id,idx,event,current_pos,change,direction,score,shares,price_stock,price_spy,beta
2006-07-21 09:30:00,0,772,opening,10000.0,0.0,1.0,1,151.9987840097279,65.79,125.15,1.0925242546178755
2006-07-21 16:00:00,0,773,holding,10253.994392087165,253.99439208716416,1.0,1,151.9987840097279,66.15,123.95,1.0925242546178755
2006-07-24 09:30:00,0,774,closing,10183.26375144835,183.2637514483497,1.0,1,151.9987840097279,66.22,124.44,1.0912349137945034
2007-01-26 09:30:00,1,1030,opening,10183.26375144835,0.0,-1.0,-1,142.04580487443647,71.69,142.57,1.1460390611258315
2007-01-26 16:00:00,1,1031,holding,10143.508537623877,-39.75521382447336,-1.0,-1,142.04580487443647,71.5,142.16,1.1460390611258315
2007-01-29 09:30:00,1,1032,closing,10186.74460616563,3.4808547172789757,-1.0,-1,142.04580487443647,71.23,142.19,1.1462367885002247
2007-10-25 09:30:00,2,1408,opening,10186.74460616563,0.0,-1.0,-1,174.99990733835475,58.21,151.65,0.8679642117993682
2007-10-25 16:00:00,2,1409,holding,10373.10431753135,186.35971136571922,-1.0,-1,174.99990733835475,57.31,151.84,0.8679642117993682
2007-10-26 09:30:00,2,1410,closing,10535.664590675598,348.91998450996874,-1.0,-1,174.99990733835475,57.44,153.06,0.8678715827448665
2008-10-23 09:30:00,3,1910,opening,10535.664590675598,0.0,-1.0,-1,198.22510989041578,53.15,90.29,0.5964471847779022
2008-10-23 16:00:00,3,1911,holding,10225.4474591836,-310.2171314919983,-1.0,-1,198.22510989041578,55.55,91.69,0.5964471847779022
2008-10-24 09:30:00,3,1912,closing,9900.18145822946,-635.4831324461401,-1.0,-1,198.22510989041578,52.64,84.06,0.5820545539771244
2009-04-27 09:30:00,4,2162,opening,9900.18145822946,0.0,-1.0,-1,200.36797122504473,49.41,85.68,0.6208606177267907
2009-04-27 16:00:00,4,2163,closing,9765.802213568164,-134.37924466129428,-1.0,-1,200.36797122504473,50.18,85.84,0.6208606177267907
2010-01-26 09:30:00,5,2540,opening,9765.802213568164,0.0,-1.0,-1,173.7687226613552,56.2,109.34,0.5844486812406211
2010-01-26 16:00:00,5,2541,holding,9696.72333193284,-69.0788816353232,-1.0,-1,173.7687226613552,56.58,109.31,0.5844486812406211
2010-01-27 09:30:00,5,2542,closing,9722.47189203291,-43.330321535253574,-1.0,-1,173.7687226613552,56.35,109.17,0.5844049348587071
