date,trade_id,idx,event,current_pos,change,direction,score,shares,price_stock,price_spy,beta
2006-07-21 09:30:00,0,772,opening,10000.0,0.0,1.0,1,10,65.79,125.15,1.0925242546178755
2006-07-21 16:00:00,0,773,holding,10016.710291055415,16.710291055414533,1.0,1,10,66.15,123.95,1.0925242546178755
2006-07-24 09:30:00,0,774,closing,10012.056922207787,12.05692220778693,1.0,1,10,66.22,124.44,1.0912349137945034
2007-01-26 09:30:00,1,1030,opening,10012.056922207787,0.0,-1.0,-1,10,71.69,142.57,1.1460390611258315
2007-01-26 16:00:00,1,1031,holding,10009.258162057171,-2.7987601506158932,-1.0,-1,10,71.5,142.16,1.1460390611258315
2007-01-29 09:30:00,1,1032,closing,10012.301973775508,0.24505156772182957,-1.0,-1,10,71.23,142.19,1.1462367885002247
2007-10-25 09:30:00,2,1408,opening,10012.301973775508,0.0,-1.0,-1,10,58.21,151.65,0.8679642117993682
2007-10-25 16:00:00,2,1409,holding,10022.951105777925,10.649132002418767,-1.0,-1,10,57.31,151.84,0.8679642117993682
2007-10-26 09:30:00,2,1410,holding,10032.240269161879,19.938295386371095,-1.0,-1,10,57.44,153.06,0.8678715827448665
2007-10-26 16:00:00,2,1411,holding,10039.700868747956,27.398894972447554,-1.0,-1,10,57.18,153.62,0.8678715827448665
2007-10-29 09:30:00,2,1412,closing,10046.191557804534,33.88958402902564,-1.0,-1,10,56.8,153.93,0.8639847267031565
2008-10-23 09:30:00,3,1910,opening,10046.191557804534,0.0,-1.0,-1,10,53.15,90.29,0.5964471847779022
2008-10-23 16:00:00,3,1911,holding,10030.541818391424,-15.649739413109407,-1.0,-1,10,55.55,91.69,0.5964471847779022
2008-10-24 09:30:00,3,1912,holding,10014.132898192871,-32.058659611663344,-1.0,-1,10,52.64,84.06,0.5820545539771244
2008-10-24 16:00:00,3,1913,holding,9986.607024299252,-59.58453350528185,-1.0,-1,10,57.17,87.04,0.5820545539771244
2008-10-27 09:30:00,3,1914,closing,9991.125039422128,-55.06651838240542,-1.0,-1,10,56.08,85.97,0.588988449561938
2009-04-27 09:30:00,4,2162,opening,9991.125039422128,0.0,-1.0,-1,10,49.41,85.68,0.6208606177267907
2009-04-27 16:00:00,4,2163,holding,9984.41841641049,-6.706623011637188,-1.0,-1,10,50.18,85.84,0.6208606177267907
2009-04-28 09:30:00,4,2164,closing,9981.516929036268,-9.608110385860295,-1.0,-1,10,49.93,84.97,0.6203359825497271
2010-01-26 09:30:00,5,2540,opening,9981.516929036268,0.0,-1.0,-1,10,56.2,109.34,0.5844486812406211
2010-01-26 16:00:00,5,2541,holding,9977.541594431896,-3.9753346043721476,-1.0,-1,10,56.58,109.31,0.5844486812406211
2010-01-27 09:30:00,5,2542,holding,9979.02336627816,-2.493562758109052,-1.0,-1,10,56.35,109.17,0.5844049348587071
2010-01-27 16:00:00,5,2543,holding,9968.980727574348,-12.536201461920978,-1.0,-1,10,57.74,109.83,0.5844049348587071
2010-01-28 09:30:00,5,2544,holding,9969.784742826814,-11.7321862094547,-1.0,-1,10,57.87,110.19,0.5851242045248112
2010-01-28 16:00:00,5,2545,holding,9958.216674190715,-23.300254845552793,-1.0,-1,10,58.08,108.57,0.5851242045248112
2010-01-29 09:30:00,5,2546,closing,9959.063582992547,-22.45334604372185,-1.0,-1,10,58.27,109.04,0.5846063555207965
2010-04-22 09:30:00,6,2660,opening,9959.063582992547,0.0,-1.0,-1,10,57.81,119.81,0.5794359033231119
2010-04-22 16:00:00,6,2661,holding,9962.574757422757,3.5111744302096746,-1.0,-1,10,58.16,121.02,0.5794359033231119
2010-04-23 09:30:00,6,2662,holding,9962.811208700097,3.7476257075511263,-1.0,-1,10,58.09,120.94,0.5795760598390847
2010-04-23 16:00:00,6,2663,holding,9959.95230105901,0.8887180664622352,-1.0,-1,10,58.88,121.81,0.5795760598390847
