date,trade_id,idx,event,current_pos,change,direction,score,shares,price_stock,price_spy,beta
2007-02-05 09:30:00,0,1042,opening,10000.0,0.0,1.0,2,5376.344086021505,1.86,144.7,1.5555168726756996
2007-02-05 16:00:00,0,1043,holding,8745.550909132453,-1254.4490908675473,1.0,2,5376.344086021505,1.86,144.85,1.5555168726756996
2007-02-06 09:30:00,0,1044,closing,7741.991636438415,-2258.008363561585,1.0,2,5376.344086021505,1.86,144.97,1.551220080180491
2007-07-26 09:30:00,1,1280,opening,7741.991636438415,0.0,1.0,2,1821.645090926686,4.25,150.19,1.4374147149536236
2007-07-26 16:00:00,1,1281,holding,13332.966408184726,5590.9747717463115,1.0,2,1821.645090926686,4.2,148.02,1.4374147149536236
2007-07-27 09:30:00,1,1282,holding,12853.675561861,5111.683925422585,1.0,2,1821.645090926686,4.21,148.21,1.4405175907549084
2007-07-27 16:00:00,1,1283,holding,20952.683434226972,13210.691797788559,1.0,2,1821.645090926686,4.2,145.11,1.4405175907549084
2007-07-30 09:30:00,1,1284,closing,18714.464423201396,10972.472786762983,1.0,2,1821.645090926686,4.15,145.93,1.4426183458584967
2008-07-24 09:30:00,2,1782,opening,18714.464423201396,0.0,1.0,2,4899.074456335445,3.82,128.34,1.571036481512727
2008-07-24 16:00:00,2,1783,holding,41083.801249198455,22369.33682599706,1.0,2,4899.074456335445,3.94,125.51,1.571036481512727
2008-07-25 09:30:00,2,1784,holding,38355.046842762866,19640.582419561473,1.0,2,4899.074456335445,3.98,125.89,1.5497183322961927
2008-07-25 16:00:00,2,1785,holding,41216.71850096826,22502.25407776686,1.0,2,4899.074456335445,3.92,125.48,1.5497183322961927
2008-07-28 09:30:00,2,1786,closing,40642.88454812826,21928.42012492687,1.0,2,4899.074456335445,3.85,125.51,1.5530244530883643
2010-04-26 09:30:00,3,2664,opening,40642.88454812826,0.0,1.0,2,5676.380523481601,7.16,121.85,1.204390465554482
2010-04-26 16:00:00,3,2665,holding,45196.44994349478,4553.5653953665205,1.0,2,5676.380523481601,7.36,121.35,1.204390465554482
2010-04-27 09:30:00,3,2666,closing,49527.94450855446,8885.059960426193,1.0,2,5676.380523481601,7.28,120.65,1.20343005352448
2010-07-26 09:30:00,4,2790,opening,49527.94450855446,0.0,1.0,2,8380.362861007523,5.91,110.6,1.196268910033849
2010-07-26 16:00:00,4,2791,holding,39987.58729355586,-9540.357214998601,1.0,2,8380.362861007523,5.92,111.56,1.196268910033849
2010-07-27 09:30:00,4,2792,closing,33872.23509084624,-15655.70941770822,1.0,2,8380.362861007523,5.92,112.17,1.1954703249194536
2015-07-24 09:30:00,5,5306,opening,33872.23509084624,0.0,1.0,2,1170.0253917390758,28.95,210.3,1.1490235913019067
2015-07-24 16:00:00,5,5307,holding,34062.66170765339,190.426616807149,1.0,2,1170.0253917390758,26.47,208.0,1.1490235913019067
2015-07-27 09:30:00,5,5308,closing,35394.10966049655,1521.874569650308,1.0,2,1170.0253917390758,26.39,206.94,1.1690532351999818
2015-10-23 09:30:00,6,5434,opening,35394.10966049655,0.0,1.0,2,1146.182307658567,30.88,207.25,1.1676552086241077
2015-10-23 16:00:00,6,5435,holding,33980.19022156581,-1413.9194389307393,1.0,2,1146.182307658567,29.95,207.51,1.1676552086241077
2015-10-26 09:30:00,6,5436,closing,34456.09381959751,-938.0158408990402,1.0,2,1146.182307658567,30.12,207.3,1.167700061481246
2016-07-29 09:30:00,7,5818,opening,34456.09381959751,0.0,1.0,2,900.8129103162748,38.25,216.46,1.1941439185329863
2016-07-29 16:00:00,7,5819,holding,33466.87964672995,-989.2141728675623,1.0,2,900.8129103162748,37.94,217.12,1.1941439185329863
2016-08-01 09:30:00,7,5820,closing,33436.62127414446,-1019.4725454530499,1.0,2,900.8129103162748,37.99,217.19,1.1954306891175703
2017-10-27 09:30:00,8,6448,opening,33436.62127414446,0.0,1.0,2,631.9527740341044,52.91,256.47,1.319893687930412
2017-10-27 16:00:00,8,6449,holding,33754.7032184555,318.08194431104044,1.0,2,631.9527740341044,55.05,257.71,1.319893687930412
2017-10-30 09:30:00,8,6450,closing,34098.948091856604,662.3268177121457,1.0,2,631.9527740341044,54.75,257.07,1.320713677003586
2018-02-02 09:30:00,9,6580,opening,34098.948091856604,0.0,1.0,2,461.60752797964807,73.87,280.08,1.3260544761673632
2018-02-02 16:00:00,9,6581,holding,35839.03870447197,1740.090612615361,1.0,2,461.60752797964807,71.5,275.45,1.3260544761673632
2018-02-05 09:30:00,9,6582,closing,36430.86984855977,2331.9217567031687,1.0,2,461.60752797964807,70.13,273.45,1.3321787765513635
2018-07-27 09:30:00,10,6822,opening,36430.86984855977,0.0,1.0,2,388.3888043556479,93.8,283.71,1.3697762240109526
2018-07-27 16:00:00,10,6823,holding,36507.2999309757,76.43008241593098,1.0,2,388.3888043556479,90.86,281.42,1.3697762240109526
2018-07-30 09:30:00,10,6824,closing,36657.49770370804,226.62785514827,1.0,2,388.3888043556479,91.37,281.51,1.3705175169206267
2020-01-31 09:30:00,11,7582,opening,36657.49770370804,0.0,1.0,2,357.3900526831241,102.57,327.0,1.48503086895937
2020-01-31 16:00:00,11,7583,holding,38693.231714293484,2035.7340105854448,1.0,2,357.3900526831241,100.44,321.73,1.48503086895937
2020-02-03 09:30:00,11,7584,closing,37865.605697035564,1208.1079933275278,1.0,2,357.3900526831241,100.53,323.35,1.4847928812757836
2020-05-01 09:30:00,12,7708,opening,37865.605697035564,0.0,1.0,2,324.08084300783605,116.84,285.31,1.2286856700469093
2020-05-01 16:00:00,12,7709,holding,38045.88794490159,180.2822478660218,1.0,2,324.08084300783605,114.3,282.79,1.2286856700469093
2020-05-04 09:30:00,12,7710,closing,38382.544947117916,516.9392500823507,1.0,2,324.08084300783605,112.82,280.74,1.2304405916404322
2020-07-31 09:30:00,13,7834,opening,38382.544947117916,0.0,1.0,2,236.6371451733534,162.2,325.9,1.1915049759472094
2020-07-31 16:00:00,13,7835,holding,37268.283792479546,-1114.2611546383694,1.0,2,236.6371451733534,158.23,326.52,1.1915049759472094
2020-08-03 09:30:00,13,7836,closing,36950.075703875846,-1432.4692432420743,1.0,2,236.6371451733534,159.03,328.32,1.1896592770919856
2020-10-30 09:30:00,14,7962,opening,36950.075703875846,0.0,1.0,2,234.02416684955253,157.89,328.28,1.190057421314271
2020-10-30 16:00:00,14,7963,holding,36011.80259138614,-938.2731124897024,1.0,2,234.02416684955253,151.81,326.54,1.190057421314271
2020-11-02 09:30:00,14,7964,closing,35292.03548566769,-1658.040218208155,1.0,2,234.02416684955253,153.09,330.2,1.188473258929122
2021-02-03 09:30:00,15,8090,opening,35292.03548566769,0.0,1.0,2,206.08487874842447,171.25,382.44,1.1648046721287637
2021-02-03 16:00:00,15,8091,holding,34275.46715857808,-1016.5683270896122,1.0,2,206.08487874842447,165.63,381.85,1.1648046721287637
2021-02-04 09:30:00,15,8092,holding,34188.30702420963,-1103.7284614580642,1.0,2,206.08487874842447,166.5,382.96,1.164018595468583
2021-02-04 16:00:00,15,8093,holding,33423.2541944704,-1868.7812911972974,1.0,2,206.08487874842447,166.55,386.19,1.164018595468583
2021-02-05 09:30:00,15,8094,holding,32817.10552168261,-2474.9299639850765,1.0,2,206.08487874842447,165.95,388.2,1.160832857950147
2021-02-05 16:00:00,15,8095,holding,33276.830248919425,-2015.2052367482695,1.0,2,206.08487874842447,167.61,387.71,1.160832857950147
2021-02-08 09:30:00,15,8096,closing,32968.30154790976,-2323.733937757933,1.0,2,206.08487874842447,167.93,389.27,1.1609151107193285
2021-04-30 09:30:00,16,8210,opening,32968.30154790976,0.0,1.0,2,187.0435807778836,176.26,417.63,1.1478629511587748
