date,trade_id,idx,event,current_pos,change,direction,score,shares,price_stock,price_spy,beta
2006-02-03 09:30:00,0,540,opening,10000.0,0.0,1.0,1,10,1.89,126.58,1.7382885951262574
2006-02-03 16:00:00,0,541,holding,10005.688694644892,5.688694644891438,1.0,1,10,1.92,126.27,1.7382885951262574
2006-02-06 09:30:00,0,542,holding,10002.733604033177,2.733604033176771,1.0,1,10,1.92,126.44,1.7360033459030157
2006-02-06 16:00:00,0,543,holding,9999.752342280975,-0.24765771902518224,1.0,1,10,1.9,126.6,1.7360033459030157
2006-02-07 09:30:00,0,544,holding,10003.576577190253,3.5765771902525643,1.0,1,10,1.9,126.38,1.7404102862368538
2006-02-07 16:00:00,0,545,holding,10019.02117454639,19.021174546388732,1.0,1,10,1.88,125.48,1.7404102862368538
2006-02-08 09:30:00,0,546,closing,10012.168020165884,12.168020165883851,1.0,1,10,1.89,125.88,1.7392931188776612
2006-04-26 09:30:00,1,652,opening,10012.168020165884,0.0,-1.0,-1,10,1.77,130.5,1.6676454168286587
2006-04-26 16:00:00,1,653,holding,10010.300374749055,-1.867645416828564,-1.0,-1,10,1.79,130.4,1.6676454168286587
2006-04-27 09:30:00,1,654,holding,10002.062147664912,-10.105872500971858,-1.0,-1,10,1.78,129.9,1.669967814237932
2006-04-27 16:00:00,1,655,holding,10020.806540875075,8.63852070919191,-1.0,-1,10,1.79,131.03,1.669967814237932
2006-04-28 09:30:00,1,656,holding,10016.804191874688,4.636171708802977,-1.0,-1,10,1.79,130.79,1.6736691568730178
2006-04-28 16:00:00,1,657,holding,10028.444180709123,16.27616054323797,-1.0,-1,10,1.76,131.47,1.6736691568730178
2006-05-01 09:30:00,1,658,closing,10028.444180709123,16.27616054323797,-1.0,-1,10,1.76,131.47,1.6738180447545787
2006-07-26 09:30:00,2,778,opening,10028.444180709123,0.0,1.0,1,10,1.44,126.59,1.6372698231531626
2006-07-26 16:00:00,2,779,holding,10023.214733133555,-5.229447575567505,1.0,1,10,1.31,126.83,1.6372698231531626
2006-07-27 09:30:00,2,780,holding,10015.12838401779,-13.315796691333318,1.0,1,10,1.32,127.33,1.6358327683086529
2006-07-27 16:00:00,2,781,holding,10025.379456921339,-3.0647237877836355,1.0,1,10,1.33,126.71,1.6358327683086529
2006-07-28 09:30:00,2,782,holding,10020.89510141651,-7.549079292612509,1.0,1,10,1.34,126.99,1.634845839262111
2006-07-28 16:00:00,2,783,holding,10004.886130167293,-23.558050541828965,1.0,1,10,1.36,127.98,1.634845839262111
2006-07-31 09:30:00,2,784,closing,10010.025393601383,-18.418787107738726,1.0,1,10,1.35,127.66,1.6110305771852431
2007-02-05 09:30:00,3,1042,opening,10010.025393601383,0.0,1.0,2,10,1.86,144.7,1.5555168726756996
2007-02-05 16:00:00,3,1043,holding,10007.692118292369,-2.3332753090136378,1.0,2,10,1.86,144.85,1.5555168726756996
2007-02-06 09:30:00,3,1044,holding,10005.825498045158,-4.199895556224548,1.0,2,10,1.86,144.97,1.551220080180491
2007-02-06 16:00:00,3,1045,holding,10007.5699115433,-2.4554820580837955,1.0,2,10,1.91,144.89,1.551220080180491
2007-02-07 09:30:00,3,1046,holding,10004.092222736144,-5.933170865238187,1.0,2,10,1.92,145.12,1.5448355177810211
2007-02-07 16:00:00,3,1047,holding,10002.992257550737,-7.0331360506463705,1.0,2,10,1.95,145.21,1.5448355177810211
2007-02-08 09:30:00,3,1048,closing,10009.680980103243,-0.34441349814075567,1.0,2,10,1.95,144.78,1.5446418413232126
2007-04-26 09:30:00,4,1154,opening,10009.680980103243,0.0,1.0,1,10,2.83,149.49,1.507519222513919
2007-04-26 16:00:00,4,1155,holding,10010.368949347221,0.6879692439777818,1.0,1,10,3.14,149.65,1.507519222513919
2007-04-27 09:30:00,4,1156,holding,10018.011056993299,8.33007689005576,1.0,1,10,3.06,149.09,1.5154104732232623
2007-04-27 16:00:00,4,1157,holding,10012.077972414238,2.3969923109945506,1.0,1,10,3.13,149.53,1.5154104732232623
2007-04-30 09:30:00,4,1158,holding,10010.119701269472,0.4387211662294646,1.0,1,10,3.1,149.64,1.515108685953321
2007-04-30 16:00:00,4,1159,holding,10030.171210773411,20.490230670167282,1.0,1,10,3.07,148.29,1.515108685953321
2007-05-01 09:30:00,4,1160,closing,10028.111435784142,18.430455680899257,1.0,1,10,3.06,148.42,1.5176402228125625
2007-07-26 09:30:00,5,1280,opening,10028.111435784142,0.0,1.0,2,10,4.25,150.19,1.4374147149536236
2007-07-26 16:00:00,5,1281,holding,10058.803335098635,30.691899314493455,1.0,2,10,4.2,148.02,1.4374147149536236
2007-07-27 09:30:00,5,1282,holding,10056.172247140223,28.0608113560816,1.0,2,10,4.21,148.21,1.4405175907549084
2007-07-27 16:00:00,5,1283,holding,10100.632103303786,72.52066751964385,1.0,2,10,4.2,145.11,1.4405175907549084
2007-07-30 09:30:00,5,1284,holding,10088.345302641166,60.23386685702424,1.0,2,10,4.15,145.93,1.4426183458584967
2007-07-30 16:00:00,5,1285,holding,10067.402789274338,39.291353490196855,1.0,2,10,4.14,147.38,1.4426183458584967
2007-07-31 09:30:00,5,1286,closing,10054.147349482279,26.035913698137186,1.0,2,10,4.18,148.33,1.4425423975649772
2007-10-25 09:30:00,6,1408,opening,10054.147349482279,0.0,1.0,1,10,4.41,151.65,1.5584414455839126
2007-10-25 16:00:00,6,1409,holding,10051.18631073567,-2.9610387466093986,1.0,1,10,4.41,151.84,1.5584414455839126
2007-10-26 09:30:00,6,1410,holding,10032.573325099545,-21.574024382733114,1.0,1,10,4.45,153.06,1.5612111199285201
2007-10-26 16:00:00,6,1411,holding,10024.346053004276,-29.80129647800306,1.0,1,10,4.5,153.62,1.5612111199285201
2007-10-29 09:30:00,6,1412,holding,10019.714884522966,-34.43246495931323,1.0,1,10,4.52,153.93,1.5573197399376875
2007-10-29 16:00:00,6,1413,holding,10016.498001631797,-37.64934785048088,1.0,1,10,4.51,154.13,1.5573197399376875
2007-10-30 09:30:00,6,1414,closing,10026.795403461769,-27.351946020510162,1.0,1,10,4.48,153.45,1.5687580581968095
2008-02-01 09:30:00,7,1542,opening,10026.795403461769,0.0,1.0,1,10,3.95,137.94,1.51482176405421
2008-02-01 16:00:00,7,1543,holding,9999.75232653128,-27.04307693048927,1.0,1,10,3.73,139.58,1.51482176405421
2008-02-04 09:30:00,7,1544,holding,10005.35716705828,-21.438236403488624,1.0,1,10,3.73,139.21,1.5142159808382287
2008-02-04 16:00:00,7,1545,holding,10026.113189578633,-0.682213883134879,1.0,1,10,3.7,137.82,1.5142159808382287
2008-02-05 09:30:00,7,1546,holding,10053.991838742853,27.196435281084202,1.0,1,10,3.64,135.94,1.5160627876640342
2008-02-05 16:00:00,7,1547,holding,10081.010112672235,54.21470921046543,1.0,1,10,3.6,134.13,1.5160627876640342
2008-02-06 09:30:00,7,1548,closing,10074.39341473399,47.59801127222124,1.0,1,10,3.62,134.58,1.5165944557344744
2008-04-25 09:30:00,8,1658,opening,10074.39341473399,0.0,1.0,1,10,3.89,139.41,1.5716763861790919
2008-04-25 16:00:00,8,1659,holding,10072.907229600249,-1.4861851337402399,1.0,1,10,4.04,139.6,1.5716763861790919
2008-04-28 09:30:00,8,1660,holding,10068.406535718948,-5.986879015041713,1.0,1,10,4.03,139.88,1.5761821747186309
2008-04-28 16:00:00,8,1661,holding,10073.035726684395,-1.3576880495939891,1.0,1,10,4.1,139.63,1.5761821747186309
2008-04-29 09:30:00,8,1662,holding,10076.507750011226,2.114335277235981,1.0,1,10,4.07,139.39,1.5795154081516352
2008-04-29 16:00:00,8,1663,holding,10081.07994680838,6.686532074390752,1.0,1,10,4.04,139.08,1.5795154081516352
2008-04-30 09:30:00,8,1664,closing,10077.879426397405,3.4860116634149785,1.0,1,10,4.05,139.29,1.583011343551149
2008-07-24 09:30:00,9,1782,opening,10077.879426397405,0.0,1.0,2,10,3.82,128.34,1.571036481512727
2008-07-24 16:00:00,9,1783,holding,10123.539758824216,45.66033242681015,1.0,2,10,3.94,125.51,1.571036481512727
2008-07-25 09:30:00,9,1784,holding,10117.969820194467,40.090393797061864,1.0,2,10,3.98,125.89,1.5497183322961927
2008-07-25 16:00:00,9,1785,holding,10123.81106976867,45.931643371263974,1.0,2,10,3.92,125.48,1.5497183322961927
2008-07-28 09:30:00,9,1786,holding,10122.639758824214,44.76033242681015,1.0,2,10,3.85,125.51,1.5530244530883643
2008-07-28 16:00:00,9,1787,holding,10151.518141028504,73.6387146310982,1.0,2,10,3.8,123.64,1.5530244530883643
2008-07-29 09:30:00,9,1788,closing,10146.37661699136,68.49719059395488,1.0,2,10,3.82,123.98,1.5539802999954542
2008-10-24 09:30:00,10,1912,opening,10146.37661699136,0.0,1.0,1,10,2.24,84.06,1.4031234333437301
2008-10-24 16:00:00,10,1913,holding,10106.663538677716,-39.713078313643216,1.0,1,10,2.45,87.04,1.4031234333437301
2008-10-27 09:30:00,10,1914,holding,10121.676959414495,-24.6996575768652,1.0,1,10,2.45,85.97,1.411417776840367
2008-10-27 16:00:00,10,1915,holding,10150.320052768038,3.9434357766780925,1.0,1,10,2.48,83.95,1.411417776840367
2008-10-28 09:30:00,10,1916,holding,10103.754168377685,-42.622448613674365,1.0,1,10,2.58,87.34,1.4145308480654222
2008-10-28 16:00:00,10,1917,holding,10015.873643957018,-130.50297303434184,1.0,1,10,2.8,93.76,1.4145308480654222
2008-10-29 09:30:00,10,1918,closing,10015.533331613684,-130.84328537767612,1.0,1,10,2.78,93.77,1.4032180847901436
2009-02-02 09:30:00,11,2046,opening,10015.533331613684,0.0,1.0,1,10,2.93,81.57,1.3467679700101869
2009-02-02 16:00:00,11,2047,holding,10003.230975116581,-12.302356497102958,1.0,1,10,3.06,82.58,1.3467679700101869
2009-02-03 09:30:00,11,2048,holding,9996.027781672528,-19.505549941155877,1.0,1,10,3.04,83.1,1.347549873738664
2009-02-03 16:00:00,11,2049,holding,9988.808466664463,-26.72486494922108,1.0,1,10,3.18,83.74,1.347549873738664
2009-02-04 09:30:00,11,2050,holding,9981.166566032405,-34.36676558127816,1.0,1,10,3.17,84.3,1.3490850451290908
2009-02-04 16:00:00,11,2051,holding,9993.030215341505,-22.503116272179362,1.0,1,10,3.05,83.33,1.3490850451290908
2009-02-05 09:30:00,11,2052,closing,10001.614853552568,-13.918478061115243,1.0,1,10,3.06,82.7,1.3485816666123345
2009-04-27 09:30:00,12,2162,opening,10001.614853552568,0.0,1.0,1,10,4.19,85.68,1.2670457320429782
2009-04-27 16:00:00,12,2163,holding,9999.287580381299,-2.3272731712687245,1.0,1,10,4.16,85.84,1.2670457320429782
2009-04-28 09:30:00,12,2164,holding,10010.010878250074,8.396024697505242,1.0,1,10,4.13,84.97,1.2671811010572132
2009-04-28 16:00:00,12,2165,holding,10002.308603857815,0.6937503052474461,1.0,1,10,4.12,85.57,1.2671811010572132
2009-04-29 09:30:00,12,2166,holding,9990.571669403407,-11.043184149160881,1.0,1,10,4.15,86.52,1.2660375389971465
2009-04-29 16:00:00,12,2167,holding,9977.948371534634,-23.66648201793485,1.0,1,10,3.99,87.39,1.2660375389971465
2009-04-30 09:30:00,12,2168,closing,9963.850641042935,-37.76421250963336,1.0,1,10,4.05,88.55,1.2610466059811831
2009-07-27 09:30:00,13,2288,opening,9963.850641042935,0.0,1.0,1,10,4.31,97.88,1.2375890152327478
2009-07-27 16:00:00,13,2289,holding,9957.033972671341,-6.816668371593897,1.0,1,10,4.21,98.35,1.2375890152327478
2009-07-28 09:30:00,13,2290,holding,9965.373336876446,1.5226958335120389,1.0,1,10,4.19,97.66,1.2376771105355144
2009-07-28 16:00:00,13,2291,holding,9963.12688214141,-0.7237589015233342,1.0,1,10,4.25,97.89,1.2376771105355144
2009-07-29 09:30:00,13,2292,holding,9968.39603270996,4.545391667024063,1.0,1,10,4.22,97.44,1.2377172885880876
2009-07-29 16:00:00,13,2293,holding,9965.797095777969,1.9464547350351946,1.0,1,10,4.22,97.65,1.2377172885880876
2009-07-30 09:30:00,13,2294,closing,9951.793545398223,-12.057095644711133,1.0,1,10,4.28,98.83,1.2385838930320454
2009-10-23 09:30:00,14,2414,opening,9951.793545398223,0.0,1.0,1,10,5.55,109.69,1.2274723325771393
2009-10-23 16:00:00,14,2415,holding,9975.255849952715,23.462304554491936,1.0,1,10,5.92,108.08,1.2274723325771393
2009-10-26 09:30:00,14,2416,holding,9974.182883153622,22.38933775539931,1.0,1,10,5.96,108.2,1.220734625057443
2009-10-26 16:00:00,14,2417,holding,9992.717276243868,40.92373084564449,1.0,1,10,6.23,106.91,1.220734625057443
2009-10-27 09:30:00,14,2418,holding,9990.444309444774,38.65076404655187,1.0,1,10,6.15,107.03,1.218967532543164
2009-10-27 16:00:00,14,2419,holding,9997.431890673495,45.63834527527241,1.0,1,10,6.1,106.42,1.218967532543164
2009-10-28 09:30:00,14,2420,closing,10000.546065971454,48.75252057323063,1.0,1,10,6.08,106.15,1.220465549704555
2010-02-01 09:30:00,15,2548,opening,10000.546065971454,0.0,1.0,1,10,6.16,108.15,1.213745418317487
2010-02-01 16:00:00,15,2549,holding,9987.300982664765,-13.245083306689088,1.0,1,10,5.94,109.06,1.213745418317487
2010-02-02 09:30:00,15,2550,holding,9984.87349182813,-15.672574143324097,1.0,1,10,5.94,109.26,1.2118491921515986
2010-02-02 16:00:00,15,2551,holding,9970.979543142974,-29.566522828479833,1.0,1,10,5.91,110.38,1.2118491921515986
2010-02-03 09:30:00,15,2552,holding,9976.548270234562,-23.9977957368924,1.0,1,10,5.86,109.88,1.2113200068048733
2010-02-03 16:00:00,15,2553,holding,9978.15514294372,-22.39092302773369,1.0,1,10,5.96,109.83,1.2113200068048733
2010-02-04 09:30:00,15,2554,closing,9988.171978999419,-12.374086972035126,1.0,1,10,5.93,108.98,1.2109353728793648
2010-04-26 09:30:00,16,2664,opening,9988.171978999419,0.0,1.0,2,10,7.16,121.85,1.204390465554482
2010-04-26 16:00:00,16,2665,holding,9996.19393132719,8.02195232777241,1.0,2,10,7.36,121.35,1.204390465554482
2010-04-27 09:30:00,16,2666,holding,10003.824664586073,15.652685586653647,1.0,2,10,7.28,120.65,1.20343005352448
2010-04-27 16:00:00,16,2667,holding,10028.159937688604,39.987958689185916,1.0,2,10,7.1,118.48,1.20343005352448
2010-04-28 09:30:00,16,2668,holding,10021.594912034943,33.42293303552545,1.0,2,10,7.13,119.05,1.2037186374574655
2010-04-28 16:00:00,16,2669,holding,10016.020423498614,27.848444499195686,1.0,2,10,6.97,119.38,1.2037186374574655
2010-04-29 09:30:00,16,2670,closing,10007.648812146623,19.476833147203433,1.0,2,10,7.0,120.1,1.2003823697718645
2010-07-26 09:30:00,17,2790,opening,10007.648812146623,0.0,1.0,2,10,5.91,110.6,1.196268910033849
2010-07-26 16:00:00,17,2791,holding,9996.264630610298,-11.384181536325048,1.0,2,10,5.92,111.56,1.196268910033849
2010-07-27 09:30:00,17,2792,holding,9988.967390259091,-18.68142188753152,1.0,2,10,5.92,112.17,1.1954703249194536
2010-07-27 16:00:00,17,2793,holding,9995.784257501302,-11.864554645321599,1.0,2,10,5.86,111.55,1.1954703249194536
2010-07-28 09:30:00,17,2794,holding,9998.435675994378,-9.213136152243704,1.0,2,10,5.85,111.32,1.1956078845017486
2010-07-28 16:00:00,17,2795,holding,10004.397393653544,-3.2514184930778987,1.0,2,10,5.86,110.83,1.1956078845017486
2010-07-29 09:30:00,17,2796,closing,9996.543138174311,-11.105673972311429,1.0,2,10,5.9,111.52,1.1949244899330136
2010-10-25 09:30:00,18,2918,opening,9996.543138174311,0.0,-1.0,-1,10,8.58,119.14,1.1969804874807088
2010-10-25 16:00:00,18,2919,holding,9992.576424029396,-3.966714144915083,-1.0,-1,10,8.45,118.7,1.1969804874807088
2010-10-26 09:30:00,18,2920,holding,9986.094541104512,-10.448597069799455,-1.0,-1,10,8.38,118.1,1.1973702744405514
2010-10-26 16:00:00,18,2921,holding,9992.315820126893,-4.227318047418996,-1.0,-1,10,8.5,118.72,1.1973702744405514
2010-10-27 09:30:00,18,2922,holding,9982.880882080803,-13.662256093508853,-1.0,-1,10,8.45,117.89,1.1973599083911965
2010-10-27 16:00:00,18,2923,holding,9989.446086469457,-7.097051704853455,-1.0,-1,10,8.38,118.38,1.1973599083911965
2010-10-28 09:30:00,18,2924,closing,9997.185553784326,0.6424156100154548,-1.0,-1,10,8.42,119.06,1.196011167237764
2011-01-31 09:30:00,19,3052,opening,9997.185553784326,0.0,-1.0,-1,10,8.51,128.07,1.1964155851013225
2011-01-31 16:00:00,19,3053,holding,10004.783688853444,7.598135069118223,-1.0,-1,10,8.48,128.68,1.1964155851013225
2011-02-01 09:30:00,19,3054,holding,10013.615730417234,16.430176632908562,-1.0,-1,10,8.53,129.46,1.1959279934641611
2011-02-01 16:00:00,19,3055,holding,10028.12984990653,30.944296122205508,-1.0,-1,10,8.61,130.74,1.1959279934641611
2011-02-02 09:30:00,19,3056,holding,10024.462036917186,27.27648313286096,-1.0,-1,10,8.57,130.4,1.19559744366739
2011-02-02 16:00:00,19,3057,holding,10024.438810943779,27.253257159452197,-1.0,-1,10,8.68,130.49,1.19559744366739
2011-02-03 09:30:00,19,3058,closing,10021.687055098044,24.501501313718936,-1.0,-1,10,8.68,130.26,1.195605325715673
2011-04-28 09:30:00,20,3174,opening,10021.687055098044,0.0,1.0,1,10,9.8,135.43,1.188828224150951
2011-04-28 16:00:00,20,3175,holding,10013.103023173817,-8.584031924226554,1.0,1,10,9.75,136.11,1.188828224150951
2011-04-29 09:30:00,20,3176,holding,10012.208609061741,-9.47844603630182,1.0,1,10,9.72,136.16,1.1886356579038861
2011-04-29 16:00:00,20,3177,holding,10009.698772856535,-11.988282241509525,1.0,1,10,9.79,136.43,1.1886356579038861
2011-05-02 09:30:00,20,3178,holding,10002.490272221969,-19.19678287607544,1.0,1,10,9.83,137.07,1.1890929081443637
2011-05-02 16:00:00,20,3179,holding,10014.895312127252,-6.791742970792419,1.0,1,10,10.06,136.22,1.1890929081443637
2011-05-03 09:30:00,20,3180,closing,10017.886265510044,-3.800789588000053,1.0,1,10,10.05,135.96,1.188068916327845
2011-07-28 09:30:00,21,3300,opening,10017.886265510044,0.0,1.0,1,10,11.16,130.6,1.18076912687359
2011-07-28 16:00:00,21,3301,holding,10022.773188192163,4.88692268211958,1.0,1,10,11.2,130.22,1.18076912687359
2011-07-29 09:30:00,21,3302,holding,10036.841263754208,18.954998244163647,1.0,1,10,11.06,128.91,1.1807321651615974
2011-07-29 16:00:00,21,3303,holding,10032.582033421339,14.695767911294384,1.0,1,10,11.13,129.33,1.1807321651615974
2011-08-01 09:30:00,21,3304,holding,10015.952419605546,-1.9338459044967249,1.0,1,10,11.25,130.84,1.1806217154225953
2011-08-01 16:00:00,21,3305,holding,10038.476263619143,20.58999810909926,1.0,1,10,11.07,128.78,1.1806217154225953
2011-08-02 09:30:00,21,3306,closing,10049.429724149817,31.543458639773064,1.0,1,10,11.02,127.81,1.1801148292654207
2011-10-27 09:30:00,22,3428,opening,10049.429724149817,0.0,-1.0,-1,10,10.21,127.63,1.1573802271404516
2011-10-27 16:00:00,22,3429,holding,10059.70352642122,10.273802271404527,-1.0,-1,10,10.34,128.63,1.1573802271404516
2011-10-28 09:30:00,22,3430,holding,10052.512030990236,3.082306840419731,-1.0,-1,10,10.33,128.0,1.1574715605619053
2011-10-28 16:00:00,22,3431,holding,10054.05631235308,4.626588203262385,-1.0,-1,10,10.87,128.6,1.1574715605619053
2011-10-31 09:30:00,22,3432,holding,10038.190037082257,-11.239687067560094,-1.0,-1,10,10.79,127.16,1.1564672489338972
2011-10-31 16:00:00,22,3433,holding,10020.077525311726,-29.352198838091557,-1.0,-1,10,10.68,125.5,1.1564672489338972
2011-11-01 09:30:00,22,3434,closing,9982.616431429951,-66.81329271986522,-1.0,-1,10,10.41,122.03,1.1552746882743625
2012-02-02 09:30:00,23,3560,opening,9982.616431429951,0.0,-1.0,-1,10,8.98,132.73,1.1484178868386072
2012-02-02 16:00:00,23,3561,holding,9980.942222486532,-1.674208943419102,-1.0,-1,10,9.09,132.68,1.1484178868386072
2012-02-03 09:30:00,23,3562,holding,9995.601338592802,12.984907162850428,-1.0,-1,10,9.14,134.0,1.1485648220712144
2012-02-03 16:00:00,23,3563,holding,9999.40279518173,16.78636375177881,-1.0,-1,10,9.38,134.54,1.1485648220712144
2012-02-06 09:30:00,23,3564,holding,9993.671655015434,11.05522358548259,-1.0,-1,10,9.31,133.98,1.1485740797458543
2012-02-06 16:00:00,23,3565,holding,10000.569219083576,17.952787653624036,-1.0,-1,10,9.16,134.45,1.1485740797458543
2012-02-07 09:30:00,23,3566,closing,9997.653649000427,15.037217570475914,-1.0,-1,10,9.13,134.17,1.148396807465685
2012-07-27 09:30:00,24,3804,opening,9997.653649000427,0.0,-1.0,-1,10,11.26,136.89,1.149578811792318
2012-07-27 16:00:00,24,3805,holding,10012.13110973151,14.477460731082733,-1.0,-1,10,11.87,138.68,1.149578811792318
2012-07-30 09:30:00,24,3806,holding,10010.491783632642,12.83813463221506,-1.0,-1,10,11.85,138.52,1.151530778769395
2012-07-30 16:00:00,24,3807,holding,10012.83110973151,15.177460731082718,-1.0,-1,10,11.8,138.68,1.151530778769395
2012-07-31 09:30:00,24,3808,holding,10011.046909989105,13.39326098867735,-1.0,-1,10,11.76,138.49,1.14890478112229
2012-07-31 16:00:00,24,3809,holding,10002.980195257125,5.326546256697254,-1.0,-1,10,11.67,137.71,1.14890478112229
2012-08-01 09:30:00,24,3810,closing,10013.961025493869,16.30737649344097,-1.0,-1,10,11.71,138.7,1.1494816036967266
2012-10-31 09:30:00,25,3934,opening,10013.961025493869,0.0,-1.0,-1,10,11.82,141.85,1.144349516082947
2012-10-31 16:00:00,25,3935,holding,10010.039277913454,-3.9217475804147384,-1.0,-1,10,11.64,141.35,1.144349516082947
2012-11-01 09:30:00,25,3936,closing,10012.772326461703,-1.1886990321657698,-1.0,-1,10,11.71,141.65,1.1446252629415743
2013-01-31 09:30:00,26,4058,opening,10012.772326461703,0.0,-1.0,-1,10,13.55,149.89,1.1618922858748184
2013-01-31 16:00:00,26,4059,holding,10013.264731118541,0.4924046568378848,-1.0,-1,10,13.28,149.7,1.1618922858748184
2013-02-01 09:30:00,26,4060,holding,10022.602707834352,9.830381372648858,-1.0,-1,10,13.45,150.65,1.159372964741134
2013-02-01 16:00:00,26,4061,holding,10031.457872321014,18.68554585931032,-1.0,-1,10,13.25,151.24,1.159372964741134
