date,trade_id,idx,event,current_pos,change,direction,score,shares,price_stock,price_spy,beta
2006-02-03 09:30:00,0,540,opening,10000.0,0.0,1.0,1,5291.005291005291,1.89,126.58,1.7382885951262574
2006-02-03 16:00:00,0,541,holding,13009.891346503406,3009.891346503406,1.0,1,5291.005291005291,1.92,126.27,1.7382885951262574
2006-02-06 09:30:00,0,542,closing,11446.35134030517,1446.3513403051697,1.0,1,5291.005291005291,1.92,126.44,1.7360033459030157
2006-10-25 09:30:00,1,906,opening,11446.35134030517,0.0,-1.0,-1,6121.043497489395,1.87,137.74,1.5888068259940633
2006-10-25 16:00:00,1,907,holding,17317.485876850944,5871.134536545776,-1.0,-1,6121.043497489395,1.88,138.35,1.5888068259940633
2006-10-26 09:30:00,1,908,holding,20454.70501101625,9008.35367071108,-1.0,-1,6121.043497489395,1.86,138.66,1.5816410826277125
2006-10-26 16:00:00,1,909,holding,21254.46108408906,9808.109743783889,-1.0,-1,6121.043497489395,1.92,138.78,1.5816410826277125
2006-10-27 09:30:00,1,910,holding,19662.395051591062,8216.04371128589,-1.0,-1,6121.043497489395,1.91,138.61,1.582495855163127
2006-10-27 16:00:00,1,911,holding,12854.786067878487,1408.4347275733173,-1.0,-1,6121.043497489395,1.91,137.91,1.582495855163127
2006-10-30 09:30:00,1,912,closing,10484.70758009895,-961.6437602062203,-1.0,-1,6121.043497489395,1.9,137.66,1.5823681500622808
2007-04-26 09:30:00,2,1154,opening,10484.70758009895,0.0,1.0,1,3704.8436678794874,2.83,149.49,1.507519222513919
2007-04-26 16:00:00,2,1155,holding,10739.589429823642,254.8818497246923,1.0,1,3704.8436678794874,3.14,149.65,1.507519222513919
2007-04-27 09:30:00,2,1156,holding,13570.870842006183,3086.163261907234,1.0,1,3704.8436678794874,3.06,149.09,1.5154104732232623
2007-04-27 16:00:00,2,1157,holding,11372.755758633348,888.0481785343981,1.0,1,3704.8436678794874,3.13,149.53,1.5154104732232623
2007-04-30 09:30:00,2,1158,closing,10647.246913565943,162.53933346699358,1.0,1,3704.8436678794874,3.1,149.64,1.515108685953321
2007-07-26 09:30:00,3,1280,opening,10647.246913565943,0.0,1.0,1,2505.234567897869,4.25,150.19,1.4374147149536236
2007-07-26 16:00:00,3,1281,holding,18336.287625276935,7689.040711710991,1.0,1,2505.234567897869,4.2,148.02,1.4374147149536236
2007-07-27 09:30:00,3,1282,holding,17677.138374817616,7029.891461251671,1.0,1,2505.234567897869,4.21,148.21,1.4405175907549084
2007-07-27 16:00:00,3,1283,holding,28815.375229289944,18168.128315724,1.0,1,2505.234567897869,4.2,145.11,1.4405175907549084
2007-07-30 09:30:00,3,1284,closing,25737.243454403433,15089.99654083749,1.0,1,2505.234567897869,4.15,145.93,1.4426183458584967
2007-10-25 09:30:00,4,1408,opening,25737.243454403433,0.0,1.0,1,5836.109626848851,4.41,151.65,1.5584414455839126
2007-10-25 16:00:00,4,1409,holding,24009.14878094748,-1728.0946734559566,1.0,1,5836.109626848851,4.41,151.84,1.5584414455839126
2007-10-26 09:30:00,4,1410,holding,13146.406315409378,-12590.837138994055,1.0,1,5836.109626848851,4.45,153.06,1.5612111199285201
2007-10-26 16:00:00,4,1411,holding,8344.880127618391,-17392.363326785042,1.0,1,5836.109626848851,4.5,153.62,1.5612111199285201
