date,trade_id,idx,event,current_pos,change,direction,score,shares,price_stock,price_spy,beta
2006-07-26 09:30:00,0,778,opening,10000.0,0.0,-1.0,-1,6944.444444444444,1.44,126.59,1.6372698231531626
2006-07-26 16:00:00,0,779,holding,13631.560816366324,3631.560816366323,-1.0,-1,6944.444444444444,1.31,126.83,1.6372698231531626
2006-07-27 09:30:00,0,780,closing,19247.081035648138,9247.081035648138,-1.0,-1,6944.444444444444,1.32,127.33,1.6358327683086529
2007-04-26 09:30:00,1,1154,opening,19247.081035648138,0.0,1.0,2,6801.08870517602,2.83,149.49,1.507519222513919
2007-04-26 16:00:00,1,1155,holding,19714.975021120717,467.89398547257775,1.0,2,6801.08870517602,3.14,149.65,1.507519222513919
2007-04-27 09:30:00,1,1156,closing,24912.44022066874,5665.359185020602,1.0,2,6801.08870517602,3.06,149.09,1.5154104732232623
2007-07-26 09:30:00,2,1280,opening,24912.44022066874,0.0,1.0,1,5861.750640157351,4.25,150.19,1.4374147149536236
2007-07-26 16:00:00,2,1281,holding,42903.26626610644,17990.826045437698,1.0,1,5861.750640157351,4.2,148.02,1.4374147149536236
2007-07-27 09:30:00,2,1282,closing,41360.98811365334,16448.5478929846,1.0,1,5861.750640157351,4.21,148.21,1.4405175907549084
2007-10-25 09:30:00,3,1408,opening,41360.98811365334,0.0,-1.0,-1,9378.908869309147,4.41,151.65,1.5584414455839126
2007-10-25 16:00:00,3,1409,holding,44138.11936994763,2777.1312562942926,-1.0,-1,9378.908869309147,4.41,151.84,1.5584414455839126
2007-10-26 09:30:00,3,1410,closing,61595.06897664408,20234.080862990737,-1.0,-1,9378.908869309147,4.45,153.06,1.5612111199285201
2008-02-01 09:30:00,4,1542,opening,61595.06897664408,0.0,1.0,1,15593.688348517488,3.95,137.94,1.51482176405421
2008-02-01 16:00:00,4,1543,holding,19424.937612740818,-42170.13136390326,1.0,1,15593.688348517488,3.73,139.58,1.51482176405421
2008-02-04 09:30:00,4,1544,closing,28164.951254859683,-33430.117721784394,1.0,1,15593.688348517488,3.73,139.21,1.5142159808382287
2008-04-25 09:30:00,5,1658,opening,28164.951254859683,0.0,-1.0,-1,7240.347366287836,3.89,139.41,1.5716763861790919
2008-04-25 16:00:00,5,1659,holding,29241.00091674891,1076.049661889228,-1.0,-1,7240.347366287836,4.04,139.6,1.5716763861790919
2008-04-28 09:30:00,5,1660,closing,32499.6596257438,4334.708370884118,-1.0,-1,7240.347366287836,4.03,139.88,1.5761821747186309
2008-07-24 09:30:00,6,1782,opening,32499.6596257438,0.0,-1.0,-1,8507.764299932933,3.82,128.34,1.571036481512727
2008-07-24 16:00:00,6,1783,holding,-6347.074988644745,-38846.734614388544,-1.0,-1,8507.764299932933,3.94,125.51,1.571036481512727
