date,trade_id,idx,event,current_pos,change,direction,score,shares,price_stock,price_spy,beta
2006-02-03 09:30:00,0,540,opening,10000.0,0.0,1.0,1,10,1.89,126.58,1.7382885951262574
2006-02-03 16:00:00,0,541,holding,10005.688694644892,5.688694644891438,1.0,1,10,1.92,126.27,1.7382885951262574
2006-02-06 09:30:00,0,542,closing,10002.733604033177,2.733604033176771,1.0,1,10,1.92,126.44,1.7360033459030157
2006-04-26 09:30:00,1,652,opening,10002.733604033177,0.0,-1.0,-1,10,1.77,130.5,1.6676454168286587
2006-04-26 16:00:00,1,653,holding,10000.865958616349,-1.867645416828564,-1.0,-1,10,1.79,130.4,1.6676454168286587
2006-04-27 09:30:00,1,654,closing,9992.627731532206,-10.105872500971858,-1.0,-1,10,1.78,129.9,1.669967814237932
2006-07-26 09:30:00,2,778,opening,9992.627731532206,0.0,-1.0,-1,10,1.44,126.59,1.6372698231531626
2006-07-26 16:00:00,2,779,holding,9997.857179107774,5.229447575567505,-1.0,-1,10,1.31,126.83,1.6372698231531626
2006-07-27 09:30:00,2,780,closing,10005.943528223539,13.315796691333318,-1.0,-1,10,1.32,127.33,1.6358327683086529
2006-10-25 09:30:00,3,906,opening,10005.943528223539,0.0,1.0,1,10,1.87,137.74,1.5888068259940633
2006-10-25 16:00:00,3,907,holding,9996.351806584975,-9.591721638563554,1.0,1,10,1.88,138.35,1.5888068259940633
2006-10-26 09:30:00,3,908,closing,9991.226505424394,-14.717022799145184,1.0,1,10,1.86,138.66,1.5816410826277125
2007-02-05 09:30:00,4,1042,opening,9991.226505424394,0.0,1.0,1,10,1.86,144.7,1.5555168726756996
2007-02-05 16:00:00,4,1043,closing,9988.89323011538,-2.3332753090136378,1.0,1,10,1.86,144.85,1.5555168726756996
2007-04-26 09:30:00,5,1154,opening,9988.89323011538,0.0,1.0,1,10,2.83,149.49,1.507519222513919
2007-04-26 16:00:00,5,1155,holding,9989.581199359358,0.6879692439777818,1.0,1,10,3.14,149.65,1.507519222513919
2007-04-27 09:30:00,5,1156,closing,9997.223307005435,8.33007689005576,1.0,1,10,3.06,149.09,1.5154104732232623
2007-07-26 09:30:00,6,1280,opening,9997.223307005435,0.0,1.0,1,10,4.25,150.19,1.4374147149536236
2007-07-26 16:00:00,6,1281,holding,10027.915206319929,30.691899314493455,1.0,1,10,4.2,148.02,1.4374147149536236
2007-07-27 09:30:00,6,1282,closing,10025.284118361516,28.0608113560816,1.0,1,10,4.21,148.21,1.4405175907549084
2007-10-25 09:30:00,7,1408,opening,10025.284118361516,0.0,1.0,1,10,4.41,151.65,1.5584414455839126
2007-10-25 16:00:00,7,1409,holding,10022.323079614907,-2.9610387466093986,1.0,1,10,4.41,151.84,1.5584414455839126
2007-10-26 09:30:00,7,1410,closing,10003.710093978783,-21.574024382733114,1.0,1,10,4.45,153.06,1.5612111199285201
2008-02-01 09:30:00,8,1542,opening,10003.710093978783,0.0,1.0,1,10,3.95,137.94,1.51482176405421
2008-02-01 16:00:00,8,1543,holding,9976.667017048294,-27.04307693048927,1.0,1,10,3.73,139.58,1.51482176405421
2008-02-04 09:30:00,8,1544,closing,9982.271857575295,-21.438236403488624,1.0,1,10,3.73,139.21,1.5142159808382287
2008-04-25 09:30:00,9,1658,opening,9982.271857575295,0.0,1.0,1,10,3.89,139.41,1.5716763861790919
2008-04-25 16:00:00,9,1659,holding,9980.785672441554,-1.4861851337402399,1.0,1,10,4.04,139.6,1.5716763861790919
2008-04-28 09:30:00,9,1660,closing,9976.284978560254,-5.986879015041713,1.0,1,10,4.03,139.88,1.5761821747186309
2008-07-24 09:30:00,10,1782,opening,9976.284978560254,0.0,1.0,1,10,3.82,128.34,1.571036481512727
2008-07-24 16:00:00,10,1783,holding,10021.945310987065,45.66033242681015,1.0,1,10,3.94,125.51,1.571036481512727
2008-07-25 09:30:00,10,1784,closing,10016.375372357315,40.090393797061864,1.0,1,10,3.98,125.89,1.5497183322961927
2008-10-24 09:30:00,11,1912,opening,10016.375372357315,0.0,1.0,1,10,2.24,84.06,1.4031234333437301
2008-10-24 16:00:00,11,1913,holding,9976.662294043672,-39.713078313643216,1.0,1,10,2.45,87.04,1.4031234333437301
2008-10-27 09:30:00,11,1914,closing,9991.675714780451,-24.6996575768652,1.0,1,10,2.45,85.97,1.411417776840367
2009-04-27 09:30:00,12,2162,opening,9991.675714780451,0.0,-1.0,-1,10,4.19,85.68,1.2670457320429782
2009-04-27 16:00:00,12,2163,closing,9994.00298795172,2.3272731712687245,-1.0,-1,10,4.16,85.84,1.2670457320429782
2009-07-27 09:30:00,13,2288,opening,9994.00298795172,0.0,1.0,1,10,4.31,97.88,1.2375890152327478
2009-07-27 16:00:00,13,2289,closing,9987.186319580127,-6.816668371593897,1.0,1,10,4.21,98.35,1.2375890152327478
2009-10-23 09:30:00,14,2414,opening,9987.186319580127,0.0,1.0,1,10,5.55,109.69,1.2274723325771393
2009-10-23 16:00:00,14,2415,holding,10010.64862413462,23.462304554491936,1.0,1,10,5.92,108.08,1.2274723325771393
2009-10-26 09:30:00,14,2416,closing,10009.575657335527,22.38933775539931,1.0,1,10,5.96,108.2,1.220734625057443
2010-02-01 09:30:00,15,2548,opening,10009.575657335527,0.0,1.0,2,10,6.16,108.15,1.213745418317487
2010-02-01 16:00:00,15,2549,closing,9996.330574028838,-13.245083306689088,1.0,2,10,5.94,109.06,1.213745418317487
2010-04-26 09:30:00,16,2664,opening,9996.330574028838,0.0,1.0,1,10,7.16,121.85,1.204390465554482
2010-04-26 16:00:00,16,2665,closing,10004.35252635661,8.02195232777241,1.0,1,10,7.36,121.35,1.204390465554482
2010-07-26 09:30:00,17,2790,opening,10004.35252635661,0.0,1.0,1,10,5.91,110.6,1.196268910033849
2010-07-26 16:00:00,17,2791,closing,9992.968344820285,-11.384181536325048,1.0,1,10,5.92,111.56,1.196268910033849
2010-10-25 09:30:00,18,2918,opening,9992.968344820285,0.0,1.0,1,10,8.58,119.14,1.1969804874807088
2010-10-25 16:00:00,18,2919,closing,9996.9350589652,3.966714144915083,1.0,1,10,8.45,118.7,1.1969804874807088
2011-01-31 09:30:00,19,3052,opening,9996.9350589652,0.0,1.0,1,10,8.51,128.07,1.1964155851013225
2011-01-31 16:00:00,19,3053,closing,9989.336923896082,-7.598135069118223,1.0,1,10,8.48,128.68,1.1964155851013225
2011-07-28 09:30:00,20,3300,opening,9989.336923896082,0.0,-1.0,-1,10,11.16,130.6,1.18076912687359
2011-07-28 16:00:00,20,3301,holding,9984.450001213963,-4.88692268211958,-1.0,-1,10,11.2,130.22,1.18076912687359
2011-07-29 09:30:00,20,3302,closing,9970.381925651918,-18.954998244163647,-1.0,-1,10,11.06,128.91,1.1807321651615974
2011-10-27 09:30:00,21,3428,opening,9970.381925651918,0.0,-1.0,-1,10,10.21,127.63,1.1573802271404516
2011-10-27 16:00:00,21,3429,holding,9980.655727923322,10.273802271404527,-1.0,-1,10,10.34,128.63,1.1573802271404516
2011-10-28 09:30:00,21,3430,closing,9973.464232492337,3.082306840419731,-1.0,-1,10,10.33,128.0,1.1574715605619053
2012-02-02 09:30:00,22,3560,opening,9973.464232492337,0.0,1.0,1,10,8.98,132.73,1.1484178868386072
2012-02-02 16:00:00,22,3561,holding,9975.138441435756,1.674208943419102,1.0,1,10,9.09,132.68,1.1484178868386072
2012-02-03 09:30:00,22,3562,closing,9960.479325329487,-12.984907162850428,1.0,1,10,9.14,134.0,1.1485648220712144
2012-04-30 09:30:00,23,3680,opening,9960.479325329487,0.0,1.0,1,10,11.2,140.11,1.152785657239292
2012-04-30 16:00:00,23,3681,closing,9967.246010906862,6.7666855773744095,1.0,1,10,11.6,139.87,1.152785657239292
2012-07-27 09:30:00,24,3804,opening,9967.246010906862,0.0,-1.0,-1,10,11.26,136.89,1.149578811792318
2012-07-27 16:00:00,24,3805,holding,9981.723471637944,14.477460731082733,-1.0,-1,10,11.87,138.68,1.149578811792318
2012-07-30 09:30:00,24,3806,closing,9980.084145539076,12.83813463221506,-1.0,-1,10,11.85,138.52,1.151530778769395
2012-10-31 09:30:00,25,3934,opening,9980.084145539076,0.0,-1.0,-1,10,11.82,141.85,1.144349516082947
2012-10-31 16:00:00,25,3935,closing,9976.162397958662,-3.9217475804147384,-1.0,-1,10,11.64,141.35,1.144349516082947
2013-04-26 09:30:00,26,4176,opening,9976.162397958662,0.0,-1.0,-1,10,13.5,158.33,1.1320408485720654
2013-04-26 16:00:00,26,4177,holding,9982.743561194948,6.5811632362851,-1.0,-1,10,12.74,158.24,1.1320408485720654
2013-04-29 09:30:00,26,4178,closing,9987.511336843807,11.34893888514474,-1.0,-1,10,12.75,158.67,1.1320392002470006
2013-07-26 09:30:00,27,4302,opening,9987.511336843807,0.0,-1.0,-1,10,14.98,168.22,1.1150734965328746
2013-07-26 16:00:00,27,4303,holding,9991.23549096295,3.7241541191427565,-1.0,-1,10,15.6,169.11,1.1150734965328746
2013-07-29 09:30:00,27,4304,closing,9986.940674927859,-0.5706619159486914,-1.0,-1,10,15.55,168.68,1.1193422169190885
2013-08-01 09:30:00,28,4310,opening,9986.940674927859,0.0,1.0,1,10,15.15,169.99,1.119194481538954
2013-08-01 16:00:00,28,4311,holding,9980.742071901548,-6.198603026310863,1.0,1,10,15.28,170.66,1.119194481538954
2013-08-02 09:30:00,28,4312,closing,9984.495010931396,-2.445663996462877,1.0,1,10,15.23,170.28,1.1193590692658928
2014-04-25 09:30:00,29,4678,opening,9984.495010931396,0.0,-1.0,-1,10,15.81,187.21,1.0828397885387882
2014-04-25 16:00:00,29,4679,holding,9980.73288487684,-3.7621260545570134,-1.0,-1,10,15.19,186.29,1.0828397885387882
2014-04-28 09:30:00,29,4680,closing,9988.862467269733,4.3674563383379885,-1.0,-1,10,15.2,187.05,1.0844053944552616
2014-07-25 09:30:00,30,4804,opening,9988.862467269733,0.0,-1.0,-1,10,15.87,198.09,1.1090398706033873
2014-07-25 16:00:00,30,4805,holding,9981.459019748501,-7.403447521232584,-1.0,-1,10,16.2,197.72,1.1090398706033873
2014-07-28 09:30:00,30,4806,closing,9981.802635696742,-7.0598315729913335,-1.0,-1,10,16.21,197.76,1.1143051829035848
2014-10-24 09:30:00,31,4932,opening,9981.802635696742,0.0,1.0,1,10,14.22,195.25,1.1217186447670116
2014-10-24 16:00:00,31,4933,holding,9969.866355688491,-11.936280008250824,1.0,1,10,14.35,196.43,1.1217186447670116
2014-10-27 09:30:00,31,4934,closing,9977.11838620186,-4.684249494881556,1.0,1,10,14.29,195.73,1.102784333058012
2015-01-30 09:30:00,32,5064,opening,9977.11838620186,0.0,1.0,1,10,17.32,200.57,1.1190031828287066
2015-01-30 16:00:00,32,5065,holding,9993.751221849543,16.632835647681567,1.0,1,10,17.73,199.45,1.1190031828287066
2015-02-02 09:30:00,32,5066,closing,9984.737202752569,7.6188165507090675,1.0,1,10,17.5,200.05,1.1236698760957868
2015-04-24 09:30:00,33,5180,opening,9984.737202752569,0.0,-1.0,-1,10,21.95,211.66,1.146292517238193
2015-04-24 16:00:00,33,5181,holding,9981.622573500845,-3.114629251723722,-1.0,-1,10,22.25,211.65,1.146292517238193
2015-04-27 09:30:00,33,5182,closing,9990.017362618066,5.2801598654960555,-1.0,-1,10,22.19,212.33,1.148124751012171
2015-07-24 09:30:00,34,5306,opening,9990.017362618066,0.0,1.0,1,10,28.95,210.3,1.1490235913019067
2015-07-24 16:00:00,34,5307,holding,9991.64490521801,1.6275425999439808,1.0,1,10,26.47,208.0,1.1490235913019067
2015-07-27 09:30:00,34,5308,closing,10003.02455528581,13.007192667744235,1.0,1,10,26.39,206.94,1.1690532351999818
2015-10-23 09:30:00,35,5434,opening,10003.02455528581,0.0,1.0,1,10,30.88,207.25,1.1676552086241077
2015-10-23 16:00:00,35,5435,holding,9990.688651743389,-12.335903542422571,1.0,1,10,29.95,207.51,1.1676552086241077
2015-10-26 09:30:00,35,5436,closing,9994.840727681498,-8.183827604312167,1.0,1,10,30.12,207.3,1.167700061481246
2016-01-29 09:30:00,36,5566,opening,9994.840727681498,0.0,1.0,1,10,28.6,190.02,1.1677877138313348
2016-01-29 16:00:00,36,5567,holding,9959.132582269738,-35.70814541175926,1.0,1,10,29.35,193.72,1.1677877138313348
2016-02-01 09:30:00,36,5568,closing,9968.62925606433,-26.21147161716641,1.0,1,10,28.91,192.53,1.1672465909429892
2016-04-29 09:30:00,37,5692,opening,9968.62925606433,0.0,1.0,1,10,33.3,206.72,1.1849295491256902
2016-04-29 16:00:00,37,5693,holding,9970.05048130592,1.4212252415900273,1.0,1,10,32.98,206.33,1.1849295491256902
2016-05-02 09:30:00,37,5694,closing,9965.25939696608,-3.369859098251189,1.0,1,10,33.2,206.92,1.1835611112828563
2016-07-29 09:30:00,38,5818,opening,9965.25939696608,0.0,1.0,2,10,38.25,216.46,1.1941439185329863
2016-07-29 16:00:00,38,5819,holding,9954.278047103762,-10.98134986231769,1.0,2,10,37.94,217.12,1.1941439185329863
2016-08-01 09:30:00,38,5820,closing,9953.942146360789,-11.317250605290656,1.0,2,10,37.99,217.19,1.1954306891175703
2016-10-28 09:30:00,39,5946,opening,9953.942146360789,0.0,1.0,1,10,39.1,213.14,1.2531863770860272
2016-10-28 16:00:00,39,5947,holding,9958.661264623304,4.719118262516081,1.0,1,10,38.82,212.54,1.2531863770860272
2016-10-31 09:30:00,39,5948,closing,9956.073837752669,2.1316913918803584,1.0,1,10,39.05,212.93,1.2622395290548114
2017-02-03 09:30:00,40,6078,opening,9956.073837752669,0.0,1.0,1,10,40.34,228.82,1.2979384569184493
2017-02-03 16:00:00,40,6079,holding,9951.024557776693,-5.049279975976123,1.0,1,10,40.51,229.34,1.2979384569184493
2017-02-06 09:30:00,40,6080,closing,9956.92486852421,0.8510307715406136,1.0,1,10,40.49,228.87,1.2969470372618455
2017-07-28 09:30:00,41,6320,opening,9956.92486852421,0.0,1.0,1,10,50.61,246.65,1.322565240705173
2017-07-28 16:00:00,41,6321,holding,9957.386198898375,0.4613303741666763,1.0,1,10,51.0,246.91,1.322565240705173
2017-07-31 09:30:00,41,6322,closing,9950.802398791133,-6.122469733077196,1.0,1,10,50.95,247.37,1.3268306910229586
2017-10-27 09:30:00,42,6448,opening,9950.802398791133,0.0,1.0,1,10,52.91,256.47,1.319893687930412
2017-10-27 16:00:00,42,6449,holding,9955.835717060796,5.033318269663527,1.0,1,10,55.05,257.71,1.319893687930412
2017-10-30 09:30:00,42,6450,closing,9961.283036663552,10.480637872418013,1.0,1,10,54.75,257.07,1.320713677003586
2018-02-02 09:30:00,43,6580,opening,9961.283036663552,0.0,1.0,1,10,73.87,280.08,1.3260544761673632
2018-02-02 16:00:00,43,6581,holding,9998.979358910101,37.69632224654881,1.0,1,10,71.5,275.45,1.3260544761673632
2018-02-05 09:30:00,43,6582,closing,10011.800448433447,50.51741176989603,1.0,1,10,70.13,273.45,1.3321787765513635
2018-04-27 09:30:00,44,6696,opening,10011.800448433447,0.0,1.0,1,10,81.7,267.0,1.3469809904385965
2018-04-27 16:00:00,44,6697,holding,9987.027164791376,-24.773283642070282,1.0,1,10,78.63,266.56,1.3469809904385965
2018-04-30 09:30:00,44,6698,closing,9982.598297858307,-29.2021505751403,1.0,1,10,79.13,267.26,1.348041898144913
2018-07-27 09:30:00,45,6822,opening,9982.598297858307,0.0,1.0,1,10,93.8,283.71,1.3697762240109526
2018-07-27 16:00:00,45,6823,holding,9984.566173388157,1.967875529850338,1.0,1,10,90.86,281.42,1.3697762240109526
2018-07-30 09:30:00,45,6824,closing,9988.433374786548,5.835076928240874,1.0,1,10,91.37,281.51,1.3705175169206267
2018-10-26 09:30:00,46,6950,opening,9988.433374786548,0.0,1.0,1,10,82.48,265.92,1.3958307303264625
2018-10-26 16:00:00,46,6951,holding,9993.268776095474,4.835401308926539,1.0,1,10,82.14,265.33,1.3958307303264625
2018-10-29 09:30:00,46,6952,closing,9953.433449753145,-34.9999250334021,1.0,1,10,83.0,268.8,1.3945352852141728
2019-02-01 09:30:00,47,7080,opening,9953.433449753145,0.0,1.0,1,10,81.94,270.15,1.496673560965924
2019-02-01 16:00:00,47,7081,holding,9948.480455958015,-4.952993795130997,1.0,1,10,81.31,270.06,1.496673560965924
2019-02-04 09:30:00,47,7082,closing,9946.132119177531,-7.301330575614095,1.0,1,10,81.15,270.11,1.4918059836774957
2019-07-26 09:30:00,48,7322,opening,9946.132119177531,0.0,-1.0,-1,10,97.1,300.76,1.479122407747466
2019-07-26 16:00:00,48,7323,holding,9964.121149274375,17.989030096843212,-1.0,-1,10,97.15,302.01,1.479122407747466
2019-07-29 09:30:00,48,7324,closing,9968.698290144303,22.56617096677163,-1.0,-1,10,96.5,301.88,1.4734478803576379
2019-10-25 09:30:00,49,7450,opening,9968.698290144303,0.0,1.0,1,10,84.88,299.74,1.4650314590941154
2019-10-25 16:00:00,49,7451,holding,9973.348705005152,4.650414860849232,1.0,1,10,88.07,301.6,1.4650314590941154
2019-10-28 09:30:00,49,7452,closing,9947.017283453291,-21.681006691011426,1.0,1,10,87.4,302.94,1.4696361619100027
2020-01-31 09:30:00,50,7582,opening,9947.017283453291,0.0,1.0,1,10,102.57,327.0,1.48503086895937
2020-01-31 16:00:00,50,7583,holding,10003.97841024745,56.96112679415858,1.0,1,10,100.44,321.73,1.48503086895937
2020-02-03 09:30:00,50,7584,closing,9980.820910170309,33.80362671701675,1.0,1,10,100.53,323.35,1.4847928812757836
2020-05-01 09:30:00,51,7708,opening,9980.820910170309,0.0,1.0,1,10,116.84,285.31,1.2286856700469093
2020-05-01 16:00:00,51,7709,holding,9986.383789055491,5.562878885181828,1.0,1,10,114.3,282.79,1.2286856700469093
2020-05-04 09:30:00,51,7710,closing,9996.771845291452,15.950935121143566,1.0,1,10,112.82,280.74,1.2304405916404322
2020-07-31 09:30:00,52,7834,opening,9996.771845291452,0.0,1.0,1,10,162.2,325.9,1.1915049759472094
2020-07-31 16:00:00,52,7835,holding,9949.68451444058,-47.08733085087274,1.0,1,10,158.23,326.52,1.1915049759472094
2020-08-03 09:30:00,52,7836,closing,9936.23742487353,-60.53442041792253,1.0,1,10,159.03,328.32,1.1896592770919856
2020-10-30 09:30:00,53,7962,opening,9936.23742487353,0.0,1.0,1,10,157.89,328.28,1.190057421314271
2020-10-30 16:00:00,53,7963,holding,9896.144424004398,-40.0930008691321,1.0,1,10,151.81,326.54,1.190057421314271
2020-11-02 09:30:00,53,7964,closing,9865.388322384297,-70.84910248923401,1.0,1,10,153.09,330.2,1.188473258929122
2021-02-03 09:30:00,54,8090,opening,9865.388322384297,0.0,1.0,1,10,171.25,382.44,1.1648046721287637
2021-02-03 16:00:00,54,8091,holding,9816.060669949857,-49.32765243444063,1.0,1,10,165.63,381.85,1.1648046721287637
2021-02-04 09:30:00,54,8092,closing,9811.831338089227,-53.55698429506936,1.0,1,10,166.5,382.96,1.164018595468583
2021-04-30 09:30:00,55,8210,opening,9811.831338089227,0.0,1.0,2,10,176.26,417.63,1.1478629511587748
2021-04-30 16:00:00,55,8211,holding,9786.71928582805,-25.11205226117609,1.0,2,10,173.37,417.3,1.1478629511587748
2021-05-03 09:30:00,55,8212,closing,9770.969804968368,-40.8615331208579,1.0,2,10,174.24,419.43,1.1530392841026142
2021-07-30 09:30:00,56,8336,opening,9770.969804968368,0.0,-1.0,-1,10,167.4,437.91,1.153503401214466
2021-07-30 16:00:00,56,8337,holding,9788.090825375655,17.121020407286505,-1.0,-1,10,166.38,438.51,1.153503401214466
2021-08-02 09:30:00,56,8338,closing,9796.499937617878,25.530132649510946,-1.0,-1,10,167.65,440.34,1.153287180290705
2021-10-29 09:30:00,57,8464,opening,9796.499937617878,0.0,-1.0,-1,10,165.0,455.87,1.1488974903896105
2021-10-29 16:00:00,57,8465,holding,9799.132672793046,2.6327351751687367,-1.0,-1,10,168.62,459.25,1.1488974903896105
2021-11-01 09:30:00,57,8466,closing,9816.496096442139,19.996158824259787,-1.0,-1,10,168.09,460.3,1.1467076448781417
2022-02-04 09:30:00,58,8598,opening,9816.496096442139,0.0,1.0,1,10,155.61,446.35,1.1557991721995193
2022-02-04 16:00:00,58,8599,holding,9809.63481589545,-6.861280546688584,1.0,1,10,157.64,448.7,1.1557991721995193
2022-02-07 09:30:00,58,8600,closing,9809.072842600634,-7.423253841504476,1.0,1,10,158.52,449.51,1.1562274089654305
2022-04-29 09:30:00,59,8714,opening,9809.072842600634,0.0,-1.0,-1,10,129.85,423.59,1.196691005898656
2022-04-29 16:00:00,59,8715,holding,9726.07635501698,-82.996487583654,-1.0,-1,10,124.28,412.0,1.196691005898656
2022-05-02 09:30:00,59,8716,closing,9745.71403872111,-63.35880387952507,-1.0,-1,10,122.4,412.07,1.2007216059619215
2022-07-29 09:30:00,60,8838,opening,9745.71403872111,0.0,1.0,1,10,134.9,407.58,1.2473388094201225
2022-07-29 16:00:00,60,8839,holding,9691.206397225682,-54.50764149542788,1.0,1,10,134.95,411.99,1.2473388094201225
2022-08-01 09:30:00,60,8840,closing,9726.730819413213,-18.983219307895816,1.0,1,10,134.96,409.15,1.2457279437081203
2022-10-28 09:30:00,61,8966,opening,9726.730819413213,0.0,-1.0,-1,10,97.91,379.87,1.2673301482096202
2022-10-28 16:00:00,61,8967,holding,9787.691527974393,60.960708561179956,-1.0,-1,10,103.41,389.02,1.2673301482096202
2022-10-31 09:30:00,61,8968,closing,9753.494410150584,26.763590737371903,-1.0,-1,10,103.56,386.44,1.2698266109012881
2023-02-03 09:30:00,62,9098,opening,9753.494410150584,0.0,-1.0,-1,10,105.26,411.59,1.302210271586374
2023-02-03 16:00:00,62,9099,holding,9782.091208214642,28.59679806405711,-1.0,-1,10,103.39,412.35,1.302210271586374
2023-02-06 09:30:00,62,9100,closing,9753.35462526203,-0.13978488855415527,-1.0,-1,10,102.93,409.79,1.303104175442631
2023-04-28 09:30:00,63,9214,opening,9753.35462526203,0.0,1.0,1,10,107.73,411.49,1.295073221861467
2023-04-28 16:00:00,63,9215,holding,9673.053374211382,-80.30125105064911,1.0,1,10,105.45,415.93,1.295073221861467
2023-05-01 09:30:00,63,9216,closing,9674.010711031944,-79.34391423008663,1.0,1,10,104.95,415.47,1.2897608038570896
2023-08-04 09:30:00,64,9348,opening,9674.010711031944,0.0,1.0,1,10,141.06,450.72,1.291928431755835
2023-08-04 16:00:00,64,9349,holding,9709.625112713598,35.61440168165339,1.0,1,10,139.57,446.81,1.291928431755835
2023-08-07 09:30:00,64,9350,closing,9699.278472510237,25.26776147829297,1.0,1,10,140.99,448.71,1.2923133149992667
