date,trade_id,idx,event,current_pos,change,direction,score,shares,price_stock,price_spy,beta
2006-04-27 09:30:00,0,654,opening,10000.0,0.0,1.0,1,118.28720132481665,84.54,129.9,0.9614043137324295
2006-04-27 16:00:00,0,655,holding,9819.447968474373,-180.55203152562726,1.0,1,118.28720132481665,84.1,131.03,0.9614043137324295
2006-04-28 09:30:00,0,656,holding,9868.032902859964,-131.96709714003478,1.0,1,118.28720132481665,84.28,130.79,0.9622228616817273
2006-04-28 16:00:00,0,657,holding,9692.523684343516,-307.47631565648345,1.0,1,118.28720132481665,83.45,131.47,0.9622228616817273
2006-05-01 09:30:00,0,658,holding,9692.523684343516,-307.47631565648345,1.0,1,118.28720132481665,83.45,131.47,0.9611822500951809
2006-05-01 16:00:00,0,659,holding,9862.703790292617,-137.29620970738367,1.0,1,118.28720132481665,83.86,130.4,0.9611822500951809
2006-05-02 09:30:00,0,660,closing,9840.648357198606,-159.35164280139384,1.0,1,118.28720132481665,84.26,131.01,0.9616097184148366
2006-07-27 09:30:00,1,780,opening,9840.648357198606,0.0,-1.0,-1,123.00810446498258,80.0,127.33,1.0057333102916688
2006-07-27 16:00:00,1,781,holding,9922.626536138747,81.97817894014014,-1.0,-1,123.00810446498258,78.71,126.71,1.0057333102916688
2006-07-28 09:30:00,1,782,holding,9872.390681524863,31.74232432625651,-1.0,-1,123.00810446498258,79.4,126.99,1.0057791975758126
2006-07-28 16:00:00,1,783,holding,10055.140867328015,214.49251012940786,-1.0,-1,123.00810446498258,78.91,127.98,1.0057791975758126
2006-07-31 09:30:00,1,784,holding,10070.90624294645,230.25788574784292,-1.0,-1,123.00810446498258,78.46,127.66,1.007140721844523
2006-07-31 16:00:00,1,785,holding,10222.34020772832,381.6918505297149,-1.0,-1,123.00810446498258,77.42,127.85,1.007140721844523
2006-08-01 09:30:00,1,786,closing,10159.246400199225,318.5980430006182,-1.0,-1,123.00810446498258,77.42,127.34,1.0073916991024479
2006-10-25 16:00:00,2,907,opening,10159.246400199225,0.0,1.0,1,125.63995053424715,80.86,138.35,0.9148760466019374
2006-10-26 09:30:00,2,908,holding,10109.793061456046,-49.45333874317823,1.0,1,125.63995053424715,80.75,138.66,0.9131354415781154
2006-10-26 16:00:00,2,909,holding,9893.719343347104,-265.5270568521208,1.0,1,125.63995053424715,79.14,138.78,0.9131354415781154
2006-10-27 09:30:00,2,910,holding,9917.029188673936,-242.21721152528872,1.0,1,125.63995053424715,79.17,138.61,0.9070299405329034
2006-10-27 16:00:00,2,911,holding,10069.105447346483,-90.14095285274223,1.0,1,125.63995053424715,79.74,137.91,0.9070299405329034
2006-10-30 09:30:00,2,912,holding,10161.918067428958,2.6716672297332074,1.0,1,125.63995053424715,80.25,137.66,0.9061339017572019
2006-10-30 16:00:00,2,913,closing,10140.907121726925,-18.339278472300258,1.0,1,125.63995053424715,80.22,137.81,0.9061339017572019
2007-02-01 09:30:00,3,1038,opening,10140.907121726925,0.0,1.0,1,112.73937878517981,89.95,144.15,0.8905995854552718
2007-02-01 16:00:00,3,1039,holding,10218.73384214576,77.82672041883599,1.0,1,112.73937878517981,91.05,144.61,0.8905995854552718
2007-02-02 09:30:00,3,1040,holding,10206.685164864495,65.77804313757046,1.0,1,112.73937878517981,91.05,144.73,0.8919850610821508
2007-02-02 16:00:00,3,1041,holding,10085.913334558469,-54.99378716845588,1.0,1,112.73937878517981,90.05,144.81,0.8919850610821508
2007-02-05 09:30:00,3,1042,holding,10142.053706913704,1.1465851867803096,1.0,1,112.73937878517981,90.45,144.7,0.8910440835277117
2007-02-05 16:00:00,3,1043,holding,10157.432492584117,16.525370857192936,1.0,1,112.73937878517981,90.72,144.85,0.8910440835277117
2007-02-06 09:30:00,3,1044,closing,10176.950841362699,36.04371963577504,1.0,1,112.73937878517981,91.0,144.97,0.8922601203698424
2007-07-26 09:30:00,4,1280,opening,10176.950841362699,0.0,1.0,2,95.9546562451697,106.06,150.19,0.8972584146549807
2007-07-26 16:00:00,4,1281,holding,10137.326438972728,-39.62440238997051,1.0,2,95.9546562451697,103.7,148.02,0.8972584146549807
2007-07-27 09:30:00,4,1282,holding,10111.372710027363,-65.578131335336,1.0,2,95.9546562451697,103.6,148.21,0.8816092323590867
2007-07-27 16:00:00,4,1283,holding,10388.825702712376,211.8748613496764,1.0,2,95.9546562451697,103.71,145.11,0.8816092323590867
2007-07-30 09:30:00,4,1284,holding,10403.626526122707,226.6756847600083,1.0,2,95.9546562451697,104.6,145.93,0.8767927844676959
2007-07-30 16:00:00,4,1285,holding,10368.984525018277,192.0336836555783,1.0,2,95.9546562451697,105.54,147.38,0.8767927844676959
2007-07-31 09:30:00,4,1286,closing,10383.147864659206,206.19702329650713,1.0,2,95.9546562451697,106.54,148.33,0.8838681684782453
2007-10-25 16:00:00,5,1409,opening,10383.147864659206,0.0,-1.0,-1,108.15779025686673,96.0,151.84,0.895144672821027
2007-10-26 09:30:00,5,1410,holding,10474.224998217474,91.07713355826766,-1.0,-1,108.15779025686673,96.25,153.06,0.893330648958055
2007-10-26 16:00:00,5,1411,holding,10553.318737049169,170.17087238996348,-1.0,-1,108.15779025686673,96.02,153.62,0.893330648958055
2007-10-29 09:30:00,5,1412,holding,10609.2898363403,226.14197168109487,-1.0,-1,108.15779025686673,95.78,153.93,0.8913080075677015
2007-10-29 16:00:00,5,1413,holding,10497.782284083998,114.63441942479139,-1.0,-1,108.15779025686673,96.99,154.13,0.8913080075677015
2007-10-30 09:30:00,5,1414,holding,10403.82578717189,20.677922512685612,-1.0,-1,108.15779025686673,97.25,153.45,0.8966781660957648
2007-10-30 16:00:00,5,1415,closing,10357.414584740058,-25.73327991914823,-1.0,-1,108.15779025686673,97.33,153.06,0.8966781660957648
2008-01-31 09:30:00,6,1540,opening,10357.414584740058,0.0,-1.0,-1,126.64972590780212,81.78,133.4,0.8824066819040162
2008-01-31 16:00:00,6,1541,holding,10628.844518182803,271.4299334427455,-1.0,-1,126.64972590780212,83.14,137.37,0.8824066819040162
2008-02-01 09:30:00,6,1542,holding,10663.416322933352,306.0017381932931,-1.0,-1,126.64972590780212,83.37,137.94,0.8873256361967371
2008-02-01 16:00:00,6,1543,holding,10923.953421356977,566.5388366169192,-1.0,-1,126.64972590780212,82.76,139.58,0.8873256361967371
2008-02-04 09:30:00,6,1544,holding,10880.070498009949,522.655913269891,-1.0,-1,126.64972590780212,82.78,139.21,0.908147914608361
2008-02-04 16:00:00,6,1545,holding,10709.530906381735,352.1163216416766,-1.0,-1,126.64972590780212,82.9,137.82,0.908147914608361
2008-02-05 09:30:00,6,1546,closing,10662.806711726369,305.3921269863119,-1.0,-1,126.64972590780212,81.61,135.94,0.9162713203592134
2008-04-24 09:30:00,7,1656,opening,10662.806711726369,0.0,1.0,1,129.26181005850853,82.49,138.08,0.8942874253272248
2008-04-24 16:00:00,7,1657,holding,10700.986904141724,38.18019241535576,1.0,1,129.26181005850853,83.0,138.32,0.8942874253272248
2008-04-25 09:30:00,7,1658,holding,10624.105431635664,-38.70128009070478,1.0,1,129.26181005850853,83.38,139.41,0.8944202733379308
2008-04-25 16:00:00,7,1659,holding,10790.86420417212,128.05749244575048,1.0,1,129.26181005850853,84.84,139.6,0.8944202733379308
2008-04-28 09:30:00,7,1660,holding,10780.471492715165,117.66478098879614,1.0,1,129.26181005850853,85.01,139.88,0.8948869413852026
