date,trade_id,idx,event,current_pos,change,direction,score,shares,price_stock,price_spy,beta
2006-04-27 09:30:00,0,654,opening,10000.0,0.0,1.0,2,118.28720132481665,84.54,129.9,0.9614043137324295
2006-04-27 16:00:00,0,655,holding,9819.447968474373,-180.55203152562726,1.0,2,118.28720132481665,84.1,131.03,0.9614043137324295
2006-04-28 09:30:00,0,656,holding,9868.032902859964,-131.96709714003478,1.0,2,118.28720132481665,84.28,130.79,0.9622228616817273
2006-04-28 16:00:00,0,657,holding,9692.523684343516,-307.47631565648345,1.0,2,118.28720132481665,83.45,131.47,0.9622228616817273
2006-05-01 09:30:00,0,658,closing,9692.523684343516,-307.47631565648345,1.0,2,118.28720132481665,83.45,131.47,0.9611822500951809
2006-07-27 09:30:00,1,780,opening,9692.523684343516,0.0,1.0,1,121.15654605429395,80.0,127.33,1.0057333102916688
2006-07-27 16:00:00,1,781,holding,9611.779467892024,-80.74421645149155,1.0,1,121.15654605429395,78.71,126.71,1.0057333102916688
2006-07-28 09:30:00,1,782,holding,9661.259155914015,-31.264528429500636,1.0,1,121.15654605429395,79.4,126.99,1.0057791975758126
2006-07-28 16:00:00,1,783,holding,9481.259785961985,-211.26389838153008,1.0,1,121.15654605429395,78.91,127.98,1.0057791975758126
2006-07-31 09:30:00,1,784,closing,9465.731715958094,-226.79196838542094,1.0,1,121.15654605429395,78.46,127.66,1.007140721844523
2006-10-25 16:00:00,2,907,opening,9465.731715958094,0.0,1.0,1,117.06321686814364,80.86,138.35,0.9148760466019374
2006-10-26 09:30:00,2,908,holding,9419.65427885684,-46.07743710125405,1.0,1,117.06321686814364,80.75,138.66,0.9131354415781154
2006-10-26 16:00:00,2,909,holding,9218.33069973303,-247.40101622506563,1.0,1,117.06321686814364,79.14,138.78,0.9131354415781154
2006-10-27 09:30:00,2,910,holding,9240.049312857713,-225.682403100381,1.0,1,117.06321686814364,79.17,138.61,0.9070299405329034
2006-10-27 16:00:00,2,911,holding,9381.744179608138,-83.98753634995536,1.0,1,117.06321686814364,79.74,137.91,0.9070299405329034
2006-10-30 09:30:00,2,912,closing,9468.221003473602,2.4892875155066223,1.0,1,117.06321686814364,80.25,137.66,0.9061339017572019
2007-02-01 09:30:00,3,1038,opening,9468.221003473602,0.0,1.0,1,105.2609338907571,89.95,144.15,0.8905995854552718
2007-02-01 16:00:00,3,1039,holding,9540.885172473072,72.66416899946967,1.0,1,105.2609338907571,91.05,144.61,0.8905995854552718
2007-02-02 09:30:00,3,1040,holding,9529.635731182545,61.414727708942735,1.0,1,105.2609338907571,91.05,144.73,0.8919850610821508
2007-02-02 16:00:00,3,1041,holding,9416.875169764768,-51.34583370883498,1.0,1,105.2609338907571,90.05,144.81,0.8919850610821508
2007-02-05 09:30:00,3,1042,closing,9469.291531170724,1.0705276971214692,1.0,1,105.2609338907571,90.45,144.7,0.8910440835277117
2007-04-26 09:30:00,4,1154,opening,9469.291531170724,0.0,-1.0,-2,100.16174668046037,94.54,149.49,0.8867149602360681
2007-04-26 16:00:00,4,1155,holding,9511.547207317242,42.25567614651904,-1.0,-2,100.16174668046037,94.26,149.65,0.8867149602360681
2007-04-27 09:30:00,4,1156,holding,9462.812470018082,-6.479061152642191,-1.0,-2,100.16174668046037,94.25,149.09,0.8862744115582085
2007-04-27 16:00:00,4,1157,holding,9524.928236213562,55.636705042837285,-1.0,-2,100.16174668046037,94.02,149.53,0.8862744115582085
2007-04-30 09:30:00,4,1158,closing,9534.697877328303,65.40634615757932,-1.0,-2,100.16174668046037,94.02,149.64,0.8865435746117247
2007-07-26 09:30:00,5,1280,opening,9534.697877328303,0.0,1.0,1,89.89909369534512,106.06,150.19,0.8972584146549807
2007-07-26 16:00:00,5,1281,holding,9497.574114892257,-37.12376243604473,1.0,1,89.89909369534512,103.7,148.02,0.8972584146549807
2007-07-27 09:30:00,5,1282,holding,9473.258289048003,-61.439588280300775,1.0,1,89.89909369534512,103.6,148.21,0.8816092323590867
2007-07-27 16:00:00,5,1283,holding,9733.201616047305,198.50373871900192,1.0,1,89.89909369534512,103.71,145.11,0.8816092323590867
2007-07-30 09:30:00,5,1284,closing,9747.068380439998,212.37050311169565,1.0,1,89.89909369534512,104.6,145.93,0.8767927844676959
2007-10-25 16:00:00,6,1409,opening,9747.068380439998,0.0,-1.0,-1,101.53196229624997,96.0,151.84,0.895144672821027
2007-10-26 09:30:00,6,1410,holding,9832.566059974011,85.49767953401272,-1.0,-1,101.53196229624997,96.25,153.06,0.893330648958055
2007-10-26 16:00:00,6,1411,holding,9906.814456597658,159.7460761576608,-1.0,-1,101.53196229624997,96.02,153.62,0.893330648958055
2007-10-29 09:30:00,6,1412,closing,9959.35672405163,212.28834361163206,-1.0,-1,101.53196229624997,95.78,153.93,0.8913080075677015
2008-01-31 09:30:00,7,1540,opening,9959.35672405163,0.0,1.0,1,121.7823028130549,81.78,133.4,0.8824066819040162
2008-01-31 16:00:00,7,1541,holding,9698.35843044999,-260.99829360163994,1.0,1,121.7823028130549,83.14,137.37,0.8824066819040162
2008-02-01 09:30:00,7,1542,holding,9665.115294985251,-294.2414290663779,1.0,1,121.7823028130549,83.37,137.94,0.8873256361967371
2008-02-01 16:00:00,7,1543,holding,9414.591201175854,-544.7655228757756,1.0,1,121.7823028130549,82.76,139.58,0.8873256361967371
2008-02-04 09:30:00,7,1544,closing,9456.787608795878,-502.5691152557522,1.0,1,121.7823028130549,82.78,139.21,0.908147914608361
2008-10-23 09:30:00,8,1910,opening,9456.787608795878,0.0,-1.0,-1,218.90712057397863,43.2,90.29,0.9160706783650348
2008-10-23 16:00:00,8,1911,holding,9010.764120710664,-446.02348808521333,-1.0,-1,218.90712057397863,46.52,91.69,0.9160706783650348
2008-10-24 09:30:00,8,1912,holding,8360.693315816894,-1096.094292978984,-1.0,-1,218.90712057397863,42.5,84.06,0.8977231869937543
2008-10-24 16:00:00,8,1913,holding,8358.480300884752,-1098.3073079111246,-1.0,-1,218.90712057397863,45.24,87.04,0.8977231869937543
2008-10-27 09:30:00,8,1914,closing,8043.21122336656,-1413.5763854293175,-1.0,-1,218.90712057397863,45.7,85.97,0.9049472719386017
2009-01-29 09:30:00,9,2042,opening,8043.21122336656,0.0,-1.0,-1,188.10129147255753,42.76,86.11,0.87537188751032
2009-01-29 16:00:00,9,2043,holding,8171.951482092542,128.740258725982,-1.0,-1,188.10129147255753,40.71,84.55,0.87537188751032
2009-01-30 09:30:00,9,2044,holding,8233.349608019484,190.13838465292426,-1.0,-1,188.10129147255753,40.76,84.98,0.8786766571096427
2009-01-30 16:00:00,9,2045,holding,7587.776653734176,-455.434569632384,-1.0,-1,188.10129147255753,42.31,82.83,0.8786766571096427
2009-02-02 09:30:00,9,2046,closing,7489.4055887633385,-553.805634603222,-1.0,-1,188.10129147255753,41.73,81.57,0.8683927030253602
2009-04-23 09:30:00,10,2158,opening,7489.4055887633385,0.0,-1.0,-1,200.8421986796283,37.29,84.71,0.8630853501456881
2009-04-23 16:00:00,10,2159,holding,7475.273594793526,-14.131993969812024,-1.0,-1,200.8421986796283,37.93,85.37,0.8630853501456881
2009-04-24 09:30:00,10,2160,holding,7555.537434203137,66.13184543979852,-1.0,-1,200.8421986796283,38.1,86.03,0.8632984501303695
2009-04-24 16:00:00,10,2161,holding,7540.221965425772,50.81637666243392,-1.0,-1,200.8421986796283,38.72,86.66,0.8632984501303695
2009-04-27 09:30:00,10,2162,closing,7516.959690277894,27.55410151455562,-1.0,-1,200.8421986796283,37.99,85.68,0.8635667892516973
2009-07-22 16:00:00,11,2283,opening,7516.959690277894,0.0,-1.0,-1,178.97523072090223,42.0,95.55,0.8799678289440279
2009-07-23 09:30:00,11,2284,holding,7526.409236990628,9.449546712734087,-1.0,-1,178.97523072090223,42.0,95.61,0.8794949895506353
2009-07-23 16:00:00,11,2285,holding,7858.217511211741,341.2578209338473,-1.0,-1,178.97523072090223,41.95,97.66,0.8794949895506353
2009-07-24 09:30:00,11,2286,holding,7785.770986414117,268.81129613622306,-1.0,-1,178.97523072090223,41.95,97.2,0.8785960606446495
2009-07-24 16:00:00,11,2287,holding,7846.044892393856,329.0852021159618,-1.0,-1,178.97523072090223,42.37,98.06,0.8785960606446495
2009-07-27 09:30:00,11,2288,closing,7883.917087622387,366.9573973444929,-1.0,-1,178.97523072090223,42.0,97.88,0.878446280381976
2009-10-22 09:30:00,12,2412,opening,7883.917087622387,0.0,-1.0,-1,156.64448813078457,50.33,108.19,0.8794566752703677
2009-10-22 16:00:00,12,2413,holding,7925.048892838865,41.13180521647754,-1.0,-1,156.64448813078457,51.07,109.33,0.8794566752703677
2009-10-23 09:30:00,12,2414,holding,7976.2096723833065,92.2925847609192,-1.0,-1,156.64448813078457,51.06,109.69,0.8794643847754402
2009-10-23 16:00:00,12,2415,holding,7937.68683791953,53.769750297142814,-1.0,-1,156.64448813078457,49.89,108.08,0.8794643847754402
2009-10-26 09:30:00,12,2416,closing,7960.4840623324735,76.56697471008609,-1.0,-1,156.64448813078457,49.85,108.2,0.8801695389674612
2010-01-28 09:30:00,13,2544,opening,7960.4840623324735,0.0,-1.0,-1,128.08502111556675,62.15,110.19,0.881989560227791
2010-01-28 16:00:00,13,2545,holding,7724.958368333403,-235.5256939990707,-1.0,-1,128.08502111556675,62.56,108.57,0.881989560227791
2010-01-29 09:30:00,13,2546,holding,7747.313699445047,-213.17036288742617,-1.0,-1,128.08502111556675,62.8,109.04,0.8812483252130678
2010-01-29 16:00:00,13,2547,holding,7842.700821014241,-117.78324131823247,-1.0,-1,128.08502111556675,60.6,107.39,0.8812483252130678
2010-02-01 09:30:00,13,2548,closing,7910.625853156632,-49.85820917584193,-1.0,-1,128.08502111556675,60.74,108.15,0.8817853850504516
2010-04-22 09:30:00,14,2660,opening,7910.625853156632,0.0,1.0,1,106.23993893575923,74.46,119.81,0.883253213999008
2010-04-22 16:00:00,14,2661,holding,7917.134495454759,6.5086422981276355,1.0,1,106.23993893575923,75.59,121.02,0.883253213999008
2010-04-23 09:30:00,14,2662,holding,7866.209470441698,-44.41638271493438,1.0,1,106.23993893575923,75.04,120.94,0.8832276247026921
2010-04-23 16:00:00,14,2663,holding,7794.133077203455,-116.49277595317652,1.0,1,106.23993893575923,75.13,121.81,0.8832276247026921
2010-04-26 09:30:00,14,2664,closing,7731.947640087986,-178.67821306864573,1.0,1,106.23993893575923,74.58,121.85,0.8827433772799927
2010-07-29 09:30:00,15,2796,opening,7731.947640087986,0.0,1.0,1,113.95648695781851,67.85,111.52,0.9049733705888541
2010-07-29 16:00:00,15,2797,holding,7787.001984210859,55.05434412287243,1.0,1,113.95648695781851,67.22,110.29,0.9049733705888541
2010-07-30 09:30:00,15,2798,holding,7832.991423601593,101.04378351360731,1.0,1,113.95648695781851,66.61,109.17,0.9051800229825007
2010-07-30 16:00:00,15,2799,holding,7893.904503934106,161.95686384612034,1.0,1,113.95648695781851,68.14,110.27,0.9051800229825007
2010-08-02 09:30:00,15,2800,closing,7815.6671994907965,83.71955940281038,1.0,1,113.95648695781851,69.01,111.99,0.9064145220967283
2011-01-27 09:30:00,16,3048,opening,7815.6671994907965,0.0,-1.0,-1,111.63644050122548,70.01,129.7,0.9154040750836239
2011-01-27 16:00:00,16,3049,holding,7783.902968458294,-31.764231032502433,-1.0,-1,111.63644050122548,70.56,129.99,0.9154040750836239
