date,trade_id,idx,event,current_pos,change,direction,score,shares,price_stock,price_spy,beta
2006-04-27 09:30:00,0,654,opening,10000.0,0.0,1.0,1,10,84.54,129.9,0.9614043137324295
2006-04-27 16:00:00,0,655,holding,9984.736131254824,-15.26386874517653,1.0,1,10,84.1,131.03,0.9614043137324295
2006-04-28 09:30:00,0,656,holding,9988.843501607782,-11.156498392218541,1.0,1,10,84.28,130.79,0.9622228616817273
2006-04-28 16:00:00,0,657,holding,9974.005952274401,-25.99404772559911,1.0,1,10,83.45,131.47,0.9622228616817273
2006-05-01 09:30:00,0,658,holding,9974.005952274401,-25.99404772559911,1.0,1,10,83.45,131.47,0.9611822500951809
2006-05-01 16:00:00,0,659,holding,9988.392978431339,-11.607021568662216,1.0,1,10,83.86,130.4,0.9611822500951809
2006-05-02 09:30:00,0,660,closing,9986.52841211757,-13.471587882429837,1.0,1,10,84.26,131.01,0.9616097184148366
2006-10-25 16:00:00,1,907,opening,9986.52841211757,0.0,-1.0,-1,10,80.86,138.35,0.9148760466019374
2006-10-26 09:30:00,1,908,holding,9990.464527862036,3.9361157444660213,-1.0,-1,10,80.75,138.66,0.9131354415781154
2006-10-26 16:00:00,1,909,holding,10007.662379117959,21.13396700038838,-1.0,-1,10,79.14,138.78,0.9131354415781154
2006-10-27 09:30:00,1,910,holding,10005.807089838736,19.27867772116519,-1.0,-1,10,79.17,138.61,0.9070299405329034
2006-10-27 16:00:00,1,911,holding,9993.702957512522,7.174545394951542,-1.0,-1,10,79.74,137.91,0.9070299405329034
2006-10-30 09:30:00,1,912,holding,9986.315767396016,-0.21264472155335334,-1.0,-1,10,80.25,137.66,0.9061339017572019
2006-10-30 16:00:00,1,913,closing,9987.98808146592,1.4596693483496166,-1.0,-1,10,80.22,137.81,0.9061339017572019
2007-04-26 09:30:00,2,1154,opening,9987.98808146592,0.0,1.0,1,10,94.54,149.49,0.8867149602360681
2007-04-26 16:00:00,2,1155,holding,9983.769337529542,-4.21874393637769,1.0,1,10,94.26,149.65,0.8867149602360681
2007-04-27 09:30:00,2,1156,holding,9988.634941306864,0.6468598409442605,1.0,1,10,94.25,149.09,0.8862744115582085
2007-04-27 16:00:00,2,1157,holding,9982.433395481825,-5.5546859840944585,1.0,1,10,94.02,149.53,0.8862744115582085
2007-04-30 09:30:00,2,1158,holding,9981.458009025566,-6.530072440354003,1.0,1,10,94.02,149.64,0.8865435746117247
2007-04-30 16:00:00,2,1159,holding,9983.228660988752,-4.759420477167094,1.0,1,10,93.0,148.29,0.8865435746117247
2007-05-01 09:30:00,2,1160,closing,9983.575931540445,-4.412149925473885,1.0,1,10,93.15,148.42,0.8940732017753374
2007-07-26 09:30:00,3,1280,opening,9983.575931540445,0.0,-1.0,-1,10,106.06,150.19,0.8972584146549807
2007-07-26 16:00:00,3,1281,holding,9987.705423942432,4.129492401987025,-1.0,-1,10,103.7,148.02,0.8972584146549807
2007-07-27 09:30:00,3,1282,holding,9990.410214930276,6.834283389831555,-1.0,-1,10,103.6,148.21,0.8816092323590867
2007-07-27 16:00:00,3,1283,holding,9961.495204075973,-22.080727464472787,-1.0,-1,10,103.71,145.11,0.8816092323590867
2007-07-30 09:30:00,3,1284,holding,9959.952723076143,-23.623208464302014,-1.0,-1,10,104.6,145.93,0.8767927844676959
2007-07-30 16:00:00,3,1285,holding,9963.56297008864,-20.01296145180502,-1.0,-1,10,105.54,147.38,0.8767927844676959
2007-07-31 09:30:00,3,1286,closing,9962.086925027863,-21.48900651258255,-1.0,-1,10,106.54,148.33,0.8838681684782453
2007-10-25 16:00:00,4,1409,opening,9962.086925027863,0.0,-1.0,-1,10,96.0,151.84,0.895144672821027
2007-10-26 09:30:00,4,1410,holding,9970.50769003628,8.42076500841652,-1.0,-1,10,96.25,153.06,0.893330648958055
2007-10-26 16:00:00,4,1411,holding,9977.820500204078,15.733575176214332,-1.0,-1,10,96.02,153.62,0.893330648958055
2007-10-29 09:30:00,4,1412,holding,9982.995448689822,20.90852366195948,-1.0,-1,10,95.78,153.93,0.8913080075677015
2007-10-29 16:00:00,4,1413,holding,9972.685738035465,10.5988130076015,-1.0,-1,10,96.99,154.13,0.8913080075677015
2007-10-30 09:30:00,4,1414,holding,9963.998754260281,1.9118292324184027,-1.0,-1,10,97.25,153.45,0.8966781660957648
2007-10-30 16:00:00,4,1415,closing,9959.707690036279,-2.379234991583463,-1.0,-1,10,97.33,153.06,0.8966781660957648
2008-01-31 09:30:00,5,1540,opening,9959.707690036279,0.0,1.0,1,10,81.78,133.4,0.8824066819040162
2008-01-31 16:00:00,5,1541,holding,9938.27614476469,-21.431545271589435,1.0,1,10,83.14,137.37,0.8824066819040162
2008-02-01 09:30:00,5,1542,holding,9935.546426677836,-24.161263358442227,1.0,1,10,83.37,137.94,0.8873256361967371
2008-02-01 16:00:00,5,1543,holding,9914.974957094611,-44.732732941668225,1.0,1,10,82.76,139.58,0.8873256361967371
2008-02-04 09:30:00,5,1544,holding,9918.439861817656,-41.26782821862336,1.0,1,10,82.78,139.21,0.908147914608361
2008-02-04 16:00:00,5,1545,holding,9931.905314696121,-27.802375340157358,1.0,1,10,82.9,137.82,0.908147914608361
2008-02-05 09:30:00,5,1546,closing,9935.594560315916,-24.113129720361957,1.0,1,10,81.61,135.94,0.9162713203592134
2008-07-24 09:30:00,6,1782,opening,9935.594560315916,0.0,-1.0,-1,10,65.6,128.34,0.8883787740142768
2008-07-24 16:00:00,6,1783,holding,9941.153441011313,5.558880695395914,-1.0,-1,10,62.53,125.51,0.8883787740142768
2008-07-25 09:30:00,6,1784,holding,9939.829280352566,4.234720036650135,-1.0,-1,10,63.0,125.89,0.8930076850065743
2008-07-25 16:00:00,6,1785,holding,9927.886927379108,-7.707632936808353,-1.0,-1,10,63.83,125.48,0.8930076850065743
2008-07-28 09:30:00,6,1786,holding,9928.253441011311,-7.341119304604078,-1.0,-1,10,63.82,125.51,0.8893424963579563
2008-07-28 16:00:00,6,1787,holding,9926.440757937246,-9.153802378671125,-1.0,-1,10,62.34,123.64,0.8893424963579563
2008-07-29 09:30:00,6,1788,closing,9926.461245768895,-9.133314547022525,-1.0,-1,10,62.64,123.98,0.8866662862524576
2008-10-23 09:30:00,7,1910,opening,9926.461245768895,0.0,-1.0,-1,10,43.2,90.29,0.9160706783650348
2008-10-23 16:00:00,7,1911,holding,9906.086235266004,-20.375010502889594,-1.0,-1,10,46.52,91.69,0.9160706783650348
2008-10-24 09:30:00,7,1912,holding,9876.390042506753,-50.07120326214167,-1.0,-1,10,42.5,84.06,0.8977231869937543
2008-10-24 16:00:00,7,1913,holding,9876.28894872203,-50.17229704686362,-1.0,-1,10,45.24,87.04,0.8977231869937543
2008-10-27 09:30:00,7,1914,holding,9861.886992463526,-64.57425330536957,-1.0,-1,10,45.7,85.97,0.9049472719386017
2008-10-27 16:00:00,7,1915,holding,9876.782364760551,-49.6788810083432,-1.0,-1,10,42.36,83.95,0.9049472719386017
2008-10-28 09:30:00,7,1916,closing,9866.937160757127,-59.52408501176855,-1.0,-1,10,46.45,87.34,0.904327626099294
2009-01-29 09:30:00,8,2042,opening,9866.937160757127,0.0,-1.0,-1,10,42.76,86.11,0.87537188751032
2009-01-29 16:00:00,8,2043,holding,9873.781359311966,6.844198554838958,-1.0,-1,10,40.71,84.55,0.87537188751032
2009-01-30 09:30:00,8,2044,holding,9877.04545842826,10.108297671133425,-1.0,-1,10,40.76,84.98,0.8786766571096427
