date,trade_id,idx,event,current_pos,change,direction,score,shares,price_stock,price_spy,beta
2008-01-28 09:30:00,0,1534,opening,10000.0,0.0,1.0,2,149.947518368571,66.69,133.26,1.200362404127723
2008-01-28 16:00:00,0,1535,holding,9871.537327909295,-128.4626720907059,1.0,2,149.947518368571,68.21,135.24,1.200362404127723
2008-01-29 09:30:00,0,1536,closing,9802.214840647363,-197.78515935263667,1.0,2,149.947518368571,68.78,136.1,1.202094314188797
2009-01-27 09:30:00,1,2038,opening,9802.214840647363,0.0,-1.0,-2,294.8921432204381,33.24,84.13,1.1450989094506832
2009-01-27 16:00:00,1,2039,holding,10208.587881053087,406.37304040572474,-1.0,-2,294.8921432204381,32.32,84.53,1.1450989094506832
2009-01-28 09:30:00,1,2040,holding,10562.852122331526,760.637281684163,-1.0,-2,294.8921432204381,33.26,86.4,1.1409292928342052
2009-01-28 16:00:00,1,2041,holding,10973.827944460063,1171.6131038127,-1.0,-2,294.8921432204381,33.0,87.39,1.1409292928342052
2009-01-29 09:30:00,1,2042,holding,10656.60462065869,854.3897800113288,-1.0,-2,294.8921432204381,32.61,86.11,1.1397600193058213
2009-01-29 16:00:00,1,2043,holding,10353.940801798837,551.725961151475,-1.0,-2,294.8921432204381,31.85,84.55,1.1397600193058213
2009-01-30 09:30:00,1,2044,closing,10578.764369259497,776.5495286121347,-1.0,-2,294.8921432204381,31.58,84.98,1.1406085411973266
2009-04-22 09:30:00,2,2156,opening,10578.764369259497,0.0,-1.0,-2,335.1953222198827,31.56,84.29,1.1730790839586027
2009-04-22 16:00:00,2,2157,holding,10378.743187868027,-200.02118139146984,-1.0,-2,335.1953222198827,32.45,84.54,1.1730790839586027
2009-04-23 09:30:00,2,2158,holding,10351.734303307732,-227.03006595176544,-1.0,-2,335.1953222198827,32.73,84.71,1.1739251740900534
2009-04-23 16:00:00,2,2159,holding,10705.10800374366,126.34363448416373,-1.0,-2,335.1953222198827,32.45,85.37,1.1739251740900534
2009-04-24 09:30:00,2,2160,holding,10897.587949514045,318.8235802545469,-1.0,-2,335.1953222198827,32.65,86.03,1.1722947926364815
2009-04-24 16:00:00,2,2161,holding,10816.819225306808,238.05485604731123,-1.0,-2,335.1953222198827,33.63,86.66,1.1722947926364815
2009-04-27 09:30:00,2,2162,closing,10733.148606198538,154.3842369390412,-1.0,-2,335.1953222198827,32.73,85.68,1.1726562643246907
2010-04-27 09:30:00,3,2666,opening,10733.148606198538,0.0,1.0,2,150.6406821922602,71.25,120.65,1.2200728694357341
2010-04-27 16:00:00,3,2667,holding,10722.235912981658,-10.912693216880989,1.0,2,150.6406821922602,68.53,118.48,1.2200728694357341
2010-04-28 09:30:00,3,2668,holding,10753.050739610335,19.902133411796857,1.0,2,150.6406821922602,69.43,119.05,1.2205372955656462
2010-04-28 16:00:00,3,2669,holding,10623.104464707792,-110.04414149074593,1.0,2,150.6406821922602,68.97,119.38,1.2205372955656462
2010-04-29 09:30:00,3,2670,holding,10639.90806132736,-93.24054487117743,1.0,2,150.6406821922602,69.96,120.1,1.2197893053310345
2010-04-29 16:00:00,3,2671,holding,10619.231817133435,-113.9167890651031,1.0,2,150.6406821922602,70.75,120.86,1.2197893053310345
