date,trade_id,idx,event,current_pos,change,direction,score,shares,price_stock,price_spy,beta
2009-01-27 09:30:00,0,2038,opening,10000.0,0.0,-1.0,-2,10,33.24,84.13,1.1450989094506832
2009-01-27 16:00:00,0,2039,holding,10013.780395637803,13.780395637802814,-1.0,-2,10,32.32,84.53,1.1450989094506832
2009-01-28 09:30:00,0,2040,closing,10025.793745244531,25.793745244530662,-1.0,-2,10,33.26,86.4,1.1409292928342052
2010-10-22 09:30:00,1,2916,opening,10025.793745244531,0.0,1.0,2,10,78.76,118.31,1.2467641201512842
2010-10-22 16:00:00,1,2917,holding,10020.995039596472,-4.798705648060483,1.0,2,10,78.33,118.35,1.2467641201512842
2010-10-25 09:30:00,1,2918,closing,10014.945603047276,-10.848142197255752,1.0,2,10,78.71,119.14,1.2432261639146518
2011-10-25 09:30:00,2,3424,opening,10014.945603047276,0.0,1.0,2,10,91.36,124.89,1.2702081058039878
2011-10-25 16:00:00,2,3425,holding,10023.617432194069,8.671829146793431,1.0,2,10,89.89,123.05,1.2702081058039878
2011-10-26 09:30:00,2,3426,closing,10026.404726818617,11.45912377134155,1.0,2,10,91.82,124.35,1.2701337247581612
2023-01-31 16:00:00,3,9093,opening,10026.404726818617,0.0,1.0,2,10,252.29,406.48,1.103058360497189
2023-02-01 09:30:00,3,9094,holding,10035.013567996932,8.608841178314808,1.0,2,10,251.75,405.21,1.1004200838472915
2023-02-01 16:00:00,3,9095,closing,9951.252605645139,-75.15212117347849,1.0,2,10,249.54,410.8,1.1004200838472915
2023-08-01 16:00:00,4,9343,opening,9951.252605645139,0.0,1.0,2,10,288.65,456.48,1.0775380381793982
2023-08-02 09:30:00,4,9344,holding,9977.057084278335,25.804478633194986,1.0,2,10,287.75,453.25,1.0761856220219952
2023-08-02 16:00:00,4,9345,closing,10008.876271069532,57.623665424392186,1.0,2,10,287.57,450.13,1.0761856220219952
2024-02-05 16:00:00,5,9601,opening,10008.876271069532,0.0,1.0,2,10,321.4,492.55,1.0208217698348825
2024-02-06 09:30:00,5,9602,holding,10016.874299902134,7.998028832602147,1.0,2,10,323.19,493.52,1.0209298048928643
2024-02-06 16:00:00,5,9603,closing,10007.478519760893,-1.3977513086383886,1.0,2,10,322.72,493.98,1.0209298048928643
