date,trade_id,idx,event,current_pos,change,direction,score,shares,price_stock,price_spy,beta
2009-01-27 09:30:00,0,2038,opening,10000.0,0.0,-1.0,-2,300.84235860409143,33.24,84.13,1.1450989094506832
2009-01-27 16:00:00,0,2039,holding,10414.572672617413,414.5726726174131,-1.0,-2,300.84235860409143,32.32,84.53,1.1450989094506832
2009-01-28 09:30:00,0,2040,closing,10775.985115659767,775.9851156597672,-1.0,-2,300.84235860409143,33.26,86.4,1.1409292928342052
2010-10-22 09:30:00,1,2916,opening,10775.985115659767,0.0,1.0,2,136.82053219476595,78.76,118.31,1.2467641201512842
2010-10-22 16:00:00,1,2917,holding,10710.3289695984,-65.65614606136644,1.0,2,136.82053219476595,78.33,118.35,1.2467641201512842
2010-10-25 09:30:00,1,2918,closing,10627.560256784463,-148.42485887530296,1.0,2,136.82053219476595,78.71,119.14,1.2432261639146518
2011-10-25 09:30:00,2,3424,opening,10627.560256784463,0.0,1.0,2,116.32618494729054,91.36,124.89,1.2702081058039878
2011-10-25 16:00:00,2,3425,holding,10728.436336900584,100.87608011611974,1.0,2,116.32618494729054,89.89,123.05,1.2702081058039878
2011-10-26 09:30:00,2,3426,closing,10760.85987190036,133.29961511589707,1.0,2,116.32618494729054,91.82,124.35,1.2701337247581612
2023-01-31 16:00:00,3,9093,opening,10760.85987190036,0.0,1.0,2,42.652740385668714,252.29,406.48,1.103058360497189
2023-02-01 09:30:00,3,9094,holding,10797.578938680372,36.71906678001159,1.0,2,42.652740385668714,251.75,405.21,1.1004200838472915
2023-02-01 16:00:00,3,9095,closing,10440.31548051589,-320.5443913844695,1.0,2,42.652740385668714,249.54,410.8,1.1004200838472915
2023-08-01 16:00:00,4,9343,opening,10440.31548051589,0.0,1.0,2,36.169462949994426,288.65,456.48,1.0775380381793982
2023-08-02 09:30:00,4,9344,holding,10533.648893902617,93.33341338672687,1.0,2,36.169462949994426,287.75,453.25,1.0761856220219952
2023-08-02 16:00:00,4,9345,closing,10648.737183676933,208.4217031610428,1.0,2,36.169462949994426,287.57,450.13,1.0761856220219952
2024-02-05 16:00:00,5,9601,opening,10648.737183676933,0.0,1.0,2,33.13234966918772,321.4,492.55,1.0208217698348825
2024-02-06 09:30:00,5,9602,holding,10675.236532471534,26.499348794601957,1.0,2,33.13234966918772,323.19,493.52,1.0209298048928643
2024-02-06 16:00:00,5,9603,closing,10644.106105166094,-4.631078510837181,1.0,2,33.13234966918772,322.72,493.98,1.0209298048928643
