date,trade_id,idx,event,current_pos,change,direction,score,shares,price_stock,price_spy,beta
2010-07-23 09:30:00,0,2788,opening,10000.0,0.0,1.0,2,10,67.5,109.24,1.244858213894304
2010-07-23 16:00:00,0,2789,holding,10003.535158897437,3.5351588974366432,1.0,2,10,69.31,110.41,1.244858213894304
2010-07-26 09:30:00,0,2790,holding,10002.169928291038,2.1699282910374373,1.0,2,10,69.41,110.6,1.2453224057659857
2010-07-26 16:00:00,0,2791,holding,9996.019289437652,-3.9807105623479977,1.0,2,10,69.99,111.56,1.2453224057659857
2010-07-27 09:30:00,0,2792,holding,9990.325654332897,-9.674345667103129,1.0,2,10,70.18,112.17,1.2451178715155364
2010-07-27 16:00:00,0,2793,holding,9988.043775259042,-11.956224740958383,1.0,2,10,69.18,111.55,1.2451178715155364
2010-07-28 09:30:00,0,2794,closing,9986.106949150999,-13.893050849001476,1.0,2,10,68.7,111.32,1.2453912716032278
2010-10-22 09:30:00,1,2916,opening,9986.106949150999,0.0,1.0,2,10,78.76,118.31,1.2467641201512842
2010-10-22 16:00:00,1,2917,holding,9981.30824350294,-4.798705648060483,1.0,2,10,78.33,118.35,1.2467641201512842
2010-10-25 09:30:00,1,2918,holding,9975.258806953743,-10.848142197255752,1.0,2,10,78.71,119.14,1.2432261639146518
2010-10-25 16:00:00,1,2919,holding,9984.14456908241,-1.962380068590095,1.0,2,10,79.05,118.7,1.2432261639146518
2010-10-26 09:30:00,1,2920,holding,9982.225153803316,-3.881795347682261,1.0,2,10,78.11,118.1,1.2431340653101608
2010-10-26 16:00:00,1,2921,holding,9979.89521625838,-6.211732892620217,1.0,2,10,78.65,118.72,1.2431340653101608
2010-10-27 09:30:00,1,2922,closing,9985.743358455635,-0.3635906953646073,1.0,2,10,78.2,117.89,1.2429399189804056
2011-02-11 09:30:00,2,3070,opening,9985.743358455635,0.0,1.0,2,10,100.29,131.8,1.240386105661564
2011-02-11 16:00:00,2,3071,holding,10001.994300471468,16.250942015833484,1.0,2,10,103.54,133.11,1.240386105661564
2011-02-14 09:30:00,2,3072,holding,10003.186609355998,17.443250900362848,1.0,2,10,103.56,133.03,1.2410280844732153
2011-02-14 16:00:00,2,3073,holding,9995.225064933351,9.481706477716552,1.0,2,10,103.26,133.43,1.2410280844732153
2011-02-15 09:30:00,2,3074,holding,9997.310647966564,11.56728951092881,1.0,2,10,102.96,133.02,1.2410709326934986
2011-02-15 16:00:00,2,3075,holding,9997.83468657713,12.091328121495268,1.0,2,10,103.0,133.01,1.2410709326934986
2011-02-16 09:30:00,2,3076,closing,10001.252949101652,15.509590646018076,1.0,2,10,103.9,133.46,1.2410801097296051
2012-01-27 09:30:00,3,3552,opening,10001.252949101652,0.0,1.0,2,10,110.53,131.24,1.277436710236506
2012-01-27 16:00:00,3,3553,holding,10001.343816182281,0.09086708062846838,1.0,2,10,111.28,131.82,1.277436710236506
2012-01-30 09:30:00,3,3554,holding,10005.47823708638,4.225287984726675,1.0,2,10,110.02,130.51,1.2773689435304638
2012-01-30 16:00:00,3,3555,holding,9998.392281378345,-2.8606677233074453,1.0,2,10,110.41,131.37,1.2773689435304638
2012-01-31 09:30:00,3,3556,holding,9998.888942761807,-2.364006339844711,1.0,2,10,111.29,132.02,1.2771594237439785
2012-01-31 16:00:00,3,3557,holding,9986.130999733463,-15.121949368188968,1.0,2,10,109.12,131.32,1.2771594237439785
2012-02-01 09:30:00,3,3558,closing,9990.03986364417,-11.213085457483107,1.0,2,10,110.75,132.29,1.2767287882370373
2012-04-26 09:30:00,4,3676,opening,9990.03986364417,0.0,1.0,2,10,103.97,138.89,1.2810528303143514
2012-04-26 16:00:00,4,3677,holding,9977.970492699178,-12.069370944992377,1.0,2,10,104.39,140.16,1.2810528303143514
2012-04-27 09:30:00,4,3678,holding,9978.590070811857,-11.44979283231291,1.0,2,10,104.99,140.58,1.2807365989104247
2012-04-27 16:00:00,4,3679,holding,9976.724071189454,-13.315792454715236,1.0,2,10,104.56,140.39,1.2807365989104247
2012-04-30 09:30:00,4,3680,holding,9974.611019114334,-15.428844529835475,1.0,2,10,103.99,140.11,1.280718350614807
2012-04-30 16:00:00,4,3681,holding,9965.48554590709,-24.554317737080904,1.0,2,10,102.77,139.87,1.280718350614807
2012-05-01 09:30:00,4,3682,closing,9966.91038817134,-23.129475472829203,1.0,2,10,102.81,139.79,1.280733608943503
2017-07-25 16:00:00,5,6315,opening,9966.91038817134,0.0,1.0,2,10,114.54,247.42,1.176898110873337
2017-07-26 09:30:00,5,6316,holding,9960.126624405457,-6.783763765882221,1.0,2,10,114.25,247.75,1.1753462009903544
2017-07-26 16:00:00,5,6317,holding,9956.592698360253,-10.317689811087662,1.0,2,10,113.52,247.43,1.1753462009903544
2017-07-27 09:30:00,5,6318,holding,9952.355138372624,-14.555249798716334,1.0,2,10,113.72,247.96,1.1732194438682186
2017-07-27 16:00:00,5,6319,holding,9967.799564015262,0.889175843921311,1.0,2,10,114.37,247.2,1.1732194438682186
2017-07-28 09:30:00,5,6320,holding,9975.072503625064,8.162115453724446,1.0,2,10,114.45,246.65,1.1760955816417276
2017-07-28 16:00:00,5,6321,holding,9968.512568536793,1.6021803654537925,1.0,2,10,114.1,246.91,1.1760955816417276
2017-07-31 09:30:00,5,6322,closing,9967.098837226777,0.18844905543640522,1.0,2,10,114.5,247.37,1.1807398413866887
2018-01-26 09:30:00,6,6570,opening,9967.098837226777,0.0,1.0,2,10,168.81,284.25,1.1233559543772587
2018-01-26 16:00:00,6,6571,holding,9923.424643489787,-43.67419373698995,1.0,2,10,167.06,286.58,1.1233559543772587
2018-01-29 09:30:00,6,6572,holding,9915.926457193238,-51.17238003353792,1.0,2,10,165.58,285.93,1.1207506434541659
2018-01-29 16:00:00,6,6573,holding,9899.968406622955,-67.13043060382219,1.0,2,10,162.58,284.68,1.1207506434541659
2018-01-30 09:30:00,6,6574,holding,9900.834210474,-66.26462675277538,1.0,2,10,160.33,282.6,1.1241527638616278
2018-01-30 16:00:00,6,6575,holding,9944.570400490771,-22.52843673600627,1.0,2,10,163.76,281.76,1.1241527638616278
2018-01-31 09:30:00,6,6576,closing,9943.07384773331,-24.02498949346601,1.0,2,10,164.7,282.73,1.1239083024264678
2018-04-25 09:30:00,7,6692,opening,9943.07384773331,0.0,1.0,2,10,143.83,262.91,1.1759690276244898
2018-04-25 16:00:00,7,6693,holding,9948.206870734415,5.133023001103872,1.0,2,10,145.19,263.63,1.1759690276244898
2018-04-26 09:30:00,7,6694,holding,9935.86563001397,-7.208217719340548,1.0,2,10,145.32,264.79,1.1760925224395955
2018-04-26 16:00:00,7,6695,holding,9927.890900794078,-15.18294693923249,1.0,2,10,146.31,266.31,1.1760925224395955
2018-04-27 09:30:00,7,6696,holding,9913.376714503469,-29.69713322984159,1.0,2,10,145.67,267.0,1.1753188842216966
2018-04-27 16:00:00,7,6697,holding,9909.050978225017,-34.022869508293745,1.0,2,10,144.72,266.56,1.1753188842216966
2018-04-30 09:30:00,7,6698,closing,9905.719195031646,-37.354652701664946,1.0,2,10,145.21,267.26,1.1751497297970965
2018-07-31 09:30:00,8,6826,opening,9905.719195031646,0.0,1.0,2,10,141.97,280.81,1.2168161206831176
