date,trade_id,idx,event,current_pos,change,direction,score,shares,price_stock,price_spy,beta
2007-04-20 16:00:00,0,1147,opening,10000.0,0.0,1.0,1,10,71.82,148.62,1.1095166074115599
2007-04-23 09:30:00,0,1148,holding,10006.57379151853,6.573791518528997,1.0,1,10,72.2,148.37,1.1096060689224856
2007-04-23 16:00:00,0,1149,holding,10006.513293001504,6.513293001504772,1.0,1,10,71.85,148.06,1.1096060689224856
2007-04-24 09:30:00,0,1150,holding,10005.127114768906,5.127114768905372,1.0,1,10,71.9,148.23,1.109694559542483
2007-04-24 16:00:00,0,1151,holding,10015.447583037057,15.44758303705789,1.0,1,10,72.81,148.12,1.109694559542483
2007-04-25 09:30:00,0,1152,holding,10010.579531731848,10.579531731847515,1.0,1,10,73.0,148.73,1.1091741281878296
2007-04-25 16:00:00,0,1153,closing,10004.558157176261,4.558157176260858,1.0,1,10,73.23,149.48,1.1091741281878296
2007-07-23 09:30:00,1,1274,opening,10004.558157176261,0.0,-1.0,-1,10,82.47,154.18,1.1708236177638005
2007-07-23 16:00:00,1,1275,holding,10006.799427578957,2.2412704026959145,-1.0,-1,10,82.0,153.97,1.1708236177638005
2007-07-24 09:30:00,1,1276,holding,9998.647426827965,-5.910730348296256,-1.0,-1,10,81.82,153.12,1.1708916787323174
2007-07-24 16:00:00,1,1277,holding,9978.938436984665,-25.619720191597377,-1.0,-1,10,81.66,151.3,1.1708916787323174
2007-07-25 09:30:00,1,1278,holding,9983.768367032564,-20.78979014369802,-1.0,-1,10,82.02,152.02,1.1714721360173583
2007-07-25 16:00:00,1,1279,holding,9994.167990199732,-10.390166976529605,-1.0,-1,10,80.5,151.61,1.1714721360173583
2007-07-26 09:30:00,1,1280,closing,9987.742294827485,-16.8158623487758,-1.0,-1,10,79.48,150.19,1.193730246742411
2007-10-19 16:00:00,2,1401,opening,9987.742294827485,0.0,-1.0,-1,10,73.57,149.67,1.2440536386201668
2007-10-22 09:30:00,2,1402,holding,9986.865460354662,-0.8768344728231514,-1.0,-1,10,72.65,148.86,1.2448861669658462
2007-10-22 16:00:00,2,1403,holding,9999.26556148348,11.523266655995439,-1.0,-1,10,73.5,150.54,1.2448861669658462
2007-10-23 09:30:00,2,1404,holding,10007.710854958787,19.968560131301203,-1.0,-1,10,73.8,151.46,1.2427735392429773
2007-10-23 16:00:00,2,1405,holding,10005.243015874647,17.500721047161445,-1.0,-1,10,74.42,151.76,1.2427735392429773
2007-10-24 09:30:00,2,1406,holding,10002.600720862236,14.858426034750757,-1.0,-1,10,74.0,151.21,1.2414369199718391
