date,trade_id,idx,event,current_pos,change,direction,score,shares,price_stock,price_spy,beta
2009-08-21 09:30:00,0,82,opening,10000.0,0.0,1.0,2,774.5933384972889,12.91,101.82,1.3065682498387496
2009-08-21 16:00:00,0,83,holding,9231.17468062388,-768.8253193761191,1.0,2,774.5933384972889,13.42,102.97,1.3065682498387496
2009-08-24 09:30:00,0,84,closing,8906.807008329322,-1093.1929916706783,1.0,2,774.5933384972889,13.55,103.39,1.3080678575952565
2010-03-01 09:30:00,1,342,opening,8906.807008329322,0.0,1.0,2,525.7855376817781,16.94,111.2,1.298627256105735
2010-03-01 16:00:00,1,343,closing,8845.788120952271,-61.01888737705135,1.0,2,525.7855376817781,17.72,111.89,1.298627256105735
2010-05-21 09:30:00,2,458,opening,8845.788120952271,0.0,1.0,2,478.409308867078,18.49,105.91,1.3069553262410782
2010-05-21 16:00:00,2,459,holding,7948.614419669566,-897.1737012827056,1.0,2,478.409308867078,20.81,109.12,1.3069553262410782
2010-05-24 09:30:00,2,460,closing,8213.736035238428,-632.0520857138439,1.0,2,478.409308867078,20.58,108.52,1.313871896705415
2011-02-25 09:30:00,3,844,opening,8213.736035238428,0.0,1.0,2,225.77614170528938,36.38,131.48,1.299549960066713
2011-02-25 16:00:00,3,845,holding,7587.293609044031,-626.4424261943968,1.0,2,225.77614170528938,34.71,132.33,1.299549960066713
2011-02-28 09:30:00,3,846,closing,7330.6359239822,-883.1001112562273,1.0,2,225.77614170528938,34.21,132.82,1.297120634620328
2011-08-19 09:30:00,4,1088,opening,7330.6359239822,0.0,1.0,2,249.0871873592321,29.43,112.96,1.2734422530026734
2011-08-19 16:00:00,4,1089,holding,7013.672856919437,-316.96306706276334,1.0,2,249.0871873592321,27.75,112.64,1.2734422530026734
2011-08-22 09:30:00,4,1090,closing,6412.92216154637,-917.7137624358302,1.0,2,249.0871873592321,28.56,115.17,1.269844575623631
2011-11-18 09:30:00,5,1216,opening,6412.92216154637,0.0,1.0,2,214.7663148541986,29.86,122.5,1.2605778172589457
2011-11-18 16:00:00,5,1217,holding,6231.552108512891,-181.37005303347934,1.0,2,214.7663148541986,28.36,121.98,1.2605778172589457
2011-11-21 09:30:00,5,1218,closing,6633.98735328822,221.0651917418499,1.0,2,214.7663148541986,27.99,120.2,1.2631032369724486
2012-02-24 09:30:00,6,1346,opening,6633.98735328822,0.0,1.0,2,182.35259354832928,36.38,136.93,1.26295499359429
2012-02-24 16:00:00,6,1347,holding,6548.281634320504,-85.70571896771585,1.0,2,182.35259354832928,35.91,136.93,1.26295499359429
2012-02-27 09:30:00,6,1348,closing,6624.74007897145,-9.247274316769962,1.0,2,182.35259354832928,35.18,136.02,1.2631446458662983
2012-05-18 09:30:00,7,1464,opening,6624.74007897145,0.0,1.0,2,184.7389871436545,35.86,131.37,1.2652521267775998
2012-05-18 16:00:00,7,1465,holding,7105.497608132087,480.7575291606373,1.0,2,184.7389871436545,36.4,129.74,1.2652521267775998
2012-05-21 09:30:00,7,1466,closing,6938.972796408394,314.23271743694414,1.0,2,184.7389871436545,36.03,130.16,1.2648313803539941
2012-08-24 09:30:00,8,1600,opening,6938.972796408394,0.0,1.0,2,196.7386673209071,35.27,140.31,1.2701681179921196
2012-08-24 16:00:00,8,1601,holding,7005.037298256555,66.06450184816077,1.0,2,196.7386673209071,37.13,141.51,1.2701681179921196
2012-08-27 09:30:00,8,1602,closing,6845.154888573891,-93.81790783450273,1.0,2,196.7386673209071,36.8,141.89,1.2707733600040862
2013-08-30 09:30:00,9,2108,opening,6845.154888573891,0.0,1.0,2,143.59460643117035,47.67,164.51,1.2702543820452386
2013-08-30 16:00:00,9,2109,holding,7211.668457092637,366.51356851874584,1.0,2,143.59460643117035,49.13,163.65,1.2702543820452386
2013-09-03 09:30:00,9,2110,closing,6970.860025884463,125.70513731057103,1.0,2,143.59460643117035,49.46,165.23,1.2707998848930386
2013-11-19 09:30:00,10,2220,opening,6970.860025884463,0.0,1.0,2,125.89597301579307,55.37,179.33,1.2316508238215282
2013-11-19 16:00:00,10,2221,holding,6686.271580517144,-284.58844536731914,1.0,2,125.89597301579307,52.74,179.03,1.2316508238215282
2013-11-20 09:30:00,10,2222,closing,6721.095124691459,-249.76490119300317,1.0,2,125.89597301579307,53.46,179.39,1.2308700965396333
2014-03-03 09:30:00,11,2358,opening,6721.095124691459,0.0,1.0,2,110.81772670554756,60.65,184.69,1.2424624309110444
2014-03-03 16:00:00,11,2359,closing,6774.252825112044,53.15770042058441,1.0,2,110.81772670554756,61.49,184.98,1.2424624309110444
2014-05-21 09:30:00,12,2470,opening,6774.252825112044,0.0,1.0,2,128.78807652304266,52.6,188.1,1.3502297225598363
2014-05-21 16:00:00,12,2471,holding,6284.763267193806,-489.489557918238,1.0,2,128.78807652304266,50.19,189.13,1.3502297225598363
2014-05-22 09:30:00,12,2472,closing,6288.947400404472,-485.3054247075717,1.0,2,128.78807652304266,50.29,189.18,1.347407379322699
2014-08-21 09:30:00,13,2598,opening,6288.947400404472,0.0,1.0,2,113.00893801265899,55.65,199.09,1.3643152113726649
2014-08-21 16:00:00,13,2599,holding,6232.514213293019,-56.43318711145358,1.0,2,113.00893801265899,55.71,199.5,1.3643152113726649
