date,trade_id,idx,event,current_pos,change,direction,score,shares,price_stock,price_spy,beta
2009-08-21 09:30:00,0,82,opening,10000.0,0.0,1.0,2,10,12.91,101.82,1.3065682498387496
2009-08-21 16:00:00,0,83,holding,9990.074465126854,-9.925534873145699,1.0,2,10,13.42,102.97,1.3065682498387496
2009-08-24 09:30:00,0,84,holding,9985.886878477531,-14.11312152246846,1.0,2,10,13.55,103.39,1.3080678575952565
2009-08-24 16:00:00,0,85,holding,9988.00512195184,-11.99487804816176,1.0,2,10,13.2,102.96,1.3080678575952565
2009-08-25 09:30:00,0,86,holding,9979.148192127499,-20.851807872500775,1.0,2,10,12.85,103.37,1.308174934687578
2009-08-25 16:00:00,0,87,holding,9984.19198545216,-15.80801454783929,1.0,2,10,13.08,103.16,1.308174934687578
2009-08-26 09:30:00,0,88,closing,9988.473003851645,-11.526996148355382,1.0,2,10,13.09,102.84,1.3079431857501411
2009-11-18 09:30:00,1,206,opening,9988.473003851645,0.0,1.0,1,10,15.93,111.26,1.297609369589574
2009-11-18 16:00:00,1,207,holding,9988.043242914686,-0.429760936958833,1.0,1,10,15.9,111.27,1.297609369589574
2009-11-19 09:30:00,1,208,holding,9997.305074123566,8.832070271921808,1.0,1,10,15.84,110.51,1.2978832447323874
2009-11-19 16:00:00,1,209,holding,10004.358578773734,15.88557492209003,1.0,1,10,15.65,109.82,1.2978832447323874
2009-11-20 09:30:00,1,210,holding,10010.454952180395,21.9819483287505,1.0,1,10,15.52,109.25,1.29846582732185
2009-11-20 16:00:00,1,211,holding,10009.319255315133,20.846251463489192,1.0,1,10,15.64,109.43,1.29846582732185
2009-11-23 09:30:00,1,212,closing,9994.280094447427,5.807090595783789,1.0,1,10,15.81,110.72,1.2980236769370683
2010-03-01 09:30:00,2,342,opening,9994.280094447427,0.0,1.0,2,10,16.94,111.2,1.298627256105735
2010-03-01 16:00:00,2,343,holding,9993.119566380297,-1.160528067129566,1.0,2,10,17.72,111.89,1.298627256105735
2010-03-02 09:30:00,2,344,holding,9986.68615555099,-7.593938896437143,1.0,2,10,17.7,112.37,1.2997883384155156
2010-03-02 16:00:00,2,345,holding,9991.49382188637,-2.7862725610573547,1.0,2,10,17.96,112.2,1.2997883384155156
