date,trade_id,idx,event,current_pos,change,direction,score,shares,price_stock,price_spy,beta
2006-02-09 09:30:00,0,548,opening,10000.0,0.0,1.0,2,10,19.53,126.92,1.7784852726006106
2006-02-09 16:00:00,0,549,holding,10009.270274890263,9.2702748902632,1.0,2,10,19.55,126.41,1.7784852726006106
2006-02-10 09:30:00,0,550,holding,10009.414577835743,9.414577835742904,1.0,2,10,19.6,126.43,1.7713734303200914
2006-02-10 16:00:00,0,551,holding,10007.279758763281,7.279758763281734,1.0,2,10,19.76,126.64,1.7713734303200914
2006-02-13 09:30:00,0,552,closing,10007.324698454102,7.324698454102283,1.0,2,10,19.64,126.57,1.7713843070135125
2006-05-10 09:30:00,1,672,opening,10007.324698454102,0.0,1.0,2,10,21.36,132.41,1.7218795667928615
2006-05-10 16:00:00,1,673,holding,9998.814067060592,-8.510631393510256,1.0,2,10,20.75,132.55,1.7218795667928615
2006-05-11 09:30:00,1,674,holding,9998.302818887309,-9.021879566792768,1.0,2,10,20.63,132.51,1.716437579801831
2006-05-11 16:00:00,1,675,holding,10019.364140129277,12.039441675175926,1.0,2,10,20.05,130.95,1.716437579801831
2006-05-12 09:30:00,1,676,holding,10028.556974093204,21.232275639102347,1.0,2,10,20.16,130.48,1.7058663708869273
2006-05-12 16:00:00,1,677,holding,10051.708280721436,44.383582267333495,1.0,2,10,20.34,129.24,1.7058663708869273
2006-05-15 09:30:00,1,678,closing,10059.856738772003,52.53204031790166,1.0,2,10,20.38,128.79,1.7032563932872782
2006-08-09 09:30:00,2,798,opening,10059.856738772003,0.0,1.0,2,10,19.41,128.2,1.6281579505652286
2006-08-09 16:00:00,2,799,holding,10083.420265768898,23.56352699689555,1.0,2,10,19.78,126.98,1.6281579505652286
2006-08-10 09:30:00,2,800,holding,10088.946976546442,29.090237774439128,1.0,2,10,19.6,126.53,1.6244967136956916
2006-08-10 16:00:00,2,801,holding,10074.870449761695,15.013710989691125,1.0,2,10,19.56,127.37,1.6244967136956916
2006-08-11 09:30:00,2,802,holding,10077.626765662824,17.770026890821654,1.0,2,10,19.51,127.17,1.6245738028456964
2006-08-11 16:00:00,2,803,holding,10080.53181838373,20.67507961172594,1.0,2,10,19.54,127.01,1.6245738028456964
2006-08-14 09:30:00,2,804,closing,10073.637239090225,13.780500318221684,1.0,2,10,19.86,127.63,1.624527888442414
2006-11-09 09:30:00,3,928,opening,10073.637239090225,0.0,1.0,2,10,27.44,139.01,1.5970612611808743
2006-11-09 16:00:00,3,929,holding,10079.592847558026,5.9556084678009995,1.0,2,10,26.71,138.18,1.5970612611808743
2006-11-10 09:30:00,3,930,holding,10079.831672062499,6.194432972273685,1.0,2,10,26.67,138.14,1.597768539868383
2006-11-10 16:00:00,3,931,holding,10078.934610801318,5.2973717110924134,1.0,2,10,26.74,138.24,1.597768539868383
2006-11-13 09:30:00,3,932,closing,10079.992847558025,6.355608467800991,1.0,2,10,26.75,138.18,1.6000348882466116
2007-02-07 09:30:00,4,1046,opening,10079.992847558025,0.0,1.0,2,10,28.62,145.12,1.5858277361582815
2007-02-07 16:00:00,4,1047,holding,10073.265602595482,-6.727244962542519,1.0,2,10,28.09,145.21,1.5858277361582815
2007-02-08 09:30:00,4,1048,holding,10078.184661860963,-1.8081856970618126,1.0,2,10,27.9,144.78,1.5853345626250444
