date,trade_id,idx,event,current_pos,change,direction,score,shares,price_stock,price_spy,beta
2006-08-09 09:30:00,0,798,opening,10000.0,0.0,1.0,2,10,19.41,128.2,1.6281579505652286
2006-08-09 16:00:00,0,799,holding,10023.563526996895,23.56352699689555,1.0,2,10,19.78,126.98,1.6281579505652286
2006-08-10 09:30:00,0,800,closing,10029.090237774439,29.090237774439128,1.0,2,10,19.6,126.53,1.6244967136956916
2006-11-09 09:30:00,1,928,opening,10029.090237774439,0.0,1.0,2,10,27.44,139.01,1.5970612611808743
2006-11-09 16:00:00,1,929,holding,10035.04584624224,5.9556084678009995,1.0,2,10,26.71,138.18,1.5970612611808743
2006-11-10 09:30:00,1,930,closing,10035.284670746712,6.194432972273685,1.0,2,10,26.67,138.14,1.597768539868383
2010-02-04 09:30:00,2,2554,opening,10035.284670746712,0.0,1.0,2,10,23.41,108.98,1.0862393505327717
2010-02-04 16:00:00,2,2555,holding,10060.375150250245,25.090479503532464,1.0,2,10,23.16,106.44,1.0862393505327717
2010-02-05 09:30:00,2,2556,closing,10060.471663029606,25.1869922828931,1.0,2,10,23.3,106.56,1.0846934994839381
2010-05-13 09:30:00,3,2690,opening,10060.471663029606,0.0,1.0,2,10,26.09,117.13,1.0790548951568626
2010-05-13 16:00:00,3,2691,holding,10067.172888834395,6.701225804788253,1.0,2,10,25.53,115.99,1.0790548951568626
2010-05-14 09:30:00,3,2692,closing,10073.860666422259,13.389003392652858,1.0,2,10,25.26,115.12,1.0799009843018654
2022-11-16 09:30:00,4,8992,opening,10073.860666422259,0.0,1.0,2,10,44.94,396.78,0.9548985057850837
2022-11-16 16:00:00,4,8993,holding,10081.060816549201,7.200150126941489,1.0,2,10,44.39,395.45,0.9548985057850837
2022-11-17 09:30:00,4,8994,closing,10146.710251987875,72.84958556561722,1.0,2,10,46.19,390.46,0.9514502078294297
2023-02-16 09:30:00,5,9116,opening,10146.710251987875,0.0,1.0,2,10,49.99,408.79,0.9301567466421643
2023-02-16 16:00:00,5,9117,holding,10161.45405139575,14.743799407875482,1.0,2,10,50.99,408.28,0.9301567466421643
2023-02-17 09:30:00,5,9118,closing,10185.503531171207,38.79327918333122,1.0,2,10,51.33,406.06,0.919174006258566
