date,trade_id,idx,event,current_pos,change,direction,score,shares,price_stock,price_spy,beta
2006-11-09 09:30:00,0,928,opening,10000.0,0.0,1.0,2,10,27.44,139.01,1.5970612611808743
2006-11-09 16:00:00,0,929,holding,10005.9556084678,5.9556084678009995,1.0,2,10,26.71,138.18,1.5970612611808743
2006-11-10 09:30:00,0,930,holding,10006.194432972274,6.194432972273685,1.0,2,10,26.67,138.14,1.597768539868383
2006-11-10 16:00:00,0,931,holding,10005.297371711093,5.2973717110924134,1.0,2,10,26.74,138.24,1.597768539868383
2006-11-13 09:30:00,0,932,closing,10006.3556084678,6.355608467800991,1.0,2,10,26.75,138.18,1.6000348882466116
2007-08-08 09:30:00,1,1298,opening,10006.3556084678,0.0,1.0,2,10,31.13,148.41,1.5403146102453629
2007-08-08 16:00:00,1,1299,holding,9989.983141002316,-16.37246746548439,1.0,2,10,31.68,149.83,1.5403146102453629
2007-08-09 09:30:00,1,1300,holding,10022.150691648205,15.7950831804044,1.0,2,10,31.2,147.43,1.5105123677787133
2007-08-09 16:00:00,1,1301,holding,10055.57310969721,49.21750122941012,1.0,2,10,31.4,145.39,1.5105123677787133
2007-08-10 09:30:00,1,1302,holding,10066.976255799664,60.62064733186375,1.0,2,10,31.0,144.39,1.507991822672349
2007-08-10 16:00:00,1,1303,holding,10065.947249046878,59.591640579078266,1.0,2,10,31.39,144.71,1.507991822672349
2007-08-13 09:30:00,1,1304,closing,10040.175617523486,33.82000905568639,1.0,2,10,31.57,146.5,1.5104952603015627
2007-11-08 09:30:00,2,1428,opening,10040.175617523486,0.0,-1.0,-2,10,30.41,147.99,1.480888683824208
2007-11-08 16:00:00,2,1429,holding,10035.684241447745,-4.4913760757411,-1.0,-2,10,29.63,147.16,1.480888683824208
2007-11-09 09:30:00,2,1430,holding,10019.61517779553,-20.560439727956936,-1.0,-2,10,29.06,145.69,1.481623058117453
2007-11-09 16:00:00,2,1431,holding,10016.270290034496,-23.90532748899024,-1.0,-2,10,28.58,145.14,1.481623058117453
2007-11-12 09:30:00,2,1432,closing,10014.806912113172,-25.368705410312977,-1.0,-2,10,28.83,145.21,1.4874002843486167
2015-02-12 09:30:00,3,5082,opening,10014.806912113172,0.0,1.0,2,10,28.99,207.89,0.977228188489966
2015-02-12 16:00:00,3,5083,holding,10009.441461771725,-5.3654503414466355,1.0,2,10,29.46,208.92,0.977228188489966
2015-02-13 09:30:00,3,5084,holding,10007.175619488991,-7.63129262418166,1.0,2,10,29.38,209.07,0.9774625371032883
2015-02-13 16:00:00,3,5085,holding,10000.737299350712,-14.069612762460489,1.0,2,10,29.43,209.78,0.9774625371032883
2015-02-17 09:30:00,3,5086,closing,10002.750766466974,-12.056145646198644,1.0,2,10,29.26,209.4,0.9774119265731833
2016-05-19 09:30:00,4,5720,opening,10002.750766466974,0.0,1.0,2,10,27.99,204.06,0.9502097592327254
2016-05-19 16:00:00,4,5721,holding,9997.220472804049,-5.530293662925667,1.0,2,10,27.57,204.2,0.9502097592327254
2016-05-20 09:30:00,4,5722,holding,9990.978962537572,-11.771803929401292,1.0,2,10,27.63,204.92,0.9495211102799735
2016-05-20 16:00:00,4,5723,holding,9988.962766909946,-13.787999557028034,1.0,2,10,27.97,205.49,0.9495211102799735
2016-05-23 09:30:00,4,5724,closing,9986.872724958099,-15.878041508874382,1.0,2,10,27.78,205.51,0.9500201380803506
2019-02-14 09:30:00,5,7098,opening,9986.872724958099,0.0,1.0,2,10,48.85,273.78,1.0945246390487071
2019-02-14 16:00:00,5,7099,holding,9975.805577123807,-11.06714783429252,1.0,2,10,48.4,274.38,1.0945246390487071
2019-02-15 09:30:00,5,7100,holding,9958.433989270641,-28.43873568745712,1.0,2,10,48.83,276.36,1.0916646506168042
2019-02-15 16:00:00,5,7101,holding,9953.37929041625,-33.493434541848956,1.0,2,10,49.43,277.37,1.0916646506168042
2019-02-19 09:30:00,5,7102,closing,9960.820559703783,-26.052165254315575,1.0,2,10,49.2,276.48,1.0919026797614226
2024-05-16 09:30:00,6,9742,opening,9960.820559703783,0.0,1.0,2,10,50.08,529.88,0.8679195964272258
2024-05-16 16:00:00,6,9743,holding,9953.748802901267,-7.071756802516475,1.0,2,10,48.34,528.69,0.8679195964272258
2024-05-17 09:30:00,6,9744,holding,9951.907299385555,-8.913260318228252,1.0,2,10,48.26,528.81,0.8656682780375494
2024-05-17 16:00:00,6,9745,holding,9945.45261396842,-15.367945735363328,1.0,2,10,48.17,529.45,0.8656682780375494
2024-05-20 09:30:00,6,9746,closing,9942.711110452707,-18.109449251076057,1.0,2,10,48.0,529.57,0.8661185515599056
