date,trade_id,idx,event,current_pos,change,direction,score,shares,price_stock,price_spy,beta
2005-11-22 09:30:00,0,442,opening,10000.0,0.0,1.0,1,10,16.99,125.56,1.9184287290421025
2005-11-22 16:00:00,0,443,holding,9988.703627405088,-11.296372594911432,1.0,1,10,17.28,126.3,1.9184287290421025
2005-11-23 09:30:00,0,444,holding,9989.362841769609,-10.63715823039045,1.0,1,10,17.25,126.25,1.9187233377323931
2005-11-23 16:00:00,0,445,holding,9976.29909768308,-23.700902316918857,1.0,1,10,17.44,127.03,1.9187233377323931
2005-11-25 09:30:00,0,446,holding,9978.058312047602,-21.941687952397878,1.0,1,10,17.52,126.98,1.9189046687151716
2005-11-25 16:00:00,0,447,holding,9975.480668954038,-24.519331045960854,1.0,1,10,17.55,127.13,1.9189046687151716
2005-11-28 09:30:00,0,448,closing,9973.078554479189,-26.92144552081148,1.0,1,10,17.54,127.25,1.918806076055509
2006-02-09 09:30:00,1,548,opening,9973.078554479189,0.0,1.0,1,10,19.53,126.92,1.7784852726006106
2006-02-09 16:00:00,1,549,holding,9982.348829369452,9.2702748902632,1.0,1,10,19.55,126.41,1.7784852726006106
2006-02-10 09:30:00,1,550,holding,9982.493132314932,9.414577835742904,1.0,1,10,19.6,126.43,1.7713734303200914
2006-02-10 16:00:00,1,551,holding,9980.35831324247,7.279758763281734,1.0,1,10,19.76,126.64,1.7713734303200914
2006-02-13 09:30:00,1,552,holding,9980.40325293329,7.324698454102283,1.0,1,10,19.64,126.57,1.7713843070135125
2006-02-13 16:00:00,1,553,holding,9982.348829369452,9.2702748902632,1.0,1,10,19.55,126.41,1.7713843070135125
2006-02-14 09:30:00,1,554,closing,9982.059586733152,8.981032253962933,1.0,1,10,19.61,126.46,1.7695847996366494
2006-11-09 09:30:00,2,928,opening,9982.059586733152,0.0,1.0,2,10,27.44,139.01,1.5970612611808743
2006-11-09 16:00:00,2,929,holding,9988.015195200953,5.9556084678009995,1.0,2,10,26.71,138.18,1.5970612611808743
2006-11-10 09:30:00,2,930,holding,9988.254019705426,6.194432972273685,1.0,2,10,26.67,138.14,1.597768539868383
2006-11-10 16:00:00,2,931,holding,9987.356958444245,5.2973717110924134,1.0,2,10,26.74,138.24,1.597768539868383
2006-11-13 09:30:00,2,932,holding,9988.415195200952,6.355608467800991,1.0,2,10,26.75,138.18,1.6000348882466116
