date,trade_id,idx,event,current_pos,change,direction,score,shares,price_stock,price_spy,beta
2007-02-07 09:30:00,0,1046,opening,10000.0,0.0,1.0,2,10,28.62,145.12,1.5858277361582815
2007-02-07 16:00:00,0,1047,holding,9993.272755037457,-6.727244962542519,1.0,2,10,28.09,145.21,1.5858277361582815
2007-02-08 09:30:00,0,1048,holding,9998.191814302938,-1.8081856970618126,1.0,2,10,27.9,144.78,1.5853345626250444
2007-02-08 16:00:00,0,1049,holding,9996.785827736157,-3.214172263841813,1.0,2,10,28.14,145.02,1.5853345626250444
2007-02-09 09:30:00,0,1050,holding,9995.351496641695,-4.6485033583050175,1.0,2,10,28.06,145.06,1.581709438525411
2007-02-09 16:00:00,0,1051,holding,10009.612767286668,9.612767286667829,1.0,2,10,27.71,143.94,1.581709438525411
2007-02-12 09:30:00,0,1052,closing,10008.812767286669,8.81276728666781,1.0,2,10,27.63,143.94,1.581610848190801
2007-05-09 09:30:00,1,1172,opening,10008.812767286669,0.0,1.0,2,10,27.02,150.64,1.5648450178195465
2007-05-09 16:00:00,1,1173,holding,9995.575573194006,-13.237194092661785,1.0,2,10,26.51,151.16,1.5648450178195465
2007-05-10 09:30:00,1,1174,holding,10000.90440677063,-7.908360516037631,1.0,2,10,26.37,150.73,1.5552630317016987
2007-05-10 16:00:00,1,1175,holding,10018.100124475555,9.28735718888678,1.0,2,10,26.29,149.58,1.5552630317016987
2007-05-11 09:30:00,1,1176,holding,10016.939887945262,8.127120658593768,1.0,2,10,26.44,149.75,1.551793685457941
2007-05-11 16:00:00,1,1177,holding,10001.470108247466,-7.342659039203435,1.0,2,10,26.63,150.86,1.551793685457941
2007-05-14 09:30:00,1,1178,closing,10001.370108247465,-7.4426590392034155,1.0,2,10,26.62,150.86,1.5511442452875543
2010-05-13 09:30:00,2,2690,opening,10001.370108247465,0.0,1.0,2,10,26.09,117.13,1.0790548951568626
2010-05-13 16:00:00,2,2691,holding,10008.071334052254,6.701225804788253,1.0,2,10,25.53,115.99,1.0790548951568626
2010-05-14 09:30:00,2,2692,holding,10014.759111640118,13.389003392652858,1.0,2,10,25.26,115.12,1.0799009843018654
2010-05-14 16:00:00,2,2693,holding,10024.831486850548,23.461378603082306,1.0,2,10,24.94,113.89,1.0799009843018654
2010-05-17 09:30:00,2,2694,holding,10021.78641667556,20.416308428095988,1.0,2,10,24.97,114.2,1.0805710150528698
2010-05-17 16:00:00,2,2695,holding,10023.484053913453,22.11394566598816,1.0,2,10,24.87,113.95,1.0805710150528698
2010-05-18 09:30:00,2,2696,closing,10014.748843388496,13.378735141029408,1.0,2,10,25.0,114.88,1.0807046125057898
2023-02-16 09:30:00,3,9116,opening,10014.748843388496,0.0,1.0,2,10,49.99,408.79,0.9301567466421643
2023-02-16 16:00:00,3,9117,holding,10029.492642796371,14.743799407875482,1.0,2,10,50.99,408.28,0.9301567466421643
2023-02-17 09:30:00,3,9118,holding,10053.542122571827,38.79327918333122,1.0,2,10,51.33,406.06,0.919174006258566
2023-02-17 16:00:00,3,9119,holding,10036.780241612121,22.031398223625402,1.0,2,10,50.77,407.26,0.919174006258566
2023-02-21 09:30:00,3,9120,closing,10075.246824971091,60.49798158259617,1.0,2,10,50.71,403.06,0.9197125111009359
