date,trade_id,idx,event,current_pos,change,direction,score,shares,price_stock,price_spy,beta
2012-08-09 09:30:00,0,3822,opening,10000.0,0.0,1.0,2,10,50.28,140.29,1.0164900077924277
2012-08-09 16:00:00,0,3823,holding,9993.547231975064,-6.452768024935991,1.0,2,10,49.96,140.61,1.0164900077924277
2012-08-10 09:30:00,0,3824,closing,9998.741225019481,-1.2587749805189563,1.0,2,10,49.9,140.04,1.016161923926029
2014-02-06 09:30:00,1,4570,opening,9998.741225019481,0.0,1.0,2,10,75.61,175.58,0.9917258517473384
2014-02-06 16:00:00,1,4571,holding,9979.398433836282,-19.342791183199175,1.0,2,10,75.56,177.48,0.9917258517473384
2014-02-07 09:30:00,1,4572,closing,9966.36710926678,-32.37411575270225,1.0,2,10,75.08,178.31,0.9873183107844669
2014-05-07 09:30:00,2,4694,opening,9966.36710926678,0.0,1.0,2,10,81.65,187.43,0.9750528671687241
2014-05-07 16:00:00,2,4695,holding,9948.379371364521,-17.98773790225914,1.0,2,10,80.29,187.88,0.9750528671687241
2014-05-08 09:30:00,2,4696,closing,9949.626982385575,-16.74012688120487,1.0,2,10,80.21,187.67,0.9672280352688903
2014-11-07 09:30:00,3,4952,opening,9949.626982385575,0.0,1.0,2,10,89.39,203.17,0.9393840500793472
2014-11-07 16:00:00,3,4953,holding,9954.13002950044,4.5030471148649545,1.0,2,10,90.0,203.34,0.9393840500793472
2014-11-10 09:30:00,3,4954,closing,9956.154275880408,6.5272934948332395,1.0,2,10,90.24,203.38,0.938812013185855
2015-02-04 09:30:00,4,5070,opening,9956.154275880408,0.0,1.0,2,10,99.39,203.92,0.9447562337439168
2015-02-04 16:00:00,4,5071,holding,9973.731617153166,17.57734127275838,1.0,2,10,101.28,204.06,0.9447562337439168
2015-02-05 09:30:00,4,5072,closing,9960.973567283216,4.81929140280698,1.0,2,10,100.76,204.86,0.9447450057085313
2016-08-10 09:30:00,5,5834,opening,9960.973567283216,0.0,1.0,2,10,96.7,218.31,0.949343453842143
2016-08-10 16:00:00,5,5835,holding,9978.934168423959,17.960601140742476,1.0,2,10,97.86,217.64,0.949343453842143
2016-08-11 09:30:00,5,5836,closing,9976.448239010137,15.474671726921178,1.0,2,10,98.2,218.26,0.950411400093008
2018-05-09 09:30:00,6,6712,opening,9976.448239010137,0.0,1.0,2,10,102.25,267.68,0.9549637397234133
2018-05-09 16:00:00,6,6713,holding,9936.26789894717,-40.18034006296607,1.0,2,10,99.97,269.5,0.9549637397234133
2018-05-10 09:30:00,6,6714,closing,9932.846203533494,-43.60203547664242,1.0,2,10,100.43,270.34,0.952234460067362
