date,trade_id,idx,event,current_pos,change,direction,score,shares,price_stock,price_spy,beta
2006-02-09 09:30:00,0,548,opening,10000.0,0.0,1.0,2,10,26.81,126.92,1.223828297362249
2006-02-09 16:00:00,0,549,holding,10004.841524316547,4.841524316547562,1.0,2,10,26.67,126.41,1.223828297362249
2006-02-10 09:30:00,0,550,holding,10003.496758657075,3.496758657074958,1.0,2,10,26.56,126.43,1.2232055559139547
2006-02-10 16:00:00,0,551,holding,10001.626719232614,1.6267192326143136,1.0,2,10,26.63,126.64,1.2232055559139547
2006-02-13 09:30:00,0,552,holding,10002.483399040768,2.4833990407679787,1.0,2,10,26.63,126.57,1.2227021997937364
2006-02-13 16:00:00,0,553,holding,10001.741524316547,1.7415243165475391,1.0,2,10,26.36,126.41,1.2227021997937364
2006-02-14 09:30:00,0,554,closing,10002.629610167867,2.6296101678664705,1.0,2,10,26.51,126.46,1.2228532615327141
2006-11-10 09:30:00,1,930,opening,10002.629610167867,0.0,1.0,2,10,32.69,138.14,1.173211039126768
2006-11-10 16:00:00,1,931,holding,9997.95639912874,-4.673211039126977,1.0,2,10,32.34,138.24,1.173211039126768
2006-11-13 09:30:00,1,932,holding,9997.660325752217,-4.969284415650905,1.0,2,10,32.24,138.18,1.1779529122358579
2006-11-13 16:00:00,1,933,holding,9992.56748159571,-10.062128572158036,1.0,2,10,32.2,138.58,1.1779529122358579
2006-11-14 09:30:00,1,934,holding,9990.091958543115,-12.537651624752332,1.0,2,10,32.41,138.97,1.1825265785648635
2006-11-14 16:00:00,1,935,holding,9983.066086788791,-19.56352337907637,1.0,2,10,32.47,139.62,1.1825265785648635
2006-11-15 09:30:00,1,936,closing,9982.652692308355,-19.976917859512866,1.0,2,10,32.37,139.57,1.1808387053244986
2007-02-08 09:30:00,2,1048,opening,9982.652692308355,0.0,1.0,2,10,35.98,144.78,1.1659143261074232
2007-02-08 16:00:00,2,1049,holding,9972.354497925697,-10.298194382657922,1.0,2,10,35.23,145.02,1.1659143261074232
2007-02-09 09:30:00,2,1050,holding,9970.988132195254,-11.664560113100762,1.0,2,10,35.14,145.06,1.1661692176327285
2007-02-09 16:00:00,2,1051,holding,9975.646372647658,-7.006319660697603,1.0,2,10,34.3,143.94,1.1661692176327285
2007-02-12 09:30:00,2,1052,holding,9977.346372647657,-5.306319660697586,1.0,2,10,34.47,143.94,1.1671595555403431
2007-02-12 16:00:00,2,1053,holding,9976.959352845584,-5.693339462771101,1.0,2,10,33.86,143.45,1.1671595555403431
2007-02-13 09:30:00,2,1054,closing,9974.72842700204,-7.924265306315121,1.0,2,10,34.01,143.77,1.1657233766046502
2008-05-07 09:30:00,3,1674,opening,9974.72842700204,0.0,1.0,2,10,34.21,141.89,0.9235559629434417
2008-05-07 16:00:00,3,1675,holding,10001.516703323798,26.788276321759366,1.0,2,10,34.7,139.52,0.9235559629434417
2008-05-08 09:30:00,3,1676,holding,10000.084880205322,25.35645320328376,1.0,2,10,34.76,139.74,0.9185478038392862
2008-05-08 16:00:00,3,1677,holding,10003.441504790395,28.71307778835588,1.0,2,10,34.56,139.16,0.9185478038392862
2008-05-09 09:30:00,3,1678,holding,10004.013418182878,29.284991180839164,1.0,2,10,34.1,138.6,0.9194266438843828
2008-05-09 16:00:00,3,1679,holding,10003.242750294048,28.51432329200869,1.0,2,10,34.3,138.9,0.9194266438843828
2008-05-12 09:30:00,3,1680,closing,9998.510304423746,23.78187742170671,1.0,2,10,34.15,139.25,0.9194059367875682
2011-11-11 09:30:00,4,3450,opening,9998.510304423746,0.0,1.0,2,10,36.63,125.83,1.0234579969388549
2011-11-11 16:00:00,4,3451,holding,9990.715603049153,-7.794701374592475,1.0,2,10,36.7,126.66,1.0234579969388549
2011-11-14 09:30:00,4,3452,holding,9991.825855634766,-6.684448788979914,1.0,2,10,36.33,126.19,1.0233710011176704
2011-11-14 16:00:00,4,3453,holding,9997.19709901242,-1.3132054113262415,1.0,2,10,36.12,125.46,1.0233710011176704
2011-11-15 09:30:00,4,3454,holding,9998.565127203543,0.05482277979638961,1.0,2,10,35.96,125.17,1.0234388127845393
2011-11-15 16:00:00,4,3455,holding,9994.151659431398,-4.358644992347134,1.0,2,10,36.45,126.08,1.0234388127845393
2011-11-16 09:30:00,4,3456,closing,10002.249575992522,3.739271568776261,1.0,2,10,35.96,124.81,1.023491715553227
2012-08-09 09:30:00,5,3822,opening,10002.249575992522,0.0,1.0,2,10,50.28,140.29,1.0164900077924277
2012-08-09 16:00:00,5,3823,holding,9995.796807967587,-6.452768024935991,1.0,2,10,49.96,140.61,1.0164900077924277
2012-08-10 09:30:00,5,3824,holding,10000.990801012003,-1.2587749805189563,1.0,2,10,49.9,140.04,1.016161923926029
2012-08-10 16:00:00,5,3825,holding,9990.358880949663,-11.890695042858495,1.0,2,10,49.65,140.84,1.016161923926029
2012-08-13 09:30:00,5,3826,holding,9991.598456968366,-10.65111902415655,1.0,2,10,49.53,140.6,1.0160581136280764
2012-08-13 16:00:00,5,3827,holding,9993.170423955118,-9.079152037403855,1.0,2,10,49.86,140.77,1.0160581136280764
2012-08-14 09:30:00,5,3828,closing,9988.584675914599,-13.66490007792429,1.0,2,10,49.93,141.29,1.015607103802332
2013-02-06 09:30:00,6,4066,opening,9988.584675914599,0.0,1.0,2,10,55.4,150.52,1.0142368982217003
2013-02-06 16:00:00,6,4067,holding,9973.29355976598,-15.291116148618698,1.0,2,10,54.52,151.16,1.0142368982217003
2013-02-07 09:30:00,6,4068,holding,9968.28644131687,-20.298234597729696,1.0,2,10,54.07,151.21,1.0150942799267622
2013-02-07 16:00:00,6,4069,holding,9973.722033562424,-14.86264235217545,1.0,2,10,54.36,150.96,1.0150942799267622
2013-02-08 09:30:00,6,4070,holding,9971.285017627048,-17.299658287551747,1.0,2,10,54.38,151.22,1.0151247411002924
2013-02-08 16:00:00,6,4071,holding,9968.202443617361,-20.382232297237795,1.0,2,10,54.66,151.8,1.0151247411002924
2013-02-11 09:30:00,6,4072,closing,9968.710985756294,-19.873690158304733,1.0,2,10,54.65,151.74,1.0151097568988168
2013-05-08 09:30:00,7,4192,opening,9968.710985756294,0.0,1.0,2,10,66.0,162.42,1.0299396121246958
2013-05-08 16:00:00,7,4193,holding,9959.135541324746,-9.575444431547416,1.0,2,10,65.99,163.34,1.0299396121246958
2013-05-09 09:30:00,7,4194,holding,9957.256499053234,-11.454486703060107,1.0,2,10,65.73,163.27,1.029400727542785
2013-05-09 16:00:00,7,4195,holding,9970.67326354052,1.9622777842263344,1.0,2,10,66.67,162.88,1.029400727542785
2013-05-10 09:30:00,7,4196,holding,9969.740329967182,1.0293442108889894,1.0,2,10,66.69,162.99,1.030871477011446
2013-05-10 16:00:00,7,4197,holding,9970.51458359626,1.8035978399654473,1.0,2,10,67.2,163.41,1.030871477011446
2013-05-13 09:30:00,7,4198,closing,9970.277456781721,1.5664710254272984,1.0,2,10,66.96,163.2,1.030574950879306
2013-11-08 09:30:00,8,4450,opening,9970.277456781721,0.0,1.0,2,10,66.87,174.87,1.0371824349750904
2013-11-08 16:00:00,8,4451,holding,9962.277641855324,-7.99981492639712,1.0,2,10,68.58,177.29,1.0371824349750904
2013-11-11 09:30:00,8,4452,holding,9963.040851994781,-7.23660478693954,1.0,2,10,68.48,177.12,1.0266979122860886
2013-11-11 16:00:00,8,4453,holding,9959.566487124832,-10.71096965688961,1.0,2,10,68.34,177.32,1.0266979122860886
2013-11-12 09:30:00,8,4454,holding,9963.407780377736,-6.869676403984366,1.0,2,10,68.33,176.94,1.0140488751634587
2013-11-12 16:00:00,8,4455,holding,9957.600343890743,-12.677112890979512,1.0,2,10,67.77,176.96,1.0140488751634587
2013-11-13 09:30:00,8,4456,closing,9963.223831075025,-7.053625706696069,1.0,2,10,67.43,176.09,1.0045732377137424
2014-02-06 09:30:00,9,4570,opening,9963.223831075025,0.0,1.0,2,10,75.61,175.58,0.9917258517473384
2014-02-06 16:00:00,9,4571,holding,9943.881039891827,-19.342791183199175,1.0,2,10,75.56,177.48,0.9917258517473384
2014-02-07 09:30:00,9,4572,holding,9930.849715322323,-32.37411575270225,1.0,2,10,75.08,178.31,0.9873183107844669
2014-02-07 16:00:00,9,4573,holding,9923.163071153385,-40.060759921640795,1.0,2,10,75.67,179.68,0.9873183107844669
2014-02-10 09:30:00,9,4574,holding,9922.964725983034,-40.25910509199008,1.0,2,10,75.67,179.7,0.9924400455864989
2014-02-10 16:00:00,9,4575,holding,9933.790375842618,-29.433455232406843,1.0,2,10,77.06,180.01,0.9924400455864989
2014-02-11 09:30:00,9,4576,closing,9933.202787064998,-30.021044010027875,1.0,2,10,77.15,180.16,0.9878753783861561
2014-05-07 09:30:00,10,4694,opening,9933.202787064998,0.0,1.0,2,10,81.65,187.43,0.9750528671687241
2014-05-07 16:00:00,10,4695,holding,9915.21504916274,-17.98773790225914,1.0,2,10,80.29,187.88,0.9750528671687241
2014-05-08 09:30:00,10,4696,holding,9916.462660183794,-16.74012688120487,1.0,2,10,80.21,187.67,0.9672280352688903
2014-05-08 16:00:00,10,4697,holding,9930.265154897077,-2.937632167921924,1.0,2,10,81.6,187.68,0.9672280352688903
2014-05-09 09:30:00,10,4698,holding,9926.86764961036,-6.335137454638691,1.0,2,10,81.27,187.69,0.9650987924625052
2014-05-09 16:00:00,10,4699,holding,9931.035006869004,-2.1677801959942764,1.0,2,10,81.95,187.96,0.9650987924625052
2014-05-12 09:30:00,10,4700,closing,9924.534583931654,-8.668203133343948,1.0,2,10,82.08,188.76,0.9657566408370192
2014-08-06 09:30:00,11,4820,opening,9924.534583931654,0.0,1.0,2,10,86.18,191.11,0.9426303178205474
2014-08-06 16:00:00,11,4821,holding,9919.585332880577,-4.949251051077096,1.0,2,10,86.59,192.07,0.9426303178205474
2014-08-07 09:30:00,11,4822,holding,9915.384449115538,-9.150134816115987,1.0,2,10,86.99,192.94,0.9424087823976369
2014-08-07 16:00:00,11,4823,holding,9918.588688185911,-5.945895745743462,1.0,2,10,85.51,191.03,0.9424087823976369
2014-08-08 09:30:00,11,4824,holding,9915.935377819282,-8.599206112371874,1.0,2,10,85.65,191.46,0.9430378201320584
2014-08-08 16:00:00,11,4825,holding,9911.156558162076,-13.378025769577743,1.0,2,10,86.85,193.24,0.9430378201320584
2014-08-11 09:30:00,11,4826,closing,9906.475356841987,-18.05922708966765,1.0,2,10,87.07,193.97,0.9434045216682542
2014-11-07 09:30:00,12,4952,opening,9906.475356841987,0.0,1.0,2,10,89.39,203.17,0.9393840500793472
2014-11-07 16:00:00,12,4953,holding,9910.978403956853,4.5030471148649545,1.0,2,10,90.0,203.34,0.9393840500793472
2014-11-10 09:30:00,12,4954,holding,9913.00265033682,6.5272934948332395,1.0,2,10,90.24,203.38,0.938812013185855
2014-11-10 16:00:00,12,4955,holding,9902.766346036344,-3.7090108056427287,1.0,2,10,89.78,203.98,0.938812013185855
2014-11-11 09:30:00,12,4956,holding,9904.314838796281,-2.1605180457062834,1.0,2,10,90.01,204.06,0.9411979212581245
2014-11-11 16:00:00,12,4957,holding,9902.887577936186,-3.587778905801554,1.0,2,10,89.98,204.18,0.9411979212581245
2014-11-12 09:30:00,12,4958,closing,9908.584465551845,2.1091087098570656,1.0,2,10,89.77,203.35,0.9412409478453878
2015-02-04 09:30:00,13,5070,opening,9908.584465551845,0.0,1.0,2,10,99.39,203.92,0.9447562337439168
2015-02-04 16:00:00,13,5071,holding,9926.161806824603,17.57734127275838,1.0,2,10,101.28,204.06,0.9447562337439168
2015-02-05 09:30:00,13,5072,holding,9913.403756954653,4.81929140280698,1.0,2,10,100.76,204.86,0.9447450057085313
2015-02-05 16:00:00,13,5073,holding,9920.29982840948,11.715362857633668,1.0,2,10,102.64,206.12,0.9447450057085313
2015-02-06 09:30:00,13,5074,holding,9916.442900981005,7.858435429160466,1.0,2,10,102.67,206.56,0.9468324448778841
2015-02-06 16:00:00,13,5075,holding,9919.48493894182,10.900473389973886,1.0,2,10,102.02,205.55,0.9468324448778841
2015-02-09 09:30:00,13,5076,closing,9924.654037565022,16.069572013176458,1.0,2,10,101.8,204.77,0.9467092341023279
2015-05-06 09:30:00,14,5196,opening,9924.654037565022,0.0,1.0,2,10,111.56,209.56,0.9548916342433319
2015-05-06 16:00:00,14,5197,holding,9920.768390405521,-3.885647159501291,1.0,2,10,109.72,208.04,0.9548916342433319
2015-05-07 09:30:00,14,5198,holding,9920.714260366613,-3.9397771984092955,1.0,2,10,109.6,207.92,0.9549442689647617
2015-05-07 16:00:00,14,5199,holding,9908.2427898413,-16.411247723721004,1.0,2,10,109.26,208.87,0.9549442689647617
2015-05-08 09:30:00,14,5200,holding,9899.04946799301,-25.60456957201189,1.0,2,10,110.26,210.88,0.9531408733315807
2015-05-08 16:00:00,14,5201,holding,9890.483269899609,-34.17076766541268,1.0,2,10,110.11,211.62,0.9531408733315807
2015-05-11 09:30:00,14,5202,closing,9891.260715716731,-33.3933218482909,1.0,2,10,110.14,211.57,0.950914017023629
2015-11-06 09:30:00,15,5454,opening,9891.260715716731,0.0,1.0,2,10,114.6,209.74,0.9451714287161728
2015-11-06 16:00:00,15,5455,holding,9899.125201430583,7.864485713851717,1.0,2,10,115.67,210.04,0.9451714287161728
2015-11-09 09:30:00,15,5456,holding,9908.324952860212,17.064237143479723,1.0,2,10,115.9,209.31,0.9449690814154218
2015-11-09 16:00:00,15,5457,holding,9925.15056143342,33.889845716688505,1.0,2,10,116.42,208.08,0.9449690814154218
2015-11-10 09:30:00,15,5458,holding,9928.038038577102,36.7773228603709,1.0,2,10,116.17,207.51,0.944200586043012
2015-11-10 16:00:00,15,5459,holding,9930.613738575583,39.35302285885098,1.0,2,10,117.42,208.56,0.944200586043012
2015-11-11 09:30:00,15,5460,closing,9928.88919000369,37.628474286959246,1.0,2,10,117.55,208.88,0.9444923727568837
2016-02-10 09:30:00,16,5582,opening,9928.88919000369,0.0,1.0,2,10,88.0,186.41,0.9565688828064325
2016-02-10 16:00:00,16,5583,holding,9948.294075267684,19.404885263993144,1.0,2,10,88.85,185.27,0.9565688828064325
2016-02-11 09:30:00,16,5584,holding,9957.821543533912,28.932353530221736,1.0,2,10,87.0,182.34,0.9549716953849631
2016-02-11 16:00:00,16,5585,holding,9985.94738534332,57.05819533962821,1.0,2,10,90.31,182.86,0.9549716953849631
2016-02-12 09:30:00,16,5586,holding,9977.959438804384,49.07024880069312,1.0,2,10,91.52,184.96,0.9592183052264356
2016-02-12 16:00:00,16,5587,holding,9958.284738461516,29.395548457825917,1.0,2,10,91.15,186.63,0.9592183052264356
2016-02-16 09:30:00,16,5588,closing,9951.014164369459,22.124974365768054,1.0,2,10,92.47,188.77,0.9577466770917246
2016-05-11 09:30:00,17,5708,opening,9951.014164369459,0.0,1.0,2,10,101.46,207.91,0.9514228890539107
2016-05-11 16:00:00,17,5709,holding,9972.72922710512,21.715062735660233,1.0,2,10,102.29,206.5,0.9514228890539107
