date,trade_id,idx,event,current_pos,change,direction,score,shares,price_stock,price_spy,beta
2006-12-13 09:30:00,0,974,opening,10000.0,0.0,1.0,2,10,200.16,142.23,1.088126410165169
2006-12-13 16:00:00,0,975,holding,9985.417255076594,-14.582744923405496,1.0,2,10,198.31,141.87,1.088126410165169
2006-12-14 09:30:00,0,976,closing,9994.426067717612,-5.5739322823892135,1.0,2,10,199.2,141.86,1.088317152720476
2007-03-13 16:00:00,1,1093,opening,9994.426067717612,0.0,1.0,2,10,199.03,138.25,1.0803452966056502
2007-03-14 09:30:00,1,1094,holding,10002.181446183722,7.755378466109745,1.0,2,10,200.0,138.43,1.0812131475409013
2007-03-14 16:00:00,1,1095,closing,9994.498511162574,0.07244344496183608,1.0,2,10,200.15,139.28,1.0812131475409013
2007-12-19 09:30:00,2,1484,opening,9994.498511162574,0.0,1.0,2,10,202.68,145.94,1.36292050894703
2007-12-19 16:00:00,2,1485,holding,10010.116263467942,15.617752305368146,1.0,2,10,204.16,145.88,1.36292050894703
2007-12-20 09:30:00,2,1486,closing,10016.03222658205,21.533715419476607,1.0,2,10,206.06,146.84,1.3653451889426722
2011-10-18 16:00:00,3,3415,opening,10016.03222658205,0.0,-1.0,-2,10,102.25,122.58,1.632770224624526
2011-10-19 09:30:00,3,3416,holding,10019.766686132802,3.7344595507509304,-1.0,-2,10,101.55,122.38,1.6330815063988162
2011-10-19 16:00:00,3,3417,closing,10006.957058324995,-9.075168257055735,-1.0,-2,10,100.79,121.13,1.6330815063988162
2014-07-16 09:30:00,4,4790,opening,10006.957058324995,0.0,1.0,2,10,169.2,198.11,1.2808701250859793
2014-07-16 16:00:00,4,4791,holding,10021.578363512624,14.621305187629144,1.0,2,10,170.47,197.96,1.2808701250859793
2014-07-17 09:30:00,4,4792,closing,10026.791671275649,19.834612950653884,1.0,2,10,170.21,197.35,1.2803697002316976
2015-04-16 16:00:00,5,5169,opening,10026.791671275649,0.0,1.0,2,10,200.21,210.37,1.2556549446196767
2015-04-17 09:30:00,5,5170,holding,10021.04753698371,-5.7441342919385825,1.0,2,10,197.84,208.94,1.2563906401361207
2015-04-17 16:00:00,5,5171,closing,10028.578520935445,1.786849659796239,1.0,2,10,197.35,207.95,1.2563906401361207
2018-04-18 09:30:00,6,6682,opening,10028.578520935445,0.0,1.0,2,10,254.9,270.69,1.2152809534751599
2018-04-18 16:00:00,6,6683,holding,10023.22436379587,-5.354157139574439,1.0,2,10,254.0,270.39,1.2152809534751599
2018-04-19 09:30:00,6,6684,closing,10032.217442851586,3.638921916141855,1.0,2,10,254.0,269.65,1.2141525816351877
2020-10-14 16:00:00,7,7939,opening,10032.217442851586,0.0,1.0,2,10,211.23,347.93,1.2471102346492302
2020-10-15 09:30:00,7,7940,holding,10068.345494753785,36.12805190219809,1.0,2,10,209.58,343.71,1.2465600918592248
2020-10-15 16:00:00,7,7941,closing,10011.280016860579,-20.93742599100818,1.0,2,10,208.6,347.5,1.2465600918592248
2021-07-14 09:30:00,8,8312,opening,10011.280016860579,0.0,1.0,2,10,378.75,437.4,1.203598358917182
2021-07-14 16:00:00,8,8313,holding,9981.741757824018,-29.5382590365613,1.0,2,10,374.4,436.24,1.203598358917182
2021-07-15 09:30:00,8,8314,closing,9967.353214356533,-43.9268025040452,1.0,2,10,371.24,434.81,1.203821545189291
2024-04-15 16:00:00,9,9697,opening,9967.353214356533,0.0,1.0,2,10,400.88,504.45,1.1268681025857972
2024-04-16 09:30:00,9,9698,holding,9997.531560653862,30.178346297329423,1.0,2,10,404.45,504.94,1.125016318504175
2024-04-16 16:00:00,9,9699,closing,9937.520400900323,-29.832813456210303,1.0,2,10,396.86,503.53,1.125016318504175
