date,trade_id,idx,event,current_pos,change,direction,score,shares,price_stock,price_spy,beta
2006-09-13 09:30:00,0,846,opening,10000.0,0.0,1.0,2,63.41154090044389,157.7,131.64,1.0324693889327705
2006-09-13 16:00:00,0,847,holding,10162.407593812239,162.4075938122388,1.0,2,63.41154090044389,160.86,132.22,1.0324693889327705
2006-09-14 09:30:00,0,848,closing,10109.043106882784,109.04310688278395,1.0,2,63.41154090044389,159.75,131.96,1.0344268337633384
2006-12-13 09:30:00,1,974,opening,10109.043106882784,0.0,1.0,1,50.50481168506587,200.16,142.23,1.088126410165169
2006-12-13 16:00:00,1,975,holding,10035.39322826199,-73.64987862079448,1.0,1,50.50481168506587,198.31,141.87,1.088126410165169
2006-12-14 09:30:00,1,976,closing,10080.892066856046,-28.15104002673766,1.0,1,50.50481168506587,199.2,141.86,1.088317152720476
2007-03-13 16:00:00,2,1093,opening,10080.892066856046,0.0,1.0,1,50.65011338419357,199.03,138.25,1.0803452966056502
2007-03-14 09:30:00,2,1094,holding,10120.173146720625,39.281079864579176,1.0,1,50.65011338419357,200.0,138.43,1.0812131475409013
2007-03-14 16:00:00,2,1095,closing,10081.258993726171,0.36692687012585834,1.0,1,50.65011338419357,200.15,139.28,1.0812131475409013
2007-06-15 09:30:00,3,1224,opening,10081.258993726171,0.0,-1.0,-1,44.34636428859442,227.33,153.14,1.0802297466781936
2007-06-15 16:00:00,3,1225,holding,10128.46055068486,47.20155695868891,-1.0,-1,44.34636428859442,226.19,153.07,1.0802297466781936
2007-06-18 09:30:00,3,1226,closing,10127.346180718052,46.08718699188027,-1.0,-1,44.34636428859442,226.55,153.38,1.0782952182808947
2007-09-21 09:30:00,4,1360,opening,10127.346180718052,0.0,1.0,1,49.267105374187835,205.56,152.71,1.2288490644235828
2007-09-21 16:00:00,4,1361,holding,10389.90774536795,262.5615646498975,1.0,1,49.267105374187835,209.98,151.97,1.2288490644235828
2007-09-24 09:30:00,4,1362,closing,10412.423695440213,285.07751472216086,1.0,1,49.267105374187835,210.99,152.42,1.2262037442011022
2008-06-17 16:00:00,5,1731,opening,10412.423695440213,0.0,-1.0,-1,58.0273277721813,179.44,135.57,1.6185668007475011
2008-06-18 09:30:00,5,1732,holding,10491.08909313091,78.66539769069593,-1.0,-1,58.0273277721813,176.66,134.69,1.6263537622044688
2008-06-18 16:00:00,5,1733,closing,10095.216833684897,-317.20686175531665,-1.0,-1,58.0273277721813,182.77,134.25,1.6263537622044688
2008-09-17 09:30:00,6,1858,opening,10095.216833684897,0.0,1.0,1,83.56967577553723,120.8,119.64,1.7242946960664227
2008-09-17 16:00:00,6,1859,holding,10005.347084835013,-89.86974884988328,1.0,1,83.56967577553723,114.5,116.61,1.7242946960664227
2008-09-18 09:30:00,6,1860,closing,9087.502642626829,-1007.7141910580686,1.0,1,83.56967577553723,106.0,118.05,1.7389808858297646
2008-12-17 09:30:00,7,1986,opening,9087.502642626829,0.0,-1.0,-1,120.63590392442359,75.33,90.84,1.7533681485809682
2008-12-17 16:00:00,7,1987,holding,8703.036646815019,-384.4659958118098,-1.0,-1,120.63590392442359,78.78,90.99,1.7533681485809682
2008-12-18 09:30:00,7,1988,closing,8682.39354444399,-405.1090981828377,-1.0,-1,120.63590392442359,79.67,91.4,1.7549126480468433
2009-04-15 09:30:00,8,2146,opening,8682.39354444399,0.0,-1.0,-1,74.38651083313906,116.72,83.84,1.7690343688535697
2009-04-15 16:00:00,8,2147,holding,8535.430975902378,-146.9625685416128,-1.0,-1,74.38651083313906,121.19,85.25,1.7690343688535697
2009-04-16 09:30:00,8,2148,closing,8483.579365404601,-198.81417903938998,-1.0,-1,74.38651083313906,123.09,85.93,1.7703100878023943
2009-07-14 16:00:00,9,2271,opening,8483.579365404601,0.0,1.0,1,56.685683318218636,149.66,90.61,1.7548389840086935
2009-07-15 09:30:00,9,2272,holding,8497.421624896037,13.842259491435593,1.0,1,56.685683318218636,152.01,91.81,1.7544301144615386
2009-07-15 16:00:00,9,2273,closing,8537.412437643374,53.83307223877291,1.0,1,56.685683318218636,155.26,93.26,1.7544301144615386
2009-10-15 16:00:00,10,2403,opening,8537.412437643374,0.0,1.0,1,45.260098805298064,188.63,109.71,1.741452512501661
2009-10-16 09:30:00,10,2404,holding,8520.427308615299,-16.985129028075466,1.0,1,45.260098805298064,186.67,108.8,1.7416137945780932
2009-10-16 16:00:00,10,2405,closing,8409.235433212863,-128.1770044305109,1.0,1,45.260098805298064,184.37,108.89,1.7416137945780932
2010-01-22 09:30:00,11,2536,opening,8409.235433212863,0.0,1.0,1,52.99159010153673,158.69,111.2,1.742240568067873
2010-01-22 16:00:00,11,2537,holding,8350.78882155107,-58.4466116617924,1.0,1,52.99159010153673,154.12,109.21,1.742240568067873
2010-01-25 09:30:00,11,2538,closing,8364.977819613838,-44.2576135990253,1.0,1,52.99159010153673,156.13,110.21,1.7422789201570756
2010-10-20 09:30:00,12,2912,opening,8364.977819613838,0.0,-1.0,-1,53.54956673461262,156.21,116.94,1.694961901727407
2010-10-20 16:00:00,12,2913,holding,8267.855750569837,-97.12206904400018,-1.0,-1,53.54956673461262,159.6,117.87,1.694961901727407
2010-10-21 09:30:00,12,2914,closing,8317.031913903193,-47.945905710644624,-1.0,-1,53.54956673461262,159.58,118.4,1.6956114303647387
2011-01-20 09:30:00,13,3038,opening,8317.031913903193,0.0,1.0,1,49.93714748665981,166.55,127.96,1.6936071190270943
2011-01-20 16:00:00,13,3039,holding,8263.937098046184,-53.09481585700727,1.0,1,49.93714748665981,165.69,128.08,1.6936071190270943
2011-01-21 09:30:00,13,3040,closing,8205.766029278802,-111.265884624391,1.0,1,49.93714748665981,165.88,128.88,1.6932135174644016
2011-04-20 09:30:00,14,3164,opening,8205.766029278802,0.0,-1.0,-1,53.57293222745187,153.17,132.88,1.6828952416720586
2011-04-20 16:00:00,14,3165,holding,8250.779986625865,45.013957347061876,-1.0,-1,53.57293222745187,152.7,133.1,1.6828952416720586
