date,trade_id,idx,event,current_pos,change,direction,score,shares,price_stock,price_spy,beta
2006-09-13 09:30:00,0,846,opening,10000.0,0.0,1.0,1,63.41154090044389,157.7,131.64,1.0324693889327705
2006-09-13 16:00:00,0,847,holding,10162.407593812239,162.4075938122388,1.0,1,63.41154090044389,160.86,132.22,1.0324693889327705
2006-09-14 09:30:00,0,848,holding,10109.043106882784,109.04310688278395,1.0,1,63.41154090044389,159.75,131.96,1.0344268337633384
2006-09-14 16:00:00,0,849,holding,10267.016046958128,267.0160469581283,1.0,1,63.41154090044389,162.52,132.23,1.0344268337633384
2006-09-15 09:30:00,0,850,holding,10260.510178149336,260.51017814933664,1.0,1,63.41154090044389,162.5,132.31,1.0329142894031698
2006-09-15 16:00:00,0,851,holding,10296.741267948099,296.7412679480983,1.0,1,63.41154090044389,162.71,131.96,1.0329142894031698
2006-09-18 09:30:00,0,852,closing,10264.117285457203,264.1172854572036,1.0,1,63.41154090044389,162.02,131.79,1.0470483049471504
2006-12-13 09:30:00,1,974,opening,10264.117285457203,0.0,1.0,1,51.27956277706436,200.16,142.23,1.088126410165169
2006-12-13 16:00:00,1,975,holding,10189.337607081034,-74.77967837616887,1.0,1,51.27956277706436,198.31,141.87,1.088126410165169
2006-12-14 09:30:00,1,976,holding,10235.534404418215,-28.582881038988333,1.0,1,51.27956277706436,199.2,141.86,1.088317152720476
2006-12-14 16:00:00,1,977,holding,10212.918103135984,-51.19918232122018,1.0,1,51.27956277706436,200.13,143.12,1.088317152720476
2006-12-15 09:30:00,1,978,holding,10264.31564361751,0.19835816030697304,1.0,1,51.27956277706436,200.61,142.64,1.0891051038103217
2006-12-15 16:00:00,1,979,holding,10241.569974247002,-22.54731121020012,1.0,1,51.27956277706436,199.84,142.34,1.0891051038103217
2006-12-18 09:30:00,1,980,closing,10264.254756367976,0.13747091077352386,1.0,1,51.27956277706436,200.5,142.54,1.0900608139336743
2007-03-13 16:00:00,2,1093,opening,10264.254756367976,0.0,1.0,2,51.57139504782182,199.03,138.25,1.0803452966056502
2007-03-14 09:30:00,2,1094,holding,10304.250325030089,39.9955686621116,1.0,2,51.57139504782182,200.0,138.43,1.0812131475409013
2007-03-14 16:00:00,2,1095,holding,10264.62835731985,0.37360095187519854,1.0,2,51.57139504782182,200.15,139.28,1.0812131475409013
2007-03-15 09:30:00,2,1096,holding,10274.164271427264,9.909515059286694,1.0,2,51.57139504782182,200.0,138.97,1.0810708432938025
2007-03-15 16:00:00,2,1097,holding,10292.20535598017,27.950599612194292,1.0,2,51.57139504782182,200.89,139.47,1.0810708432938025
2007-03-16 09:30:00,2,1098,holding,10295.962602728077,31.707846360101204,1.0,2,51.57139504782182,200.79,139.31,1.0804790730328424
2007-03-16 16:00:00,2,1099,closing,10247.107438574336,-17.147317793640518,1.0,2,51.57139504782182,199.0,138.53,1.0804790730328424
2007-09-21 09:30:00,3,1360,opening,10247.107438574336,0.0,1.0,1,49.84971511273758,205.56,152.71,1.2288490644235828
2007-09-21 16:00:00,3,1361,holding,10512.773933448407,265.6664948740716,1.0,1,49.84971511273758,209.98,151.97,1.2288490644235828
2007-09-24 09:30:00,3,1362,closing,10535.556146612143,288.44870803780685,1.0,1,49.84971511273758,210.99,152.42,1.2262037442011022
2007-12-19 09:30:00,4,1484,opening,10535.556146612143,0.0,-1.0,-1,51.98123222129536,202.68,145.94,1.36292050894703
2007-12-19 16:00:00,4,1485,holding,10454.373145676142,-81.18300093600125,-1.0,-1,51.98123222129536,204.16,145.88,1.36292050894703
2007-12-20 09:30:00,4,1486,holding,10423.621240431434,-111.93490618071021,-1.0,-1,51.98123222129536,206.06,146.84,1.3653451889426722
2007-12-20 16:00:00,4,1487,holding,10597.003766162636,61.447619550492725,-1.0,-1,51.98123222129536,202.67,146.8,1.3653451889426722
2007-12-21 09:30:00,4,1488,holding,10472.08583155952,-63.47031505262463,-1.0,-1,51.98123222129536,205.85,147.37,1.3663304050143332
2007-12-21 16:00:00,4,1489,holding,10330.999389210465,-204.55675740167922,-1.0,-1,51.98123222129536,209.6,148.13,1.3663304050143332
2007-12-24 09:30:00,4,1490,closing,10307.109602458222,-228.44654415392145,-1.0,-1,51.98123222129536,211.0,148.82,1.3665497531552895
2008-03-19 09:30:00,5,1606,opening,10307.109602458222,0.0,-1.0,-1,57.92463528413073,177.94,134.14,1.5075770828267667
2008-03-19 16:00:00,5,1607,holding,10636.761919203083,329.6523167448617,-1.0,-1,57.92463528413073,166.49,130.32,1.5075770828267667
2008-03-20 09:30:00,5,1608,holding,10624.189619681998,317.0800172237754,-1.0,-1,57.92463528413073,166.3,130.05,1.514252615199016
2008-03-20 16:00:00,5,1609,holding,10029.325712296008,-277.78389016221416,-1.0,-1,57.92463528413073,179.63,132.08,1.514252615199016
2008-03-24 09:30:00,5,1610,closing,10173.229031328117,-133.8805711301043,-1.0,-1,57.92463528413073,179.0,133.31,1.5246735700564005
2008-06-17 16:00:00,6,1731,opening,10173.229031328117,0.0,1.0,1,56.6943213961665,179.44,135.57,1.6185668007475011
2008-06-18 09:30:00,6,1732,holding,10096.37073868119,-76.85829264692879,1.0,1,56.6943213961665,176.66,134.69,1.6263537622044688
2008-06-18 16:00:00,6,1733,holding,10483.149002828974,309.9199715008564,1.0,1,56.6943213961665,182.77,134.25,1.6263537622044688
2008-06-19 09:30:00,6,1734,holding,10544.48413315372,371.25510182560265,1.0,1,56.6943213961665,183.69,134.15,1.6238120074185556
2008-06-19 16:00:00,6,1735,holding,10703.39757694856,530.1685456204435,1.0,1,56.6943213961665,186.93,134.42,1.6238120074185556
2008-06-20 09:30:00,6,1736,holding,10740.097826398216,566.8687950700994,1.0,1,56.6943213961665,185.02,132.84,1.6219033699679557
2008-06-20 16:00:00,6,1737,closing,10784.851993120465,611.6229617923476,1.0,1,56.6943213961665,183.77,131.58,1.6219033699679557
2008-09-17 09:30:00,7,1858,opening,10784.851993120465,0.0,-1.0,-1,89.27857610199061,120.8,119.64,1.7242946960664227
2008-09-17 16:00:00,7,1859,holding,10880.861019570579,96.00902645011497,-1.0,-1,89.27857610199061,114.5,116.61,1.7242946960664227
2008-09-18 09:30:00,7,1860,holding,11861.406224790335,1076.5542316698707,-1.0,-1,89.27857610199061,106.0,118.05,1.7389808858297646
2008-09-18 16:00:00,7,1861,holding,11993.813074581303,1208.961081460839,-1.0,-1,89.27857610199061,108.0,120.07,1.7389808858297646
2008-09-19 09:30:00,7,1862,holding,9933.448687176126,-851.4033059443394,-1.0,-1,89.27857610199061,142.51,126.7,1.893215038316264
2008-09-19 16:00:00,7,1863,holding,10671.00754530026,-113.84444782020468,-1.0,-1,89.27857610199061,129.8,124.12,1.893215038316264
2008-09-22 09:30:00,7,1864,closing,10455.758438347188,-329.09355477327773,-1.0,-1,89.27857610199061,132.78,124.45,1.8992217439298988
2008-12-17 09:30:00,8,1986,opening,10455.758438347188,0.0,-1.0,-1,138.79939517253666,75.33,90.84,1.7533681485809682
2008-12-17 16:00:00,8,1987,holding,10013.405490782608,-442.35294756457967,-1.0,-1,138.79939517253666,78.78,90.99,1.7533681485809682
2008-12-18 09:30:00,8,1988,holding,9989.654268879563,-466.1041694676249,-1.0,-1,138.79939517253666,79.67,91.4,1.7549126480468433
2008-12-18 16:00:00,8,1989,holding,9423.40731339918,-1032.3511249480068,-1.0,-1,138.79939517253666,80.05,89.29,1.7549126480468433
2008-12-19 09:30:00,8,1990,holding,9471.551278794315,-984.2071595528732,-1.0,-1,138.79939517253666,79.37,89.1,1.7505242035989257
2008-12-19 16:00:00,8,1991,holding,9061.32064229024,-1394.4377960569464,-1.0,-1,138.79939517253666,80.73,88.19,1.7505242035989257
2008-12-22 09:30:00,8,1992,closing,9257.557111795946,-1198.2013265512408,-1.0,-1,138.79939517253666,80.0,88.58,1.75042382014636
2009-04-15 09:30:00,9,2146,opening,9257.557111795946,0.0,1.0,1,79.31423159523601,116.72,83.84,1.7690343688535697
2009-04-15 16:00:00,9,2147,holding,9414.255188726682,156.69807693073565,1.0,1,79.31423159523601,121.19,85.25,1.7690343688535697
2009-04-16 09:30:00,9,2148,holding,9469.541699648424,211.98458785247828,1.0,1,79.31423159523601,123.09,85.93,1.7703100878023943
2009-04-16 16:00:00,9,2149,holding,9238.868186687701,-18.68892510824457,1.0,1,79.31423159523601,121.19,86.5,1.7703100878023943
2009-04-17 09:30:00,9,2150,holding,9164.806037091079,-92.75107470486728,1.0,1,79.31423159523601,120.84,86.83,1.7692667864813558
2009-04-17 16:00:00,9,2151,holding,9110.693221100426,-146.86389069552072,1.0,1,79.31423159523601,120.6,87.08,1.7692667864813558
2009-04-20 09:30:00,9,2152,closing,9038.859346921741,-218.69776487420452,1.0,1,79.31423159523601,116.97,85.54,1.7696637824997319
2009-07-14 16:00:00,10,2271,opening,9038.859346921741,0.0,1.0,1,60.39595982174089,149.66,90.61,1.7548389840086935
2009-07-15 09:30:00,10,2272,holding,9053.607630776656,14.748283854914067,1.0,1,60.39595982174089,152.01,91.81,1.7544301144615386
2009-07-15 16:00:00,10,2273,holding,9096.215982278183,57.35663535644182,1.0,1,60.39595982174089,155.26,93.26,1.7544301144615386
2009-07-16 09:30:00,10,2274,holding,9108.069180765204,69.20983384346187,1.0,1,60.39595982174089,155.0,93.0,1.7542531799207828
2009-07-16 16:00:00,10,2275,holding,9097.31478434962,58.45543742787896,1.0,1,60.39595982174089,156.84,94.15,1.7542531799207828
2009-07-17 09:30:00,10,2276,holding,9048.269369951995,9.410023030254008,1.0,1,60.39595982174089,155.87,94.06,1.7535579863957775
2009-07-17 16:00:00,10,2277,closing,9099.434488045057,60.57514112331637,1.0,1,60.39595982174089,156.84,94.13,1.7535579863957775
2009-10-15 16:00:00,11,2403,opening,9099.434488045057,0.0,1.0,1,48.23959332049545,188.63,109.71,1.741452512501661
2009-10-16 09:30:00,11,2404,holding,9081.331219637817,-18.103268407239764,1.0,1,48.23959332049545,186.67,108.8,1.7416137945780932
2009-10-16 16:00:00,11,2405,holding,8962.819528511574,-136.61495953348194,1.0,1,48.23959332049545,184.37,108.89,1.7416137945780932
2009-10-19 09:30:00,11,2406,closing,8970.853280327206,-128.58120771785033,1.0,1,48.23959332049545,184.85,109.07,1.7415153964136656
2010-01-22 09:30:00,12,2536,opening,8970.853280327206,0.0,1.0,1,56.53067792757708,158.69,111.2,1.742240568067873
2010-01-22 16:00:00,12,2537,holding,8908.50326264553,-62.350017681676285,1.0,1,56.53067792757708,154.12,109.21,1.742240568067873
2010-01-25 09:30:00,12,2538,closing,8923.639884854156,-47.21339547305074,1.0,1,56.53067792757708,156.13,110.21,1.7422789201570756
2010-04-21 09:30:00,13,2658,opening,8923.639884854156,0.0,-1.0,-1,55.1966344086977,161.67,120.95,1.750026884651776
2010-04-21 16:00:00,13,2659,holding,9046.865940828306,123.2260559741503,-1.0,-1,55.1966344086977,158.93,120.66,1.750026884651776
2010-04-22 09:30:00,13,2660,holding,9019.956320203115,96.31643534895974,-1.0,-1,55.1966344086977,157.93,119.81,1.750393186470929
2010-04-22 16:00:00,13,2661,holding,9075.016758595968,151.37687374181212,-1.0,-1,55.1966344086977,159.05,121.02,1.750393186470929
2010-04-23 09:30:00,13,2662,holding,9004.364947837452,80.72506298329637,-1.0,-1,55.1966344086977,160.19,120.94,1.7502553202966113
2010-04-23 16:00:00,13,2663,holding,9242.401724754758,318.76183990060207,-1.0,-1,55.1966344086977,157.4,121.81,1.7502553202966113
2010-04-26 09:30:00,13,2664,closing,9283.799259918973,360.1593750648168,-1.0,-1,55.1966344086977,156.72,121.85,1.7499043731542
2011-01-20 09:30:00,14,3038,opening,9283.799259918973,0.0,1.0,1,55.74181482989476,166.55,127.96,1.6936071190270943
2011-01-20 16:00:00,14,3039,holding,9224.532731034453,-59.26652888452,1.0,1,55.74181482989476,165.69,128.08,1.6936071190270943
2011-01-21 09:30:00,14,3040,holding,9159.599888313414,-124.19937160555838,1.0,1,55.74181482989476,165.88,128.88,1.6932135174644016
2011-01-21 16:00:00,14,3041,holding,9225.583683614914,-58.215576304059375,1.0,1,55.74181482989476,166.2,128.37,1.6932135174644016
2011-01-24 09:30:00,14,3042,closing,9221.43028125451,-62.368978664462965,1.0,1,55.74181482989476,165.99,128.29,1.6940669399154018
2011-07-20 09:30:00,15,3288,opening,9221.43028125451,0.0,-1.0,-1,72.04242407230086,128.0,133.07,1.6724431132441728
2011-07-20 16:00:00,15,3289,holding,8828.624287390605,-392.8059938639046,-1.0,-1,72.04242407230086,132.75,132.65,1.6724431132441728
2011-07-21 09:30:00,15,3290,holding,8863.516762855785,-357.9135183987252,-1.0,-1,72.04242407230086,133.52,133.4,1.6726567646482269
2011-07-21 16:00:00,15,3291,holding,8846.440042308084,-374.9902389464267,-1.0,-1,72.04242407230086,135.58,134.49,1.6726567646482269
2011-07-22 09:30:00,15,3292,holding,8889.677981227884,-331.75230002662613,-1.0,-1,72.04242407230086,135.03,134.52,1.6726118892072932
