date,trade_id,idx,event,current_pos,change,direction,score,shares,price_stock,price_spy,beta
2006-02-21 16:00:00,0,563,opening,10000.0,0.0,1.0,2,238.83448770002389,41.87,128.49,1.139695798330979
2006-02-22 09:30:00,0,564,holding,9985.881341406097,-14.118658593902623,1.0,2,238.83448770002389,42.13,128.77,1.1411025398088963
2006-02-22 16:00:00,0,565,holding,9790.073388416968,-209.92661158303315,1.0,2,238.83448770002389,41.88,129.27,1.1411025398088963
2006-02-23 09:30:00,0,566,holding,9804.403457678967,-195.59654232103287,1.0,2,238.83448770002389,41.94,129.27,1.1411464413824954
2006-02-23 16:00:00,0,567,holding,9770.140787911325,-229.8592120886746,1.0,2,238.83448770002389,41.58,129.08,1.1411464413824954
2006-02-24 09:30:00,0,568,holding,9814.518415341483,-185.48158465851742,1.0,2,238.83448770002389,41.8,129.11,1.1417060540712174
2006-02-24 16:00:00,0,569,holding,9692.256953794009,-307.74304620599025,1.0,2,238.83448770002389,41.63,129.41,1.1417060540712174
2006-02-27 09:30:00,0,570,closing,9740.357493078294,-259.6425069217063,1.0,2,238.83448770002389,41.82,129.4,1.1416957039365458
2006-05-16 16:00:00,1,681,opening,9740.357493078294,0.0,1.0,1,253.32529240775796,38.45,129.31,1.1497754171969565
2006-05-17 09:30:00,1,682,holding,9881.169944454292,140.81245137599734,1.0,1,253.32529240775796,38.27,128.67,1.1520284523160667
2006-05-17 16:00:00,1,683,holding,10345.411661079972,605.054168001678,1.0,1,253.32529240775796,38.01,126.85,1.1520284523160667
2006-05-18 09:30:00,1,684,holding,10315.169441664499,574.811948586204,1.0,1,253.32529240775796,38.5,127.38,1.151251882022326
2006-05-18 16:00:00,1,685,holding,10633.152782052464,892.7952889741705,1.0,1,253.32529240775796,38.41,126.21,1.151251882022326
2006-05-19 09:30:00,1,686,holding,10486.514986801178,746.1574937228827,1.0,1,253.32529240775796,38.59,126.87,1.1523752332833732
2006-05-19 16:00:00,1,687,holding,10508.18738457802,767.829891499725,1.0,1,253.32529240775796,38.94,127.1,1.1523752332833732
2006-05-22 09:30:00,1,688,closing,10635.563354805634,895.2058617273403,1.0,1,253.32529240775796,38.5,126.28,1.1522369444786502
2006-08-15 16:00:00,2,807,opening,10635.563354805634,0.0,-1.0,-1,308.8142669804191,34.44,128.63,1.1580805965550922
2006-08-16 09:30:00,2,808,holding,10848.359734703079,212.7963798974443,-1.0,-1,308.8142669804191,34.55,129.32,1.1578481918460637
2006-08-16 16:00:00,2,809,holding,11031.88739900092,396.3240441952854,-1.0,-1,308.8142669804191,34.5,129.79,1.1578481918460637
2006-08-17 09:30:00,2,810,holding,10956.784718789751,321.22136398411715,-1.0,-1,308.8142669804191,34.5,129.58,1.157767612726802
2006-08-17 16:00:00,2,811,holding,11049.77989479229,414.21653998665454,-1.0,-1,308.8142669804191,34.72,130.03,1.157767612726802
2006-08-18 09:30:00,2,812,holding,11094.648413797775,459.08505899214197,-1.0,-1,308.8142669804191,34.76,130.19,1.158483472487706
2006-08-18 16:00:00,2,813,holding,11270.376176392674,634.8128215870398,-1.0,-1,308.8142669804191,34.77,130.69,1.158483472487706
2006-08-21 09:30:00,2,814,closing,11279.44879855054,643.8854437449066,-1.0,-1,308.8142669804191,34.15,130.18,1.1583358254395002
2007-02-20 16:00:00,3,1063,opening,11279.44879855054,0.0,-1.0,-1,272.84588288704737,41.34,146.04,1.0760457090867661
2007-02-21 09:30:00,3,1064,holding,11275.983749995,-3.4650485555385533,-1.0,-1,272.84588288704737,40.89,145.61,1.0765700384974766
2007-02-21 16:00:00,3,1065,holding,11272.746955374667,-6.701843175872924,-1.0,-1,272.84588288704737,41.3,145.98,1.0765700384974766
2007-02-22 09:30:00,3,1066,holding,11328.76854505657,49.31974650603017,-1.0,-1,272.84588288704737,41.17,146.05,1.0775814020584331
2007-02-22 16:00:00,3,1067,holding,11273.19305075363,-6.255747796909335,-1.0,-1,272.84588288704737,41.18,145.87,1.0775814020584331
2007-02-23 09:30:00,3,1068,holding,11169.542735462803,-109.9060630877376,-1.0,-1,272.84588288704737,41.42,145.74,1.0772181321840217
