date,trade_id,idx,event,current_pos,change,direction,score,shares,price_stock,price_spy,beta
2007-07-20 09:30:00,0,700,opening,10000.0,0.0,1.0,2,10,57.56,154.89,1.1835464113810004
2007-07-20 16:00:00,0,701,holding,10021.151295118196,21.15129511819573,1.0,2,10,58.03,153.5,1.1835464113810004
2007-07-23 09:30:00,0,702,closing,10017.303179520804,17.303179520804864,1.0,2,10,58.45,154.18,1.204646313536856
2007-10-19 16:00:00,1,829,opening,10017.303179520804,0.0,1.0,2,10,55.52,149.67,1.1212532504617547
2007-10-22 09:30:00,1,830,closing,10015.885330849544,-1.4178486712601224,1.0,2,10,54.47,148.86,1.1199988778122134
2008-01-25 16:00:00,2,961,opening,10015.885330849544,0.0,1.0,1,10,55.45,133.04,1.0664254669659496
2008-01-28 09:30:00,2,962,closing,10013.23919482222,-2.6461360273250882,1.0,1,10,55.42,133.26,1.0609092866184002
2008-04-18 16:00:00,3,1077,opening,10013.23919482222,0.0,1.0,2,10,58.06,138.48,0.9978736152006182
2008-04-21 09:30:00,3,1078,closing,10012.03387886022,-1.2053159619984999,1.0,2,10,57.69,138.23,0.9915324513913608
2008-07-22 09:30:00,4,1206,opening,10012.03387886022,0.0,1.0,2,10,47.21,125.15,1.0161012476134477
2008-07-22 16:00:00,4,1207,holding,10014.358719790827,2.324840930606702,1.0,2,10,49.81,127.48,1.0161012476134477
2008-07-23 09:30:00,4,1208,closing,10008.792704675612,-3.241174184608404,1.0,2,10,49.67,127.89,1.0249735172379546
2008-10-17 16:00:00,5,1331,opening,10008.792704675612,0.0,1.0,1,10,27.96,93.21,1.024456658903664
2008-10-20 09:30:00,5,1332,closing,9990.169332175074,-18.623372500538437,1.0,1,10,28.29,95.35,1.014865400866267
2009-01-30 16:00:00,6,1473,opening,9990.169332175074,0.0,1.0,1,10,31.24,82.83,1.0040339950791959
2009-02-02 09:30:00,6,1474,closing,9998.120160513072,7.9508283379979305,1.0,1,10,30.77,81.57,0.9991759990623315
2009-04-27 09:30:00,7,1590,opening,9998.120160513072,0.0,-1.0,-1,10,29.06,85.68,0.9856802062614317
2009-04-27 16:00:00,7,1591,closing,10001.79724884309,3.67708833001823,-1.0,-1,10,28.85,85.84,0.9856802062614317
2009-07-27 16:00:00,8,1717,opening,10001.79724884309,0.0,1.0,1,10,32.6,98.35,0.9966680933596377
2009-07-28 09:30:00,8,1718,holding,10005.37425868727,3.577009844181495,1.0,1,10,32.27,97.66,0.9965131030434805
2009-07-28 16:00:00,8,1719,closing,10005.481922072544,3.6846732294542366,1.0,1,10,32.51,97.89,0.9965131030434805
2009-10-26 09:30:00,9,1844,opening,10005.481922072544,0.0,1.0,2,10,36.35,108.2,0.9959451005301215
2009-10-26 16:00:00,9,1845,closing,10013.929613869383,8.447691796838582,1.0,2,10,35.91,106.91,0.9959451005301215
2010-02-01 09:30:00,10,1976,opening,10013.929613869383,0.0,1.0,1,10,37.05,108.15,0.9982844404427912
2010-02-01 16:00:00,10,1977,closing,10009.145225461354,-4.784388408029368,1.0,1,10,37.48,109.06,0.9982844404427912
