date,trade_id,idx,event,current_pos,change,direction,score,shares,price_stock,price_spy,beta
2007-07-20 09:30:00,0,700,opening,10000.0,0.0,1.0,2,10,57.56,154.89,1.1835464113810004
2007-07-20 16:00:00,0,701,holding,10021.151295118196,21.15129511819573,1.0,2,10,58.03,153.5,1.1835464113810004
2007-07-23 09:30:00,0,702,closing,10017.303179520804,17.303179520804864,1.0,2,10,58.45,154.18,1.204646313536856
2007-10-19 16:00:00,1,829,opening,10017.303179520804,0.0,1.0,2,10,55.52,149.67,1.1212532504617547
2007-10-22 09:30:00,1,830,holding,10015.885330849544,-1.4178486712601224,1.0,2,10,54.47,148.86,1.1199988778122134
2007-10-22 16:00:00,1,831,closing,10005.848276241788,-11.454903279017334,1.0,2,10,55.35,150.54,1.1199988778122134
2008-04-18 16:00:00,2,1077,opening,10005.848276241788,0.0,1.0,2,10,58.06,138.48,0.9978736152006182
2008-04-21 09:30:00,2,1078,holding,10004.642960279789,-1.2053159619984999,1.0,2,10,57.69,138.23,0.9915324513913608
2008-04-21 16:00:00,2,1079,closing,9999.449764711148,-6.3985115306406515,1.0,2,10,57.49,138.55,0.9915324513913608
2008-07-22 09:30:00,3,1206,opening,9999.449764711148,0.0,1.0,2,10,47.21,125.15,1.0161012476134477
2008-07-22 16:00:00,3,1207,holding,10001.774605641755,2.324840930606702,1.0,2,10,49.81,127.48,1.0161012476134477
2008-07-23 09:30:00,3,1208,holding,9996.20859052654,-3.241174184608404,1.0,2,10,49.67,127.89,1.0249735172379546
2008-07-23 16:00:00,3,1209,holding,9998.663507033221,-0.7862576779259145,1.0,2,10,50.2,128.17,1.0249735172379546
2008-07-24 09:30:00,3,1210,holding,9998.036134912278,-1.4136297988689428,1.0,2,10,50.31,128.34,1.0241202742405744
2008-07-24 16:00:00,3,1211,holding,10012.791800219738,13.342035508591552,1.0,2,10,48.91,125.51,1.0241202742405744
2008-07-25 09:30:00,3,1212,closing,10010.230615478808,10.780850767660525,1.0,2,10,49.04,125.89,1.026211175680416
2009-10-26 09:30:00,4,1844,opening,10010.230615478808,0.0,1.0,2,10,36.35,108.2,0.9959451005301215
2009-10-26 16:00:00,4,1845,holding,10018.678307275646,8.447691796838582,1.0,2,10,35.91,106.91,0.9959451005301215
2009-10-27 09:30:00,4,1846,closing,10018.98317315501,8.752557676202448,1.0,2,10,36.06,107.03,0.9959179990147231
2010-04-23 16:00:00,5,2091,opening,10018.98317315501,0.0,1.0,2,10,45.43,121.81,0.9983809785695182
2010-04-26 09:30:00,5,2092,holding,10019.583820763582,0.6006476085722864,1.0,2,10,45.53,121.85,0.9981203416637232
2010-04-26 16:00:00,5,2093,closing,10028.77572565643,9.792552501419895,1.0,2,10,45.95,121.35,0.9981203416637232
2010-07-23 16:00:00,6,2217,opening,10028.77572565643,0.0,1.0,2,10,41.41,110.41,1.0144519748949292
2010-07-26 09:30:00,6,2218,holding,10026.34826690413,-2.427458752300314,1.0,2,10,41.36,110.6,1.0142488387358202
2010-07-26 16:00:00,6,2219,closing,10020.809527945137,-7.966197711291699,1.0,2,10,41.78,111.56,1.0142488387358202
