date,trade_id,idx,event,current_pos,change,direction,score,shares,price_stock,price_spy,beta
2007-07-20 09:30:00,0,700,opening,10000.0,0.0,1.0,2,10,57.56,154.89,1.1835464113810004
2007-07-20 16:00:00,0,701,holding,10021.151295118196,21.15129511819573,1.0,2,10,58.03,153.5,1.1835464113810004
2007-07-23 09:30:00,0,702,closing,10017.303179520804,17.303179520804864,1.0,2,10,58.45,154.18,1.204646313536856
2010-10-25 09:30:00,1,2346,opening,10017.303179520804,0.0,1.0,2,10,45.46,119.14,1.0196872689682825
2010-10-25 16:00:00,1,2347,holding,10019.689803504265,2.3866239834604115,1.0,2,10,45.25,118.7,1.0196872689682825
2010-10-26 09:30:00,1,2348,closing,10024.707927118074,7.4047475972702,1.0,2,10,45.14,118.1,1.0196500168590195
2011-01-28 16:00:00,2,2479,opening,10024.707927118074,0.0,1.0,2,10,52.67,127.72,1.0179273441640038
2011-01-31 09:30:00,2,2480,holding,10020.5451814135,-4.162745704573978,1.0,2,10,52.61,128.07,1.0172996890433879
2011-01-31 16:00:00,2,2481,closing,10021.4358246141,-3.272102503974531,1.0,2,10,53.32,128.68,1.0172996890433879
2011-04-25 09:30:00,3,2596,opening,10021.4358246141,0.0,1.0,2,10,57.62,133.68,1.0189968429407468
2011-04-25 16:00:00,3,2597,closing,10019.943423351277,-1.4924012628234702,1.0,2,10,57.43,133.64,1.0189968429407468
2011-07-25 09:30:00,4,2722,opening,10019.943423351277,0.0,1.0,2,10,53.17,133.3,1.0182161574768225
2011-07-25 16:00:00,4,2723,holding,10018.846877716649,-1.096545634627174,1.0,2,10,53.6,133.83,1.0182161574768225
2011-07-26 09:30:00,4,2724,closing,10020.063272258378,0.11984890710201257,1.0,2,10,53.63,133.74,1.0180822720692728
2011-10-21 16:00:00,5,2849,opening,10020.063272258378,0.0,1.0,2,10,48.82,123.97,1.0386685883770015
2011-10-24 09:30:00,5,2850,holding,10016.685935081623,-3.3773371767540583,1.0,2,10,48.69,124.17,1.0389050786591145
2011-10-24 16:00:00,5,2851,closing,10008.975509715048,-11.087762543330392,1.0,2,10,49.29,125.49,1.0389050786591145
2017-10-20 16:00:00,6,5867,opening,10008.975509715048,0.0,1.0,2,10,139.17,257.11,1.0739988294611589
2017-10-23 09:30:00,6,5868,holding,10011.401714046042,2.426204330993811,1.0,2,10,139.81,257.48,1.0739976301831267
2017-10-23 16:00:00,6,5869,closing,10025.11549800966,16.139988294611793,1.0,2,10,139.71,256.11,1.0739976301831267
2018-01-26 16:00:00,7,5999,opening,10025.11549800966,0.0,1.0,2,10,157.97,286.58,1.0876347834864952
2018-01-29 09:30:00,7,6000,holding,10030.885124102322,5.769626092662017,1.0,2,10,157.84,285.93,1.0882195636124303
2018-01-29 16:00:00,7,6001,closing,10012.080558895903,-13.034939113756883,1.0,2,10,154.6,284.68,1.0882195636124303
2018-04-20 16:00:00,8,6115,opening,10012.080558895903,0.0,1.0,2,10,144.17,266.61,1.0778099238628385
2018-04-23 09:30:00,8,6116,holding,10006.374794390795,-5.705764505107966,1.0,2,10,144.3,267.26,1.07747995771283
