date,trade_id,idx,event,current_pos,change,direction,score,shares,price_stock,price_spy,beta
2007-07-20 09:30:00,0,700,opening,10000.0,0.0,1.0,2,10,57.56,154.89,1.1835464113810004
2007-07-20 16:00:00,0,701,holding,10021.151295118196,21.15129511819573,1.0,2,10,58.03,153.5,1.1835464113810004
2007-07-23 09:30:00,0,702,holding,10017.303179520804,17.303179520804864,1.0,2,10,58.45,154.18,1.204646313536856
2007-07-23 16:00:00,0,703,holding,10020.288626984706,20.28862698470503,1.0,2,10,58.5,153.97,1.204646313536856
2007-07-24 09:30:00,0,704,holding,10026.148771481443,26.14877148144345,1.0,2,10,58.08,153.12,1.1989654474533322
2007-07-24 16:00:00,0,705,holding,10044.589316168578,44.589316168577625,1.0,2,10,57.77,151.3,1.1989654474533322
2007-07-25 09:30:00,0,706,closing,10042.467782006634,42.467782006634366,1.0,2,10,58.41,152.02,1.2014947572036332
2010-04-23 16:00:00,1,2091,opening,10042.467782006634,0.0,1.0,2,10,45.43,121.81,0.9983809785695182
2010-04-26 09:30:00,1,2092,holding,10043.068429615207,0.6006476085722864,1.0,2,10,45.53,121.85,0.9981203416637232
2010-04-26 16:00:00,1,2093,holding,10052.260334508053,9.792552501419895,1.0,2,10,45.95,121.35,0.9981203416637232
2010-04-27 09:30:00,1,2094,holding,10058.94900135804,16.4812193514064,1.0,2,10,45.92,120.65,0.9974679770044027
2010-04-27 16:00:00,1,2095,holding,10068.313868592999,25.846086586364923,1.0,2,10,44.69,118.48,0.9974679770044027
2010-04-28 09:30:00,1,2096,holding,10065.623097015152,23.155315008518777,1.0,2,10,44.99,119.05,0.9978294735914185
2010-04-28 16:00:00,1,2097,closing,10060.328439785873,17.860657779239357,1.0,2,10,44.79,119.38,0.9978294735914185
2010-10-25 09:30:00,2,2346,opening,10060.328439785873,0.0,1.0,2,10,45.46,119.14,1.0196872689682825
2010-10-25 16:00:00,2,2347,holding,10062.715063769334,2.3866239834604115,1.0,2,10,45.25,118.7,1.0196872689682825
2010-10-26 09:30:00,2,2348,holding,10067.733187383143,7.4047475972702,1.0,2,10,45.14,118.1,1.0196500168590195
2010-10-26 16:00:00,2,2349,holding,10060.11112631554,-0.21731347033322412,1.0,2,10,45.01,118.72,1.0196500168590195
2010-10-27 09:30:00,2,2350,holding,10062.474530647976,2.146090862103509,1.0,2,10,44.4,117.89,1.0187579499483574
2010-10-27 16:00:00,2,2351,holding,10061.778063030033,1.449623244158974,1.0,2,10,44.83,118.38,1.0187579499483574
2010-10-28 09:30:00,2,2352,closing,10058.444189601048,-1.8842501848254225,1.0,2,10,45.19,119.06,1.0188468068426757
2011-07-25 09:30:00,3,2722,opening,10058.444189601048,0.0,1.0,2,10,53.17,133.3,1.0182161574768225
2011-07-25 16:00:00,3,2723,holding,10057.347643966421,-1.096545634627174,1.0,2,10,53.6,133.83,1.0182161574768225
2011-07-26 09:30:00,3,2724,holding,10058.56403850815,0.11984890710201257,1.0,2,10,53.63,133.74,1.0180822720692728
