date,trade_id,idx,event,current_pos,change,direction,score,shares,price_stock,price_spy,beta
2014-04-15 16:00:00,0,4665,opening,10000.0,0.0,1.0,2,100.80645161290322,99.2,184.2,0.5354534031136843
2014-04-16 09:30:00,0,4666,holding,9968.747396980403,-31.252603019596187,1.0,2,100.80645161290322,99.57,185.47,0.536228294818458
2014-04-16 16:00:00,0,4667,holding,9850.461182660341,-149.53881733965898,1.0,2,100.80645161290322,98.75,186.13,0.536228294818458
2014-04-17 09:30:00,0,4668,holding,9857.907084956552,-142.0929150434474,1.0,2,100.80645161290322,98.69,185.88,0.538133594135859
2014-04-17 16:00:00,0,4669,holding,9857.596476530345,-142.40352346965486,1.0,2,100.80645161290322,98.96,186.39,0.538133594135859
2014-04-21 09:30:00,0,4670,closing,9859.937941232394,-140.06205876760637,1.0,2,100.80645161290322,99.01,186.44,0.5377551491543123
2014-10-14 16:00:00,1,4917,opening,9859.937941232394,0.0,1.0,2,101.63836657285222,97.01,187.7,0.5744004532145375
2014-10-15 09:30:00,1,4918,holding,9910.653163833971,50.71522260157688,1.0,2,101.63836657285222,96.05,185.16,0.5791540761278964
2014-10-15 16:00:00,1,4919,holding,10056.048008375572,196.1100671431786,1.0,2,101.63836657285222,98.21,186.43,0.5791540761278964
2014-10-16 09:30:00,1,4920,holding,10126.760821110202,266.82287987780717,1.0,2,101.63836657285222,96.97,183.06,0.5778143274783948
2014-10-16 16:00:00,1,4921,holding,9920.046123988144,60.108182755749525,1.0,2,101.63836657285222,96.78,186.27,0.5778143274783948
2014-10-17 09:30:00,1,4922,holding,9871.771866363135,11.833925130741099,1.0,2,101.63836657285222,97.54,188.42,0.5751282342196506
2014-10-17 16:00:00,1,4923,closing,9986.75331539647,126.81537416407707,1.0,2,101.63836657285222,98.7,188.47,0.5751282342196506
2016-10-19 09:30:00,2,5932,opening,9986.75331539647,0.0,1.0,2,86.4130251397116,115.57,214.02,0.6798667148502958
2016-10-19 16:00:00,2,5933,holding,9886.793722483832,-99.95959291263901,1.0,2,86.4130251397116,114.59,214.28,0.6798667148502958
2016-10-20 09:30:00,2,5934,holding,9931.620077721387,-55.13323767508405,1.0,2,86.4130251397116,114.83,213.87,0.6799831448642962
2016-10-20 16:00:00,2,5935,holding,9934.489105331755,-52.26421006471463,1.0,2,86.4130251397116,114.87,213.88,0.6799831448642962
2016-10-21 09:30:00,2,5936,holding,9922.864598585824,-63.88871681064582,1.0,2,86.4130251397116,114.11,212.96,0.6803920363200425
2016-10-21 16:00:00,2,5937,holding,9805.043545429768,-181.70976996670367,1.0,2,86.4130251397116,113.44,213.98,0.6803920363200425
2016-10-24 09:30:00,2,5938,closing,9787.461601435774,-199.29171396069677,1.0,2,86.4130251397116,113.93,215.0,0.6777990257463876
2017-07-18 16:00:00,3,6305,opening,9787.461601435774,0.0,1.0,2,72.790879082521,134.46,245.66,0.7085860604246397
2017-07-19 09:30:00,3,6306,holding,9796.553838679316,9.092237243542192,1.0,2,72.790879082521,134.84,246.02,0.7093347738873319
2017-07-19 16:00:00,3,6307,holding,9773.455219763238,-14.006381672536618,1.0,2,72.790879082521,135.21,246.99,0.7093347738873319
2017-07-20 09:30:00,3,6308,holding,9796.348682235408,8.887080799633733,1.0,2,72.790879082521,135.73,247.28,0.710050185767819
2017-07-20 16:00:00,3,6309,holding,9866.777169068633,79.31556763285936,1.0,2,72.790879082521,136.57,247.1,0.710050185767819
2017-07-21 09:30:00,3,6310,holding,9810.558356487303,23.09675505152825,1.0,2,72.790879082521,135.33,246.44,0.7100872315248086
2017-07-21 16:00:00,3,6311,closing,9786.407953918322,-1.0536475174519397,1.0,2,72.790879082521,135.31,246.88,0.7100872315248086
2019-07-17 09:30:00,4,7308,opening,9786.407953918322,0.0,1.0,2,73.86525740748978,132.49,299.75,0.656787683694203
2019-07-17 16:00:00,4,7309,holding,9837.385562301068,50.97760838274532,1.0,2,73.86525740748978,131.86,297.74,0.656787683694203
2019-07-18 09:30:00,4,7310,holding,9884.011767026066,97.60381310774447,1.0,2,73.86525740748978,132.13,297.19,0.6568140236895196
2019-07-18 16:00:00,4,7311,holding,9800.017233819866,13.60927990154387,1.0,2,73.86525740748978,132.07,298.83,0.6568140236895196
2019-07-19 09:30:00,4,7312,holding,9754.611292658263,-31.796661260060183,1.0,2,73.86525740748978,132.25,300.04,0.6556365988388188
2019-07-19 16:00:00,4,7313,holding,9750.547274370798,-35.860679547524484,1.0,2,73.86525740748978,130.31,297.17,0.6556365988388188
2019-07-22 09:30:00,4,7314,closing,9706.302976394494,-80.10497752382852,1.0,2,73.86525740748978,130.0,297.61,0.6562124428753735
2023-07-20 16:00:00,5,9327,opening,9706.302976394494,0.0,1.0,2,57.64522494592288,168.38,452.18,0.4419987558890937
2023-07-21 09:30:00,5,9328,holding,9649.42110188321,-56.88187451128307,1.0,2,57.64522494592288,168.18,453.96,0.4418620262839481
2023-07-21 16:00:00,5,9329,holding,9810.640833546615,104.33785715212053,1.0,2,57.64522494592288,170.19,452.18,0.4418620262839481
2023-07-24 09:30:00,5,9330,closing,9855.83592815201,149.53295175751632,1.0,2,57.64522494592288,171.5,453.37,0.4416190850534472
2023-10-17 16:00:00,6,9451,opening,9855.83592815201,0.0,1.0,2,63.142007355705104,156.09,436.02,0.43511864781266374
2023-10-18 09:30:00,6,9452,holding,9863.177267845378,7.341339693368422,1.0,2,63.142007355705104,155.41,434.19,0.43500284289564173
2023-10-18 16:00:00,6,9453,holding,9803.30426227804,-52.53166587397034,1.0,2,63.142007355705104,152.73,430.21,0.43500284289564173
2023-10-19 09:30:00,6,9454,holding,9716.042778484005,-139.79314966800396,1.0,2,63.142007355705104,151.67,430.95,0.4357371597639825
2023-10-19 16:00:00,6,9455,holding,9881.268760435993,25.43283228398258,1.0,2,63.142007355705104,152.32,426.43,0.4357371597639825
2023-10-20 09:30:00,6,9456,holding,9920.151822712745,64.31589456073564,1.0,2,63.142007355705104,152.74,425.98,0.4346889326592789
2023-10-20 16:00:00,6,9457,closing,10068.17047330842,212.33454515641105,1.0,2,63.142007355705104,153.0,421.19,0.4346889326592789
2024-04-16 16:00:00,7,9699,opening,10068.17047330842,0.0,1.0,2,69.70003789067789,144.45,503.53,0.4287672154568314
2024-04-17 09:30:00,7,9700,holding,10031.195064415966,-36.975408892453956,1.0,2,69.70003789067789,145.0,506.05,0.42875023208804985
2024-04-17 16:00:00,7,9701,holding,10179.53205710103,111.36158379260964,1.0,2,69.70003789067789,144.77,500.55,0.42875023208804985
2024-04-18 09:30:00,7,9702,holding,10151.433384694092,83.26291138567147,1.0,2,69.70003789067789,144.98,501.98,0.4284343576650115
2024-04-18 16:00:00,7,9703,holding,10277.922737753519,209.75226444509826,1.0,2,69.70003789067789,145.74,499.52,0.4284343576650115
2024-04-19 09:30:00,7,9704,holding,10308.890560581785,240.72008727336518,1.0,2,69.70003789067789,146.15,499.44,0.4281093867744698
2024-04-19 16:00:00,7,9705,closing,10559.470817449677,491.3003441412573,1.0,2,69.70003789067789,147.91,495.16,0.4281093867744698
2024-10-15 16:00:00,8,9951,opening,10559.470817449677,0.0,1.0,2,64.34778072790785,164.1,579.78,0.3927937419532252
2024-10-16 09:30:00,8,9952,holding,10553.036039376886,-6.434778072790419,1.0,2,64.34778072790785,164.0,579.78,0.391512726686037
2024-10-16 16:00:00,8,9953,holding,10507.35939592288,-52.11142152679708,1.0,2,64.34778072790785,164.28,582.3,0.391512726686037
2024-10-17 09:30:00,8,9954,holding,10414.828226169933,-144.64259127974324,1.0,2,64.34778072790785,164.26,585.91,0.3911899863678438
2024-10-17 16:00:00,8,9955,holding,10518.321703982256,-41.14911346742148,1.0,2,64.34778072790785,164.47,582.35,0.3911899863678438
2024-10-18 09:30:00,8,9956,holding,10501.874074292955,-57.59674315672264,1.0,2,64.34778072790785,164.89,584.07,0.3908502347244694
2024-10-18 16:00:00,8,9957,closing,10503.530852959555,-55.93996449012249,1.0,2,64.34778072790785,165.12,584.59,0.3908502347244694
