date,trade_id,idx,event,current_pos,change,direction,score,shares,price_stock,price_spy,beta
2008-04-15 16:00:00,0,1643,opening,10000.0,0.0,1.0,1,10,65.65,133.24,0.47169542010756194
2008-04-16 09:30:00,0,1644,holding,9995.267959538602,-4.732040461398219,1.0,1,10,65.79,134.54,0.47143960753793374
2008-04-16 16:00:00,0,1645,closing,9983.471795334117,-16.528204665882946,1.0,1,10,65.7,136.85,0.47143960753793374
2008-07-16 09:30:00,1,1770,opening,9983.471795334117,0.0,1.0,1,10,67.77,121.45,0.44267840966727856
2008-07-16 16:00:00,1,1771,holding,9976.560567251468,-6.911228082648635,1.0,1,10,68.19,123.96,0.44267840966727856
2008-07-17 09:30:00,1,1772,closing,9973.836962017394,-9.63483331672255,1.0,1,10,68.44,125.14,0.4395974649022439
2008-10-15 09:30:00,2,1898,opening,9973.836962017394,0.0,1.0,1,10,64.31,97.46,0.5627640521520759
2008-10-15 16:00:00,2,1899,holding,9978.00660749751,4.169645480114408,1.0,1,10,60.54,90.02,0.5627640521520759
2008-10-16 09:30:00,2,1900,closing,9972.859504035177,-0.9774579822169871,1.0,1,10,60.74,91.29,0.5704245741917833
2010-07-20 16:00:00,3,2783,opening,9972.859504035177,0.0,-1.0,-1,10,58.58,108.48,0.5380299088475574
2010-07-21 09:30:00,3,2784,holding,9973.672471524724,0.8129674895463451,-1.0,-1,10,58.8,109.04,0.5370120087013849
2010-07-21 16:00:00,3,2785,closing,9979.873282320426,7.0137782852493915,-1.0,-1,10,57.12,107.07,0.5370120087013849
2011-01-26 09:30:00,4,3046,opening,9979.873282320426,0.0,-1.0,-1,10,61.18,129.49,0.5360699300264418
2011-01-26 16:00:00,4,3047,holding,9986.638208194474,6.764925874047463,-1.0,-1,10,60.6,129.67,0.5360699300264418
2011-01-27 09:30:00,4,3048,closing,9986.399029173483,6.525746853055409,-1.0,-1,10,60.64,129.7,0.5362476737829217
2011-07-19 09:30:00,5,3286,opening,9986.399029173483,0.0,1.0,1,10,67.1,131.34,0.5399554672096236
2011-07-19 16:00:00,5,3287,holding,9975.093648179269,-11.30538099421365,1.0,1,10,66.72,132.73,0.5399554672096236
2011-07-20 09:30:00,5,3288,closing,9971.757799590756,-14.641229582726446,1.0,1,10,66.57,133.07,0.5393148729635469
2012-10-16 16:00:00,6,3917,opening,9971.757799590756,0.0,1.0,1,10,69.55,145.54,0.5405175551411795
2012-10-17 09:30:00,6,3918,holding,9973.017282035615,1.2594824448589195,1.0,1,10,69.73,145.64,0.5405851270951262
2012-10-17 16:00:00,6,3919,closing,9982.690383726824,10.932584136068261,1.0,1,10,71.0,146.2,0.5405851270951262
2013-01-22 16:00:00,7,4045,opening,9982.690383726824,0.0,1.0,1,10,72.69,149.13,0.5480894797590729
2013-01-23 09:30:00,7,4046,holding,9980.990383726823,-1.700000000000017,1.0,1,10,72.52,149.13,0.5443891922821643
2013-01-23 16:00:00,7,4047,closing,9982.974968975403,0.2845852485781411,1.0,1,10,72.85,149.37,0.5443891922821643
2013-04-16 16:00:00,8,4161,opening,9982.974968975403,0.0,1.0,1,10,83.44,157.41,0.5557436395184141
2013-04-17 09:30:00,8,4162,holding,9988.39929773801,5.4243287626062795,1.0,1,10,83.36,156.29,0.555796469381049
2013-04-17 16:00:00,8,4163,closing,10000.357072684326,17.38210370892351,1.0,1,10,83.9,155.11,0.555796469381049
2013-07-16 16:00:00,9,4287,opening,10000.357072684326,0.0,1.0,1,10,90.4,167.52,0.5643618009612679
2013-07-17 09:30:00,9,4288,holding,9998.545157158174,-1.8119155261521114,1.0,1,10,90.58,168.16,0.5667206556160093
2013-07-17 16:00:00,9,4289,closing,9995.230316940193,-5.126755744133432,1.0,1,10,90.13,167.95,0.5667206556160093
2013-10-15 16:00:00,10,4415,opening,9995.230316940193,0.0,1.0,1,10,89.93,169.7,0.5603067178297777
2013-10-16 09:30:00,10,4416,holding,9994.415188418328,-0.8151285218638415,1.0,1,10,90.42,170.72,0.5250206752992056
2013-10-16 16:00:00,10,4417,closing,9993.751047727626,-1.4792692125658302,1.0,1,10,91.11,172.07,0.5250206752992056
2014-04-15 16:00:00,11,4665,opening,9993.751047727626,0.0,1.0,1,10,99.2,184.2,0.5354534031136843
2014-04-16 09:30:00,11,4666,holding,9990.650789508083,-3.1002582195439423,1.0,1,10,99.57,185.47,0.536228294818458
2014-04-16 16:00:00,11,4667,closing,9978.916797047532,-14.834250680094172,1.0,1,10,98.75,186.13,0.536228294818458
2014-07-15 16:00:00,12,4789,opening,9978.916797047532,0.0,1.0,1,10,103.28,197.23,0.558116691295733
2014-07-16 09:30:00,12,4790,holding,9976.50537016413,-2.4114268834025845,1.0,1,10,103.53,198.11,0.5568385195691447
2014-07-16 16:00:00,12,4791,closing,9964.242545201072,-14.674251846458976,1.0,1,10,102.22,197.96,0.5568385195691447
2014-10-14 16:00:00,13,4917,opening,9964.242545201072,0.0,1.0,1,10,97.01,187.7,0.5744004532145375
2014-10-15 09:30:00,13,4918,holding,9969.232316712722,4.989771511649126,1.0,1,10,96.05,185.16,0.5791540761278964
2014-10-15 16:00:00,13,4919,closing,9983.537430956896,19.29488575582441,1.0,1,10,98.21,186.43,0.5791540761278964
2015-01-20 16:00:00,14,5049,opening,9983.537430956896,0.0,1.0,1,10,101.29,202.06,0.5827389156109022
2015-01-21 09:30:00,14,5050,holding,9979.500768884318,-4.036662072578975,1.0,1,10,100.56,201.5,0.5822063307633444
2015-01-21 16:00:00,14,5051,closing,9983.693494017665,0.1560630607687319,1.0,1,10,101.9,203.08,0.5822063307633444
2015-04-14 16:00:00,15,5165,opening,9983.693494017665,0.0,1.0,1,10,100.52,209.49,0.5889283434515813
2015-04-15 09:30:00,15,5166,holding,9980.595495294336,-3.0979987233287662,1.0,1,10,100.54,210.05,0.5885464156606627
2015-04-15 16:00:00,15,5167,closing,9978.957567589221,-4.735926428444868,1.0,1,10,100.6,210.43,0.5885464156606627
2015-07-15 09:30:00,16,5292,opening,9978.957567589221,0.0,1.0,1,10,99.76,210.73,0.6055119135316055
2015-07-15 16:00:00,16,5293,holding,9986.28418188546,7.326614296237748,1.0,1,10,100.42,210.61,0.6055119135316055
2015-07-16 09:30:00,16,5294,closing,9983.95473177496,4.997164185739585,1.0,1,10,100.95,211.87,0.6059743519788565
2016-01-26 16:00:00,17,5561,opening,9983.95473177496,0.0,1.0,1,10,101.18,190.2,0.6549695714097065
2016-01-27 09:30:00,17,5562,holding,9981.1155431177,-2.8391886572600953,1.0,1,10,100.49,189.58,0.6560638055515313
2016-01-27 16:00:00,17,5563,closing,10007.31260190314,23.357870128180778,1.0,1,10,102.16,188.13,0.6560638055515313
2016-04-19 16:00:00,18,5677,opening,10007.31260190314,0.0,1.0,1,10,112.68,209.9,0.6577111868436298
2016-04-20 09:30:00,18,5678,holding,10012.08374630972,4.771144406578206,1.0,1,10,113.19,209.95,0.6573856328221881
2016-04-20 16:00:00,18,5679,closing,10014.997179529453,7.68457762631273,1.0,1,10,113.58,210.1,0.6573856328221881
2016-07-19 16:00:00,19,5803,opening,10014.997179529453,0.0,1.0,1,10,125.25,216.19,0.6547473578732139
2016-07-20 09:30:00,19,5804,holding,10017.230594325363,2.2334147959100212,1.0,1,10,125.84,216.75,0.6546812196410262
2016-07-20 16:00:00,19,5805,closing,10008.004453308595,-6.992726220858957,1.0,1,10,125.14,217.09,0.6546812196410262
2016-10-19 09:30:00,20,5932,opening,10008.004453308595,0.0,1.0,1,10,115.57,214.02,0.6798667148502958
2016-10-19 16:00:00,20,5933,holding,9996.436799849984,-11.567653458610605,1.0,1,10,114.59,214.28,0.6798667148502958
2016-10-20 09:30:00,20,5934,closing,10001.62425338087,-6.380199927724465,1.0,1,10,114.83,213.87,0.6799831448642962
2017-01-25 09:30:00,21,6064,opening,10001.62425338087,0.0,1.0,1,10,111.93,228.7,0.6855689650438948
2017-01-25 16:00:00,21,6065,holding,10004.359803384988,2.735550004117988,1.0,1,10,112.8,229.57,0.6855689650438948
2017-01-26 09:30:00,21,6066,closing,9997.525270625563,-4.098982755307448,1.0,1,10,112.0,229.4,0.6848012962116278
2017-04-18 16:00:00,22,6179,opening,9997.525270625563,0.0,1.0,1,10,121.82,233.87,0.6887965662742699
2017-04-19 09:30:00,22,6180,holding,9995.84809294478,-1.677177680782782,1.0,1,10,122.1,234.52,0.6883459449360698
2017-04-19 16:00:00,22,6181,closing,9995.987095860542,-1.5381747650204787,1.0,1,10,121.37,233.44,0.6883459449360698
2017-07-18 16:00:00,23,6305,opening,9995.987095860542,0.0,1.0,1,10,134.46,245.66,0.7085860604246397
2017-07-19 09:30:00,23,6306,holding,9997.236186043014,1.2490901824711549,1.0,1,10,134.84,246.02,0.7093347738873319
2017-07-19 16:00:00,23,6307,closing,9994.062901256895,-1.9241946036477964,1.0,1,10,135.21,246.99,0.7093347738873319
2017-10-18 09:30:00,24,6434,opening,9994.062901256895,0.0,1.0,1,10,140.79,255.9,0.7168741082842978
2017-10-18 16:00:00,24,6435,holding,9994.253274651806,0.19037339491193267,1.0,1,10,140.68,255.72,0.7168741082842978
2017-10-19 09:30:00,24,6436,closing,10000.933454215537,6.870552958642096,1.0,1,10,140.71,254.83,0.7155540119426971
2018-01-24 09:30:00,25,6566,opening,10000.933454215537,0.0,1.0,1,10,143.5,284.02,0.725223632452728
2018-01-24 16:00:00,25,6567,holding,9992.72533272814,-8.208121487397333,1.0,1,10,142.07,283.18,0.725223632452728
2018-01-25 09:30:00,25,6568,closing,9988.018141130104,-12.91531308543411,1.0,1,10,142.31,284.16,0.7252633606113217
2018-04-18 09:30:00,26,6682,opening,9988.018141130104,0.0,1.0,1,10,129.69,270.69,0.7405627366964995
2018-04-18 16:00:00,26,6683,holding,9970.539829340194,-17.478311789910407,1.0,1,10,127.72,270.39,0.7405627366964995
2018-04-19 09:30:00,26,6684,closing,9975.119993591747,-12.898147538356275,1.0,1,10,127.63,269.65,0.7422184658190936
2018-07-18 09:30:00,27,6808,opening,9975.119993591747,0.0,1.0,1,10,128.81,280.56,0.7314668207539098
2018-07-18 16:00:00,27,6809,holding,9961.362659487977,-13.757334103769601,1.0,1,10,127.8,281.06,0.7314668207539098
2018-07-19 09:30:00,27,6810,closing,9964.148660643632,-10.971332948115238,1.0,1,10,127.53,280.31,0.7316469752953035
2018-10-16 16:00:00,28,6935,opening,9964.148660643632,0.0,1.0,1,10,136.56,280.4,0.7108112653818416
2018-10-17 09:30:00,28,6936,holding,9960.564336137479,-3.584324506153007,1.0,1,10,136.23,280.44,0.7109938661859125
2018-10-17 16:00:00,28,6937,closing,9992.793255010942,28.644594367309054,1.0,1,10,139.46,280.45,0.7109938661859125
2019-01-22 16:00:00,29,7065,opening,9992.793255010942,0.0,1.0,1,10,128.8,262.86,0.6779184810954794
2019-01-23 09:30:00,29,7066,holding,9981.997192478344,-10.796062532597972,1.0,1,10,128.5,264.01,0.6777564439745813
2019-01-23 16:00:00,29,7067,closing,9989.064703364917,-3.7285516460252137,1.0,1,10,128.8,263.41,0.6777564439745813
2019-04-16 16:00:00,30,7183,opening,9989.064703364917,0.0,1.0,1,10,138.02,290.16,0.662224950990926
2019-04-17 09:30:00,30,7184,holding,9990.653113972628,1.5884106077127313,1.0,1,10,139.0,291.4,0.6620666698483271
2019-04-17 16:00:00,30,7185,closing,9998.766500516953,9.701797152035816,1.0,1,10,138.52,289.45,0.6620666698483271
2019-10-15 16:00:00,31,7435,opening,9998.766500516953,0.0,1.0,1,10,132.84,298.88,0.6307323618315961
2019-10-16 09:30:00,31,7436,holding,10022.583235562293,23.816735045341105,1.0,1,10,134.9,298.37,0.6309268801910712
2019-10-16 16:00:00,31,7437,closing,10025.094015853745,26.327515336791617,1.0,1,10,135.17,298.4,0.6309268801910712
2020-10-14 09:30:00,32,7938,opening,10025.094015853745,0.0,1.0,1,10,148.82,350.75,0.5644168143391957
2020-10-14 16:00:00,32,7939,holding,10033.81057001811,8.716554164365292,1.0,1,10,148.1,347.93,0.5644168143391957
2020-10-15 09:30:00,32,7940,closing,10051.428959583225,26.334943729479455,1.0,1,10,147.48,343.71,0.5642181888099986
2021-01-26 16:00:00,33,8079,opening,10051.428959583225,0.0,1.0,1,10,170.48,383.79,0.566241983631851
2021-01-27 09:30:00,33,8080,holding,10058.043798398883,6.614838815657187,1.0,1,10,169.12,380.22,0.5664279093139764
2021-01-27 16:00:00,33,8081,closing,10078.542457647893,27.113498064667656,1.0,1,10,167.88,374.41,0.5664279093139764
2021-04-20 16:00:00,34,8195,opening,10078.542457647893,0.0,1.0,1,10,166.48,412.17,0.5644523290182851
2021-04-21 09:30:00,34,8196,holding,10081.167843019413,2.625385371520971,1.0,1,10,166.37,411.51,0.5621788866015021
2021-04-21 16:00:00,34,8197,closing,10057.62881681618,-20.913640831712854,1.0,1,10,166.59,416.07,0.5621788866015021
2021-07-21 16:00:00,35,8323,opening,10057.62881681618,0.0,1.0,1,10,169.49,434.55,0.5573069810153135
2021-07-22 09:30:00,35,8324,holding,10055.26993355225,-2.3588832639290374,1.0,1,10,169.36,434.74,0.5570727243567694
2021-07-22 16:00:00,35,8325,closing,10057.45732328894,-0.17149352723936917,1.0,1,10,169.98,435.46,0.5570727243567694
2021-10-19 16:00:00,36,8449,opening,10057.45732328894,0.0,1.0,1,10,163.87,450.64,0.5533752760812801
2021-10-20 09:30:00,36,8450,holding,10055.845784436142,-1.6115388527984709,1.0,1,10,163.98,451.13,0.5539843133050796
2021-10-20 16:00:00,36,8451,closing,10046.762580902301,-10.694742386638904,1.0,1,10,163.78,452.41,0.5539843133050796
2022-01-25 16:00:00,37,8583,opening,10046.762580902301,0.0,1.0,1,10,167.63,434.47,0.5374587724282736
2022-01-26 09:30:00,37,8584,holding,10012.271407625534,-34.49117327676713,1.0,1,10,167.54,440.72,0.5408778783660128
2022-01-26 16:00:00,37,8585,closing,10060.120881521769,13.358300619468352,1.0,1,10,168.38,433.38,0.5408778783660128
2022-04-19 16:00:00,38,8699,opening,10060.120881521769,0.0,1.0,1,10,183.08,445.04,0.5043393191479438
2022-04-20 09:30:00,38,8700,holding,10042.239302321788,-17.881579199981353,1.0,1,10,182.24,446.92,0.5042628761756929
2022-04-20 16:00:00,38,8701,closing,10069.885201274958,9.76431975318816,1.0,1,10,183.89,444.71,0.5042628761756929
2022-07-19 16:00:00,39,8823,opening,10069.885201274958,0.0,1.0,1,10,171.69,392.27,0.49504028174173914
2022-07-20 09:30:00,39,8824,holding,10073.995120711474,4.109919436516206,1.0,1,10,172.2,392.47,0.49209901973764997
2022-07-20 16:00:00,39,8825,closing,10047.709194231415,-22.176007043543375,1.0,1,10,170.71,394.77,0.49209901973764997
2022-10-18 16:00:00,40,8951,opening,10047.709194231415,0.0,1.0,1,10,166.01,371.13,0.47806129592884095
2022-10-19 09:30:00,40,8952,holding,10057.839705964292,10.13051173287722,1.0,1,10,166.0,368.99,0.47687697113253624
2022-10-19 16:00:00,40,8953,closing,10047.082206314342,-0.6269879170714376,1.0,1,10,164.69,368.5,0.47687697113253624
2023-04-18 16:00:00,41,9199,opening,10047.082206314342,0.0,1.0,1,10,161.01,414.21,0.4502795589307201
2023-04-19 09:30:00,41,9200,holding,10065.842769537063,18.760563222721295,1.0,1,10,161.99,412.22,0.45065597233273175
2023-04-19 16:00:00,41,9201,closing,10062.597402005595,15.515195691251575,1.0,1,10,162.53,414.14,0.45065597233273175
2023-07-20 16:00:00,42,9327,opening,10062.597402005595,0.0,1.0,1,10,168.38,452.18,0.4419987558890937
2023-07-21 09:30:00,42,9328,holding,10052.729824150769,-9.867577854825633,1.0,1,10,168.18,453.96,0.4418620262839481
2023-07-21 16:00:00,42,9329,closing,10080.697402005595,18.100000000000023,1.0,1,10,170.19,452.18,0.4418620262839481
2023-10-17 16:00:00,43,9451,opening,10080.697402005595,0.0,1.0,1,10,156.09,436.02,0.43511864781266374
2023-10-18 09:30:00,43,9452,holding,10081.860073260566,1.162671254971609,1.0,1,10,155.41,434.19,0.43500284289564173
2023-10-18 16:00:00,43,9453,closing,10072.37779544351,-8.319606562084365,1.0,1,10,152.73,430.21,0.43500284289564173
2024-01-23 16:00:00,44,9583,opening,10072.37779544351,0.0,1.0,1,10,159.81,484.86,0.42925755689610445
2024-01-24 09:30:00,44,9584,holding,10059.114697515075,-13.263097928435055,1.0,1,10,159.75,487.81,0.42907172179036396
2024-01-24 16:00:00,44,9585,closing,10061.60273039196,-10.77506505154918,1.0,1,10,158.96,485.39,0.42907172179036396
2024-04-16 16:00:00,45,9699,opening,10061.60273039196,0.0,1.0,2,10,144.45,503.53,0.4287672154568314
2024-04-17 09:30:00,45,9700,holding,10056.297796562449,-5.304933829512204,1.0,2,10,145.0,506.05,0.42875023208804985
2024-04-17 16:00:00,45,9701,closing,10077.579993412573,15.977263020613625,1.0,2,10,144.77,500.55,0.42875023208804985
2024-07-17 09:30:00,46,9824,opening,10077.579993412573,0.0,1.0,1,10,151.55,558.8,0.41833071596728383
2024-07-17 16:00:00,46,9825,holding,10135.660944729565,58.080951316991076,1.0,1,10,156.58,556.94,0.41833071596728383
2024-07-18 09:30:00,46,9826,closing,10119.293152488879,41.7131590763048,1.0,1,10,155.6,558.51,0.4179797688588934
2024-10-15 16:00:00,47,9951,opening,10119.293152488879,0.0,1.0,1,10,164.1,579.78,0.3927937419532252
2024-10-16 09:30:00,47,9952,holding,10118.293152488879,-0.9999999999999432,1.0,1,10,164.0,579.78,0.391512726686037
2024-10-16 16:00:00,47,9953,closing,10111.194750191658,-8.098402297221135,1.0,1,10,164.28,582.3,0.391512726686037
