date,trade_id,idx,event,current_pos,change,direction,score,shares,price_stock,price_spy,beta
2016-01-26 16:00:00,0,5561,opening,10000.0,0.0,1.0,2,10,101.18,190.2,0.6549695714097065
2016-01-27 09:30:00,0,5562,holding,9997.16081134274,-2.8391886572600953,1.0,2,10,100.49,189.58,0.6560638055515313
2016-01-27 16:00:00,0,5563,holding,10023.35787012818,23.357870128180778,1.0,2,10,102.16,188.13,0.6560638055515313
2016-01-28 09:30:00,0,5564,holding,10014.771926971383,14.7719269713831,1.0,2,10,102.5,189.96,0.6571483798015028
2016-01-28 16:00:00,0,5565,holding,10018.039168328365,18.03916832836553,1.0,2,10,102.27,189.11,0.6571483798015028
2016-01-29 09:30:00,0,5566,holding,10018.278945228538,18.278945228537268,1.0,2,10,102.89,190.02,0.6571104230424375
2016-01-29 16:00:00,0,5567,holding,10009.545071086379,9.545071086378174,1.0,2,10,104.44,193.72,0.6571104230424375
2016-02-01 09:30:00,0,5568,closing,10009.039208986154,9.039208986153684,1.0,2,10,103.61,192.53,0.6570107110036174
2017-10-18 09:30:00,1,6434,opening,10009.039208986154,0.0,1.0,2,10,140.79,255.9,0.7168741082842978
2017-10-18 16:00:00,1,6435,holding,10009.229582381065,0.19037339491193267,1.0,2,10,140.68,255.72,0.7168741082842978
2017-10-19 09:30:00,1,6436,holding,10015.909761944797,6.870552958642096,1.0,2,10,140.71,254.83,0.7155540119426971
2017-10-19 16:00:00,1,6437,holding,10022.327770505268,13.288561519112825,1.0,2,10,142.04,255.79,0.7155540119426971
2017-10-20 09:30:00,1,6438,holding,10019.20421611988,10.165007133725775,1.0,2,10,142.38,256.7,0.7160262413236494
2017-10-20 16:00:00,1,6439,holding,10016.465032275915,7.425823289760077,1.0,2,10,142.4,257.11,0.7160262413236494
2017-10-23 09:30:00,1,6440,closing,10011.112598075262,2.0733890891080398,1.0,2,10,142.13,257.48,0.7157238781659802
2018-04-18 09:30:00,2,6682,opening,10011.112598075262,0.0,1.0,2,10,129.69,270.69,0.7405627366964995
2018-04-18 16:00:00,2,6683,holding,9993.634286285353,-17.478311789910407,1.0,2,10,127.72,270.39,0.7405627366964995
2018-04-19 09:30:00,2,6684,holding,9998.214450536905,-12.898147538356275,1.0,2,10,127.63,269.65,0.7422184658190936
2018-04-19 16:00:00,2,6685,holding,10003.0427273358,-8.06987073946293,1.0,2,10,127.55,268.89,0.7422184658190936
2018-04-20 09:30:00,2,6686,holding,10008.135177525157,-2.9774205501058204,1.0,2,10,128.0,268.81,0.7418853812966512
2018-04-20 16:00:00,2,6687,holding,10011.02755773248,-0.08504034278294714,1.0,2,10,126.66,266.61,0.7418853812966512
2018-04-23 09:30:00,2,6688,closing,10008.413899943953,-2.6986981313100378,1.0,2,10,126.88,267.26,0.7415678947756408
2021-07-21 16:00:00,3,8323,opening,10008.413899943953,0.0,1.0,2,10,169.49,434.55,0.5573069810153135
2021-07-22 09:30:00,3,8324,holding,10006.055016680024,-2.3588832639290374,1.0,2,10,169.36,434.74,0.5570727243567694
2021-07-22 16:00:00,3,8325,holding,10008.242406416713,-0.17149352723936917,1.0,2,10,169.98,435.46,0.5570727243567694
2021-07-23 09:30:00,3,8326,holding,10006.961882607799,-1.4520173361547384,1.0,2,10,171.0,437.52,0.5573310565070979
2021-07-23 16:00:00,3,8327,holding,10001.375053667227,-7.0388462767254945,1.0,2,10,171.79,439.94,0.5573310565070979
2021-07-26 09:30:00,3,8328,holding,10005.186087647624,-3.2278122963290334,1.0,2,10,171.82,439.31,0.5574074039608071
2021-07-26 16:00:00,3,8329,closing,9996.156138272263,-12.257761671690663,1.0,2,10,171.87,441.02,0.5574074039608071
2023-07-20 16:00:00,4,9327,opening,9996.156138272263,0.0,1.0,2,10,168.38,452.18,0.4419987558890937
2023-07-21 09:30:00,4,9328,holding,9986.288560417437,-9.867577854825633,1.0,2,10,168.18,453.96,0.4418620262839481
2023-07-21 16:00:00,4,9329,holding,10014.256138272263,18.100000000000023,1.0,2,10,170.19,452.18,0.4418620262839481
2023-07-24 09:30:00,4,9330,holding,10022.096353077182,25.94021480491984,1.0,2,10,171.5,453.37,0.4416190850534472
2023-07-24 16:00:00,4,9331,holding,10014.227763403303,18.07162513104056,1.0,2,10,171.08,454.2,0.4416190850534472
2023-07-25 09:30:00,4,9332,holding,10009.165359919793,13.00922164752966,1.0,2,10,170.45,453.92,0.44139396326991354
2023-07-25 16:00:00,4,9333,closing,10021.84697883028,25.690840558015495,1.0,2,10,172.39,455.44,0.44139396326991354
