date,trade_id,idx,event,current_pos,change,direction,score,shares,price_stock,price_spy,beta
2007-07-17 16:00:00,0,1267,opening,10000.0,0.0,1.0,1,10,62.74,154.75,0.6462211033919479
2007-07-18 09:30:00,0,1268,holding,10001.060349737638,1.0603497376381554,1.0,1,10,62.51,154.23,0.6464341638927603
2007-07-18 16:00:00,0,1269,closing,9996.409419089498,-3.59058091050253,1.0,1,10,62.2,154.47,0.6464341638927603
2007-10-16 16:00:00,1,1395,opening,9996.409419089498,0.0,-1.0,-1,10,65.07,153.78,0.5670491323510044
2007-10-17 09:30:00,1,1396,holding,9998.41400867771,2.004589588211949,-1.0,-1,10,65.55,154.98,0.5606098154011795
2007-10-17 16:00:00,1,1397,closing,10001.274550011547,4.865130922049703,-1.0,-1,10,64.85,154.25,0.5606098154011795
2008-01-22 16:00:00,2,1527,opening,10001.274550011547,0.0,1.0,2,10,65.27,130.72,0.5412432393444773
2008-01-23 09:30:00,2,1528,holding,10018.221679599752,16.94712958820454,1.0,2,10,65.0,127.09,0.5413894503584358
2008-01-23 16:00:00,2,1529,closing,9973.57951229613,-27.695037715416596,1.0,2,10,64.2,133.86,0.5413894503584358
2008-04-15 16:00:00,3,1643,opening,9973.57951229613,0.0,-1.0,-1,10,65.65,133.24,0.47169542010756194
2008-04-16 09:30:00,3,1644,holding,9978.311552757528,4.732040461398219,-1.0,-1,10,65.79,134.54,0.47143960753793374
2008-04-16 16:00:00,3,1645,closing,9990.107716962013,16.528204665882946,-1.0,-1,10,65.7,136.85,0.47143960753793374
2008-10-15 09:30:00,4,1898,opening,9990.107716962013,0.0,1.0,1,10,64.31,97.46,0.5627640521520759
2008-10-15 16:00:00,4,1899,holding,9994.277362442128,4.169645480114408,1.0,1,10,60.54,90.02,0.5627640521520759
2008-10-16 09:30:00,4,1900,closing,9989.130258979796,-0.9774579822169871,1.0,1,10,60.74,91.29,0.5704245741917833
2009-10-14 09:30:00,5,2400,opening,9989.130258979796,0.0,-1.0,-1,10,61.21,108.72,0.5398121943856574
2009-10-14 16:00:00,5,2401,holding,9998.915150926672,9.784891946875433,-1.0,-1,10,60.55,109.31,0.5398121943856574
2009-10-15 09:30:00,5,2402,closing,9997.254146296427,8.123887316631418,-1.0,-1,10,60.43,108.78,0.5397207786580972
2010-01-26 16:00:00,6,2541,opening,9997.254146296427,0.0,1.0,1,10,62.79,109.31,0.5399658399316009
2010-01-27 09:30:00,6,2542,holding,9997.910098472332,0.6559521759042641,1.0,1,10,62.78,109.17,0.5399572763731743
2010-01-27 16:00:00,6,2543,closing,10000.946323928783,3.6921776323556825,1.0,1,10,63.44,109.83,0.5399572763731743
2010-04-21 09:30:00,7,2658,opening,10000.946323928783,0.0,1.0,2,10,65.98,120.95,0.538878203154514
2010-04-21 16:00:00,7,2659,holding,9996.609070717932,-4.337253210851911,1.0,2,10,65.39,120.66,0.538878203154514
2010-04-22 09:30:00,7,2660,closing,9999.089535444746,-1.8567884840385096,1.0,2,10,65.18,119.81,0.5392495731338103
