date,trade_id,idx,event,current_pos,change,direction,score,shares,price_stock,price_spy,beta
2008-01-22 16:00:00,0,1527,opening,10000.0,0.0,1.0,2,10,65.27,130.72,0.5412432393444773
2008-01-23 09:30:00,0,1528,holding,10016.947129588205,16.94712958820454,1.0,2,10,65.0,127.09,0.5413894503584358
2008-01-23 16:00:00,0,1529,holding,9972.304962284583,-27.695037715416596,1.0,2,10,64.2,133.86,0.5413894503584358
2008-01-24 09:30:00,0,1530,holding,9972.349254200648,-27.650745799352194,1.0,2,10,64.54,134.48,0.5125456509778027
2008-01-24 16:00:00,0,1531,holding,9959.288913679991,-40.711086320009215,1.0,2,10,63.51,134.99,0.5125456509778027
2008-01-25 09:30:00,0,1532,holding,9951.362016441955,-48.63798355804516,1.0,2,10,63.54,136.51,0.5086563989319798
2008-01-25 16:00:00,0,1533,holding,9959.343156847208,-40.65684315279179,1.0,2,10,62.46,133.04,0.5086563989319798
2008-01-28 09:30:00,0,1534,closing,9960.15242172065,-39.847578279349676,1.0,2,10,62.66,133.26,0.5093201704697087
2010-04-21 09:30:00,1,2658,opening,9960.15242172065,0.0,1.0,2,10,65.98,120.95,0.538878203154514
2010-04-21 16:00:00,1,2659,holding,9955.815168509798,-4.337253210851911,1.0,2,10,65.39,120.66,0.538878203154514
2010-04-22 09:30:00,1,2660,holding,9958.295633236612,-1.8567884840385096,1.0,2,10,65.18,119.81,0.5392495731338103
2010-04-22 16:00:00,1,2661,holding,9947.775206978442,-12.377214742208151,1.0,2,10,64.78,121.02,0.5392495731338103
2010-04-23 09:30:00,1,2662,holding,9947.506309540966,-12.646112179684623,1.0,2,10,64.71,120.94,0.538686495398942
2010-04-23 16:00:00,1,2663,holding,9946.11806917352,-14.034352547128794,1.0,2,10,65.04,121.81,0.538686495398942
2010-04-26 09:30:00,1,2664,closing,9945.402517892258,-14.749903828390671,1.0,2,10,64.99,121.85,0.5388256623708362
2010-10-20 09:30:00,2,2912,opening,9945.402517892258,0.0,-1.0,-2,10,63.32,116.94,0.5368387267530687
2010-10-20 16:00:00,2,2913,holding,9947.595118051062,2.1926001588035637,-1.0,-2,10,63.6,117.87,0.5368387267530687
2010-10-21 09:30:00,2,2914,holding,9947.840363302854,2.4378454105948535,-1.0,-2,10,63.86,118.4,0.5368430817154212
2010-10-21 16:00:00,2,2915,holding,9945.09089874062,-0.3116191516385125,-1.0,-2,10,63.99,118.13,0.5368430817154212
2010-10-22 09:30:00,2,2916,holding,9945.157208448776,-0.24530944348291506,-1.0,-2,10,64.08,118.31,0.5361761381540604
2010-10-22 16:00:00,2,2917,holding,9948.071943939476,2.66942604721823,-1.0,-2,10,63.81,118.35,0.5361761381540604
2010-10-25 09:30:00,2,2918,closing,9950.012969880825,4.6104519885674655,-1.0,-2,10,64.04,119.14,0.5362053371049343
2011-04-19 16:00:00,3,3163,opening,9950.012969880825,0.0,1.0,2,10,62.69,131.31,0.5343668982338335
2011-04-20 09:30:00,3,3164,holding,9946.823409578554,-3.1895603022711194,1.0,2,10,63.21,132.88,0.5349870611178129
2011-04-20 16:00:00,3,3165,holding,9957.44780240244,7.43483252161445,1.0,2,10,64.39,133.1,0.5349870611178129
2011-04-21 09:30:00,3,3166,holding,9947.960670804627,-2.0522990761989712,1.0,2,10,63.81,133.79,0.5350344984148327
2011-04-21 16:00:00,3,3167,holding,9950.61410749445,0.6011376136242719,1.0,2,10,64.07,133.78,0.5350344984148327
2011-04-25 09:30:00,3,3168,closing,9946.948474392682,-3.064495488141872,1.0,2,10,63.65,133.68,0.5351116359447058
2011-07-19 09:30:00,4,3286,opening,9946.948474392682,0.0,1.0,2,10,67.1,131.34,0.5399554672096236
2011-07-19 16:00:00,4,3287,holding,9935.643093398468,-11.30538099421365,1.0,2,10,66.72,132.73,0.5399554672096236
2011-07-20 09:30:00,4,3288,holding,9932.307244809956,-14.641229582726446,1.0,2,10,66.57,133.07,0.5393148729635469
2011-07-20 16:00:00,4,3289,holding,9931.275057772236,-15.673416620446075,1.0,2,10,66.24,132.65,0.5393148729635469
2011-07-21 09:30:00,4,3290,holding,9929.325391768165,-17.623082624518172,1.0,2,10,66.45,133.4,0.5394059578625332
2011-07-21 16:00:00,4,3291,holding,9923.63987717558,-23.30859721710313,1.0,2,10,66.47,134.49,0.5394059578625332
2011-07-22 09:30:00,4,3292,holding,9925.677890535417,-21.270583857266033,1.0,2,10,66.69,134.52,0.5396913454133477
2011-07-22 16:00:00,4,3293,holding,9925.653917255091,-21.29455713759181,1.0,2,10,66.72,134.58,0.5396913454133477
2011-07-25 09:30:00,4,3294,closing,9927.465347235373,-19.483127157308672,1.0,2,10,66.21,133.3,0.5398237484791144
2011-10-18 16:00:00,5,3415,opening,9927.465347235373,0.0,-1.0,-2,10,64.42,122.58,0.5456712272935069
2011-10-19 09:30:00,5,3416,holding,9925.474004780786,-1.9913424545870635,-1.0,-2,10,64.51,122.38,0.5455858460867884
2011-10-19 16:00:00,5,3417,holding,9937.353114439617,9.887767204244145,-1.0,-2,10,62.64,121.13,0.5455858460867884
2011-10-20 09:30:00,5,3418,holding,9935.790128121498,8.324780886124724,-1.0,-2,10,62.96,121.43,0.5463901682092048
2011-10-20 16:00:00,5,3419,holding,9941.345171944273,13.879824708899733,-1.0,-2,10,62.53,121.66,0.5463901682092048
2011-10-21 09:30:00,5,3420,holding,9943.348270494569,15.882923259196936,-1.0,-2,10,63.11,123.09,0.5461380608247883
2011-10-21 16:00:00,5,3421,holding,9941.450177294753,13.984830059379757,-1.0,-2,10,63.78,123.97,0.5461380608247883
2011-10-24 09:30:00,5,3422,closing,9941.34151974934,13.876172513966809,-1.0,-2,10,63.9,124.17,0.5463470953864037
2012-01-24 16:00:00,6,3547,opening,9941.34151974934,0.0,1.0,2,10,65.0,131.46,0.5469732158138183
2012-01-25 09:30:00,6,3548,holding,9940.735466180968,-0.6060535683722872,1.0,2,10,64.83,131.26,0.5469837351236555
2012-01-25 16:00:00,6,3549,holding,9937.524814375387,-3.816705373951982,1.0,2,10,65.22,132.56,0.5469837351236555
2012-01-26 09:30:00,6,3550,holding,9937.397672402087,-3.943847347253505,1.0,2,10,65.53,133.15,0.5471858061640996
2012-01-26 16:00:00,6,3551,holding,9946.04423224292,4.70271249358206,1.0,2,10,65.7,131.88,0.5471858061640996
2012-01-27 09:30:00,6,3552,holding,9948.74486082413,7.40334107479044,1.0,2,10,65.62,131.24,0.5467450496525806
2012-01-27 16:00:00,6,3553,holding,9944.97241617241,3.6308964230703578,1.0,2,10,65.56,131.82,0.5467450496525806
2012-01-30 09:30:00,6,3554,closing,9949.837765299571,8.49624555023135,1.0,2,10,65.33,130.51,0.5467758379216354
2013-01-22 16:00:00,7,4045,opening,9949.837765299571,0.0,-1.0,-2,10,72.69,149.13,0.5480894797590729
2013-01-23 09:30:00,7,4046,holding,9951.537765299572,1.700000000000017,-1.0,-2,10,72.52,149.13,0.5443891922821643
2013-01-23 16:00:00,7,4047,holding,9949.553180050993,-0.2845852485781411,-1.0,-2,10,72.85,149.37,0.5443891922821643
2013-01-24 09:30:00,7,4048,holding,9947.247383195523,-2.5903821040480897,-1.0,-2,10,72.96,149.15,0.5444076373453303
2013-01-24 16:00:00,7,4049,holding,9947.272415842897,-2.5653494566745563,-1.0,-2,10,73.1,149.41,0.5444076373453303
2013-01-25 09:30:00,7,4050,holding,9949.548436397765,-0.28932890180693116,-1.0,-2,10,73.13,149.88,0.5514027177142853
