date,trade_id,idx,event,current_pos,change,direction,score,shares,price_stock,price_spy,beta
2008-01-16 16:00:00,0,1521,opening,10000.0,0.0,-1.0,-1,241.3709872073377,41.43,136.98,1.3164946541101228
2008-01-17 09:30:00,0,1522,holding,10229.951861673044,229.95186167304317,-1.0,-1,241.3709872073377,41.57,137.81,1.3184634979818877
2008-01-17 16:00:00,0,1523,closing,9207.444841397317,-792.5551586026824,-1.0,-1,241.3709872073377,40.04,133.43,1.3184634979818877
2008-07-17 16:00:00,1,1773,opening,9207.444841397317,0.0,-1.0,-1,225.6726676813068,40.8,125.2,1.4735037760666223
2008-07-18 09:30:00,1,1774,holding,9439.729416468723,232.28457507140618,-1.0,-1,225.6726676813068,41.2,126.17,1.47459572501326
2008-07-18 16:00:00,1,1775,closing,9642.842554015813,435.39771261849654,-1.0,-1,225.6726676813068,40.02,125.98,1.47459572501326
2008-10-15 16:00:00,2,1899,opening,9642.842554015813,0.0,-1.0,-1,250.52851530308683,38.49,90.02,1.5650350204638777
2008-10-16 09:30:00,2,1900,holding,10008.011533999354,365.16897998353994,-1.0,-1,250.52851530308683,39.02,91.29,1.5297592884718216
2008-10-16 16:00:00,2,1901,closing,10612.107648687706,969.2650946718941,-1.0,-1,250.52851530308683,40.49,93.77,1.5297592884718216
2009-01-21 16:00:00,3,2031,opening,10612.107648687706,0.0,-1.0,-1,468.9397988814718,22.63,84.05,1.507990024335601
2009-01-22 09:30:00,3,2032,holding,9586.056236260367,-1026.0514124273398,-1.0,-1,468.9397988814718,22.36,82.42,1.511972343114748
2009-01-22 16:00:00,3,2033,closing,9472.402442868053,-1139.705205819654,-1.0,-1,468.9397988814718,23.1,82.75,1.511972343114748
2009-04-17 09:30:00,4,2150,opening,9472.402442868053,0.0,1.0,1,284.03005825691315,33.35,86.83,1.6628740318041628
2009-04-17 16:00:00,4,2151,holding,9328.76318559312,-143.63925727493427,1.0,1,284.03005825691315,33.26,87.08,1.6628740318041628
2009-04-20 09:30:00,4,2152,closing,9635.75025988884,163.3478170207878,1.0,1,284.03005825691315,31.78,85.54,1.6641767829971796
2009-07-16 16:00:00,5,2275,opening,9635.75025988884,0.0,1.0,1,266.6966581757221,36.13,94.15,1.6862884457983291
2009-07-17 09:30:00,5,2276,holding,9753.567765149128,117.81750526028793,1.0,1,266.6966581757221,36.42,94.06,1.6865179869647833
2009-07-17 16:00:00,5,2277,closing,9847.434269966689,211.6840100778478,1.0,1,266.6966581757221,36.89,94.13,1.6865179869647833
2009-10-15 09:30:00,6,2402,opening,9847.434269966689,0.0,1.0,1,212.41230090523487,46.36,108.78,1.6899974836982756
2009-10-15 16:00:00,6,2403,holding,9683.51619443702,-163.9180755296694,1.0,1,212.41230090523487,47.16,109.71,1.6899974836982756
2009-10-16 09:30:00,6,2404,closing,9912.474927193742,65.04065722705386,1.0,1,212.41230090523487,46.7,108.8,1.6898117738305656
2010-01-15 16:00:00,7,2529,opening,9912.474927193742,0.0,1.0,1,226.93394979839152,43.68,113.64,1.6865443263024038
2010-01-19 09:30:00,7,2530,closing,9856.588104559747,-55.88682263399397,1.0,1,226.93394979839152,43.4,113.62,1.6867736720125663
2010-07-15 16:00:00,8,2777,opening,9856.588104559747,0.0,1.0,1,243.61315137320184,40.46,109.68,1.6829314597953597
2010-07-16 09:30:00,8,2778,holding,10054.628436827425,198.04033226767694,1.0,1,243.61315137320184,40.28,109.09,1.6829699206923792
2010-07-16 16:00:00,8,2779,closing,10739.065297681746,882.4771931219979,1.0,1,243.61315137320184,39.0,106.66,1.6829699206923792
2011-01-20 09:30:00,9,3038,opening,10739.065297681746,0.0,-1.0,-1,245.01631981934167,43.83,127.96,1.6831377002574963
2011-01-20 16:00:00,9,3039,holding,10563.137828055913,-175.9274696258332,-1.0,-1,245.01631981934167,44.75,128.08,1.6831377002574963
2011-01-21 09:30:00,9,3040,closing,10819.54989616313,80.48459848138351,-1.0,-1,245.01631981934167,45.05,128.88,1.6835814357647383
2011-04-15 09:30:00,10,3158,opening,10819.54989616313,0.0,1.0,1,239.15892785506475,45.24,131.8,1.6793732023213366
2011-04-15 16:00:00,10,3159,holding,10639.451368725297,-180.09852743783264,1.0,1,239.15892785506475,44.89,132.04,1.6793732023213366
2011-04-18 09:30:00,10,3160,closing,11073.546620531914,253.99672436878478,1.0,1,239.15892785506475,44.27,130.59,1.6795900787510611
2011-07-15 09:30:00,11,3282,opening,11073.546620531914,0.0,-1.0,-1,272.68029107441305,40.61,131.66,1.6779583550291646
2011-07-15 16:00:00,11,3283,holding,11259.061589088598,185.51496855668432,-1.0,-1,272.68029107441305,39.98,131.69,1.6779583550291646
2011-07-18 09:30:00,11,3284,closing,11031.767679070084,-41.778941461829554,-1.0,-1,272.68029107441305,39.79,131.08,1.6781222348451428
2011-10-18 09:30:00,12,3414,opening,11031.767679070084,0.0,-1.0,-1,351.7783060927961,31.36,120.14,1.6666784014621379
2011-10-18 16:00:00,12,3415,holding,11931.157620747394,899.3899416773093,-1.0,-1,351.7783060927961,32.87,122.58,1.6666784014621379
2011-10-19 09:30:00,12,3416,closing,11849.07519038311,817.3075113130252,-1.0,-1,351.7783060927961,32.77,122.38,1.6673372825505224
2012-07-13 16:00:00,13,3785,opening,11849.07519038311,0.0,-1.0,-1,328.5022231877768,36.07,135.75,1.695872099417013
2012-07-16 09:30:00,13,3786,closing,11778.21057555213,-70.86461483097916,-1.0,-1,328.5022231877768,35.76,135.44,1.6958596014800216
2012-10-12 16:00:00,14,3913,opening,11778.21057555213,0.0,1.0,1,282.9940071012045,41.62,142.89,1.6965093417917179
2012-10-15 09:30:00,14,3914,closing,11697.044165527266,-81.16641002486271,1.0,1,282.9940071012045,41.91,143.23,1.6965791546765747
2013-01-16 16:00:00,15,4039,opening,11697.044165527266,0.0,1.0,1,249.83007615393564,46.82,147.05,1.688407040826703
2013-01-17 09:30:00,15,4040,holding,11317.935874810048,-379.10829071721844,1.0,1,249.83007615393564,46.4,147.7,1.6895923589009254
2013-01-17 16:00:00,15,4041,closing,11201.384619979628,-495.6595455476389,1.0,1,249.83007615393564,46.44,148.0,1.6895923589009254
2013-04-12 16:00:00,16,4157,opening,11201.384619979628,0.0,1.0,1,228.55304264394263,49.01,158.8,1.6965104730074183
2013-04-15 09:30:00,16,4158,closing,11369.875837926917,168.49121794728836,1.0,1,228.55304264394263,48.39,158.0,1.6963643302680382
2013-07-12 16:00:00,17,4283,opening,11369.875837926917,0.0,1.0,1,206.83783587278364,54.97,167.51,1.6830277876417665
2013-07-15 09:30:00,17,4284,closing,11317.299152938354,-52.5766849885623,1.0,1,206.83783587278364,55.49,167.97,1.6827954623352337
2013-10-11 16:00:00,18,4411,opening,11317.299152938354,0.0,-1.0,-1,215.52655023687592,52.51,170.26,1.573515073587457
2013-10-14 09:30:00,18,4412,closing,11084.05829723955,-233.2408556988049,-1.0,-1,215.52655023687592,51.94,169.21,1.6025905754904592
2014-04-11 16:00:00,19,4661,opening,11084.05829723955,0.0,1.0,1,200.43505058299368,55.3,181.51,1.5741700853518161
2014-04-14 09:30:00,19,4662,closing,10746.2607928893,-337.7975043502496,1.0,1,200.43505058299368,55.85,182.93,1.573524780841352
2014-07-16 09:30:00,20,4790,opening,10746.2607928893,0.0,1.0,1,183.66536990068877,58.51,198.11,1.5003026750367534
2014-07-16 16:00:00,20,4791,holding,10824.326913735482,78.06612084618257,1.0,1,183.66536990068877,58.71,197.96,1.5003026750367534
2014-07-17 09:30:00,20,4792,closing,10964.86483217229,218.60403928299036,1.0,1,183.66536990068877,58.56,197.35,1.5008510490497313
2014-10-15 09:30:00,21,4918,opening,10964.86483217229,0.0,1.0,1,192.29857650249542,57.02,185.16,1.4812465232976875
2014-10-15 16:00:00,21,4919,holding,10316.591123876711,-648.2737082955794,1.0,1,192.29857650249542,55.53,186.43,1.4812465232976875
2014-10-16 09:30:00,21,4920,closing,11126.514419058396,161.64958688610614,1.0,1,192.29857650249542,54.75,183.06,1.4819162626404145
2015-01-15 16:00:00,22,5045,opening,11126.514419058396,0.0,1.0,1,202.33705071937436,54.99,199.02,1.4716812332327953
2015-01-16 09:30:00,22,5046,holding,11134.187102403845,7.672683345449247,1.0,1,202.33705071937436,54.66,198.77,1.4711354720110397
2015-01-16 16:00:00,22,5047,closing,10539.516825469722,-586.9975935886742,1.0,1,202.33705071937436,55.93,201.63,1.4711354720110397
2015-04-14 16:00:00,23,5165,opening,10539.516825469722,0.0,1.0,2,167.1877669014867,63.04,209.49,1.467653089171935
2015-04-15 09:30:00,23,5166,holding,10408.795096309535,-130.72172916018687,1.0,2,167.1877669014867,63.08,210.05,1.4673923866412804
2015-04-15 16:00:00,23,5167,closing,10504.47528873362,-35.0415367361018,1.0,2,167.1877669014867,64.21,210.43,1.4673923866412804
2015-07-15 09:30:00,24,5292,opening,10504.47528873362,0.0,1.0,1,151.73299564832615,69.23,210.73,1.4624157803142386
2015-07-15 16:00:00,24,5293,holding,10525.033576175336,20.558287441716374,1.0,1,151.73299564832615,69.19,210.61,1.4624157803142386
2015-07-16 09:30:00,24,5294,closing,10312.206217950217,-192.26907078340292,1.0,1,151.73299564832615,69.63,211.87,1.4622718925945808
2015-10-14 09:30:00,25,5420,opening,10312.206217950217,0.0,1.0,1,169.72031300115566,60.76,200.18,1.430681377500295
2015-10-14 16:00:00,25,5421,holding,10397.627542102236,85.42132415201878,1.0,1,169.72031300115566,59.99,199.29,1.430681377500295
2015-10-15 09:30:00,25,5422,closing,10287.268896299309,-24.937321650908917,1.0,1,169.72031300115566,60.47,200.08,1.4293640884002679
2016-01-14 16:00:00,26,5547,opening,10287.268896299309,0.0,1.0,1,176.75719753091596,58.2,191.93,1.4194333468562934
2016-01-15 09:30:00,26,5548,holding,11272.562312656999,985.2934163576908,1.0,1,176.75719753091596,56.45,186.77,1.4201082739342192
