date,trade_id,idx,event,current_pos,change,direction,score,shares,price_stock,price_spy,beta
2008-02-13 16:00:00,0,1559,opening,10000.0,0.0,1.0,2,10,29.7,136.37,0.6077371137869634
2008-02-14 09:30:00,0,1560,holding,9997.075124740035,-2.924875259964268,1.0,2,10,29.76,136.95,0.6054949653911169
2008-02-14 16:00:00,0,1561,closing,10003.092845365443,3.092845365443683,1.0,2,10,29.28,135.17,0.6054949653911169
2010-07-21 16:00:00,1,2785,opening,10003.092845365443,0.0,1.0,2,10,27.04,107.07,0.5543370805676207
2010-07-22 09:30:00,1,2786,holding,9995.652764442235,-7.44008092320883,1.0,2,10,27.0,108.34,0.5540648358126642
2010-07-22 16:00:00,1,2787,closing,9990.744189139878,-12.348656225566138,1.0,2,10,27.13,109.46,0.5540648358126642
2010-10-20 09:30:00,2,2912,opening,9990.744189139878,0.0,1.0,2,10,30.19,116.94,0.5500154385541979
2010-10-20 16:00:00,2,2913,holding,9989.429045561323,-1.3151435785540877,1.0,2,10,30.57,117.87,0.5500154385541979
2010-10-21 09:30:00,2,2914,closing,9985.813963736986,-4.930225402891345,1.0,2,10,30.5,118.4,0.5501786435698613
2011-07-19 16:00:00,3,3287,opening,9985.813963736986,0.0,1.0,2,10,34.66,132.73,0.5462308613635932
2011-07-20 09:30:00,3,3288,holding,9983.65677880835,-2.157184928636176,1.0,2,10,34.63,133.07,0.5467932874022606
2011-07-20 16:00:00,3,3289,closing,9984.050948426077,-1.7630153109092013,1.0,2,10,34.44,132.65,0.5467932874022606
2021-07-21 16:00:00,4,8323,opening,9984.050948426077,0.0,1.0,2,10,56.55,434.55,0.73313939571806
2021-07-22 09:30:00,4,8324,holding,9983.357983574213,-0.6929648518642945,1.0,2,10,56.62,434.74,0.7325025689670046
2021-07-22 16:00:00,4,8325,closing,9976.579379925042,-7.471568501034095,1.0,2,10,56.47,435.46,0.7325025689670046
2021-10-27 16:00:00,5,8461,opening,9976.579379925042,0.0,1.0,2,10,55.52,453.94,0.73070113022708
2021-10-28 09:30:00,5,8462,holding,9967.77272274559,-8.806657179451516,1.0,2,10,55.75,455.46,0.7314424732633241
2021-10-28 16:00:00,5,8463,closing,9949.774670421097,-26.80470950394611,1.0,2,10,56.04,458.32,0.7314424732633241
2022-10-25 16:00:00,6,8961,opening,9949.774670421097,0.0,1.0,2,10,58.95,384.92,0.6579631033804331
2022-10-26 09:30:00,6,8962,holding,9972.087452832651,22.312782411554316,1.0,2,10,59.01,381.62,0.6577570681718132
2022-10-26 16:00:00,6,8963,closing,9973.25560041913,23.48092999803276,1.0,2,10,59.39,382.02,0.6577570681718132
2023-10-24 16:00:00,7,9461,opening,9973.25560041913,0.0,1.0,2,10,55.64,423.63,0.6398911429225358
2023-10-25 09:30:00,7,9462,holding,9985.589706305982,12.334105886852155,1.0,2,10,55.76,421.89,0.6399096509854368
2023-10-25 16:00:00,7,9463,closing,10016.96098190882,43.70538148969004,1.0,2,10,56.12,417.55,0.6399096509854368
2024-07-23 16:00:00,8,9833,opening,10016.96098190882,0.0,1.0,2,10,64.96,553.78,0.6497597317800683
2024-07-24 09:30:00,8,9834,holding,10050.229160712399,33.26817880357919,1.0,2,10,65.09,548.86,0.6493755899599196
2024-07-24 16:00:00,8,9835,closing,10107.005828247218,90.04484633839836,1.0,2,10,65.81,541.23,0.6493755899599196
