date,trade_id,idx,event,current_pos,change,direction,score,shares,price_stock,price_spy,beta
2007-04-17 16:00:00,0,1141,opening,10000.0,0.0,1.0,2,387.74718883288097,25.79,147.09,0.6175140191822869
2007-04-18 09:30:00,0,1142,holding,10121.202741139716,121.20274113971607,1.0,2,387.74718883288097,25.8,146.6,0.6172817487427734
2007-04-18 16:00:00,0,1143,closing,9972.410809052804,-27.589190947195306,1.0,2,387.74718883288097,25.83,147.27,0.6172817487427734
2014-07-23 09:30:00,1,4800,opening,9972.410809052804,0.0,1.0,2,243.3482383858664,40.98,198.5,0.5597962597507031
2014-07-23 16:00:00,1,4801,holding,9911.970047814064,-60.440761238740386,1.0,2,243.3482383858664,40.81,198.64,0.5597962597507031
2014-07-24 09:30:00,1,4802,closing,9925.022933559385,-47.387875493418946,1.0,2,243.3482383858664,40.97,198.83,0.559374118953387
2018-07-25 16:00:00,2,6819,opening,9925.022933559385,0.0,1.0,2,215.34005063049216,46.09,284.01,0.5893057318052394
2018-07-26 09:30:00,2,6820,holding,10085.95465938988,160.9317258304937,1.0,2,215.34005063049216,46.36,283.2,0.5893837850422077
2018-07-26 16:00:00,2,6821,closing,10042.347695656892,117.32476209750779,1.0,2,215.34005063049216,46.24,283.34,0.5893837850422077
2019-10-18 16:00:00,3,7441,opening,10042.347695656892,0.0,1.0,2,183.3214256235285,54.78,297.97,0.520103466589817
2019-10-21 09:30:00,3,7442,closing,9843.599767199,-198.7479284578905,1.0,2,183.3214256235285,54.45,299.42,0.5244210410854094
2020-07-21 16:00:00,4,7819,opening,9843.599767199,0.0,-1.0,-2,208.55084252540254,47.2,325.01,0.7402327186674229
2020-07-22 09:30:00,4,7820,holding,9631.150950869705,-212.44881632929562,-1.0,-2,208.55084252540254,47.93,324.62,0.7397498348733538
2020-07-22 16:00:00,4,7821,closing,9862.250579480968,18.650812281966108,-1.0,-2,208.55084252540254,48.48,326.86,0.7397498348733538
2021-07-21 16:00:00,5,8323,opening,9862.250579480968,0.0,1.0,2,174.39877240461482,56.55,434.55,0.73313939571806
2021-07-22 09:30:00,5,8324,holding,9850.1653575325,-12.085221948467872,1.0,2,174.39877240461482,56.62,434.74,0.7325025689670046
2021-07-22 16:00:00,5,8325,closing,9731.947342029234,-130.30323745173342,1.0,2,174.39877240461482,56.47,435.46,0.7325025689670046
2022-04-25 16:00:00,6,8707,opening,9731.947342029234,0.0,1.0,2,147.58791844145034,65.94,428.51,0.679251005272227
2022-04-26 09:30:00,6,8708,holding,9938.628384756432,206.6810427271981,1.0,2,147.58791844145034,65.52,425.83,0.6787122718024593
2022-04-26 16:00:00,6,8709,closing,10844.687187431657,1112.7398454024233,1.0,2,147.58791844145034,65.05,416.1,0.6787122718024593
2023-02-14 16:00:00,7,9113,opening,10844.687187431657,0.0,1.0,2,181.98837367732264,59.59,412.64,0.6474123576116771
2023-02-15 09:30:00,7,9114,holding,11170.914868789823,326.2276813581671,1.0,2,181.98837367732264,59.9,410.35,0.6474576885401656
2023-02-15 16:00:00,7,9115,closing,10686.806347870783,-157.8808395608732,1.0,2,181.98837367732264,59.59,413.98,0.6474576885401656
