date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2025-01-08,288.97,289.14,286.55,286.9,286.9,2656953,2656953,-2.07,-0.71634,287.89,"January 08, 25",-0.0071634
2025-01-07,293.78,294.93,288.28,289.34,289.34,3419500,3419500,-4.44,-1.51,291.5825,"January 07, 25",-0.0151
2025-01-06,293.28,295.6,291.74,292.18,292.18,2838933,2838933,-1.1,-0.37507,293.2,"January 06, 25",-0.0037507
2025-01-03,292.83,294.96,290.7,294.78,294.78,2240254,2240254,1.95,0.66592,293.3175,"January 03, 25",0.0066592
2025-01-02,290.95,295.76,290.25,292.51,292.51,3118262,3118262,1.56,0.53617,292.3675,"January 02, 25",0.0053617
2024-12-31,290.08,291.24,288.58,289.89,289.89,1915847,1915847,-0.19,-0.06549917,289.9475,"December 31, 24",-0.0006549917
2024-12-30,291.47,291.47,289.0,289.6,289.6,1936700,1936700,-1.87,-0.64158,290.385,"December 30, 24",-0.0064158
2024-12-27,293.34,296.48,292.74,293.62,293.62,1617399,1617399,0.28,0.09545238,294.045,"December 27, 24",0.0009545238
2024-12-26,293.0,295.44,292.6,294.8,294.8,1434337,1434337,1.8,0.61433,293.96,"December 26, 24",0.0061433
2024-12-24,291.28,294.27,290.79,293.99,293.99,1461000,1461000,2.71,0.93038,292.5825,"December 24, 24",0.0093038
2024-12-23,292.26,293.1,289.73,291.29,291.29,2492226,2492226,-0.965,-0.3319,291.595,"December 23, 24",-0.003319
2024-12-20,289.52,296.1,289.3,292.68,292.68,7678000,7678000,3.16,1.09,291.9,"December 20, 24",0.0109
2024-12-19,290.88,292.86,288.85,290.23,290.23,3438533,3438533,-0.65,-0.22346,290.705,"December 19, 24",-0.0022346
2024-12-18,295.02,298.98,290.67,290.88,290.88,3800945,3800945,-4.14,-1.4,293.8875,"December 18, 24",-0.014
2024-12-17,297.62,300.0,294.82,296.08,296.08,3295881,3295881,-1.54,-0.51744,297.13,"December 17, 24",-0.0051744
2024-12-16,297.18,302.12,297.17,297.71,297.71,3180071,3180071,0.53,0.17834,298.545,"December 16, 24",0.0017834
2024-12-13,296.29,299.2,295.43,296.6,296.6,2547703,2547703,0.31,0.10463,296.88,"December 13, 24",0.0010463
2024-12-12,296.2,298.55,295.09,296.63,296.63,2040700,2040700,0.43,0.14517,296.6175,"December 12, 24",0.0014517
2024-12-11,301.34,301.9,295.97,296.1,296.1,3037616,3037616,-5.24,-1.74,298.8275,"December 11, 24",-0.0174
2024-12-10,300.13,302.82,295.84,300.71,300.71,3523000,3523000,0.58,0.19325,299.875,"December 10, 24",0.0019325
2024-12-09,297.58,302.62,297.09,301.37,301.37,2391898,2391898,3.79,1.27,299.665,"December 09, 24",0.0127
2024-12-06,300.56,303.8,298.61,298.98,298.98,4158700,4158700,-1.58,-0.52569,300.4875,"December 06, 24",-0.0052569
2024-12-05,295.54,299.74,294.93,299.47,299.47,2594816,2594816,3.93,1.33,297.42,"December 05, 24",0.0133
2024-12-04,292.28,296.04,291.82,295.09,295.09,3742938,3742938,2.81,0.96141,293.8075,"December 04, 24",0.0096141
2024-12-03,292.32,294.85,290.29,294.5,294.5,3031000,3031000,2.18,0.74576,292.99,"December 03, 24",0.0074576
2024-12-02,293.5,294.23,290.94,292.44,292.44,3150151,3150151,-1.06,-0.36116,292.7775,"December 02, 24",-0.0036116
2024-11-29,294.16,297.05,294.02,296.01,294.24,1655907,1655907,1.85,0.62891,295.31,"November 29, 24",0.0062891
2024-11-27,297.0,299.5,294.98,295.08,293.32,2240300,2240300,-1.92,-0.64646,296.64,"November 27, 24",-0.0064646
2024-11-26,297.0,297.28,294.83,296.33,294.56,2254326,2254326,-0.67,-0.22559,296.36,"November 26, 24",-0.0022559
2024-11-25,291.77,296.61,291.77,296.19,294.42,5021843,5021843,4.43,1.51,294.085,"November 25, 24",0.0151
2024-11-22,288.47,290.6,288.14,290.28,288.54,2879100,2879100,1.81,0.62745,289.3725,"November 22, 24",0.0062745
2024-11-21,285.0,288.6,283.46,288.47,286.75,4475700,4475700,3.47,1.22,286.3825,"November 21, 24",0.0122
2024-11-20,290.62,291.32,288.26,290.91,289.17,2525012,2525012,0.29,0.09978666,290.2775,"November 20, 24",0.0009978666
2024-11-19,290.0,292.07,287.6,290.73,288.99,2353300,2353300,0.73,0.25172,290.1,"November 19, 24",0.0025172
2024-11-18,293.01,295.44,290.79,291.1,289.36,2866132,2866132,-1.91,-0.65185,292.585,"November 18, 24",-0.0065185
2024-11-15,297.72,299.5,289.72,292.63,290.88,4039432,4039432,-5.09,-1.71,294.8925,"November 15, 24",-0.0171
2024-11-14,298.0,300.11,296.59,298.56,296.77,1932600,1932600,0.56,0.18792,298.315,"November 14, 24",0.0018792
2024-11-13,298.9,299.13,295.22,297.35,295.57,2327101,2327101,-1.55,-0.51857,297.65,"November 13, 24",-0.0051857
2024-11-12,300.14,301.4,297.52,298.65,296.86,2453194,2453194,-1.49,-0.49643,299.4275,"November 12, 24",-0.0049643
2024-11-11,300.49,303.81,300.02,301.53,299.73,2872440,2872440,1.04,0.3461,301.4625,"November 11, 24",0.003461
2024-11-08,295.6,301.83,295.25,298.97,297.18,3279284,3279284,3.37,1.14,297.9125,"November 08, 24",0.0114
2024-11-07,294.84,296.54,293.81,294.79,293.02,3357400,3357400,-0.0525,-0.01695835,294.995,"November 07, 24",-0.0001695835
2024-11-06,300.28,300.33,292.72,294.0,292.24,4646422,4646422,-6.28,-2.09,296.8325,"November 06, 24",-0.0209
2024-11-05,293.75,297.38,292.56,297.32,295.54,3032122,3032122,3.57,1.22,295.2525,"November 05, 24",0.0122
2024-11-04,294.74,294.96,291.8,292.85,291.1,2583100,2583100,-1.89,-0.64124,293.5875,"November 04, 24",-0.0064124
2024-11-01,294.51,296.88,293.28,295.21,293.44,4131804,4131804,0.7,0.23768,294.97,"November 01, 24",0.0023768
2024-10-31,292.25,294.38,291.17,292.11,290.36,4277428,4277428,-0.14,-0.04790419,292.4775,"October 31, 24",-0.0004790419
2024-10-30,294.5,295.37,289.84,291.52,289.78,4924013,4924013,-2.98,-1.01,292.8075,"October 30, 24",-0.0101
2024-10-29,297.6,302.7,295.0,295.0,293.24,9048900,9048900,-2.6,-0.87366,297.575,"October 29, 24",-0.0087366
2024-10-28,299.2,299.92,296.54,296.79,295.02,6656000,6656000,-2.41,-0.80548,298.1125,"October 28, 24",-0.0080548
2024-10-25,301.0,301.6,292.2,292.61,290.86,8863234,8863234,-8.39,-2.79,296.8525,"October 25, 24",-0.0279
2024-10-24,299.12,302.39,298.28,301.58,299.78,5522600,5522600,2.46,0.82241,300.3425,"October 24, 24",0.0082241
2024-10-23,292.77,301.6,290.83,298.57,296.78,18792000,18792000,5.8,1.98,295.9425,"October 23, 24",0.0198
2024-10-22,314.09,315.74,313.3,314.69,312.81,5889115,5889115,0.6,0.19103,314.455,"October 22, 24",0.0019103
2024-10-21,317.13,317.9,314.41,314.89,313.01,2404100,2404100,-2.24,-0.70633,316.0825,"October 21, 24",-0.0070633
2024-10-18,315.57,317.18,314.23,316.56,314.67,2531200,2531200,0.99,0.31372,315.885,"October 18, 24",0.0031372
2024-10-17,313.98,315.05,312.48,314.7,312.82,3095200,3095200,0.72,0.22931,314.0525,"October 17, 24",0.0022931
2024-10-16,313.32,313.73,310.11,312.92,311.05,1821486,1821486,-0.4,-0.12767,312.52,"October 16, 24",-0.0012767
2024-10-15,312.0,315.36,311.01,313.34,311.47,3067100,3067100,1.34,0.42949,312.9275,"October 15, 24",0.0042949
2024-10-14,305.15,310.42,304.5,309.84,307.99,2376310,2376310,4.69,1.54,307.4775,"October 14, 24",0.0154
2024-10-11,304.42,305.5,302.97,305.04,303.22,1775710,1775710,0.62,0.20367,304.4825,"October 11, 24",0.0020367
2024-10-10,304.03,305.75,302.93,304.04,302.22,1739500,1739500,0.01,0.00328915,304.1875,"October 10, 24",3.28915e-05
2024-10-09,302.94,305.01,301.96,303.83,302.01,1854155,1854155,0.89,0.29379,303.435,"October 09, 24",0.0029379
2024-10-08,302.64,303.35,300.36,301.9,300.09,2038348,2038348,-0.74,-0.24451,302.0625,"October 08, 24",-0.0024451
2024-10-07,303.76,305.12,300.0,300.85,299.05,2091800,2091800,-2.91,-0.95799,302.4325,"October 07, 24",-0.0095799
2024-10-04,303.05,305.89,301.38,303.76,301.94,2432634,2432634,0.71,0.23428,303.52,"October 04, 24",0.0023428
2024-10-03,303.5,304.02,301.26,303.45,301.64,1802561,1802561,-0.05,-0.01647446,303.0575,"October 03, 24",-0.0001647446
2024-10-02,300.58,304.08,299.58,303.76,301.94,2352436,2352436,3.18,1.06,302.0,"October 02, 24",0.0106
2024-10-01,304.51,305.23,302.25,302.98,301.17,3036208,3036208,-1.53,-0.50245,303.7425,"October 01, 24",-0.0050245
2024-09-30,303.75,305.03,302.1,304.51,302.69,2286978,2286978,0.76,0.25021,303.8475,"September 30, 24",0.0025021
2024-09-27,303.52,306.96,303.52,303.69,301.87,3402999,3402999,0.17,0.05600949,304.4225,"September 27, 24",0.0005600949
2024-09-26,301.15,304.29,300.74,303.65,301.83,1971134,1971134,2.5,0.83015,302.4575,"September 26, 24",0.0083015
2024-09-25,300.33,301.8,298.4,300.47,298.67,1986241,1986241,0.14,0.04661539,300.25,"September 25, 24",0.0004661539
2024-09-24,299.06,301.45,297.7,300.27,298.47,2408175,2408175,1.21,0.4046,299.62,"September 24, 24",0.004046
2024-09-23,299.0,300.22,296.89,299.06,297.27,2312400,2312400,0.06,0.02006689,298.7925,"September 23, 24",0.0002006689
2024-09-20,292.94,298.05,292.83,296.83,295.06,5817302,5817302,3.89,1.33,295.1625,"September 20, 24",0.0133
2024-09-19,294.25,295.08,290.9,293.85,292.09,2271400,2271400,-0.4,-0.13594,293.52,"September 19, 24",-0.0013594
2024-09-18,293.88,295.1,290.37,292.03,290.28,1788384,1788384,-1.85,-0.62951,292.845,"September 18, 24",-0.0062951
2024-09-17,297.0,297.39,292.17,293.75,291.99,2997493,2997493,-3.25,-1.09,295.0775,"September 17, 24",-0.0109
2024-09-16,297.42,300.11,295.04,296.69,294.92,2916205,2916205,-0.73,-0.24544,297.315,"September 16, 24",-0.0024544
2024-09-13,294.49,296.74,292.62,296.53,294.76,2205535,2205535,2.04,0.69272,295.095,"September 13, 24",0.0069272
2024-09-12,290.17,292.69,288.26,292.35,290.6,2274712,2274712,2.18,0.75128,290.8675,"September 12, 24",0.0075128
2024-09-11,290.83,291.44,285.83,290.23,288.49,2747627,2747627,-0.6,-0.20631,289.5825,"September 11, 24",-0.0020631
2024-09-10,292.81,296.23,291.04,291.27,289.53,2497109,2497109,-1.54,-0.52594,292.8375,"September 10, 24",-0.0052594
2024-09-09,290.03,291.74,287.8,291.29,289.55,3208635,3208635,1.26,0.43444,290.215,"September 09, 24",0.0043444
2024-09-06,287.82,292.19,287.57,289.51,287.78,3863600,3863600,1.69,0.58717,289.2725,"September 06, 24",0.0058717
2024-09-05,289.0,289.55,286.24,287.97,286.25,2412500,2412500,-1.03,-0.3564,288.19,"September 05, 24",-0.003564
2024-09-04,286.55,288.97,285.99,288.03,286.31,2558502,2558502,1.48,0.51649,287.385,"September 04, 24",0.0051649
2024-09-03,286.36,288.21,283.71,285.52,283.81,2902800,2902800,-0.84,-0.29334,285.95,"September 03, 24",-0.0029334
2024-08-30,287.56,288.88,286.29,288.66,285.27,2528549,2528549,1.1,0.38253,287.8475,"August 30, 24",0.0038253
2024-08-29,287.78,289.11,284.78,287.86,284.48,1797229,1797229,0.08,0.02779901,287.3825,"August 29, 24",0.0002779901
