date,trade_id,idx,event,current_pos,change,direction,score,shares,price_stock,price_spy,beta
2006-04-24 09:30:00,0,648,opening,10000.0,0.0,1.0,1,10,34.35,130.93,0.6482384522771661
2006-04-24 16:00:00,0,649,holding,9999.229647690456,-0.7703523095445346,1.0,1,10,34.26,130.91,0.6482384522771661
2006-04-25 09:30:00,0,650,holding,9996.386937702495,-3.6130622975047784,1.0,1,10,34.06,131.04,0.6527401522917905
2006-04-25 16:00:00,0,651,holding,9998.630135332753,-1.369864667247855,1.0,1,10,33.85,130.37,0.6527401522917905
2006-04-26 09:30:00,0,652,closing,9998.287425344792,-1.71257465520817,1.0,1,10,33.9,130.5,0.6523873218776619
2006-07-26 09:30:00,1,778,opening,9998.287425344792,0.0,1.0,1,10,34.49,126.59,0.6567707901038372
2006-07-26 16:00:00,1,779,holding,9996.311175448542,-1.9762498962491672,1.0,1,10,34.45,126.83,0.6567707901038372
2006-07-27 09:30:00,1,780,holding,9995.527321498023,-2.760103846768353,1.0,1,10,34.7,127.33,0.6563942844192828
2006-07-27 16:00:00,1,781,holding,9999.899300396668,1.6118750518754077,1.0,1,10,34.73,126.71,0.6563942844192828
2006-07-28 09:30:00,1,782,holding,9998.760342184376,0.4729168395846589,1.0,1,10,34.8,126.99,0.6558782402886262
2006-07-28 16:00:00,1,783,holding,9997.15831136235,-1.1291139824433694,1.0,1,10,35.29,127.98,0.6558782402886262
2006-07-31 09:30:00,1,784,closing,10000.05997789068,1.7725525458889413,1.0,1,10,35.37,127.66,0.6598533160973699
2006-10-20 09:30:00,2,900,opening,10000.05997789068,0.0,1.0,1,10,41.1,136.81,0.6753584177137764
2006-10-20 16:00:00,2,901,holding,10003.557370365366,3.497392474685834,1.0,1,10,41.47,136.84,0.6753584177137764
2006-10-23 09:30:00,2,902,closing,10004.448373934963,4.388396044284401,1.0,1,10,41.37,136.56,0.675597155886468
2007-04-23 09:30:00,3,1148,opening,10004.448373934963,0.0,1.0,2,10,48.4,148.37,0.6983749689209365
2007-04-23 16:00:00,3,1149,holding,10009.013336338618,4.564962403654939,1.0,2,10,48.64,148.06,0.6983749689209365
2007-04-24 09:30:00,3,1150,closing,10005.826098891454,1.3777249564894058,1.0,2,10,48.44,148.23,0.6981717436285038
2007-07-25 09:30:00,4,1278,opening,10005.826098891454,0.0,1.0,1,10,51.61,152.02,0.7686146233085956
2007-07-25 16:00:00,4,1279,holding,10002.477418847018,-3.3486800444347695,1.0,1,10,50.96,151.61,0.7686146233085956
2007-07-26 09:30:00,4,1280,holding,10010.291746498,4.465647606547387,1.0,1,10,50.65,150.19,0.781170341877155
2007-07-26 16:00:00,4,1281,holding,10015.470683823798,9.644584932343832,1.0,1,10,49.5,148.02,0.781170341877155
2007-07-27 09:30:00,4,1282,holding,10011.010316039512,5.184217148057546,1.0,1,10,49.2,148.21,0.809893255611591
2007-07-27 16:00:00,4,1283,holding,10030.437369362078,24.611270470623914,1.0,1,10,48.76,145.11,0.809893255611591
2007-07-30 09:30:00,4,1284,closing,10024.634729450947,18.808630559493533,1.0,1,10,48.81,145.93,0.8119256261610551
2007-10-22 09:30:00,5,1402,opening,10024.634729450947,0.0,1.0,1,10,56.03,148.86,0.7574088660326023
2007-10-22 16:00:00,5,1403,holding,10011.8102605016,-12.824468949347533,1.0,1,10,56.02,150.54,0.7574088660326023
2007-10-23 09:30:00,5,1404,closing,10006.642098934099,-17.992630516847598,1.0,1,10,56.2,151.46,0.7551756534969619
2008-01-29 09:30:00,6,1536,opening,10006.642098934099,0.0,1.0,1,10,51.43,136.1,0.7408146435163572
2008-01-29 16:00:00,6,1537,holding,10001.24964675678,-5.392452177318936,1.0,1,10,50.75,135.91,0.7408146435163572
2008-01-30 09:30:00,6,1538,holding,10004.594335080383,-2.0477638537150407,1.0,1,10,50.84,135.58,0.7413503315661442
2008-01-30 16:00:00,6,1539,holding,10011.257793191944,4.615694257844617,1.0,1,10,51.01,134.91,0.7413503315661442
2008-01-31 09:30:00,6,1540,holding,10014.84409430904,8.201995374941564,1.0,1,10,50.25,133.4,0.7414258759984118
2008-01-31 16:00:00,6,1541,holding,10018.733752961441,12.091654027342173,1.0,1,10,53.58,137.37,0.7414258759984118
2008-02-01 09:30:00,6,1542,closing,10015.411109493398,8.769010559299023,1.0,1,10,53.67,137.94,0.7624856772748463
2008-04-23 09:30:00,7,1654,opening,10015.411109493398,0.0,1.0,1,10,58.41,138.09,0.8045338356116656
2008-04-23 16:00:00,7,1655,holding,10021.187884685161,5.77677519176321,1.0,1,10,58.69,137.72,0.8045338356116656
2008-04-24 09:30:00,7,1656,holding,10017.89156287696,2.4804533835611133,1.0,1,10,58.65,138.08,0.8080128754663801
2008-04-24 16:00:00,7,1657,holding,10025.26068167149,9.849572178093268,1.0,1,10,59.58,138.32,0.8080128754663801
2008-04-25 09:30:00,7,1658,holding,10018.191262863324,2.780153369926104,1.0,1,10,59.75,139.41,0.8088432907122755
