date,trade_id,idx,event,current_pos,change,direction,score,shares,price_stock,price_spy,beta
2006-10-20 09:30:00,0,900,opening,10000.0,0.0,1.0,2,10,41.1,136.81,0.6753584177137764
2006-10-20 16:00:00,0,901,holding,10003.497392474686,3.497392474685834,1.0,2,10,41.47,136.84,0.6753584177137764
2006-10-23 09:30:00,0,902,closing,10004.388396044284,4.388396044284401,1.0,2,10,41.37,136.56,0.675597155886468
2010-04-22 09:30:00,1,2660,opening,10004.388396044284,0.0,1.0,2,10,70.25,119.81,0.6683271582007603
2010-04-22 16:00:00,1,2661,holding,10004.101637430054,-0.2867586142291456,1.0,2,10,71.03,121.02,0.6683271582007603
2010-04-23 09:30:00,1,2662,closing,10006.536299156614,2.147903112331427,1.0,2,10,71.22,120.94,0.6687318913410861
2010-10-26 09:30:00,2,2920,opening,10006.536299156614,0.0,1.0,2,10,78.59,118.1,0.6575312460657126
2010-10-26 16:00:00,2,2921,holding,10004.159605431007,-2.3766937256074305,1.0,2,10,78.76,118.72,0.6575312460657126
2010-10-27 09:30:00,2,2922,closing,10006.617114773353,0.08081561673785875,1.0,2,10,78.46,117.89,0.6573778209614681
2017-04-26 09:30:00,3,6190,opening,10006.617114773353,0.0,1.0,2,10,141.7,238.51,0.6596316142335975
2017-04-26 16:00:00,3,6191,holding,9998.74270954901,-7.874405224342993,1.0,2,10,140.84,238.4,0.6596316142335975
2017-04-27 09:30:00,3,6192,closing,10006.702072576345,0.0849578029925871,1.0,2,10,141.88,238.77,0.6599080159940826
2017-07-26 09:30:00,4,6316,opening,10006.702072576345,0.0,1.0,2,10,158.76,247.75,0.643057150469986
2017-07-26 16:00:00,4,6317,holding,9986.259855457849,-20.44221711849609,1.0,2,10,156.51,247.43,0.643057150469986
2017-07-27 09:30:00,4,6318,closing,9981.951652560358,-24.750420015987057,1.0,2,10,156.42,247.96,0.643263609177033
2019-05-01 09:30:00,5,7202,opening,9981.951652560358,0.0,1.0,2,10,195.87,294.72,0.6725643994045101
2019-05-01 16:00:00,5,7203,holding,9984.52327658303,2.5716240226712417,1.0,2,10,194.17,291.81,0.6725643994045101
2019-05-02 09:30:00,5,7204,closing,9985.597610302255,3.6459577418971767,1.0,2,10,194.19,291.68,0.6728938034134874
2019-07-29 09:30:00,6,7324,opening,9985.597610302255,0.0,1.0,2,10,216.0,301.88,0.6666360160308059
2019-07-29 16:00:00,6,7325,closing,9978.197481569585,-7.400128732670613,1.0,2,10,214.98,301.46,0.6666360160308059
2021-07-28 16:00:00,7,8333,opening,9978.197481569585,0.0,1.0,2,10,241.78,438.83,0.822268386536713
2021-07-29 09:30:00,7,8334,holding,9985.457024542871,7.259542973286387,1.0,2,10,243.32,439.82,0.8225513006040168
2021-07-29 16:00:00,7,8335,closing,9985.632196934617,7.4347153650319715,1.0,2,10,244.02,440.65,0.8225513006040168
2021-10-27 16:00:00,8,8461,opening,9985.632196934617,0.0,1.0,2,10,242.73,453.94,0.8188528244532154
2021-10-28 09:30:00,8,8462,holding,9979.885634002929,-5.746562931688565,1.0,2,10,243.4,455.46,0.8183564057143989
2021-10-28 16:00:00,8,8463,closing,9977.466443223566,-8.165753711050696,1.0,2,10,245.5,458.32,0.8183564057143989
