date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2025-01-08,132.03,134.68,131.66,134.53,134.53,4040237,4040237,2.5,1.89,133.225,"January 08, 25",0.0189
2025-01-07,130.09,132.8,130.01,132.77,132.77,3414840,3414840,2.68,2.06,131.4175,"January 07, 25",0.0206
2025-01-06,130.82,131.41,129.88,130.29,130.29,3067149,3067149,-0.53,-0.40514,130.6,"January 06, 25",-0.0040514
2025-01-03,129.7,130.86,129.3,129.87,129.87,2273763,2273763,0.17,0.13107,129.9325,"January 03, 25",0.0013107
2025-01-02,130.29,131.62,128.98,129.7,129.7,3249067,3249067,-0.59,-0.45284,130.1475,"January 02, 25",-0.0045284
2024-12-31,129.2,130.05,128.66,129.09,129.09,2220414,2220414,-0.11,-0.08513932,129.25,"December 31, 24",-0.0008513932
2024-12-30,129.12,129.92,127.92,129.13,129.13,2154000,2154000,0.01,0.00774473,129.0225,"December 30, 24",7.74473e-05
2024-12-27,129.91,131.18,129.21,130.18,130.18,1842823,1842823,0.27,0.20784,130.12,"December 27, 24",0.0020784
2024-12-26,130.33,131.4,129.23,131.18,131.18,1485103,1485103,0.85,0.65219,130.535,"December 26, 24",0.0065219
2024-12-24,128.74,130.36,128.09,130.36,130.36,803216,803216,1.62,1.26,129.3875,"December 24, 24",0.0126
2024-12-23,128.5,129.19,127.75,128.98,128.98,2067478,2067478,0.48,0.37354,128.605,"December 23, 24",0.0037354
2024-12-20,126.37,130.35,125.75,129.28,129.28,8351300,8351300,2.91,2.3,127.9375,"December 20, 24",0.023
2024-12-19,126.65,127.74,125.71,127.13,127.13,3040663,3040663,0.48,0.379,126.8075,"December 19, 24",0.00379
2024-12-18,128.21,129.37,125.37,125.53,125.53,3748900,3748900,-2.68,-2.09,127.12,"December 18, 24",-0.0209
2024-12-17,128.41,129.36,127.65,128.05,128.05,2693200,2693200,-0.36,-0.28035,128.3675,"December 17, 24",-0.0028035
