date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2025-01-08,100.7,100.77,98.05,99.85,99.85,8606851,8606851,-0.85,-0.84409,99.8425,"January 08, 25",-0.0084409
2025-01-07,100.13,102.97,100.05,101.02,101.02,10890900,10890900,0.89,0.88884,101.0425,"January 07, 25",0.0088884
2025-01-06,98.77,100.33,98.42,99.72,99.72,10111144,10111144,0.95,0.96183,99.31,"January 06, 25",0.0096183
2025-01-03,99.34,99.75,98.69,99.14,99.14,6072551,6072551,-0.2,-0.20133,99.23,"January 03, 25",-0.0020133
2025-01-02,100.28,100.35,98.83,99.17,99.17,6153300,6153300,-1.11,-1.11,99.6575,"January 02, 25",-0.0111
2024-12-31,98.5,99.53,98.43,99.48,99.48,6598522,6598522,0.98,0.99492,98.985,"December 31, 24",0.0099492
2024-12-30,99.57,99.57,98.27,98.37,98.37,6848715,6848715,-1.2,-1.21,98.945,"December 30, 24",-0.0121
2024-12-27,99.5,100.35,99.24,99.7,99.7,6173658,6173658,0.2,0.20101,99.6975,"December 27, 24",0.0020101
2024-12-26,99.09,99.94,98.92,99.87,99.87,4760800,4760800,0.78,0.78716,99.455,"December 26, 24",0.0078716
2024-12-24,99.22,99.64,98.8,99.45,99.45,3713500,3713500,0.23,0.23181,99.2775,"December 24, 24",0.0023181
2024-12-23,99.09,99.59,98.2,99.37,99.37,8460500,8460500,0.28,0.28257,99.0625,"December 23, 24",0.0028257
2024-12-20,98.83,99.68,97.9,98.05,98.05,29289741,29289741,-0.78,-0.78923,98.615,"December 20, 24",-0.0078923
2024-12-19,98.56,99.94,97.82,99.52,99.52,12110800,12110800,0.96,0.97403,98.96,"December 19, 24",0.0097403
2024-12-18,100.19,101.5,98.27,98.34,98.34,11993415,11993415,-1.85,-1.85,99.575,"December 18, 24",-0.0185
2024-12-17,99.9,100.8,99.36,100.06,100.06,13975100,13975100,0.16,0.16016,100.03,"December 17, 24",0.0016016
2024-12-16,101.25,102.28,100.05,100.06,100.06,11701100,11701100,-1.19,-1.18,100.91,"December 16, 24",-0.0118
2024-12-13,101.13,102.57,100.53,102.0,101.19,10118226,10118226,0.87,0.86028,101.5575,"December 13, 24",0.0086028
2024-12-12,101.69,103.0,100.12,101.25,100.45,9554400,9554400,-0.44,-0.43269,101.515,"December 12, 24",-0.0043269
2024-12-11,100.7,101.45,99.26,99.75,98.96,21613000,21613000,-0.95,-0.9434,100.29,"December 11, 24",-0.009434
2024-12-10,103.77,103.77,100.74,101.0,100.2,11359439,11359439,-2.77,-2.67,102.32,"December 10, 24",-0.0267
2024-12-09,102.86,105.07,102.33,103.79,102.97,19162500,19162500,0.93,0.90414,103.5125,"December 09, 24",0.0090414
2024-12-06,103.61,103.95,102.69,103.09,102.27,11470700,11470700,-0.515,-0.50188,103.335,"December 06, 24",-0.0050188
2024-12-05,101.49,104.14,101.35,103.55,102.73,11062700,11062700,2.06,2.03,102.6325,"December 05, 24",0.0203
2024-12-04,102.03,102.09,101.05,101.37,100.57,11315000,11315000,-0.66,-0.64687,101.635,"December 04, 24",-0.0064687
2024-12-03,100.75,102.45,100.62,101.85,101.04,11395600,11395600,1.1,1.09,101.4175,"December 03, 24",0.0109
2024-12-02,101.73,101.85,100.46,100.61,99.81,13703135,13703135,-1.12,-1.1,101.1625,"December 02, 24",-0.011
2024-11-29,102.88,103.04,101.53,101.64,100.83,6081200,6081200,-1.23,-1.21,102.2725,"November 29, 24",-0.0121
2024-11-27,101.65,103.45,101.64,103.12,102.3,9802200,9802200,1.47,1.45,102.465,"November 27, 24",0.0145
2024-11-26,101.48,101.8,99.7,101.62,100.81,9324100,9324100,0.14,0.13796,101.15,"November 26, 24",0.0013796
2024-11-25,100.09,101.74,99.51,101.16,100.36,34659100,34659100,1.08,1.07,100.625,"November 25, 24",0.0107
2024-11-22,100.33,101.79,98.93,99.18,98.39,14031200,14031200,-1.15,-1.15,100.0575,"November 22, 24",-0.0115
2024-11-21,97.72,100.48,96.95,99.86,99.07,15670302,15670302,2.14,2.19,98.7525,"November 21, 24",0.0219
2024-11-20,96.98,98.84,96.66,97.44,96.67,12136800,12136800,0.46,0.47432,97.48,"November 20, 24",0.0047432
2024-11-19,96.73,97.55,95.26,96.54,95.77,13093100,13093100,-0.19,-0.19642,96.52,"November 19, 24",-0.0019642
2024-11-18,96.56,97.29,95.42,96.56,95.79,14140329,14140329,0.0,0.0,96.4575,"November 18, 24",0.0
2024-11-15,97.92,97.92,94.48,96.31,95.55,16464508,16464508,-1.61,-1.64,96.6575,"November 15, 24",-0.0164
2024-11-14,99.18,99.4,97.95,98.36,97.58,8704500,8704500,-0.82,-0.82678,98.7225,"November 14, 24",-0.0082678
2024-11-13,98.51,99.45,97.9,98.5,97.72,8869700,8869700,-0.01,-0.01015125,98.59,"November 13, 24",-0.0001015125
2024-11-12,100.76,100.77,98.5,98.58,97.8,12282900,12282900,-2.18,-2.16,99.6525,"November 12, 24",-0.0216
2024-11-11,102.53,103.4,100.46,100.73,99.93,10075300,10075300,-1.8,-1.76,101.78,"November 11, 24",-0.0176
2024-11-08,101.48,103.23,101.0,102.92,102.1,9208036,9208036,1.44,1.42,102.1575,"November 08, 24",0.0142
2024-11-07,101.44,101.69,100.85,101.17,100.37,8676105,8676105,-0.27,-0.26617,101.2875,"November 07, 24",-0.0026617
2024-11-06,103.18,103.23,100.6,100.73,99.93,9551335,9551335,-2.45,-2.37,101.935,"November 06, 24",-0.0237
2024-11-05,101.36,101.73,100.52,101.65,100.84,6741403,6741403,0.29,0.28611,101.315,"November 05, 24",0.0028611
2024-11-04,102.0,102.53,100.95,101.87,101.06,9182600,9182600,-0.13,-0.12745,101.8375,"November 04, 24",-0.0012745
2024-11-01,101.78,102.72,101.21,101.88,101.07,10180978,10180978,0.1,0.09825113,101.8975,"November 01, 24",0.0009825113
2024-10-31,100.93,103.23,98.6,102.32,101.51,17413100,17413100,1.39,1.38,101.27,"October 31, 24",0.0138
2024-10-30,103.46,105.0,102.9,104.83,104.0,13897200,13897200,1.37,1.32,104.0475,"October 30, 24",0.0132
2024-10-29,104.32,105.11,103.7,103.73,102.91,9296241,9296241,-0.585,-0.56557,104.215,"October 29, 24",-0.0056557
2024-10-28,104.6,105.0,103.93,104.23,103.4,6968944,6968944,-0.37,-0.35373,104.44,"October 28, 24",-0.0035373
2024-10-25,106.49,106.49,103.86,103.98,103.15,9625500,9625500,-2.51,-2.36,105.205,"October 25, 24",-0.0236
2024-10-24,106.05,106.62,105.26,105.88,105.04,8295933,8295933,-0.17,-0.1603,105.9525,"October 24, 24",-0.001603
2024-10-23,106.74,107.36,106.2,106.38,105.54,8271700,8271700,-0.36,-0.33727,106.67,"October 23, 24",-0.0033727
2024-10-22,105.91,106.9,105.71,106.64,105.79,11576100,11576100,0.73,0.68926,106.29,"October 22, 24",0.0068926
2024-10-21,109.08,109.17,106.18,106.34,105.5,11444900,11444900,-2.74,-2.51,107.6925,"October 21, 24",-0.0251
2024-10-18,109.9,109.92,108.56,108.7,107.84,9523037,9523037,-1.2,-1.09,109.27,"October 18, 24",-0.0109
2024-10-17,110.14,110.19,109.5,109.75,108.88,8541700,8541700,-0.385,-0.35409,109.895,"October 17, 24",-0.0035409
2024-10-16,111.0,111.2,109.02,110.42,109.54,8729248,8729248,-0.58,-0.52252,110.41,"October 16, 24",-0.0052252
2024-10-15,109.96,111.58,109.89,111.53,110.64,9109500,9109500,1.57,1.43,110.74,"October 15, 24",0.0143
2024-10-14,109.43,110.07,108.68,109.69,108.82,8130716,8130716,0.26,0.23759,109.4675,"October 14, 24",0.0023759
2024-10-11,109.1,109.92,107.9,109.73,108.86,8578442,8578442,0.63,0.57745,109.1625,"October 11, 24",0.0057745
2024-10-10,110.7,110.83,109.17,109.4,108.53,6006700,6006700,-1.3,-1.17,110.025,"October 10, 24",-0.0117
2024-10-09,108.41,110.3,108.2,110.27,109.39,8627800,8627800,1.86,1.72,109.295,"October 09, 24",0.0172
2024-10-08,107.97,108.75,107.81,108.52,107.66,8832415,8832415,0.55,0.5094,108.2625,"October 08, 24",0.005094
2024-10-07,109.7,110.98,108.18,108.59,107.73,8654800,8654800,-1.1,-1.01,109.3625,"October 07, 24",-0.0101
2024-10-04,109.49,110.3,109.39,109.77,108.9,9721325,9721325,0.28,0.25573,109.7375,"October 04, 24",0.0025573
2024-10-03,111.82,112.08,109.83,110.18,109.31,10280600,10280600,-1.64,-1.47,110.9775,"October 03, 24",-0.0147
2024-10-02,114.55,114.6,111.98,112.08,111.19,9041800,9041800,-2.47,-2.16,113.3025,"October 02, 24",-0.0216
2024-10-01,113.96,114.79,113.11,114.74,113.83,7715526,7715526,0.78,0.68445,114.15,"October 01, 24",0.0068445
2024-09-30,113.61,114.01,112.7,113.56,112.66,10949982,10949982,-0.05,-0.04401021,113.47,"September 30, 24",-0.0004401021
2024-09-27,113.17,114.34,113.0,113.69,112.79,11920112,11920112,0.52,0.45949,113.55,"September 27, 24",0.0045949
2024-09-26,113.88,114.0,112.93,113.09,112.19,11132100,11132100,-0.79,-0.69371,113.475,"September 26, 24",-0.0069371
2024-09-25,115.3,116.02,114.62,114.73,113.82,7902444,7902444,-0.57,-0.49436,115.1675,"September 25, 24",-0.0049436
2024-09-24,115.85,116.26,114.32,114.96,114.05,9840400,9840400,-0.89,-0.76823,115.3475,"September 24, 24",-0.0076823
2024-09-23,117.2,118.16,115.52,115.63,114.71,6665300,6665300,-1.57,-1.34,116.6275,"September 23, 24",-0.0134
2024-09-20,117.27,117.5,116.41,117.17,116.24,21200972,21200972,-0.1,-0.0852733,117.0875,"September 20, 24",-0.000852733
2024-09-19,118.9,119.2,116.29,117.23,116.3,9963048,9963048,-1.67,-1.4,117.905,"September 19, 24",-0.014
2024-09-18,118.2,119.38,117.87,118.64,117.7,11135600,11135600,0.44,0.37225,118.5225,"September 18, 24",0.0037225
2024-09-17,118.97,119.14,117.73,118.29,117.35,7915148,7915148,-0.68,-0.57157,118.5325,"September 17, 24",-0.0057157
2024-09-16,115.8,118.37,115.8,117.96,117.02,7846101,7846101,2.16,1.87,116.9825,"September 16, 24",0.0187
2024-09-13,116.09,116.77,115.0,115.86,114.18,6709621,6709621,-0.23,-0.19812,115.93,"September 13, 24",-0.0019812
2024-09-12,114.47,115.51,114.04,115.25,113.57,8331083,8331083,0.78,0.6814,114.8175,"September 12, 24",0.006814
2024-09-11,114.94,115.89,114.27,114.71,113.04,7836628,7836628,-0.23,-0.2001,114.9525,"September 11, 24",-0.002001
2024-09-10,115.21,116.09,113.33,115.33,113.65,12734524,12734524,0.12,0.10416,114.99,"September 10, 24",0.0010416
2024-09-09,113.15,116.9,112.41,115.41,113.73,14880200,14880200,2.26,2.0,114.4675,"September 09, 24",0.02
2024-09-06,119.1,120.3,117.65,117.84,116.13,8577300,8577300,-1.25,-1.06,118.7225,"September 06, 24",-0.0106
2024-09-05,116.61,120.07,116.35,118.59,116.87,12009700,12009700,1.98,1.7,117.905,"September 05, 24",0.017
2024-09-04,116.66,116.73,114.47,115.8,114.12,7693400,7693400,-0.86,-0.73718,115.915,"September 04, 24",-0.0073718
2024-09-03,118.26,118.84,116.42,116.58,114.89,7640303,7640303,-1.68,-1.42,117.525,"September 03, 24",-0.0142
2024-08-30,117.27,118.75,117.15,118.45,116.73,8876500,8876500,1.18,1.01,117.905,"August 30, 24",0.0101
2024-08-29,117.93,118.4,116.79,117.46,115.75,7202500,7202500,-0.47,-0.39854,117.645,"August 29, 24",-0.0039854
2024-08-28,116.6,118.02,116.24,117.4,115.69,5403225,5403225,0.8,0.68611,117.065,"August 28, 24",0.0068611
2024-08-27,116.27,116.62,115.25,116.5,114.81,5502645,5502645,0.23,0.19782,116.16,"August 27, 24",0.0019782
2024-08-26,116.73,117.9,116.16,116.27,114.58,6518834,6518834,-0.46,-0.39407,116.765,"August 26, 24",-0.0039407
2024-08-23,116.8,116.81,115.92,116.6,114.91,8368200,8368200,-0.2,-0.17123,116.5325,"August 23, 24",-0.0017123
2024-08-22,116.3,116.72,115.22,116.55,114.86,8201200,8201200,0.25,0.21496,116.1975,"August 22, 24",0.0021496
2024-08-21,114.78,116.6,114.55,116.03,114.34,8144127,8144127,1.25,1.09,115.49,"August 21, 24",0.0109
2024-08-20,114.76,115.3,114.55,115.14,113.47,5392300,5392300,0.38,0.33113,114.9375,"August 20, 24",0.0033113
2024-08-19,113.66,114.6,113.31,114.42,112.76,6177500,6177500,0.76,0.66866,113.9975,"August 19, 24",0.0066866
2024-08-16,113.61,113.72,112.62,113.67,112.02,10102341,10102341,0.06,0.05281225,113.405,"August 16, 24",0.0005281225
2024-08-15,114.17,114.5,112.57,113.31,111.66,9685136,9685136,-0.86,-0.75326,113.6375,"August 15, 24",-0.0075326
2024-08-14,113.66,113.93,111.51,113.58,111.93,11029415,11029415,-0.08,-0.07038536,113.17,"August 14, 24",-0.0007038536
2024-08-13,113.57,114.87,112.84,114.39,112.73,9040343,9040343,0.82,0.72202,113.9175,"August 13, 24",0.0072202
2024-08-12,114.71,114.71,113.11,113.48,111.83,6536044,6536044,-1.23,-1.07,114.0025,"August 12, 24",-0.0107
2024-08-09,113.78,114.72,112.87,114.55,112.89,5914321,5914321,0.77,0.67674,113.98,"August 09, 24",0.0067674
2024-08-08,112.92,114.23,112.57,113.92,112.26,8278200,8278200,1.0,0.88558,113.41,"August 08, 24",0.0088558
2024-08-07,111.68,112.55,110.72,112.49,110.86,9756500,9756500,0.81,0.72529,111.86,"August 07, 24",0.0072529
2024-08-06,112.3,113.08,110.92,111.15,109.53,9761900,9761900,-1.15,-1.02,111.8625,"August 06, 24",-0.0102
2024-08-05,114.95,115.12,111.34,112.31,110.68,13334000,13334000,-2.64,-2.3,113.43,"August 05, 24",-0.023
2024-08-02,115.16,117.3,114.36,115.2,113.53,16562300,16562300,0.04,0.03473428,115.505,"August 02, 24",0.0003473428
2024-08-01,113.13,114.47,111.41,113.82,112.17,14117500,14117500,0.695,0.60992,113.2075,"August 01, 24",0.0060992
2024-07-31,116.0,117.84,112.22,113.13,111.49,22733000,22733000,-2.87,-2.47,114.7975,"July 31, 24",-0.0247
2024-07-30,123.48,123.94,113.91,115.25,113.57,35509400,35509400,-8.23,-6.67,119.145,"July 30, 24",-0.0667
2024-07-29,125.78,127.99,124.92,127.78,125.92,9139540,9139540,2.0,1.59,126.6175,"July 29, 24",0.0159
2024-07-26,127.24,128.73,125.05,125.26,123.44,6467036,6467036,-1.97,-1.56,126.57,"July 26, 24",-0.0156
2024-07-25,126.03,127.85,125.71,125.85,124.02,7357140,7357140,-0.18,-0.14282,126.36,"July 25, 24",-0.0014282
2024-07-24,124.97,126.17,124.68,125.92,124.09,6338500,6338500,0.95,0.76018,125.435,"July 24, 24",0.0076018
2024-07-23,124.99,125.62,124.18,124.38,122.57,4285426,4285426,-0.61,-0.48804,124.7925,"July 23, 24",-0.0048804
2024-07-22,125.95,126.49,125.03,125.69,123.86,4341800,4341800,-0.26,-0.20643,125.79,"July 22, 24",-0.0020643
2024-07-19,125.3,126.99,125.18,125.77,123.94,6848800,6848800,0.47,0.3751,125.81,"July 19, 24",0.003751
2024-07-18,125.3,125.6,122.37,124.25,122.44,9501529,9501529,-1.05,-0.83799,124.38,"July 18, 24",-0.0083799
2024-07-17,125.47,126.69,124.56,125.89,124.06,7628000,7628000,0.42,0.33474,125.6525,"July 17, 24",0.0033474
2024-07-16,127.87,129.03,125.2,125.44,123.62,8194439,8194439,-2.43,-1.9,126.885,"July 16, 24",-0.019
