date,trade_id,idx,event,current_pos,change,direction,score,shares,price_stock,price_spy,beta
2015-04-28 16:00:00,0,5185,opening,10000.0,0.0,1.0,2,174.85574401119078,57.19,211.44,0.6846355169887172
2015-04-29 09:30:00,0,5186,holding,10019.681763101578,19.681763101578117,1.0,2,174.85574401119078,56.57,210.37,0.6836679467700336
2015-04-29 16:00:00,0,5187,holding,10055.190225525474,55.19022552547403,1.0,2,174.85574401119078,56.91,210.57,0.6836679467700336
2015-04-30 09:30:00,0,5188,holding,10155.277392289281,155.27739228928147,1.0,2,174.85574401119078,57.01,209.88,0.6833280114758066
2015-04-30 16:00:00,0,5189,holding,10286.800811440176,286.8008114401769,1.0,2,174.85574401119078,56.79,208.46,0.6833280114758066
2015-05-01 09:30:00,0,5190,holding,10207.493697264728,207.49369726472753,1.0,2,174.85574401119078,56.98,209.4,0.6827785270079542
2015-05-01 16:00:00,0,5191,closing,10066.958834102445,66.95883410244382,1.0,2,174.85574401119078,57.08,210.72,0.6827785270079542
2016-10-25 16:00:00,1,5941,opening,10066.958834102445,0.0,1.0,2,170.42422268668435,59.07,214.17,0.7869473445275066
2016-10-26 09:30:00,1,5942,holding,10161.624283472098,94.66544936965258,1.0,2,170.42422268668435,58.87,213.21,0.7849108596953327
2016-10-26 16:00:00,1,5943,holding,9949.09128721433,-117.86754688811416,1.0,2,170.42422268668435,58.04,213.74,0.7849108596953327
2016-10-27 09:30:00,1,5944,holding,9882.449320171118,-184.50951393132792,1.0,2,170.42422268668435,58.31,214.58,0.7837343850131382
2016-10-27 16:00:00,1,5945,holding,10093.706463296283,26.747629193839117,1.0,2,170.42422268668435,58.44,213.17,0.7837343850131382
2016-10-28 09:30:00,1,5946,holding,10053.41961208234,-13.539222020104798,1.0,2,170.42422268668435,58.18,213.14,0.7833575379174584
2016-10-28 16:00:00,1,5947,closing,9781.110404812773,-285.8484292896718,1.0,2,170.42422268668435,56.11,212.54,0.7833575379174584
2018-10-25 16:00:00,2,6949,opening,9781.110404812773,0.0,1.0,2,146.62135219326598,66.71,270.08,0.8278499062602329
2018-10-26 09:30:00,2,6950,holding,10259.661327720789,478.55092290801565,1.0,2,146.62135219326598,66.53,265.92,0.824928310481464
2018-10-26 16:00:00,2,6951,holding,10419.248617911428,638.1382130986551,1.0,2,146.62135219326598,67.13,265.33,0.824928310481464
2018-10-29 09:30:00,2,6952,closing,10132.950021767994,351.83961695522174,1.0,2,146.62135219326598,68.05,268.8,0.8271539774992753
2019-08-06 09:30:00,3,7336,opening,10132.950021767994,0.0,1.0,2,127.84443630794844,79.26,285.91,0.7948569007315517
2019-08-06 16:00:00,3,7337,holding,10090.469930975425,-42.480090792569136,1.0,2,127.84443630794844,80.43,287.8,0.7948569007315517
2019-08-07 09:30:00,3,7338,holding,10419.351464481722,286.40144271372753,1.0,2,127.84443630794844,80.3,284.4,0.7938294929950384
2019-08-07 16:00:00,3,7339,holding,10060.41042183331,-72.53959993468307,1.0,2,127.84443630794844,80.33,287.97,0.7938294929950384
2019-08-08 09:30:00,3,7340,holding,9954.10599776894,-178.84402399905343,1.0,2,127.84443630794844,80.81,289.62,0.7913720014053323
2019-08-08 16:00:00,3,7341,holding,9545.07697936475,-587.8730424032445,1.0,2,127.84443630794844,80.79,293.62,0.7913720014053323
2019-08-09 09:30:00,3,7342,closing,9695.505285788822,-437.4447359791727,1.0,2,127.84443630794844,81.14,292.58,0.7910944036544961
2021-10-28 16:00:00,4,8463,opening,9695.505285788822,0.0,1.0,2,112.02201370062187,86.55,458.32,0.5842865885356964
2021-10-29 09:30:00,4,8464,holding,9849.14371752057,153.6384317317484,1.0,2,112.02201370062187,86.49,455.87,0.5848703324317468
2021-10-29 16:00:00,4,8465,holding,9802.667053329542,107.16176754071945,1.0,2,112.02201370062187,88.05,459.25,0.5848703324317468
2021-11-01 09:30:00,4,8466,closing,9733.941445092203,38.43615930338154,1.0,2,112.02201370062187,88.05,460.3,0.5857178164093466
