date,trade_id,idx,event,current_pos,change,direction,score,shares,price_stock,price_spy,beta
2006-10-23 09:30:00,0,902,opening,10000.0,0.0,1.0,1,10,43.35,136.56,0.7612338351285451
2006-10-23 16:00:00,0,903,holding,9995.37277210033,-4.627227899669766,1.0,1,10,43.58,137.47,0.7612338351285451
2006-10-24 09:30:00,0,904,holding,9996.819116387074,-3.180883612925548,1.0,1,10,43.58,137.28,0.7569359492514655
2006-10-24 16:00:00,0,905,holding,9994.451713376304,-5.548286623696788,1.0,1,10,43.8,137.88,0.7569359492514655
2006-10-25 09:30:00,0,906,holding,9995.217440745482,-4.782559254516867,1.0,1,10,43.77,137.74,0.7555006456291947
2006-10-25 16:00:00,0,907,holding,9992.173914351199,-7.826085648800916,1.0,1,10,43.93,138.35,0.7555006456291947
2006-10-26 09:30:00,0,908,closing,9990.1140894623,-9.88591053769941,1.0,1,10,43.96,138.66,0.7569298485046636
2007-01-31 09:30:00,1,1036,opening,9990.1140894623,0.0,1.0,1,10,42.81,142.63,0.7801646115897302
2007-01-31 16:00:00,1,1037,holding,9979.976245812495,-10.13784364980502,1.0,1,10,42.67,143.75,0.7801646115897302
2007-02-01 09:30:00,1,1038,holding,9978.255587366137,-11.858502096163978,1.0,1,10,42.81,144.15,0.7840265522410694
2007-02-01 16:00:00,1,1039,holding,9976.866830152823,-13.24725930947681,1.0,1,10,43.03,144.61,0.7840265522410694
2007-02-02 09:30:00,1,1040,holding,9975.830632618916,-14.28345684338428,1.0,1,10,43.02,144.73,0.7843788036572763
2007-02-02 16:00:00,1,1041,holding,9971.506500929645,-18.60758853265621,1.0,1,10,42.65,144.81,0.7843788036572763
2007-02-05 09:30:00,1,1042,closing,9971.264682002393,-18.849407459907393,1.0,1,10,42.54,144.7,0.7843096061779562
2007-04-20 09:30:00,2,1146,opening,9971.264682002393,0.0,1.0,2,10,48.43,148.22,0.790218029482373
2007-04-20 16:00:00,2,1147,holding,9974.803809884463,3.5391278820704803,1.0,2,10,49.1,148.62,0.790218029482373
2007-04-23 09:30:00,2,1148,holding,9975.079354958169,3.8146729557763956,1.0,2,10,48.93,148.37,0.7899363399494792
