date,trade_id,idx,event,current_pos,change,direction,score,shares,price_stock,price_spy,beta
2011-10-31 09:30:00,0,3432,opening,10000.0,0.0,1.0,2,10,33.39,127.16,0.769174174880271
2011-10-31 16:00:00,0,3433,closing,10007.868291303012,7.868291303012452,1.0,2,10,32.9,125.5,0.769174174880271
2016-02-03 16:00:00,1,5573,opening,10007.868291303012,0.0,1.0,2,10,47.72,191.3,0.7711081870263067
2016-02-04 09:30:00,1,5574,holding,10009.117829606466,1.2495383034552527,1.0,2,10,47.39,190.71,0.7715759429894599
2016-02-04 16:00:00,1,5575,closing,9991.654966741933,-16.213324561078796,1.0,2,10,46.33,191.6,0.7715759429894599
2018-05-01 16:00:00,2,6701,opening,9991.654966741933,0.0,1.0,2,10,55.29,264.98,0.8005624018079801
2018-05-02 09:30:00,2,6702,holding,9990.516204025911,-1.138762716022217,1.0,2,10,55.0,264.76,0.7995842483655454
2018-05-02 16:00:00,2,6703,closing,9999.404977494116,7.7500107521822965,1.0,2,10,54.64,263.2,0.7995842483655454
2018-10-25 16:00:00,3,6949,opening,9999.404977494116,0.0,1.0,2,10,66.71,270.08,0.8278499062602329
2018-10-26 09:30:00,3,6950,holding,10032.043533594542,32.6385561004255,1.0,2,10,66.53,265.92,0.824928310481464
2018-10-26 16:00:00,3,6951,closing,10042.927848041478,43.52287054736108,1.0,2,10,67.13,265.33,0.824928310481464
2019-04-30 16:00:00,4,7201,opening,10042.927848041478,0.0,1.0,2,10,75.05,294.02,0.8140686586572387
2019-05-01 09:30:00,4,7202,holding,10037.029367430876,-5.898480610601001,1.0,2,10,75.03,294.72,0.8146285652322505
2019-05-01 16:00:00,4,7203,closing,10061.018765397803,18.09091735632486,1.0,2,10,75.06,291.81,0.8146285652322505
2020-07-31 16:00:00,5,7835,opening,10061.018765397803,0.0,1.0,2,10,76.51,326.52,0.6737316169526509
2020-08-03 09:30:00,5,7836,closing,10067.091596292656,6.072830894852139,1.0,2,10,78.33,328.32,0.6741283782766365
2021-10-28 16:00:00,6,8463,opening,10067.091596292656,0.0,1.0,2,10,86.55,458.32,0.5842865885356964
2021-10-29 09:30:00,6,8464,holding,10080.80661771178,13.715021419124472,1.0,2,10,86.49,455.87,0.5848703324317468
2021-10-29 16:00:00,6,8465,closing,10076.657731019273,9.566134726617983,1.0,2,10,88.05,459.25,0.5848703324317468
