date,trade_id,idx,event,current_pos,change,direction,score,shares,price_stock,price_spy,beta
2007-10-29 09:30:00,0,1412,opening,10000.0,0.0,1.0,2,10,34.85,153.93,1.0357068896573696
2007-10-29 16:00:00,0,1413,closing,9995.128586220686,-4.871413779314633,1.0,2,10,34.57,154.13,1.0357068896573696
2008-01-28 09:30:00,1,1534,opening,9995.128586220686,0.0,1.0,2,10,33.02,133.26,0.9891623600178888
2008-01-28 16:00:00,1,1535,closing,9972.54317149233,-22.585414728354422,1.0,2,10,32.72,135.24,0.9891623600178888
2010-07-26 09:30:00,2,2790,opening,9972.54317149233,0.0,1.0,2,10,25.86,110.6,0.8480753354055613
2010-07-26 16:00:00,2,2791,closing,9966.801648272438,-5.741523219893436,1.0,2,10,26.1,111.56,0.8480753354055613
2010-11-01 09:30:00,3,2928,opening,9966.801648272438,0.0,1.0,2,10,26.88,119.07,0.8436554979815519
2010-11-01 16:00:00,3,2929,closing,9972.057387961539,5.2557396891003165,1.0,2,10,26.95,118.53,0.8436554979815519
2018-10-25 09:30:00,4,6948,opening,9972.057387961539,0.0,1.0,2,10,106.55,267.38,1.205989521437953
2018-10-25 16:00:00,4,6949,holding,9956.995670882714,-15.061717078824595,1.0,2,10,108.3,270.08,1.205989521437953
2018-10-26 09:30:00,4,6950,closing,9981.064834974532,9.007447012993872,1.0,2,10,105.69,265.92,1.2039757699135383
2019-10-24 09:30:00,5,7448,opening,9981.064834974532,0.0,1.0,2,10,139.39,300.91,1.2542059680261923
2019-10-24 16:00:00,5,7449,holding,9993.337547201874,12.27271222734181,1.0,2,10,139.94,300.37,1.2542059680261923
2019-10-25 09:30:00,5,7450,closing,9995.239044800439,14.174209825906821,1.0,2,10,139.34,299.74,1.254097003131838
2022-01-26 09:30:00,6,8584,opening,9995.239044800439,0.0,1.0,2,10,307.99,440.72,1.111894195784896
2022-01-26 16:00:00,6,8585,holding,9964.05207877105,-31.18696602938858,1.0,2,10,296.71,433.38,1.111894195784896
2022-01-27 09:30:00,6,8586,closing,9969.291642016748,-25.947402783690997,1.0,2,10,302.66,438.26,1.1123986982902223
2023-04-26 09:30:00,7,9210,opening,9969.291642016748,0.0,1.0,2,10,296.7,406.72,1.1355070595916714
2023-04-26 16:00:00,7,9211,holding,9982.789608623112,13.497966606363757,1.0,2,10,295.37,404.36,1.1355070595916714
2023-04-27 09:30:00,7,9212,closing,9958.812222249891,-10.479419766855983,1.0,2,10,295.97,407.0,1.134516372204352
2024-04-26 09:30:00,8,9714,opening,9958.812222249891,0.0,1.0,2,10,412.17,506.35,1.128903254744336
2024-04-26 16:00:00,8,9715,holding,9878.750170084275,-80.06205216561668,1.0,2,10,406.32,508.26,1.128903254744336
2024-04-29 09:30:00,8,9716,closing,9847.391240522453,-111.42098172743779,1.0,2,10,405.25,510.09,1.1279756583947602
2024-07-31 09:30:00,9,9844,opening,9847.391240522453,0.0,1.0,2,10,420.5,548.98,1.1276814295467792
2024-07-31 16:00:00,9,9845,holding,9805.254670361748,-42.136570160705006,1.0,2,10,418.35,550.81,1.1276814295467792
2024-08-01 09:30:00,9,9846,closing,9809.807477201723,-37.583763320729524,1.0,2,10,420.79,552.57,1.127361415130288
