date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2025-01-08,71.56,71.82,71.01,71.29,71.29,11788728,11788728,-0.27,-0.37731,71.42,"January 08, 25",-0.0037731
2025-01-07,72.4,73.44,71.98,72.09,72.09,10463514,10463514,-0.31,-0.42818,72.4775,"January 07, 25",-0.0042818
2025-01-06,73.75,74.32,71.97,72.0,72.0,14947300,14947300,-1.75,-2.37,73.01,"January 06, 25",-0.0237
2025-01-03,73.92,74.19,73.01,73.31,73.31,10083500,10083500,-0.61,-0.82522,73.6075,"January 03, 25",-0.0082522
2025-01-02,76.25,76.69,73.24,73.67,73.67,10883418,10883418,-2.58,-3.38,74.9625,"January 02, 25",-0.0338
2024-12-31,74.9,76.39,74.78,75.67,75.67,9425602,9425602,0.77,1.03,75.435,"December 31, 24",0.0103
2024-12-30,75.6,75.77,74.55,74.65,74.65,9042900,9042900,-0.95,-1.26,75.1425,"December 30, 24",-0.0126
2024-12-27,76.52,76.93,75.8,76.42,76.42,6334415,6334415,-0.1,-0.13068,76.4175,"December 27, 24",-0.0013068
2024-12-26,76.6,77.46,76.54,76.94,76.94,6367100,6367100,0.34,0.44386,76.885,"December 26, 24",0.0044386
2024-12-24,76.75,77.11,76.36,76.79,76.79,4919100,4919100,0.04,0.05211726,76.7525,"December 24, 24",0.0005211726
2024-12-23,76.33,78.41,75.74,76.76,76.76,14203800,14203800,0.435,0.56334,76.81,"December 23, 24",0.0056334
2024-12-20,75.96,78.0,74.86,76.94,76.94,49883417,49883417,0.98,1.29,76.44,"December 20, 24",0.0129
2024-12-19,76.94,77.94,76.43,77.1,77.1,27067600,27067600,0.16,0.20795,77.1025,"December 19, 24",0.0020795
2024-12-18,77.98,79.0,76.84,76.9,76.9,14376900,14376900,-1.08,-1.38,77.68,"December 18, 24",-0.0138
2024-12-17,77.36,78.77,77.25,78.0,78.0,12452416,12452416,0.64,0.8273,77.845,"December 17, 24",0.008273
2024-12-16,76.76,79.02,76.66,77.2,77.2,13034009,13034009,0.44,0.57322,77.41,"December 16, 24",0.0057322
2024-12-13,77.35,77.83,76.77,77.25,77.25,8037339,8037339,-0.1,-0.12928,77.3,"December 13, 24",-0.0012928
2024-12-12,78.71,79.37,77.86,77.96,77.96,6983241,6983241,-0.75,-0.95286,78.475,"December 12, 24",-0.0095286
2024-12-11,76.79,78.98,76.31,78.85,78.85,12033200,12033200,2.06,2.68,77.7325,"December 11, 24",0.0268
2024-12-10,77.5,78.08,76.62,76.74,76.74,12193110,12193110,-0.76,-0.98065,77.235,"December 10, 24",-0.0098065
2024-12-09,79.44,79.45,77.52,77.64,77.64,12043400,12043400,-1.8,-2.27,78.5125,"December 09, 24",-0.0227
2024-12-06,79.22,81.18,78.84,78.89,78.89,13931100,13931100,-0.33,-0.41656,79.5325,"December 06, 24",-0.0041656
2024-12-05,78.26,78.9,78.1,78.58,78.58,8316548,8316548,0.32,0.40889,78.46,"December 05, 24",0.0040889
2024-12-04,77.82,78.51,77.1,78.37,78.37,15042600,15042600,0.55,0.70676,77.95,"December 04, 24",0.0070676
2024-12-03,79.0,79.4,77.61,78.86,78.86,9414505,9414505,-0.14,-0.17722,78.7175,"December 03, 24",-0.0017722
2024-12-02,77.92,79.1,77.2,79.09,79.09,11221029,11221029,1.17,1.5,78.3275,"December 02, 24",0.015
2024-11-29,78.2,79.18,78.03,78.77,78.37,7123500,7123500,0.57,0.7289,78.545,"November 29, 24",0.007289
2024-11-27,77.61,79.05,77.59,78.34,77.94,8713504,8713504,0.73,0.9406,78.1475,"November 27, 24",0.009406
2024-11-26,78.9,78.9,77.57,77.61,77.22,9495649,9495649,-1.29,-1.63,78.245,"November 26, 24",-0.0163
2024-11-25,78.5,79.86,78.41,79.26,78.86,18328919,18328919,0.76,0.96815,79.0075,"November 25, 24",0.0096815
2024-11-22,76.13,77.5,75.83,77.4,77.01,12248600,12248600,1.28,1.67,76.715,"November 22, 24",0.0167
2024-11-21,73.36,75.56,73.2,75.1,74.72,12818637,12818637,1.74,2.37,74.305,"November 21, 24",0.0237
2024-11-20,73.66,73.84,72.71,73.36,72.99,12290317,12290317,-0.3,-0.40728,73.3925,"November 20, 24",-0.0040728
2024-11-19,74.5,74.73,73.6,73.91,73.53,12028443,12028443,-0.59,-0.79195,74.185,"November 19, 24",-0.0079195
2024-11-18,76.16,76.2,74.25,74.89,74.51,12609200,12609200,-1.27,-1.67,75.375,"November 18, 24",-0.0167
2024-11-15,76.0,77.65,75.61,76.66,76.27,13584939,13584939,0.66,0.86842,76.48,"November 15, 24",0.0086842
2024-11-14,76.68,76.98,75.67,75.68,75.3,6991600,6991600,-1.0,-1.3,76.2525,"November 14, 24",-0.013
2024-11-13,76.91,77.29,76.47,76.52,76.13,6835348,6835348,-0.39,-0.50709,76.7975,"November 13, 24",-0.0050709
2024-11-12,76.46,77.43,76.14,76.66,76.27,9013905,9013905,0.2,0.26157,76.6725,"November 12, 24",0.0026157
2024-11-11,76.15,77.4,76.1,76.6,76.21,9877200,9877200,0.45,0.59094,76.5625,"November 11, 24",0.0059094
2024-11-08,75.5,76.56,75.25,75.88,75.49,8140800,8140800,0.38,0.50331,75.7975,"November 08, 24",0.0050331
2024-11-07,75.7,76.37,75.21,75.92,75.53,11831100,11831100,0.22,0.29062,75.8,"November 07, 24",0.0029062
2024-11-06,76.87,76.95,75.12,75.32,74.94,16193704,16193704,-1.55,-2.02,76.065,"November 06, 24",-0.0202
2024-11-05,77.25,78.0,77.0,77.98,77.58,5629200,5629200,0.73,0.94498,77.5575,"November 05, 24",0.0094498
2024-11-04,77.99,78.55,77.11,77.19,76.8,6593800,6593800,-0.8,-1.03,77.71,"November 04, 24",-0.0103
2024-11-01,77.05,78.13,76.96,78.06,77.66,9623700,9623700,1.01,1.31,77.55,"November 01, 24",0.0131
2024-10-31,76.2,77.34,75.2,77.13,76.74,13990100,13990100,0.93,1.22,76.4675,"October 31, 24",0.0122
2024-10-30,78.0,78.11,76.42,76.45,76.06,15691330,15691330,-1.55,-1.99,77.245,"October 30, 24",-0.0199
2024-10-29,78.88,79.47,78.2,78.4,78.0,7241111,7241111,-0.48,-0.60852,78.7375,"October 29, 24",-0.0060852
2024-10-28,79.32,79.64,78.82,78.91,78.51,6617243,6617243,-0.41,-0.51689,79.1725,"October 28, 24",-0.0051689
