date,trade_id,idx,event,current_pos,change,direction,score,shares,price_stock,price_spy,beta
2008-09-25 09:30:00,0,1870,opening,10000.0,0.0,1.0,2,640.6149903907751,15.61,119.4,0.8820473854720193
2008-09-25 16:00:00,0,1871,holding,9624.570233308068,-375.42976669193257,1.0,2,640.6149903907751,16.25,120.79,0.8820473854720193
2008-09-26 09:30:00,0,1872,closing,10597.544528968006,597.5445289680059,1.0,2,640.6149903907751,16.04,118.83,0.8819895906323088
2010-03-18 09:30:00,1,2612,opening,10597.544528968006,0.0,1.0,2,577.8377605762272,18.34,117.11,0.9024816634309597
2010-03-18 16:00:00,1,2613,holding,10824.735148793223,227.19061982521626,1.0,2,577.8377605762272,18.67,117.04,0.9024816634309597
2010-03-19 09:30:00,1,2614,closing,10802.892033798487,205.34750483048043,1.0,2,577.8377605762272,18.56,116.96,0.9022919631743169
2013-06-28 09:30:00,2,4264,opening,10802.892033798487,0.0,1.0,2,348.8179539489341,30.97,160.63,0.8947668921781377
2013-06-28 16:00:00,2,4265,holding,11171.906912618137,369.01487881964863,1.0,2,348.8179539489341,31.84,160.42,0.8947668921781377
2013-07-01 09:30:00,2,4266,closing,10955.080211095203,152.18817729671608,1.0,2,348.8179539489341,31.97,161.26,0.8949131268129867
2014-06-27 09:30:00,3,4766,opening,10955.080211095203,0.0,1.0,2,278.96817446129876,39.27,194.98,0.8697890734173955
2014-06-27 16:00:00,3,4767,holding,10631.30338129563,-323.77682979957297,1.0,2,278.96817446129876,38.84,195.82,0.8697890734173955
2014-06-30 09:30:00,3,4768,closing,10638.103143736042,-316.977067359161,1.0,2,278.96817446129876,38.76,195.7,0.8727417888971521
2014-09-26 09:30:00,4,4892,opening,10638.103143736042,0.0,1.0,2,241.83003281964176,43.99,196.7,0.8640467287267345
2014-09-26 16:00:00,4,4893,holding,10571.151030160137,-66.95211357590465,1.0,2,241.83003281964176,44.75,197.9,0.8640467287267345
2014-09-29 09:30:00,4,4894,closing,10778.853873041833,140.75072930579108,1.0,2,241.83003281964176,44.14,196.2,0.8656112585358833
