date,trade_id,idx,event,current_pos,change,direction,score,shares,price_stock,price_spy,beta
2006-09-22 09:30:00,0,860,opening,10000.0,0.0,1.0,2,928.5051067780873,10.77,131.67,0.766440872163392
2006-09-22 16:00:00,0,861,holding,10170.184005972767,170.18400597276772,1.0,2,928.5051067780873,10.8,131.47,0.766440872163392
2006-09-25 09:30:00,0,862,holding,9994.441548440293,-5.558451559706908,1.0,2,928.5051067780873,10.81,131.73,0.7536252746784196
2006-09-25 16:00:00,0,863,holding,9460.708350554924,-539.2916494450774,1.0,2,928.5051067780873,10.81,132.48,0.7536252746784196
2006-09-26 09:30:00,0,864,holding,9381.480107803505,-618.5198921964943,1.0,2,928.5051067780873,10.74,132.5,0.7517480267293403
2006-09-26 16:00:00,0,865,holding,8900.74088594977,-1099.259114050229,1.0,2,928.5051067780873,11.05,133.58,0.7517480267293403
2006-09-27 09:30:00,0,866,closing,8871.938359018208,-1128.0616409817924,1.0,2,928.5051067780873,10.95,133.49,0.7530270360235976
2007-03-23 09:30:00,1,1108,opening,8871.938359018208,0.0,1.0,2,663.0746157711665,13.38,143.28,0.7714283472086475
2007-03-23 16:00:00,1,1109,holding,8981.440411919768,109.50205290155957,1.0,2,663.0746157711665,13.63,143.39,0.7714283472086475
2007-03-26 09:30:00,1,1110,holding,8925.173810878521,53.235451860313006,1.0,2,663.0746157711665,13.63,143.5,0.7723484525661606
2007-03-26 16:00:00,1,1111,holding,9058.735938881498,186.79757986329108,1.0,2,663.0746157711665,13.6,143.2,0.7723484525661606
2007-03-27 09:30:00,1,1112,holding,9073.134118644273,201.1957596260656,1.0,2,663.0746157711665,13.56,143.12,0.7724928174142711
2007-03-27 16:00:00,1,1113,holding,9046.989995138483,175.05163612027445,1.0,2,663.0746157711665,13.32,142.86,0.7724928174142711
2007-03-28 09:30:00,1,1114,closing,9402.018982365733,530.0806233475245,1.0,2,663.0746157711665,13.3,142.14,0.775345817017313
2007-12-20 09:30:00,2,1486,opening,9402.018982365733,0.0,1.0,2,571.5513059188895,16.45,146.84,0.8066042160478523
2007-12-20 16:00:00,2,1487,holding,9449.037175383348,47.0181930176145,1.0,2,571.5513059188895,16.5,146.8,0.8066042160478523
2007-12-21 09:30:00,2,1488,holding,9283.421952355719,-118.59703001001445,1.0,2,571.5513059188895,16.67,147.37,0.8055171257441579
2007-12-21 16:00:00,2,1489,holding,8875.89489505204,-526.1240873136924,1.0,2,571.5513059188895,16.57,148.13,0.8055171257441579
2007-12-24 09:30:00,2,1490,holding,8529.216501557232,-872.8024808085003,1.0,2,571.5513059188895,16.52,148.82,0.8031351959670311
2007-12-24 16:00:00,2,1491,holding,8454.51032859386,-947.5086537718724,1.0,2,571.5513059188895,16.72,149.23,0.8031351959670311
2007-12-26 09:30:00,2,1492,closing,8704.75289138055,-697.2660909851824,1.0,2,571.5513059188895,16.69,148.65,0.799365403146317
2008-06-26 09:30:00,3,1744,opening,8704.75289138055,0.0,1.0,2,572.3045950940533,15.21,130.57,0.848851965954599
2008-06-26 16:00:00,3,1745,holding,9652.66877576834,947.9158843877887,1.0,2,572.3045950940533,14.88,128.23,0.848851965954599
2008-06-27 09:30:00,3,1746,holding,9656.993911489515,952.2410201089634,1.0,2,572.3045950940533,14.93,128.28,0.8503342346658215
2008-06-27 16:00:00,3,1747,holding,10112.914057207392,1408.1611658268403,1.0,2,572.3045950940533,15.09,127.53,0.8503342346658215
2008-06-30 09:30:00,3,1748,holding,9955.194518018856,1250.4416266383041,1.0,2,572.3045950940533,15.12,127.89,0.856227298777829
2008-06-30 16:00:00,3,1749,holding,9785.565337837823,1080.8124464572722,1.0,2,572.3045950940533,14.9,127.98,0.856227298777829
2008-07-01 09:30:00,3,1750,closing,10494.836083616667,1790.0831922361153,1.0,2,572.3045950940533,14.9,126.52,0.8559962776889717
2014-06-27 09:30:00,4,4766,opening,10494.836083616667,0.0,1.0,2,267.2481814009846,39.27,194.98,0.8697890734173955
2014-06-27 16:00:00,4,4767,holding,10184.661745232715,-310.1743383839511,1.0,2,267.2481814009846,38.84,195.82,0.8697890734173955
2014-06-30 09:30:00,4,4768,holding,10191.175836489427,-303.6602471272407,1.0,2,267.2481814009846,38.76,195.7,0.8727417888971521
2014-06-30 16:00:00,4,4769,holding,10191.871809155979,-302.9642744606875,1.0,2,267.2481814009846,38.78,195.72,0.8727417888971521
2014-07-01 09:30:00,4,4770,holding,10106.672857887641,-388.1632257290254,1.0,2,267.2481814009846,38.87,196.19,0.8726419515865561
2014-07-01 16:00:00,4,4771,holding,9946.157501088242,-548.6785825284246,1.0,2,267.2481814009846,39.0,197.03,0.8726419515865561
2014-07-02 09:30:00,4,4772,closing,9949.525955568804,-545.3101280478619,1.0,2,267.2481814009846,39.03,197.05,0.8722615659023335
2015-06-26 09:30:00,5,5268,opening,9949.525955568804,0.0,1.0,2,183.60446494867696,54.19,210.29,0.8809661882093499
2015-06-26 16:00:00,5,5269,holding,10148.563130127723,199.03717455891868,1.0,2,183.60446494867696,54.86,209.82,0.8809661882093499
2015-06-29 09:30:00,5,5270,holding,10394.466454193585,444.940498624781,1.0,2,183.60446494867696,54.64,208.05,0.8796478319170117
2015-06-29 16:00:00,5,5271,holding,10672.983608625907,723.4576530571037,1.0,2,183.60446494867696,53.84,205.42,0.8796478319170117
2015-06-30 09:30:00,5,5272,holding,10483.691483797369,534.1655282285641,1.0,2,183.60446494867696,54.43,207.26,0.8795642145912277
