date,trade_id,idx,event,current_pos,change,direction,score,shares,price_stock,price_spy,beta
2006-01-30 09:30:00,0,532,opening,10000.0,0.0,1.0,1,25833.785424578266,0.38709,128.44,2.156012570822019
2006-01-30 16:00:00,0,533,holding,9844.99728745253,-155.00271254746974,1.0,1,25833.785424578266,0.38109,128.44,2.156012570822019
2006-01-31 09:30:00,0,534,holding,16517.903032851587,6517.903032851589,1.0,1,25833.785424578266,0.38067,128.32,2.1499298275000593
2006-01-31 16:00:00,0,535,holding,62035.23254469743,52035.23254469743,1.0,1,25833.785424578266,0.37467,127.5,2.1499298275000593
2006-02-01 09:30:00,0,536,holding,44033.113588820735,34033.113588820735,1.0,1,25833.785424578266,0.36775,127.82,2.1505231511485072
2006-02-01 16:00:00,0,537,holding,12470.501137748985,2470.501137748985,1.0,1,25833.785424578266,0.37492,128.39,2.1505231511485072
2006-02-02 09:30:00,0,538,closing,28711.262860820323,18711.262860820323,1.0,1,25833.785424578266,0.37834,128.1,2.146043774118912
2006-02-21 09:30:00,1,562,opening,28711.262860820323,0.0,1.0,2,72732.7748215841,0.39475,129.12,2.148236354531494
2006-02-21 16:00:00,1,563,closing,126595.67878141033,97884.41592059,1.0,2,72732.7748215841,0.38717,128.49,2.148236354531494
2006-05-12 09:30:00,2,676,opening,126595.67878141033,0.0,1.0,1,273371.6529862669,0.46309,130.48,2.201779909791276
2006-05-12 16:00:00,2,677,holding,866327.6408764591,739731.9620950487,1.0,1,273371.6529862669,0.43884,129.24,2.201779909791276
2006-05-15 09:30:00,2,678,closing,1136933.0350089394,1010337.3562275291,1.0,1,273371.6529862669,0.43792,128.79,2.203957706754533
2006-08-11 09:30:00,3,802,opening,1136933.0350089394,0.0,1.0,1,3046036.262582557,0.37325,127.17,2.2252452702486827
2006-08-11 16:00:00,3,803,holding,2272462.5882180235,1135529.553209084,1.0,1,3046036.262582557,0.39,127.01,2.2252452702486827
2006-08-14 09:30:00,3,804,closing,-1915538.9670516858,-3052472.0020606252,1.0,1,3046036.262582557,0.39475,127.63,2.2295376341255735
