date,trade_id,idx,event,current_pos,change,direction,score,shares,price_stock,price_spy,beta
2006-11-10 09:30:00,0,930,opening,10000.0,0.0,1.0,2,10,0.58317,138.14,2.298471793169388
2006-11-10 16:00:00,0,931,holding,9997.60982820683,-2.390171793169911,1.0,2,10,0.574,138.24,2.298471793169388
2006-11-13 09:30:00,0,932,holding,9998.999811282732,-1.0001887172682253,1.0,2,10,0.57509,138.18,2.302247735381979
2006-11-13 16:00:00,0,933,holding,9990.055024110054,-9.94497588994591,1.0,2,10,0.6,138.58,2.302247735381979
2006-11-14 09:30:00,0,934,holding,9981.069384116694,-18.93061588330621,1.0,2,10,0.59784,138.97,2.306072414538994
2006-11-14 16:00:00,0,935,holding,9966.210917461092,-33.789082538907365,1.0,2,10,0.606,139.62,2.306072414538994
2006-11-15 09:30:00,0,936,closing,9967.341853357677,-32.65814664232241,1.0,2,10,0.60417,139.57,2.3105072957211132
2007-02-14 09:30:00,1,1056,opening,9967.341853357677,0.0,1.0,2,10,0.57167,144.8,2.335841359961784
2007-02-14 16:00:00,1,1057,holding,9948.296538341987,-19.045315015690505,1.0,2,10,0.55917,145.61,2.335841359961784
2007-02-15 09:30:00,1,1058,holding,9946.89173352601,-20.450119831666967,1.0,2,10,0.55884,145.67,2.3329201041633985
2007-02-15 16:00:00,1,1059,holding,9943.891739758059,-23.450113599617843,1.0,2,10,0.5625,145.8,2.3329201041633985
2007-02-16 09:30:00,1,1060,holding,9952.277468653921,-15.0643847037551,1.0,2,10,0.56017,145.44,2.3355123081070825
2007-02-16 16:00:00,1,1061,holding,9945.355228710032,-21.98662464764409,1.0,2,10,0.54534,145.73,2.3355123081070825
2007-02-20 09:30:00,1,1062,closing,9949.334459021968,-18.00739433570935,1.0,2,10,0.54617,145.56,2.334466564404512
2007-05-11 09:30:00,2,1176,opening,9949.334459021968,0.0,1.0,2,10,0.5765,149.75,2.301058817979742
2007-05-11 16:00:00,2,1177,holding,9923.884406142392,-25.450052879575445,1.0,2,10,0.58567,150.86,2.301058817979742
2007-05-14 09:30:00,2,1178,holding,9923.861106142393,-25.473352879575447,1.0,2,10,0.58334,150.86,2.300409491115084
2007-05-14 16:00:00,2,1179,holding,9931.419600241725,-17.914858780242014,1.0,2,10,0.57984,150.53,2.300409491115084
2007-05-15 09:30:00,2,1180,holding,9927.52440025116,-21.810058770807288,1.0,2,10,0.5815,150.7,2.2942749739789474
2007-05-15 16:00:00,2,1181,holding,9930.447476714535,-18.88698230743373,1.0,2,10,0.57467,150.57,2.2942749739789474
2007-05-16 09:30:00,2,1182,closing,9925.16004143318,-24.174417588787556,1.0,2,10,0.57517,150.8,2.2835900696611127
2007-08-10 09:30:00,3,1302,opening,9925.16004143318,0.0,1.0,2,10,0.70584,144.39,2.4445893105555063
2007-08-10 16:00:00,3,1303,holding,9917.610655639402,-7.549385793778148,1.0,2,10,0.73317,144.71,2.4445893105555063
2007-08-13 09:30:00,3,1304,holding,9873.910806980459,-51.249234452721524,1.0,2,10,0.739,146.5,2.4498904713222194
2007-08-13 16:00:00,3,1305,holding,9904.818791224514,-20.341250208666338,1.0,2,10,0.72517,145.23,2.4498904713222194
2007-08-14 09:30:00,3,1306,holding,9893.379221464904,-31.780819968277186,1.0,2,10,0.73017,145.7,2.449794895929016
2007-08-14 16:00:00,3,1307,holding,9959.370373918846,34.21033248566587,1.0,2,10,0.75334,143.01,2.449794895929016
2007-08-15 09:30:00,3,1308,closing,9966.419682919457,41.25964148627665,1.0,2,10,0.74934,142.72,2.434081321702961
2007-11-09 09:30:00,4,1430,opening,9966.419682919457,0.0,1.0,2,10,0.86375,145.69,2.3802419815091556
2007-11-09 16:00:00,4,1431,holding,9979.213513817758,12.793830898300627,1.0,2,10,0.834,145.14,2.3802419815091556
2007-11-12 09:30:00,4,1432,holding,9977.5448444307,11.125161511243702,1.0,2,10,0.83375,145.21,2.344890265568967
2007-11-12 16:00:00,4,1433,holding,10012.656498351489,46.236815432032415,1.0,2,10,0.75075,143.7,2.344890265568967
2007-11-13 09:30:00,4,1434,holding,9973.028957260287,6.609274340829136,1.0,2,10,0.763,145.37,2.3308272638520524
2007-11-13 16:00:00,4,1435,holding,9909.064399561388,-57.35528335806917,1.0,2,10,0.817,148.08,2.3308272638520524
2007-11-14 09:30:00,4,1436,closing,9882.137140972183,-84.28254194727322,1.0,2,10,0.83775,149.22,2.3432546481154377
2008-02-14 09:30:00,5,1560,opening,9882.137140972183,0.0,1.0,2,10,0.65575,136.95,2.126397794247327
2008-02-14 16:00:00,5,1561,holding,9919.082021709786,36.944880737602446,1.0,2,10,0.56525,135.17,2.126397794247327
2008-02-15 09:30:00,5,1562,holding,9932.24318803412,50.106047061935364,1.0,2,10,0.563,134.55,2.155015526944929
2008-02-15 16:00:00,5,1563,holding,9919.63494104806,37.49780007587666,1.0,2,10,0.55675,135.14,2.155015526944929
2008-02-19 09:30:00,5,1564,closing,9886.778275237226,4.641134265042855,1.0,2,10,0.567,136.69,2.146788999212007
2011-02-17 09:30:00,6,3078,opening,9886.778275237226,0.0,1.0,2,10,0.568,133.46,1.5726583366465838
2011-02-17 16:00:00,6,3079,holding,9875.094274377718,-11.684000859507886,1.0,2,10,0.642,134.25,1.5726583366465838
2011-02-18 09:30:00,6,3080,holding,9873.172084373742,-13.60619086348386,1.0,2,10,0.6385,134.37,1.5733990253807986
2011-02-18 16:00:00,6,3081,holding,9870.678331035107,-16.09994420211834,1.0,2,10,0.64075,134.53,1.5733990253807986
2011-02-22 09:30:00,6,3082,closing,9892.642813581824,5.864538344598439,1.0,2,10,0.61975,133.12,1.5739195063833806
2011-05-13 09:30:00,7,3196,opening,9892.642813581824,0.0,1.0,2,10,0.48,135.15,1.5762112421635608
2011-05-13 16:00:00,7,3197,holding,9909.90375836984,17.260944788015742,1.0,2,10,0.4565,134.04,1.5762112421635608
2011-05-16 09:30:00,7,3198,holding,9917.457072332225,24.81425875040067,1.0,2,10,0.45525,133.56,1.576036240974171
2011-05-16 16:00:00,7,3199,holding,9923.16185392823,30.519040346405916,1.0,2,10,0.44253,133.19,1.576036240974171
2011-05-17 09:30:00,7,3200,holding,9931.027610139048,38.38479655722372,1.0,2,10,0.441,132.69,1.5762738963847411
2011-05-17 16:00:00,7,3201,holding,9923.459296176663,30.816482594838792,1.0,2,10,0.44075,133.17,1.5762738963847411
2011-05-18 09:30:00,7,3202,closing,9922.373448307148,29.730634725323956,1.0,2,10,0.4425,133.24,1.5755825858372425
2012-05-11 16:00:00,8,3699,opening,9922.373448307148,0.0,1.0,2,10,0.33025,135.61,1.5465709515861428
2012-05-14 09:30:00,8,3700,holding,9942.451370677767,20.07792237062003,1.0,2,10,0.3275,134.31,1.546881239657009
2012-05-14 16:00:00,8,3701,holding,9945.55201258094,23.178564273792148,1.0,2,10,0.32825,134.11,1.546881239657009
2012-05-15 09:30:00,8,3702,holding,9946.943926437367,24.570478130219726,1.0,2,10,0.32825,134.02,1.5468683735871218
2012-05-15 16:00:00,8,3703,holding,9957.428108908152,35.0546606010056,1.0,2,10,0.325,133.34,1.5468683735871218
2012-05-16 09:30:00,8,3704,holding,9948.153683198636,25.78023489148883,1.0,2,10,0.3255,133.94,1.5468509949756586
2012-05-16 16:00:00,8,3705,closing,9965.249420761242,42.875972454094786,1.0,2,10,0.31838,132.83,1.5468509949756586
2012-08-13 09:30:00,9,3826,opening,9965.249420761242,0.0,1.0,2,10,0.366,140.6,1.5536453366905816
2012-08-13 16:00:00,9,3827,holding,9962.650723688868,-2.598697072374236,1.0,2,10,0.37025,140.77,1.5536453366905816
2012-08-14 09:30:00,9,3828,holding,9954.584267938077,-10.665152823164977,1.0,2,10,0.3715,141.29,1.5573325926711488
2012-08-14 16:00:00,9,3829,holding,9962.28499462153,-2.964426139712069,1.0,2,10,0.36475,140.79,1.5573325926711488
2012-08-15 09:30:00,9,3830,holding,9964.627962626566,-0.621458134676109,1.0,2,10,0.366,140.64,1.5565259943665881
2012-08-15 16:00:00,9,3831,holding,9959.771662082825,-5.477758678416947,1.0,2,10,0.362,140.95,1.5565259943665881
2012-08-16 09:30:00,9,3832,holding,9956.696871409444,-8.552549351798376,1.0,2,10,0.36525,141.15,1.5617136221685366
2012-08-16 16:00:00,9,3833,holding,9943.688750581243,-21.560670179999313,1.0,2,10,0.3695,141.99,1.5617136221685366
2012-08-17 09:30:00,9,3834,closing,9939.960001773185,-25.28941898805641,1.0,2,10,0.3695,142.23,1.5619546885613933
2013-08-09 09:30:00,10,4322,opening,9939.960001773185,0.0,1.0,2,10,0.353,169.58,1.514819779447519
2013-08-09 16:00:00,10,4323,holding,9944.142515177693,4.182513404508457,1.0,2,10,0.36225,169.31,1.514819779447519
2013-08-12 09:30:00,10,4324,holding,9956.870983302997,16.910981529812283,1.0,2,10,0.3475,168.46,1.5155827295049735
2013-08-12 16:00:00,10,4325,holding,9947.142154736588,7.182152963403324,1.0,2,10,0.35925,169.11,1.5155827295049735
2013-08-13 09:30:00,10,4326,holding,9942.602695398245,2.642693625061024,1.0,2,10,0.35975,169.41,1.5207660833508785
2013-08-13 16:00:00,10,4327,holding,9939.58055583935,-0.3794459338342729,1.0,2,10,0.3605,169.61,1.5207660833508785
2013-08-14 09:30:00,10,4328,closing,9940.784911662908,0.8249098897239321,1.0,2,10,0.35975,169.53,1.5205302929139521
2014-02-13 09:30:00,11,4580,opening,9940.784911662908,0.0,1.0,2,10,0.43125,180.84,1.4908472616238793
2014-02-13 16:00:00,11,4581,holding,9908.46102608567,-32.323885577237995,1.0,2,10,0.434,183.01,1.4908472616238793
2014-02-14 09:30:00,11,4582,holding,9910.95546643043,-29.82944523247759,1.0,2,10,0.43,182.84,1.4847293699553847
2014-02-14 16:00:00,11,4583,holding,9893.540968743268,-47.243942919639466,1.0,2,10,0.44775,184.02,1.4847293699553847
2014-02-18 09:30:00,11,4584,closing,9891.009028398508,-49.775883264399866,1.0,2,10,0.448,184.19,1.486538380282305
2014-05-09 09:30:00,12,4698,opening,9891.009028398508,0.0,1.0,2,10,0.4485,187.69,1.577065420015096
2014-05-09 16:00:00,12,4699,holding,9886.778451764467,-4.23057663404092,1.0,2,10,0.45125,187.96,1.577065420015096
2014-05-12 09:30:00,12,4700,holding,9874.171928404347,-16.83709999416142,1.0,2,10,0.45225,188.76,1.568972289617841
2014-05-12 16:00:00,12,4701,holding,9858.050654578192,-32.95837382031693,1.0,2,10,0.4645,189.79,1.568972289617841
2014-05-13 09:30:00,12,4702,holding,9854.203197570156,-36.8058308283533,1.0,2,10,0.45825,190.03,1.5650011639015098
2014-05-13 16:00:00,12,4703,holding,9855.294643364165,-35.71438503434284,1.0,2,10,0.457,189.96,1.5650011639015098
2014-05-14 09:30:00,12,4704,closing,9857.978154578192,-33.03087382031693,1.0,2,10,0.45725,189.79,1.5656479977352629
2014-08-08 09:30:00,13,4824,opening,9857.978154578192,0.0,1.0,2,10,0.4555,191.46,1.565671857118921
2014-08-08 16:00:00,13,4825,holding,9830.304195521474,-27.67395905671681,1.0,2,10,0.475,193.24,1.565671857118921
