date,trade_id,idx,event,current_pos,change,direction,score,shares,price_stock,price_spy,beta
2006-05-03 16:00:00,0,663,opening,10000.0,0.0,-1.0,-2,177.87264318747776,56.22,130.89,0.43195354512770073
2006-05-04 09:30:00,0,664,holding,10012.81949014128,12.819490141280045,-1.0,-2,177.87264318747776,56.23,131.08,0.4319273341808845
2006-05-04 16:00:00,0,665,holding,10100.145529386346,100.1455293863448,-1.0,-2,177.87264318747776,55.86,131.36,0.4319273341808845
2006-05-05 09:30:00,0,666,holding,10085.568500951287,85.5685009512879,-1.0,-2,177.87264318747776,56.24,132.05,0.4301024594964991
2006-05-05 16:00:00,0,667,holding,10212.394926815754,212.3949268157532,-1.0,-2,177.87264318747776,55.73,132.52,0.4301024594964991
2006-05-08 09:30:00,0,668,holding,10161.822259535196,161.82225953519708,-1.0,-2,177.87264318747776,56.01,132.51,0.4333540755656375
2006-05-08 16:00:00,0,669,closing,10091.599379462421,91.59937946242037,-1.0,-2,177.87264318747776,56.34,132.36,0.4333540755656375
2006-08-02 16:00:00,1,789,opening,10091.599379462421,0.0,1.0,2,173.12745547199214,58.29,128.08,0.44559689044601614
2006-08-03 09:30:00,1,790,holding,10178.889838749525,87.29045928710316,1.0,2,173.12745547199214,58.46,127.33,0.44465033895261363
2006-08-03 16:00:00,1,791,holding,10266.197908834823,174.59852937240217,1.0,2,173.12745547199214,59.45,128.42,0.44465033895261363
2006-08-04 09:30:00,1,792,holding,10241.062916883044,149.4635374206235,1.0,2,173.12745547199214,59.59,129.06,0.44589534089428456
2006-08-04 16:00:00,1,793,holding,10283.169821112837,191.57044165041526,1.0,2,173.12745547199214,59.45,128.2,0.44589534089428456
2006-08-07 09:30:00,1,794,holding,10252.643826659261,161.04444719684122,1.0,2,173.12745547199214,59.14,127.9,0.4462875817250565
2006-08-07 16:00:00,1,795,closing,10293.799712291522,202.2003328291015,1.0,2,173.12745547199214,59.4,127.95,0.4462875817250565
2011-04-29 09:30:00,2,3176,opening,10293.799712291522,0.0,-1.0,-2,159.39609340804463,64.58,136.16,0.5496378771286677
2011-04-29 16:00:00,2,3177,holding,10266.447697609865,-27.352014681656435,-1.0,-2,159.39609340804463,64.9,136.43,0.5496378771286677
2011-05-02 09:30:00,2,3178,holding,10268.323509309308,-25.476202982214776,-1.0,-2,159.39609340804463,65.24,137.07,0.5497925894892369
2011-05-02 16:00:00,2,3179,holding,10203.418664070898,-90.38104822062391,-1.0,-2,159.39609340804463,65.18,136.22,0.5497925894892369
2011-05-03 09:30:00,2,3180,holding,10167.888342693372,-125.91136959815054,-1.0,-2,159.39609340804463,65.26,135.96,0.5495228729692826
2011-05-03 16:00:00,2,3181,holding,10076.00977066697,-217.78994162455254,-1.0,-2,159.39609340804463,65.71,135.73,0.5495228729692826
2011-05-04 09:30:00,2,3182,closing,10072.347123776844,-221.45258851467776,-1.0,-2,159.39609340804463,65.7,135.67,0.5495879884370182
2024-07-30 16:00:00,3,9843,opening,10072.347123776844,0.0,1.0,2,62.290334717234664,161.7,542.0,0.4806918821769738
2024-07-31 09:30:00,3,9844,holding,9807.91036738661,-264.43675639023394,1.0,2,62.290334717234664,160.81,548.98,0.4803024365846157
2024-07-31 16:00:00,3,9845,holding,9750.00115207766,-322.3459716991842,1.0,2,62.290334717234664,160.76,550.81,0.4803024365846157
2024-08-01 09:30:00,3,9846,holding,9704.777265747201,-367.5698580296426,1.0,2,62.290334717234664,160.88,552.57,0.48197241327753826
2024-08-01 16:00:00,3,9847,holding,10290.643676479584,218.29655270273932,1.0,2,62.290334717234664,165.69,543.01,0.48197241327753826
2024-08-02 09:30:00,3,9848,holding,10617.034009032905,544.6868852560602,1.0,2,62.290334717234664,167.44,535.75,0.4730924323001675
2024-08-02 16:00:00,3,9849,holding,10866.81649866089,794.4693748840458,1.0,2,62.290334717234664,170.08,532.9,0.4730924323001675
2024-08-05 09:30:00,3,9850,closing,11553.225428546095,1480.8783047692498,1.0,2,62.290334717234664,170.88,511.64,0.4630660085366101
