date,trade_id,idx,event,current_pos,change,direction,score,shares,price_stock,price_spy,beta
2006-01-30 09:30:00,0,532,opening,10000.0,0.0,1.0,1,169.1188905800778,59.13,128.44,0.41172090743119805
2006-01-30 16:00:00,0,533,holding,10001.691188905801,1.6911889058004415,1.0,1,169.1188905800778,59.14,128.44,0.41172090743119805
2006-01-31 09:30:00,0,534,closing,9977.914173666793,-22.085826333207184,1.0,1,169.1188905800778,58.95,128.32,0.41088908990160244
2006-05-03 16:00:00,1,663,opening,9977.914173666793,0.0,1.0,1,177.47979675679107,56.22,130.89,0.43195354512770073
2006-05-04 09:30:00,1,664,holding,9965.122996428807,-12.791177237985991,1.0,1,177.47979675679107,56.23,131.08,0.4319273341808845
2006-05-04 16:00:00,1,665,holding,9877.989823957456,-99.92434970933743,1.0,1,177.47979675679107,55.86,131.36,0.4319273341808845
2006-05-05 09:30:00,1,666,holding,9892.534657820666,-85.3795158461276,1.0,1,177.47979675679107,56.24,132.05,0.4301024594964991
2006-05-05 16:00:00,1,667,holding,9765.98833859781,-211.92583506898254,1.0,1,177.47979675679107,55.73,132.52,0.4301024594964991
2006-05-08 09:30:00,1,668,closing,9816.44931196369,-161.46486170310297,1.0,1,177.47979675679107,56.01,132.51,0.4333540755656375
2006-08-02 16:00:00,2,789,opening,9816.44931196369,0.0,1.0,1,168.40709061526317,58.29,128.08,0.44559689044601614
2006-08-03 09:30:00,2,790,holding,9901.359774298702,84.9104623350124,1.0,1,168.40709061526317,58.46,127.33,0.44465033895261363
2006-08-03 16:00:00,2,791,holding,9986.287367268942,169.8380553052524,1.0,1,168.40709061526317,59.45,128.42,0.44465033895261363
2006-08-04 09:30:00,2,792,holding,9961.837687374456,145.38837541076632,1.0,1,168.40709061526317,59.59,129.06,0.44589534089428456
2006-08-04 16:00:00,2,793,holding,10002.796535968531,186.34722400484108,1.0,1,168.40709061526317,59.45,128.2,0.44589534089428456
2006-08-07 09:30:00,2,794,closing,9973.102840649964,156.65352868627437,1.0,1,168.40709061526317,59.14,127.9,0.4462875817250565
2006-10-31 16:00:00,3,915,opening,9973.102840649964,0.0,1.0,1,157.32927655229474,63.39,137.79,0.47620250152503546
2006-11-01 09:30:00,3,916,holding,9910.994422230378,-62.1084184195867,1.0,1,157.32927655229474,63.2,138.22,0.47735246785792945
2006-11-01 16:00:00,3,917,holding,9987.713747259973,14.610906610008978,1.0,1,157.32927655229474,63.04,136.86,0.47735246785792945
2006-11-02 09:30:00,3,918,holding,9982.470100219582,9.367259569616806,1.0,1,157.32927655229474,62.84,136.51,0.4772727895336539
2006-11-02 16:00:00,3,919,holding,10029.893128471589,56.79028782162448,1.0,1,157.32927655229474,63.27,136.78,0.4772727895336539
2006-11-03 09:30:00,3,920,holding,9993.182036893499,20.07919624353364,1.0,1,157.32927655229474,63.27,137.27,0.47511901205881296
2006-11-03 16:00:00,3,921,closing,10068.326877237145,95.2240365871812,1.0,1,157.32927655229474,63.4,136.54,0.47511901205881296
2007-01-30 16:00:00,4,1035,opening,10068.326877237145,0.0,1.0,2,155.88058332926374,64.59,142.79,0.48035148936766
2007-01-31 09:30:00,4,1036,holding,10066.278019996023,-2.0488572411206887,1.0,2,155.88058332926374,64.5,142.63,0.48038839985936305
2007-01-31 16:00:00,4,1037,holding,10040.091069018255,-28.23580821888958,1.0,2,155.88058332926374,64.87,143.75,0.48038839985936305
2007-02-01 09:30:00,4,1038,holding,10014.816498371849,-53.5103788652965,1.0,2,155.88058332926374,64.9,144.15,0.4788589172558695
2007-02-01 16:00:00,4,1039,holding,10048.960318668496,-19.366558568648678,1.0,2,155.88058332926374,65.34,144.61,0.4788589172558695
2007-02-02 09:30:00,4,1040,holding,10077.386362223635,9.059484986490236,1.0,2,155.88058332926374,65.58,144.73,0.4754424430233987
