date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2025-01-08,335.17,337.61,332.2,337.54,337.54,1337671,1337671,2.37,0.7071,335.63,"January 08, 25",0.007071
2025-01-07,336.02,342.77,331.47,334.4,334.4,1625941,1625941,-1.62,-0.48211,336.165,"January 07, 25",-0.0048211
2025-01-06,337.68,341.75,337.02,337.82,337.82,1841153,1841153,0.14,0.04145937,338.5675,"January 06, 25",0.0004145937
2025-01-03,334.63,338.2,333.04,336.54,336.54,1636100,1636100,1.91,0.57078,335.6025,"January 03, 25",0.0057078
2025-01-02,340.2,342.02,331.0,333.16,333.16,2263657,2263657,-7.04,-2.07,336.595,"January 02, 25",-0.0207
2024-12-31,338.88,341.07,337.57,339.93,339.93,1053108,1053108,1.05,0.30984,339.3625,"December 31, 24",0.0030984
2024-12-30,342.57,342.58,337.1,338.75,338.75,1217447,1217447,-3.82,-1.12,340.25,"December 30, 24",-0.0112
2024-12-27,344.09,346.44,341.38,343.29,343.29,881748,881748,-0.8,-0.2325,343.8,"December 27, 24",-0.002325
2024-12-26,342.85,346.64,342.85,345.51,345.51,750556,750556,2.66,0.77585,344.4625,"December 26, 24",0.0077585
2024-12-24,343.8,346.52,342.03,346.52,346.52,445900,445900,2.72,0.79116,344.7175,"December 24, 24",0.0079116
2024-12-23,344.35,345.81,340.76,344.84,344.84,1083330,1083330,0.49,0.1423,343.94,"December 23, 24",0.001423
2024-12-20,339.74,349.35,339.3,345.47,345.47,3294827,3294827,5.73,1.69,343.465,"December 20, 24",0.0169
2024-12-19,348.99,349.91,342.18,342.38,342.38,2056273,2056273,-6.61,-1.89,345.865,"December 19, 24",-0.0189
2024-12-18,361.58,364.56,348.35,348.66,348.66,2306800,2306800,-12.92,-3.57,355.7875,"December 18, 24",-0.0357
2024-12-17,363.47,368.58,362.54,362.79,362.79,1292409,1292409,-0.68,-0.18709,364.345,"December 17, 24",-0.0018709
2024-12-16,366.2,368.27,363.96,365.03,365.03,1486600,1486600,-1.17,-0.3195,365.865,"December 16, 24",-0.003195
2024-12-13,367.18,367.23,362.45,364.5,364.5,1118837,1118837,-2.68,-0.72989,365.34,"December 13, 24",-0.0072989
