date,trade_id,idx,event,current_pos,change,direction,score,shares,price_stock,price_spy,beta
2007-07-20 09:30:00,0,1272,opening,10000.0,0.0,1.0,1,406.669377795852,24.59,154.89,0.7794878655511577
2007-07-20 16:00:00,0,1273,holding,10168.152961820293,168.15296182029297,1.0,1,406.669377795852,23.92,153.5,0.7794878655511577
2007-07-23 09:30:00,0,1274,closing,10046.131103920823,46.13110392082337,1.0,1,406.669377795852,24.15,154.18,0.7892680824178956
2007-10-24 09:30:00,1,1406,opening,10046.131103920823,0.0,1.0,1,452.7323616007581,22.19,151.21,0.8403856546558317
2007-10-24 16:00:00,1,1407,holding,9988.677498917217,-57.45360500360636,1.0,1,452.7323616007581,22.29,151.48,0.8403856546558317
2007-10-25 09:30:00,1,1408,closing,9942.106930426326,-104.02417349449723,1.0,1,452.7323616007581,22.33,151.65,0.8403277670087059
2008-02-12 09:30:00,2,1556,opening,9942.106930426326,0.0,1.0,1,536.8308277767994,18.52,134.91,0.9616546365029431
2008-02-12 16:00:00,2,1557,holding,9788.072788229249,-154.03414219707656,1.0,1,536.8308277767994,18.31,134.99,0.9616546365029431
2008-02-13 09:30:00,2,1558,closing,9347.394949033289,-594.7119813930367,1.0,1,536.8308277767994,18.47,136.01,0.960188475503362
2008-07-21 09:30:00,3,1776,opening,9347.394949033289,0.0,-1.0,-1,534.7479947959547,17.48,126.51,0.9629644588453459
2008-07-21 16:00:00,3,1777,closing,9463.454701422048,116.05975238875872,-1.0,-1,534.7479947959547,16.82,126.05,0.9629644588453459
2008-11-24 16:00:00,4,1955,opening,9463.454701422048,0.0,1.0,1,501.77384418992835,18.86,85.03,0.7513336036232154
2008-11-25 09:30:00,4,1956,holding,8768.233351793686,-695.2213496283617,1.0,1,501.77384418992835,19.18,87.3,0.754977328654074
2008-11-25 16:00:00,4,1957,closing,9336.335230291605,-127.11947113044302,1.0,1,501.77384418992835,19.08,85.66,0.754977328654074
2009-02-23 16:00:00,5,2075,opening,9336.335230291605,0.0,1.0,1,635.9901383032428,14.68,74.65,0.7657061516832251
2009-02-24 09:30:00,5,2076,holding,9107.345749033486,-228.9894812581194,1.0,1,635.9901383032428,14.81,75.29,0.7668623876630194
2009-02-24 16:00:00,5,2077,closing,8416.090311366439,-920.2449189251665,1.0,1,635.9901383032428,15.4,77.48,0.7668623876630194
2009-07-22 09:30:00,6,2282,opening,8416.090311366439,0.0,-1.0,-1,465.23440084944383,18.09,94.96,0.7870014936428378
2009-07-22 16:00:00,6,2283,holding,8539.066130530453,122.97581916401319,-1.0,-1,465.23440084944383,18.29,95.55,0.7870014936428378
2009-07-23 09:30:00,6,2284,closing,8579.643916666182,163.55360529974396,-1.0,-1,465.23440084944383,18.25,95.61,0.7874029205776161
2009-10-21 09:30:00,7,2410,opening,8579.643916666182,0.0,-1.0,-1,435.07322092627703,19.72,109.04,0.7810851794530934
2009-10-21 16:00:00,7,2411,holding,8452.307123458742,-127.33679320744017,-1.0,-1,435.07322092627703,19.38,108.23,0.7810851794530934
2009-10-22 09:30:00,7,2412,closing,8399.557363781678,-180.0865528845046,-1.0,-1,435.07322092627703,19.47,108.19,0.7814209983596182
2010-01-26 16:00:00,8,2541,opening,8399.557363781678,0.0,1.0,1,401.124993494827,20.94,109.31,0.7763518395867954
2010-01-27 09:30:00,8,2542,holding,8443.155341506232,43.59797772455322,1.0,1,401.124993494827,20.94,109.17,0.7761701118372389
2010-01-27 16:00:00,8,2543,closing,8378.015765670814,-21.541598110864324,1.0,1,401.124993494827,21.29,109.83,0.7761701118372389
2010-04-23 16:00:00,9,2663,opening,8378.015765670814,0.0,1.0,1,316.032280862724,26.51,121.81,0.7795573677837996
2010-04-26 09:30:00,9,2664,closing,8387.123090802417,9.107325131602773,1.0,1,316.032280862724,26.57,121.85,0.7805501332251832
2010-07-23 09:30:00,10,2788,opening,8387.123090802417,0.0,1.0,1,374.25805849185264,22.41,109.24,0.7712181046769405
2010-07-23 16:00:00,10,2789,holding,8270.232874392324,-116.89021641009252,1.0,1,374.25805849185264,23.0,110.41,0.7712181046769405
2010-07-26 09:30:00,10,2790,closing,8192.936818682085,-194.18627212033255,1.0,1,374.25805849185264,22.94,110.6,0.7716983578850237
2010-10-27 09:30:00,11,2922,opening,8192.936818682085,0.0,-1.0,-1,344.53056428436014,23.78,117.89,0.774482208652307
2010-10-27 16:00:00,11,2923,holding,8251.333468446206,58.3966497641206,-1.0,-1,344.53056428436014,23.99,118.38,0.774482208652307
