date,trade_id,idx,event,current_pos,change,direction,score,shares,price_stock,price_spy,beta
2007-07-20 09:30:00,0,1272,opening,10000.0,0.0,1.0,1,406.669377795852,24.59,154.89,0.7794878655511577
2007-07-20 16:00:00,0,1273,holding,10168.152961820293,168.15296182029297,1.0,1,406.669377795852,23.92,153.5,0.7794878655511577
2007-07-23 09:30:00,0,1274,closing,10046.131103920823,46.13110392082337,1.0,1,406.669377795852,24.15,154.18,0.7892680824178956
2007-10-24 09:30:00,1,1406,opening,10046.131103920823,0.0,1.0,1,452.7323616007581,22.19,151.21,0.8403856546558317
2007-10-24 16:00:00,1,1407,holding,9988.677498917217,-57.45360500360636,1.0,1,452.7323616007581,22.29,151.48,0.8403856546558317
2007-10-25 09:30:00,1,1408,holding,9942.106930426326,-104.02417349449723,1.0,1,452.7323616007581,22.33,151.65,0.8403277670087059
2007-10-25 16:00:00,1,1409,holding,9566.48698955715,-479.6441143636728,1.0,1,452.7323616007581,21.66,151.84,0.8403277670087059
2007-10-26 09:30:00,1,1410,holding,9134.005120722168,-912.1259831986546,1.0,1,452.7323616007581,21.73,153.06,0.8471842134360843
2007-10-26 16:00:00,1,1411,holding,8753.431068960756,-1292.7000349600673,1.0,1,452.7323616007581,21.36,153.62,0.8471842134360843
2007-10-29 09:30:00,1,1412,closing,8712.449937985686,-1333.681165935136,1.0,1,452.7323616007581,21.53,153.93,0.8479850609066947
2008-02-12 09:30:00,2,1556,opening,8712.449937985686,0.0,1.0,1,470.4346618782768,18.52,134.91,0.9616546365029431
2008-02-12 16:00:00,2,1557,holding,8577.467005089888,-134.9829328957993,1.0,1,470.4346618782768,18.31,134.99,0.9616546365029431
2008-02-13 09:30:00,2,1558,holding,8191.292963748141,-521.1569742375448,1.0,1,470.4346618782768,18.47,136.01,0.960188475503362
2008-02-13 16:00:00,2,1559,holding,7915.5262023412515,-796.9237356444348,1.0,1,470.4346618782768,18.23,136.37,0.960188475503362
2008-02-14 09:30:00,2,1560,holding,7587.275858893475,-1125.1740790922113,1.0,1,470.4346618782768,18.09,136.95,0.9594623863102231
2008-02-14 16:00:00,2,1561,holding,8307.861919060537,-404.5880189251487,1.0,1,470.4346618782768,17.91,135.17,0.9594623863102231
2008-02-15 09:30:00,2,1562,closing,8583.642890177245,-128.80704780844064,1.0,1,470.4346618782768,17.9,134.55,0.9572382894444003
2008-07-21 09:30:00,3,1776,opening,8583.642890177245,0.0,-1.0,-1,491.0550852504145,17.48,126.51,0.9629644588453459
2008-07-21 16:00:00,3,1777,holding,8690.21969300406,106.5768028268164,-1.0,-1,491.0550852504145,16.82,126.05,0.9629644588453459
2008-07-22 09:30:00,3,1778,holding,8279.3696105733,-304.2732796039451,-1.0,-1,491.0550852504145,16.79,125.15,0.9665419228931929
2008-07-22 16:00:00,3,1779,closing,8978.48826569317,394.845375515924,-1.0,-1,491.0550852504145,17.61,127.48,0.9665419228931929
2008-08-11 16:00:00,4,1807,opening,8978.48826569317,0.0,1.0,1,450.50116737045505,19.93,130.71,0.9904800211404133
2008-08-12 09:30:00,4,1808,holding,9089.269390052264,110.781124359095,1.0,1,450.50116737045505,19.75,130.28,0.9926789257285372
2008-08-12 16:00:00,4,1809,holding,9445.681775670317,467.19350997714764,1.0,1,450.50116737045505,19.62,129.35,0.9926789257285372
2008-08-13 09:30:00,4,1810,holding,9664.025641191673,685.5373754985035,1.0,1,450.50116737045505,19.55,128.79,0.9929151467238464
2008-08-13 16:00:00,4,1811,holding,9699.1222070316,720.6339413384303,1.0,1,450.50116737045505,19.41,128.57,0.9929151467238464
2008-08-14 09:30:00,4,1812,holding,9961.787099819765,983.2988341265961,1.0,1,450.50116737045505,19.27,127.84,0.9932080519590423
2008-08-14 16:00:00,4,1813,closing,9351.891395224544,373.40312953137465,1.0,1,450.50116737045505,19.6,129.54,0.9932080519590423
2009-07-22 09:30:00,5,2282,opening,9351.891395224544,0.0,-1.0,-1,516.9646984645962,18.09,94.96,0.7870014936428378
2009-07-22 16:00:00,5,2283,holding,9488.541129544457,136.64973431991382,-1.0,-1,516.9646984645962,18.29,95.55,0.7870014936428378
2009-07-23 09:30:00,5,2284,holding,9533.630836874177,181.73944164963353,-1.0,-1,516.9646984645962,18.25,95.61,0.7874029205776161
2009-07-23 16:00:00,5,2285,holding,10129.873654777588,777.9822595530434,-1.0,-1,516.9646984645962,18.71,97.66,0.7874029205776161
