date,trade_id,idx,event,current_pos,change,direction,score,shares,price_stock,price_spy,beta
2007-07-20 09:30:00,0,1272,opening,10000.0,0.0,-1.0,-1,10,24.59,154.89,0.7794878655511577
2007-07-20 16:00:00,0,1273,holding,9995.865118668838,-4.134881331161004,-1.0,-1,10,23.92,153.5,0.7794878655511577
2007-07-23 09:30:00,0,1274,closing,9998.865636154587,-1.1343638454130467,-1.0,-1,10,24.15,154.18,0.7892680824178956
2007-11-20 09:30:00,1,1444,opening,9998.865636154587,0.0,1.0,1,10,19.95,144.02,0.8833676017112386
2007-11-20 16:00:00,1,1445,holding,9994.388757023979,-4.476879130609454,1.0,1,10,20.05,144.64,0.8833676017112386
2007-11-21 09:30:00,1,1446,holding,10005.269291610673,6.403655456085646,1.0,1,10,19.76,143.08,0.8867106564373787
2007-11-21 16:00:00,1,1447,holding,10020.036438034631,21.17080188004302,1.0,1,10,20.0,141.68,0.8867106564373787
2007-11-23 09:30:00,1,1448,closing,10010.557628370843,11.691992216256937,1.0,1,10,20.28,143.07,0.8864420003254291
2008-08-11 16:00:00,2,1807,opening,10010.557628370843,0.0,-1.0,-1,10,19.93,130.71,0.9904800211404133
2008-08-12 09:30:00,2,1808,holding,10008.098564279939,-2.4590640909038477,-1.0,-1,10,19.75,130.28,0.9926789257285372
2008-08-12 16:00:00,2,1809,holding,10000.187100083334,-10.370528287509767,-1.0,-1,10,19.62,129.35,0.9926789257285372
2008-08-13 09:30:00,2,1810,holding,9995.340411964948,-15.217216405896103,-1.0,-1,10,19.55,128.79,0.9929151467238464
2008-08-13 16:00:00,2,1811,holding,9994.561355918438,-15.996272452404998,-1.0,-1,10,19.41,128.57,0.9929151467238464
2008-08-14 09:30:00,2,1812,holding,9988.730851764114,-21.826776606729904,-1.0,-1,10,19.27,127.84,0.9932080519590423
2008-08-14 16:00:00,2,1813,closing,10002.269012123501,-8.288616247343011,-1.0,-1,10,19.6,129.54,0.9932080519590423
2008-11-24 16:00:00,3,1955,opening,10002.269012123501,0.0,1.0,1,10,18.86,85.03,0.7513336036232154
2008-11-25 09:30:00,3,1956,holding,9988.413739321253,-13.855272802246958,1.0,1,10,19.18,87.3,0.754977328654074
2008-11-25 16:00:00,3,1957,holding,9999.735610420676,-2.5334017028262346,1.0,1,10,19.08,85.66,0.754977328654074
2008-11-26 09:30:00,3,1958,holding,10007.45374742995,5.184735306449491,1.0,1,10,18.83,84.3,0.7536362882676556
2008-11-26 16:00:00,3,1959,holding,9984.066468140747,-18.202543982754666,1.0,1,10,20.0,88.97,0.7536362882676556
2008-11-28 09:30:00,3,1960,closing,9986.321002393066,-15.948009730435718,1.0,1,10,19.97,88.63,0.7589773696363705
2009-07-22 09:30:00,4,2282,opening,9986.321002393066,0.0,-1.0,-1,10,18.09,94.96,0.7870014936428378
2009-07-22 16:00:00,4,2283,holding,9988.964311205558,2.643308812492777,-1.0,-1,10,18.29,95.55,0.7870014936428378
2009-07-23 09:30:00,4,2284,holding,9989.836512101745,3.515509708678489,-1.0,-1,10,18.25,95.61,0.7874029205776161
2009-07-23 16:00:00,4,2285,holding,10001.370042721423,15.049040328356632,-1.0,-1,10,18.71,97.66,0.7874029205776161
2009-07-24 09:30:00,4,2286,holding,9998.649835850665,12.328833457599625,-1.0,-1,10,18.62,97.2,0.7879871941675216
2009-07-24 16:00:00,4,2287,holding,10002.318048695994,15.997046302928041,-1.0,-1,10,18.93,98.06,0.7879871941675216
2009-07-27 09:30:00,4,2288,closing,10001.401446007438,15.080443614370886,-1.0,-1,10,18.88,97.88,0.7881792197643137
2009-10-21 09:30:00,5,2410,opening,10001.401446007438,0.0,-1.0,-1,10,19.72,109.04,0.7810851794530934
2009-10-21 16:00:00,5,2411,holding,9998.474656053868,-2.9267899535700757,-1.0,-1,10,19.38,108.23,0.7810851794530934
2009-10-22 09:30:00,5,2412,holding,9997.262221982086,-4.139224025351361,-1.0,-1,10,19.47,108.19,0.7814209983596182
2009-10-22 16:00:00,5,2413,holding,10006.366593027851,4.965147020413905,-1.0,-1,10,19.45,109.33,0.7814209983596182
2009-10-23 09:30:00,5,2414,holding,10008.978499673884,7.577053666445041,-1.0,-1,10,19.47,109.69,0.7811340478469508
2009-10-23 16:00:00,5,2415,holding,9996.903028284687,-4.498417722749788,-1.0,-1,10,19.42,108.08,0.7811340478469508
2009-10-26 09:30:00,5,2416,closing,9997.640330500031,-3.7611155074060356,-1.0,-1,10,19.44,108.2,0.7821228409268831
2010-01-26 16:00:00,6,2541,opening,9997.640330500031,0.0,1.0,1,10,20.94,109.31,0.7763518395867954
2010-01-27 09:30:00,6,2542,holding,9998.727223075453,1.0868925754215182,1.0,1,10,20.94,109.17,0.7761701118372389
2010-01-27 16:00:00,6,2543,holding,9997.103300934179,-0.5370295658513269,1.0,1,10,21.29,109.83,0.7761701118372389
2010-01-28 09:30:00,6,2544,holding,9995.008434311667,-2.6318961883637826,1.0,1,10,21.36,110.19,0.7764515783314949
2010-01-28 16:00:00,6,2545,holding,10005.885334112974,8.245003612942357,1.0,1,10,21.19,108.57,0.7764515783314949
2010-01-29 09:30:00,6,2546,holding,10002.536480466915,4.896149966884292,1.0,1,10,21.22,109.04,0.7763538915840246
2010-01-29 16:00:00,6,2547,closing,10014.346285820098,16.705955320066483,1.0,1,10,21.12,107.39,0.7763538915840246
2010-04-23 16:00:00,7,2663,opening,10014.346285820098,0.0,1.0,1,10,26.51,121.81,0.7795573677837996
2010-04-26 09:30:00,7,2664,holding,10014.634462872984,0.2881770528865294,1.0,1,10,26.57,121.85,0.7805501332251832
2010-04-26 16:00:00,7,2665,closing,10019.332249711904,4.98596389180551,1.0,1,10,26.65,121.35,0.7805501332251832
2010-10-27 09:30:00,8,2922,opening,10019.332249711904,0.0,-1.0,-1,10,23.78,117.89,0.774482208652307
2010-10-27 16:00:00,8,2923,holding,10021.0272125343,1.6949628223962914,-1.0,-1,10,23.99,118.38,0.774482208652307
2010-10-28 09:30:00,8,2924,holding,10025.493691553136,6.161441841232014,-1.0,-1,10,24.07,119.06,0.7743403876964614
2010-10-28 16:00:00,8,2925,holding,10021.882108976031,2.5498592641267996,-1.0,-1,10,23.92,118.4,0.7743403876964614
2010-10-29 09:30:00,8,2926,holding,10021.95273032565,2.62048061374401,-1.0,-1,10,23.82,118.28,0.7747740807127489
2010-10-29 16:00:00,8,2927,holding,10018.579142963818,-0.7531067480861936,-1.0,-1,10,24.32,118.49,0.7747740807127489
2010-11-01 09:30:00,8,2928,closing,10022.571139774001,3.238890062097167,-1.0,-1,10,24.37,119.07,0.775117282467269
2011-01-26 09:30:00,9,3046,opening,10022.571139774001,0.0,1.0,1,10,28.67,129.49,0.7736919962407629
2011-01-26 16:00:00,9,3047,holding,10017.378494180768,-5.192645593233232,1.0,1,10,28.29,129.67,0.7736919962407629
2011-01-27 09:30:00,9,3048,holding,10016.646386581897,-5.924753192105476,1.0,1,10,28.24,129.7,0.7735606988500034
2011-01-27 16:00:00,9,3049,holding,10017.702679792797,-4.868459981203829,1.0,1,10,28.57,129.99,0.7735606988500034
2011-01-28 09:30:00,9,3050,holding,10016.142141798437,-6.428997975564789,1.0,1,10,28.53,130.14,0.773574002460159
2011-01-28 16:00:00,9,3051,holding,10031.065488107462,8.494348333461552,1.0,1,10,28.15,127.72,0.773574002460159
2011-01-31 09:30:00,9,3052,closing,10028.85756612062,6.286426346618931,1.0,1,10,28.2,128.07,0.772955746074543
2011-04-25 09:30:00,10,3168,opening,10028.85756612062,0.0,1.0,1,10,27.85,133.68,0.7766710178953716
2011-04-25 16:00:00,10,3169,closing,10027.968234527778,-0.8893315928417024,1.0,1,10,27.73,133.64,0.7766710178953716
2011-07-22 09:30:00,11,3292,opening,10027.968234527778,0.0,-1.0,-1,10,27.05,134.52,0.7739899632896852
2011-07-22 16:00:00,11,3293,holding,10033.432628505752,5.464393977973828,-1.0,-1,10,26.55,134.58,0.7739899632896852
2011-07-25 09:30:00,11,3294,closing,10026.225556975643,-1.7426775521341542,-1.0,-1,10,26.28,133.3,0.774530906702911
2011-10-26 09:30:00,12,3426,opening,10026.225556975643,0.0,-1.0,-1,10,27.94,124.35,0.7845299086190741
2011-10-26 16:00:00,12,3427,holding,10032.433292021335,6.2077350456904865,-1.0,-1,10,27.28,124.3,0.7845299086190741
2011-10-27 09:30:00,12,3428,holding,10051.558137978349,25.33258100270565,-1.0,-1,10,27.98,127.63,0.7829169877183096
2011-10-27 16:00:00,12,3429,holding,10062.30343706454,36.07788008889638,-1.0,-1,10,27.69,128.63,0.7829169877183096
2011-10-28 09:30:00,12,3430,holding,10057.76089864024,31.53534166459628,-1.0,-1,10,27.65,128.0,0.7827906495639165
2011-10-28 16:00:00,12,3431,holding,10058.168078091954,31.94252111631068,-1.0,-1,10,28.08,128.6,0.7827906495639165
2011-10-31 09:30:00,12,3432,closing,10051.07084740784,24.84529043219601,-1.0,-1,10,27.66,127.16,0.782520161132721
2011-11-23 09:30:00,13,3466,opening,10051.07084740784,0.0,1.0,1,10,28.07,118.07,0.7797397643374039
2011-11-23 16:00:00,13,3467,holding,10059.244917849335,8.174070441494734,1.0,1,10,27.71,116.56,0.7797397643374039
2011-11-25 09:30:00,13,3468,holding,10060.648449425142,9.577602017302114,1.0,1,10,27.71,116.38,0.7798052444767437
